,Open,High,Low,Close,Volume
2020-09-28 09:00:00,0.3,4.5,0.3,1.1208,14887581620.0
2020-09-28 10:00:00,1.1188,1.2185,0.8455,1.1406,10713775010.0
2020-09-28 11:00:00,1.1435,1.2797,1.1339,1.1643,6257375610.0
2020-09-28 12:00:00,1.1643,1.19,1.0811,1.1681,3286240430.0
2020-09-28 13:00:00,1.168,1.1888,1.1424,1.1533,1752762410.0
2020-09-28 14:00:00,1.1534,1.1598,1.07,1.0801,2172688290.0
2020-09-28 15:00:00,1.0801,1.1171,1.0408,1.085,1412020220.0
2020-09-28 16:00:00,1.085,1.0886,1.0202,1.0311,1516114170.0
2020-09-28 17:00:00,1.0311,1.0477,0.95,0.955,2036955170.0
2020-09-28 18:00:00,0.9595,1.0489,0.9393,1.0341,2209678500.0
2020-09-28 19:00:00,1.0352,1.1493,1.0329,1.0785,3277973180.0
2020-09-28 20:00:00,1.077,1.104,1.0303,1.0521,1142399520.0
2020-09-28 21:00:00,1.0578,1.1158,1.034,1.0808,1047480510.0
2020-09-28 22:00:00,1.0805,1.0929,1.0402,1.0539,592891440.0
2020-09-28 23:00:00,1.0541,1.0848,1.0201,1.0208,708777980.0
2020-09-29 00:00:00,1.0208,1.0362,0.98,0.982,785762110.0
2020-09-29 01:00:00,0.9846,1.0059,0.925,0.953,979412650.0
2020-09-29 02:00:00,0.9546,0.9801,0.8601,0.8768,1469929460.0
2020-09-29 03:00:00,0.8767,0.8912,0.8,0.8046,1515807590.0
2020-09-29 04:00:00,0.804,0.8197,0.72,0.7451,2223686860.0
2020-09-29 05:00:00,0.7466,0.7764,0.6735,0.7144,3025143320.0
2020-09-29 06:00:00,0.7163,0.8074,0.7063,0.7998,2200213190.0
2020-09-29 07:00:00,0.7988,0.8192,0.76,0.7978,1524081930.0
2020-09-29 08:00:00,0.8006,0.857,0.7988,0.8356,1849412070.0
2020-09-29 09:00:00,0.8356,0.849,0.7321,0.7396,2407457900.0
2020-09-29 10:00:00,0.7394,0.7887,0.7358,0.7618,1357673840.0
2020-09-29 11:00:00,0.7615,0.77,0.7123,0.7149,1142771460.0
2020-09-29 12:00:00,0.7142,0.7448,0.705,0.7366,1267317900.0
2020-09-29 13:00:00,0.7368,0.7777,0.7319,0.7431,1740312960.0
2020-09-29 14:00:00,0.7429,0.77,0.7155,0.7276,1125931960.0
2020-09-29 15:00:00,0.728,0.7327,0.6899,0.7229,1227106960.0
2020-09-29 16:00:00,0.7228,0.727,0.672,0.6897,1258650720.0
2020-09-29 17:00:00,0.6897,0.7051,0.6755,0.6756,981307370.0
2020-09-29 18:00:00,0.6778,0.6778,0.583,0.5952,3163711010.0
2020-09-29 19:00:00,0.5965,0.62,0.57,0.606,2523709360.0
2020-09-29 20:00:00,0.6049,0.6332,0.597,0.5978,1228787960.0
2020-09-29 21:00:00,0.5979,0.62,0.58,0.6,1031694610.0
2020-09-29 22:00:00,0.6,0.629,0.6,0.6146,692847550.0
2020-09-29 23:00:00,0.6101,0.6728,0.606,0.6667,1149323300.0
2020-09-30 00:00:00,0.6667,0.7179,0.661,0.6625,1862357550.0
2020-09-30 01:00:00,0.6626,0.6827,0.6378,0.6455,1193052590.0
2020-09-30 02:00:00,0.6455,0.6887,0.606,0.6167,1223163800.0
2020-09-30 03:00:00,0.6176,0.634,0.6,0.6126,894447190.0
2020-09-30 04:00:00,0.6125,0.6399,0.585,0.5925,875282750.0
2020-09-30 05:00:00,0.5925,0.6286,0.5899,0.6209,1250419590.0
2020-09-30 06:00:00,0.6204,0.6282,0.6003,0.6167,1087187250.0
2020-09-30 07:00:00,0.6177,0.668,0.6045,0.6077,2024656200.0
2020-09-30 08:00:00,0.606,0.6274,0.6045,0.6183,782615220.0
2020-09-30 09:00:00,0.6183,0.6215,0.6,0.6103,636774300.0
2020-09-30 10:00:00,0.6103,0.6401,0.6036,0.6262,1007633930.0
2020-09-30 11:00:00,0.6265,0.6458,0.6212,0.6259,1812437820.0
