,Open,High,Low,Close,Volume
2021-07-30 15:00:00,18.31,35.61,18.31,23.67,2522134230.0
2021-07-30 16:00:00,23.68,24.82,23.3,24.29,402198700.0
2021-07-30 17:00:00,24.29,24.36,22.78,22.86,231990570.0
2021-07-30 18:00:00,22.86,23.5,22.22,23.15,354015260.0
2021-07-30 19:00:00,23.17,23.18,22.18,22.75,149050160.0
2021-07-30 20:00:00,22.72,22.96,22.34,22.53,103612110.0
2021-07-30 21:00:00,22.52,23.33,22.29,23.07,120247790.0
2021-07-30 22:00:00,23.08,24.3,23.0,23.35,266110870.0
2021-07-30 23:00:00,23.36,24.04,23.09,23.5,109126650.0
2021-07-31 00:00:00,23.5,23.7,22.8,22.82,108810190.0
2021-07-31 01:00:00,22.82,24.15,22.7,23.9,115747380.0
2021-07-31 02:00:00,23.91,25.27,23.0,23.11,380341410.0
2021-07-31 03:00:00,23.13,24.9,22.96,23.93,226394910.0
2021-07-31 04:00:00,23.96,24.58,23.45,24.58,88638680.0
2021-07-31 05:00:00,24.54,28.0,24.42,26.16,647393020.0
2021-07-31 06:00:00,26.15,27.03,25.62,26.06,291371160.0
2021-07-31 07:00:00,26.06,27.12,25.94,26.97,226662290.0
2021-07-31 08:00:00,26.98,27.1,26.13,26.47,131573500.0
2021-07-31 09:00:00,26.49,26.77,25.71,25.77,106710140.0
2021-07-31 10:00:00,25.78,26.16,24.94,25.36,184169940.0
2021-07-31 11:00:00,25.38,25.85,25.15,25.85,83291300.0
2021-07-31 12:00:00,25.85,25.86,24.47,24.6,107522360.0
2021-07-31 13:00:00,24.59,24.68,24.03,24.5,101708230.0
2021-07-31 14:00:00,24.5,24.83,23.72,23.9,101927560.0
2021-07-31 15:00:00,23.9,24.28,23.6,23.88,69347230.0
2021-07-31 16:00:00,23.87,23.94,23.63,23.69,44961280.0
2021-07-31 17:00:00,23.68,23.88,23.42,23.5,93800810.0
2021-07-31 18:00:00,23.5,23.67,23.27,23.33,50377460.0
2021-07-31 19:00:00,23.33,23.44,22.93,23.06,49267950.0
2021-07-31 20:00:00,23.06,23.79,22.95,23.7,75184790.0
2021-07-31 21:00:00,23.71,24.04,23.55,23.63,71482320.0
2021-07-31 22:00:00,23.62,23.78,23.21,23.29,45801460.0
2021-07-31 23:00:00,23.31,24.73,23.27,23.9,173766010.0
2021-08-01 00:00:00,23.9,24.33,23.78,23.94,49450050.0
2021-08-01 01:00:00,23.94,24.36,23.49,24.36,71926300.0
2021-08-01 02:00:00,24.37,24.42,22.7,23.08,93571430.0
2021-08-01 03:00:00,23.08,23.44,22.6,22.79,51271480.0
2021-08-01 04:00:00,22.79,22.83,21.93,22.34,75370410.0
2021-08-01 05:00:00,22.35,22.81,22.2,22.3,92158750.0
2021-08-01 06:00:00,22.3,22.83,22.26,22.51,62061120.0
2021-08-01 07:00:00,22.5,22.62,22.33,22.57,34813510.0
2021-08-01 08:00:00,22.57,22.83,22.44,22.5,39591060.0
2021-08-01 09:00:00,22.5,22.63,22.4,22.53,32544000.0
2021-08-01 10:00:00,22.53,22.6,22.31,22.31,37701710.0
2021-08-01 11:00:00,22.3,22.5,22.2,22.38,36150610.0
