,Open,High,Low,Close,Volume
2021-08-20 12:00:00,0.05981,0.1396,0.05981,0.11141,162578887000.0
2021-08-20 13:00:00,0.11142,0.11475,0.10735,0.10839,42985804000.0
2021-08-20 14:00:00,0.10836,0.11129,0.1041,0.10833,27334031000.0
2021-08-20 15:00:00,0.10835,0.11,0.105,0.10618,21497006000.0
2021-08-20 16:00:00,0.10621,0.10742,0.10246,0.10551,16530600000.0
2021-08-20 17:00:00,0.10554,0.108,0.1007,0.10153,34831043000.0
2021-08-20 18:00:00,0.10224,0.1042,0.096,0.09752,27771773000.0
2021-08-20 19:00:00,0.09752,0.104,0.096,0.10192,26853242000.0
2021-08-20 20:00:00,0.1018,0.10188,0.09688,0.10005,13788731000.0
2021-08-20 21:00:00,0.09993,0.1018,0.09865,0.09984,11524767000.0
2021-08-20 22:00:00,0.09984,0.1005,0.09815,0.09955,4597344000.0
2021-08-20 23:00:00,0.0995,0.09987,0.0976,0.09809,5600644000.0
2021-08-21 00:00:00,0.09808,0.10494,0.09761,0.09895,21257614000.0
2021-08-21 01:00:00,0.09899,0.09969,0.09555,0.0965,10318107000.0
2021-08-21 02:00:00,0.09651,0.0968,0.08918,0.08946,21670475000.0
2021-08-21 03:00:00,0.08945,0.091,0.08712,0.08963,13913834000.0
2021-08-21 04:00:00,0.08963,0.0908,0.08725,0.08778,11115124000.0
2021-08-21 05:00:00,0.08777,0.0906,0.08711,0.08872,9593874000.0
2021-08-21 06:00:00,0.08872,0.0915,0.08734,0.0908,11623841000.0
2021-08-21 07:00:00,0.09088,0.09276,0.0883,0.09206,16998171000.0
2021-08-21 08:00:00,0.092,0.0922,0.08864,0.09119,15438403000.0
2021-08-21 09:00:00,0.09117,0.0964,0.09065,0.09384,31985624000.0
2021-08-21 10:00:00,0.09378,0.0941,0.09,0.091,12252391000.0
2021-08-21 11:00:00,0.09106,0.0921,0.08961,0.09068,10055281000.0
2021-08-21 12:00:00,0.0907,0.09384,0.0905,0.0906,17684746000.0
2021-08-21 13:00:00,0.09059,0.09182,0.089,0.09096,9324056000.0
2021-08-21 14:00:00,0.09096,0.09114,0.08868,0.09061,6989148000.0
2021-08-21 15:00:00,0.09046,0.0912,0.089,0.08972,7408769000.0
2021-08-21 16:00:00,0.0898,0.0902,0.08773,0.08821,6476942000.0
2021-08-21 17:00:00,0.08827,0.09007,0.0875,0.08988,5622482000.0
2021-08-21 18:00:00,0.08963,0.08988,0.08666,0.08667,7806396000.0
2021-08-21 19:00:00,0.08695,0.088,0.08641,0.08698,4703587000.0
2021-08-21 20:00:00,0.08678,0.08699,0.08357,0.0845,8401969000.0
2021-08-21 21:00:00,0.0846,0.08629,0.0836,0.08414,5036328000.0
2021-08-21 22:00:00,0.08379,0.088,0.08312,0.08663,8310245000.0
2021-08-21 23:00:00,0.08664,0.0886,0.08557,0.0862,6510797000.0
2021-08-22 00:00:00,0.08633,0.0872,0.08607,0.08644,2821025000.0
2021-08-22 01:00:00,0.08655,0.08778,0.08572,0.08716,3144625000.0
2021-08-22 02:00:00,0.08739,0.08788,0.0845,0.08725,3037005000.0
2021-08-22 03:00:00,0.08712,0.08714,0.084,0.08521,3873762000.0
2021-08-22 04:00:00,0.08525,0.08525,0.0823,0.08277,4475584000.0
2021-08-22 05:00:00,0.0825,0.0835,0.081,0.0831,5369073000.0
2021-08-22 06:00:00,0.0831,0.08466,0.08309,0.08401,2921288000.0
2021-08-22 07:00:00,0.08399,0.0843,0.08243,0.08278,2328006000.0
2021-08-22 08:00:00,0.08298,0.08396,0.08206,0.08214,3485605000.0
2021-08-22 09:00:00,0.08213,0.08329,0.0815,0.08181,3970595000.0
2021-08-22 10:00:00,0.08181,0.084,0.0818,0.08208,7118260000.0
2021-08-22 11:00:00,0.08227,0.0836,0.08111,0.08244,5859403000.0
2021-08-22 12:00:00,0.08211,0.0831,0.08208,0.0825,3482346000.0
2021-08-22 13:00:00,0.08244,0.08565,0.08244,0.08516,12314254000.0
2021-08-22 14:00:00,0.08516,0.08539,0.08151,0.08165,8467105000.0
2021-08-22 15:00:00,0.08165,0.0817,0.079,0.08019,12377041000.0
2021-08-22 16:00:00,0.08011,0.08011,0.07759,0.07775,10202976000.0
2021-08-22 17:00:00,0.07798,0.08005,0.07741,0.07998,8365727000.0
2021-08-22 18:00:00,0.07998,0.07998,0.07755,0.07821,5993389000.0
2021-08-22 19:00:00,0.07823,0.08014,0.07803,0.07879,4564505000.0
2021-08-22 20:00:00,0.07874,0.07934,0.07754,0.07764,3385338000.0
2021-08-22 21:00:00,0.07764,0.07972,0.07764,0.07925,2862271000.0
2021-08-22 22:00:00,0.07925,0.07939,0.07771,0.07865,2800026000.0
2021-08-22 23:00:00,0.07864,0.08195,0.07838,0.08074,6965008000.0
2021-08-23 00:00:00,0.0805,0.08061,0.0795,0.07978,2029278000.0
2021-08-23 01:00:00,0.0795,0.08,0.07869,0.07963,3173712000.0
2021-08-23 02:00:00,0.07978,0.0845,0.07812,0.08314,13960228000.0
2021-08-23 03:00:00,0.08323,0.08345,0.08012,0.08097,6697667000.0
2021-08-23 04:00:00,0.08131,0.08176,0.07751,0.07781,8332531000.0
2021-08-23 05:00:00,0.07801,0.07902,0.07516,0.07742,13117184000.0
2021-08-23 06:00:00,0.07711,0.07845,0.0761,0.07801,9769920000.0
2021-08-23 07:00:00,0.07801,0.07945,0.07725,0.07795,6943365000.0
2021-08-23 08:00:00,0.07795,0.07886,0.07622,0.0776,8641172000.0
2021-08-23 09:00:00,0.0776,0.07895,0.0773,0.07845,5978684000.0
2021-08-23 10:00:00,0.0785,0.0786,0.07705,0.07778,5058083000.0
2021-08-23 11:00:00,0.07781,0.07835,0.07675,0.07746,7372561000.0
2021-08-23 12:00:00,0.0774,0.07783,0.07675,0.07708,7080402000.0
2021-08-23 13:00:00,0.07708,0.07801,0.07708,0.07799,5375022000.0
2021-08-23 14:00:00,0.07799,0.07953,0.07772,0.07787,12995936000.0
2021-08-23 15:00:00,0.07787,0.079,0.07726,0.07799,5330334000.0
2021-08-23 16:00:00,0.07798,0.07879,0.077,0.0776,6819278000.0
2021-08-23 17:00:00,0.07744,0.07839,0.07716,0.07818,4845638000.0
2021-08-23 18:00:00,0.07816,0.07825,0.07715,0.07737,4180427000.0
2021-08-23 19:00:00,0.07731,0.07845,0.07585,0.07668,8327645000.0
2021-08-23 20:00:00,0.0767,0.07783,0.0765,0.07678,3691129000.0
2021-08-23 21:00:00,0.07676,0.07708,0.07623,0.07665,2672033000.0
2021-08-23 22:00:00,0.07664,0.07697,0.07617,0.07663,2647768000.0
2021-08-23 23:00:00,0.07663,0.07729,0.07627,0.07679,2485443000.0
2021-08-24 00:00:00,0.0768,0.0775,0.07663,0.07719,2809450000.0
2021-08-24 01:00:00,0.07719,0.07905,0.0769,0.0781,3157445000.0
2021-08-24 02:00:00,0.07808,0.0781,0.07505,0.07604,7802057000.0
2021-08-24 03:00:00,0.07606,0.07679,0.07406,0.07495,5579593000.0
2021-08-24 04:00:00,0.07493,0.08175,0.07469,0.08,15173926000.0
2021-08-24 05:00:00,0.07996,0.08998,0.07859,0.088,57680775000.0
2021-08-24 06:00:00,0.08792,0.08793,0.0815,0.08239,28112672000.0
2021-08-24 07:00:00,0.08239,0.08555,0.08078,0.08108,12669583000.0
2021-08-24 08:00:00,0.08108,0.08254,0.0798,0.08241,11089784000.0
2021-08-24 09:00:00,0.08239,0.08537,0.08044,0.08184,13785832000.0
2021-08-24 10:00:00,0.08159,0.0835,0.08119,0.08327,5242811000.0
2021-08-24 11:00:00,0.08341,0.10254,0.08316,0.0952,154166647000.0
2021-08-24 12:00:00,0.09524,0.09865,0.08955,0.0934,98221662000.0
2021-08-24 13:00:00,0.09328,0.09679,0.0906,0.0921,39015301000.0
2021-08-24 14:00:00,0.09212,0.09349,0.0866,0.08856,40501298000.0
2021-08-24 15:00:00,0.08842,0.08995,0.08501,0.08717,28311135000.0
2021-08-24 16:00:00,0.08696,0.08716,0.08258,0.08358,25477535000.0
2021-08-24 17:00:00,0.08369,0.09199,0.08346,0.08546,46275581000.0
2021-08-24 18:00:00,0.08542,0.08612,0.07958,0.08092,18793410000.0
2021-08-24 19:00:00,0.08092,0.08306,0.07973,0.07992,12791556000.0
2021-08-24 20:00:00,0.0797,0.08218,0.07812,0.08167,13650517000.0
2021-08-24 21:00:00,0.08167,0.08624,0.0806,0.08207,26603710000.0
2021-08-24 22:00:00,0.082,0.08231,0.07898,0.08088,9296731000.0
2021-08-24 23:00:00,0.08095,0.0899,0.08081,0.0871,31802066000.0
2021-08-25 00:00:00,0.08743,0.08861,0.08291,0.08726,18641373000.0
2021-08-25 01:00:00,0.08702,0.0874,0.08239,0.08366,7552887000.0
2021-08-25 02:00:00,0.08366,0.08424,0.08049,0.08189,7608153000.0
