,Open,High,Low,Close,Volume
2021-04-23 11:00:00,35.51,45.0,33.451,34.802,194596020.0
2021-04-23 12:00:00,34.802,37.335,33.57,33.777,42158375.0
2021-04-23 13:00:00,33.777,41.832,33.51,40.883,60274667.0
2021-04-23 14:00:00,40.885,41.5,36.0,38.41,46907113.0
2021-04-23 15:00:00,38.312,39.0,35.6,36.02,26325532.0
2021-04-23 16:00:00,36.387,38.09,35.7,37.75,16834961.0
2021-04-23 17:00:00,37.502,43.802,36.623,38.207,89515548.0
2021-04-23 18:00:00,38.206,45.8,37.482,45.415,103816125.0
2021-04-23 19:00:00,45.421,59.0,45.42,47.259,425543763.0
2021-04-23 20:00:00,47.252,48.861,44.106,44.218,121092200.0
2021-04-23 21:00:00,44.218,52.767,44.151,48.9,195881463.0
2021-04-23 22:00:00,48.8,49.0,45.45,47.761,110882302.0
2021-04-23 23:00:00,47.504,53.872,45.96,49.04,154775427.0
2021-04-24 00:00:00,49.04,52.215,46.901,47.978,165531746.0
2021-04-24 01:00:00,47.96,48.349,44.5,45.145,96683874.0
2021-04-24 02:00:00,45.146,45.998,40.553,42.761,99866801.0
2021-04-24 03:00:00,42.557,44.99,42.148,43.377,52809024.0
2021-04-24 04:00:00,43.368,43.73,41.0,41.296,34290641.0
2021-04-24 05:00:00,41.418,45.285,41.399,43.291,40596890.0
2021-04-24 06:00:00,43.207,44.0,41.444,42.199,36332706.0
2021-04-24 07:00:00,42.199,42.935,40.8,41.0,34566564.0
2021-04-24 08:00:00,41.066,42.824,40.0,40.506,42791292.0
2021-04-24 09:00:00,40.51,40.951,37.88,38.498,67793424.0
2021-04-24 10:00:00,38.463,41.031,37.469,40.758,70642639.0
2021-04-24 11:00:00,40.848,42.0,38.437,39.391,39724928.0
2021-04-24 12:00:00,39.523,39.538,37.516,38.079,40695160.0
2021-04-24 13:00:00,38.076,39.253,36.816,38.401,47912150.0
2021-04-24 14:00:00,38.29,40.517,37.7,40.2,21819771.0
2021-04-24 15:00:00,40.252,42.196,39.051,42.194,30295874.0
2021-04-24 16:00:00,42.197,44.0,40.68,43.0,66520599.0
2021-04-24 17:00:00,42.723,43.5,40.0,40.74,40190865.0
2021-04-24 18:00:00,40.623,40.624,37.999,38.777,41999351.0
2021-04-24 19:00:00,38.776,40.008,38.313,40.008,26977058.0
