,Open,High,Low,Close,Volume
2019-06-11 06:00:00,0.0359,0.045,0.03,0.0388,263717825100.0
2019-06-11 07:00:00,0.03877,0.04,0.0364,0.03659,64533609000.0
2019-06-11 08:00:00,0.03658,0.03842,0.03575,0.03785,52198347200.0
2019-06-11 09:00:00,0.03786,0.03897,0.0373,0.03838,23464091000.0
2019-06-11 10:00:00,0.03838,0.0384,0.037,0.0375,18949756500.0
2019-06-11 11:00:00,0.03753,0.03775,0.0365,0.03704,15848028800.0
2019-06-11 12:00:00,0.03704,0.03717,0.03516,0.0363,30423885100.0
2019-06-11 13:00:00,0.0363,0.0363,0.03393,0.03616,38628617600.0
2019-06-11 14:00:00,0.03616,0.03631,0.0343,0.0344,28239523900.0
2019-06-11 15:00:00,0.03438,0.0359,0.0343,0.03542,18653598400.0
2019-06-11 16:00:00,0.03548,0.0373,0.0353,0.03712,34697969400.0
2019-06-11 17:00:00,0.03713,0.0375,0.03591,0.03655,27589126500.0
2019-06-11 18:00:00,0.03655,0.03683,0.03498,0.03674,21394789500.0
2019-06-11 19:00:00,0.03675,0.0371,0.03517,0.03584,19283573000.0
2019-06-11 20:00:00,0.03586,0.03587,0.03473,0.03513,10316301900.0
2019-06-11 21:00:00,0.03518,0.03568,0.03485,0.03502,9811332800.0
2019-06-11 22:00:00,0.035,0.035,0.03256,0.03325,42639239200.0
2019-06-11 23:00:00,0.03323,0.0337,0.03295,0.03356,14359944700.0
2019-06-12 00:00:00,0.03355,0.03378,0.03197,0.03246,20419830500.0
2019-06-12 01:00:00,0.0325,0.03292,0.03217,0.0324,12073384500.0
2019-06-12 02:00:00,0.03235,0.03321,0.0321,0.03297,17758319500.0
2019-06-12 03:00:00,0.03281,0.033,0.03217,0.03231,9711429000.0
2019-06-12 04:00:00,0.03231,0.03232,0.0311,0.03129,17515400900.0
2019-06-12 05:00:00,0.0313,0.0319,0.0308,0.03153,16954954700.0
2019-06-12 06:00:00,0.03155,0.03284,0.03155,0.03266,18928867800.0
2019-06-12 07:00:00,0.03269,0.0329,0.03172,0.03181,13749839400.0
2019-06-12 08:00:00,0.03183,0.03243,0.0317,0.03181,7486054700.0
2019-06-12 09:00:00,0.03181,0.0325,0.0317,0.03235,11608753900.0
2019-06-12 10:00:00,0.03235,0.03366,0.03232,0.03295,21277403600.0
2019-06-12 11:00:00,0.03293,0.0334,0.03274,0.03321,9021993500.0
2019-06-12 12:00:00,0.0332,0.03353,0.03122,0.03194,22973168900.0
2019-06-12 13:00:00,0.03194,0.03222,0.03171,0.03193,8032915900.0
2019-06-12 14:00:00,0.03194,0.032,0.03115,0.03139,9626714400.0
2019-06-12 15:00:00,0.03139,0.03215,0.03139,0.03208,5379779400.0
2019-06-12 16:00:00,0.03208,0.03208,0.03131,0.03155,8523797800.000001
2019-06-12 17:00:00,0.03157,0.03217,0.03139,0.03207,11049207100.0
2019-06-12 18:00:00,0.03207,0.0333,0.03186,0.03305,17419341700.0
2019-06-12 19:00:00,0.03303,0.03329,0.03237,0.03245,17697896600.0
2019-06-12 20:00:00,0.03245,0.03314,0.03245,0.03287,3984794900.0
2019-06-12 21:00:00,0.03289,0.03305,0.03256,0.03281,3678275700.0
2019-06-12 22:00:00,0.03279,0.03279,0.03173,0.03183,9694445400.0
2019-06-12 23:00:00,0.0318,0.03275,0.03152,0.03271,8274314400.0
2019-06-13 00:00:00,0.03265,0.03273,0.03217,0.03247,3319104600.0
2019-06-13 01:00:00,0.03248,0.03279,0.0321,0.03218,5226244500.0
2019-06-13 02:00:00,0.0322,0.0337,0.03216,0.03292,11906042500.0
2019-06-13 03:00:00,0.03292,0.03356,0.0326,0.03329,5182081900.0
2019-06-13 04:00:00,0.03329,0.03499,0.0328,0.03447,16752724800.0
2019-06-13 05:00:00,0.03448,0.0355,0.0341,0.03472,45738783900.0
2019-06-13 06:00:00,0.03478,0.03478,0.03361,0.03424,16983745700.0
2019-06-13 07:00:00,0.03421,0.036,0.03385,0.03419,29093389800.0
2019-06-13 08:00:00,0.03413,0.03535,0.03412,0.03503,10299728400.0
2019-06-13 09:00:00,0.03511,0.03592,0.03451,0.03472,17462697700.0
2019-06-13 10:00:00,0.03472,0.0351,0.03421,0.03442,8964725100.0
2019-06-13 11:00:00,0.03442,0.03443,0.03246,0.03303,42062719900.0
2019-06-13 12:00:00,0.03297,0.03328,0.0323,0.03294,12975478700.0
2019-06-13 13:00:00,0.03292,0.03346,0.03275,0.0333,4760204100.0
2019-06-13 14:00:00,0.03338,0.03338,0.03212,0.03235,12182577800.0
2019-06-13 15:00:00,0.03235,0.03282,0.03218,0.03222,8786343000.0
2019-06-13 16:00:00,0.03223,0.03323,0.03222,0.0327,5965083300.0
2019-06-13 17:00:00,0.0327,0.03302,0.03231,0.03288,6306848500.0
2019-06-13 18:00:00,0.0329,0.03293,0.03261,0.03262,2204290500.0
2019-06-13 19:00:00,0.03274,0.03281,0.03045,0.031,29132232600.0
2019-06-13 20:00:00,0.031,0.03129,0.03011,0.03063,25365541400.0
2019-06-13 21:00:00,0.03069,0.03101,0.0303,0.03048,9771612800.0
2019-06-13 22:00:00,0.03053,0.03099,0.03031,0.03076,6781439800.0
2019-06-13 23:00:00,0.03074,0.03097,0.03009,0.0301,6427843300.0
2019-06-14 00:00:00,0.03024,0.03083,0.02932,0.0304,24796354700.0
2019-06-14 01:00:00,0.03046,0.03046,0.03005,0.03009,5114494000.0
2019-06-14 02:00:00,0.03015,0.03015,0.0296,0.02994,5008774600.0
2019-06-14 03:00:00,0.02998,0.03,0.0296,0.02973,4963734000.0
2019-06-14 04:00:00,0.02967,0.0309,0.02965,0.03064,9066279700.0
2019-06-14 05:00:00,0.03061,0.03108,0.03031,0.03077,10616421800.0
2019-06-14 06:00:00,0.03077,0.03077,0.02904,0.0296,13528382500.0
2019-06-14 07:00:00,0.02961,0.02982,0.02918,0.02928,5533369500.0
2019-06-14 08:00:00,0.02925,0.02969,0.02903,0.02957,3372249800.0
2019-06-14 09:00:00,0.02957,0.02969,0.02927,0.02929,3273079000.0
2019-06-14 10:00:00,0.02931,0.02946,0.02861,0.02873,13156423400.0
2019-06-14 11:00:00,0.02873,0.02931,0.0285,0.02878,8022590100.0
2019-06-14 12:00:00,0.02886,0.02888,0.02762,0.0278,17293256400.0
2019-06-14 13:00:00,0.02787,0.0279,0.02666,0.02687,14552403000.0
2019-06-14 14:00:00,0.02688,0.0281,0.0265,0.02763,20769647500.0
2019-06-14 15:00:00,0.0277,0.02819,0.02587,0.02624,17212627100.0
2019-06-14 16:00:00,0.02615,0.02689,0.02597,0.02656,8806066700.0
2019-06-14 17:00:00,0.02659,0.02689,0.02587,0.02629,7431458600.0
2019-06-14 18:00:00,0.02629,0.02638,0.02529,0.02612,15420935800.0
2019-06-14 19:00:00,0.02623,0.02768,0.02582,0.02767,8645489500.0
2019-06-14 20:00:00,0.02767,0.02775,0.02656,0.02747,8531922300.000001
2019-06-14 21:00:00,0.02767,0.02898,0.02744,0.02797,15075557100.0
2019-06-14 22:00:00,0.02798,0.02812,0.02731,0.02769,8752827400.0
2019-06-14 23:00:00,0.02766,0.02791,0.02705,0.02711,5974532200.0
2019-06-15 00:00:00,0.02722,0.0273,0.02664,0.02707,3467549600.0
2019-06-15 01:00:00,0.02696,0.02745,0.02676,0.02737,3389660600.0
2019-06-15 02:00:00,0.02737,0.02847,0.02724,0.028,5541903400.0
2019-06-15 03:00:00,0.028,0.02805,0.02751,0.0277,6473107100.0
2019-06-15 04:00:00,0.0277,0.0281,0.0277,0.02774,2052209500.0
2019-06-15 05:00:00,0.02776,0.02812,0.02774,0.02792,2029609100.0
2019-06-15 06:00:00,0.02792,0.02922,0.02792,0.02878,6891317900.0
2019-06-15 07:00:00,0.02878,0.02881,0.02775,0.02783,5316565900.0
2019-06-15 08:00:00,0.02791,0.0286,0.02781,0.02796,3423136800.0
2019-06-15 09:00:00,0.028,0.0288,0.02793,0.0284,4646775000.0
2019-06-15 10:00:00,0.02836,0.0284,0.02813,0.0283,1077742900.0
2019-06-15 11:00:00,0.0283,0.02888,0.02816,0.02872,2343275100.0
2019-06-15 12:00:00,0.02872,0.03006,0.02872,0.02959,13313956500.0
2019-06-15 13:00:00,0.02959,0.0298,0.02884,0.02939,5306738400.0
2019-06-15 14:00:00,0.02939,0.02975,0.02904,0.02924,5387497000.0
2019-06-15 15:00:00,0.02916,0.02956,0.02886,0.02951,5286527300.0
