,Open,High,Low,Close,Volume
2019-12-20 04:00:00,1.94,2.218,1.94,2.172,335390566.0
2019-12-20 05:00:00,2.171,2.187,2.167,2.171,86430754.0
2019-12-20 06:00:00,2.171,2.172,2.168,2.17,68538569.0
2019-12-20 07:00:00,2.17,2.172,2.138,2.138,232794023.0
2019-12-20 08:00:00,2.139,2.142,2.138,2.142,126980607.0
2019-12-20 09:00:00,2.141,2.152,2.138,2.148,202036791.0
2019-12-20 10:00:00,2.148,2.149,2.145,2.148,34381389.0
2019-12-20 11:00:00,2.149,2.149,2.145,2.145,602416.0
2019-12-20 12:00:00,2.147,2.147,2.142,2.142,26698656.0
2019-12-20 13:00:00,2.144,2.153,2.144,2.144,7252385.0
2019-12-20 14:00:00,2.144,2.151,2.144,2.151,547178.0
2019-12-20 15:00:00,2.142,2.146,2.14,2.146,4935522.0
2019-12-20 16:00:00,2.146,2.151,2.09,2.141,15589885.0
2019-12-20 17:00:00,2.142,2.142,2.138,2.142,3220967.0
2019-12-20 18:00:00,2.14,2.148,2.139,2.148,6351249.0
2019-12-20 19:00:00,2.153,2.157,2.14,2.153,7425144.0
2019-12-20 20:00:00,2.154,2.157,2.153,2.155,1626331.0
2019-12-20 21:00:00,2.161,2.162,2.159,2.159,774124.0
2019-12-20 22:00:00,2.163,2.163,2.155,2.155,5099368.0
2019-12-20 23:00:00,2.154,2.159,2.15,2.156,1719673.0
2019-12-21 00:00:00,2.154,2.155,2.151,2.155,602519.0
2019-12-21 01:00:00,2.153,2.154,2.148,2.148,1977169.0
2019-12-21 02:00:00,2.148,2.149,2.145,2.145,970588.0
2019-12-21 03:00:00,2.146,2.15,2.146,2.148,1625726.0
2019-12-21 04:00:00,2.147,2.147,2.145,2.145,718447.0
2019-12-21 05:00:00,2.147,2.15,2.142,2.142,2034022.0
2019-12-21 06:00:00,2.141,2.146,2.141,2.145,484036.0
2019-12-21 07:00:00,2.144,2.144,2.142,2.142,428661.0
2019-12-21 08:00:00,2.138,2.139,2.137,2.139,19615510.0
2019-12-21 09:00:00,2.139,2.139,2.137,2.138,492321.0
2019-12-21 10:00:00,2.138,2.139,2.137,2.139,1179409.0
2019-12-21 11:00:00,2.14,2.14,2.137,2.138,693528.0
2019-12-21 12:00:00,2.14,2.14,2.14,2.14,133720.0
2019-12-21 13:00:00,2.138,2.14,2.137,2.14,1326472.0
2019-12-21 14:00:00,2.14,2.14,2.136,2.139,29137848.0
2019-12-21 15:00:00,2.14,2.141,2.138,2.138,4542838.0
2019-12-21 16:00:00,2.14,2.14,2.138,2.138,313999.0
2019-12-21 17:00:00,2.14,2.14,2.14,2.14,500000.0
2019-12-21 18:00:00,2.14,2.15,2.138,2.15,8489518.0
2019-12-21 19:00:00,2.151,2.151,2.151,2.151,16270.0
2019-12-21 20:00:00,2.148,2.148,2.148,2.148,51249.0
2019-12-21 21:00:00,2.149,2.149,2.149,2.149,1594256.0
2019-12-21 22:00:00,2.151,2.157,2.147,2.15,33819432.0
2019-12-21 23:00:00,2.147,2.149,2.146,2.149,1034702.0
2019-12-22 00:00:00,2.149,2.149,2.147,2.149,1094400.0
2019-12-22 01:00:00,2.146,2.148,2.145,2.148,3110582.0
2019-12-22 02:00:00,2.149,2.149,2.149,2.149,10638870.0
2019-12-22 03:00:00,2.149,2.149,2.147,2.147,2024091.0
2019-12-22 04:00:00,2.147,2.148,2.147,2.148,9079608.0
2019-12-22 05:00:00,2.148,2.148,2.146,2.146,1919136.0
2019-12-22 06:00:00,2.141,2.141,2.137,2.14,131249782.0
2019-12-22 07:00:00,2.14,2.142,2.14,2.141,75656050.0
2019-12-22 08:00:00,2.14,2.15,2.14,2.15,59650256.0
2019-12-22 09:00:00,2.152,2.154,2.14,2.142,22183322.0
2019-12-22 10:00:00,2.143,2.145,2.143,2.145,29699370.0
2019-12-22 11:00:00,2.145,2.148,2.143,2.145,26412971.0
2019-12-22 12:00:00,2.146,2.151,2.141,2.142,75632983.0
2019-12-22 13:00:00,2.142,2.158,2.142,2.157,71675380.0
2019-12-22 14:00:00,2.159,2.162,2.153,2.156,66471439.0
2019-12-22 15:00:00,2.156,2.173,2.14,2.163,90794872.0
2019-12-22 16:00:00,2.167,2.177,2.167,2.177,52372430.0
2019-12-22 17:00:00,2.175,2.195,2.171,2.187,101121557.0
2019-12-22 18:00:00,2.189,2.23,2.188,2.202,128074422.0
2019-12-22 19:00:00,2.201,2.236,2.201,2.228,32006575.0
2019-12-22 20:00:00,2.229,2.246,2.218,2.228,95740410.0
2019-12-22 21:00:00,2.228,2.247,2.228,2.237,60485758.0
2019-12-22 22:00:00,2.236,2.238,2.228,2.236,49252165.0
2019-12-22 23:00:00,2.233,2.235,2.223,2.229,55547329.0
2019-12-23 00:00:00,2.237,2.275,2.237,2.275,73440533.0
2019-12-23 01:00:00,2.277,2.303,2.253,2.258,196891632.0
2019-12-23 02:00:00,2.257,2.282,2.256,2.276,180021360.0
2019-12-23 03:00:00,2.276,2.282,2.258,2.261,418294056.0
2019-12-23 04:00:00,2.263,2.272,2.262,2.272,168716068.0
2019-12-23 05:00:00,2.271,2.271,2.259,2.262,51255993.0
