,Open,High,Low,Close,Volume
2021-08-20 12:00:00,1.982,2.4,1.982,2.178,2398737700.0
2021-08-20 13:00:00,2.178,2.255,2.17,2.183,490434200.0
2021-08-20 14:00:00,2.184,2.245,2.17,2.177,174329800.0
2021-08-20 15:00:00,2.179,2.199,2.153,2.174,256555600.0
2021-08-20 16:00:00,2.174,2.176,2.16,2.165,134218500.0
2021-08-20 17:00:00,2.165,2.172,2.135,2.154,167659200.0
2021-08-20 18:00:00,2.162,2.165,2.14,2.153,136278600.0
2021-08-20 19:00:00,2.153,2.21,2.12,2.151,66299800.0
2021-08-20 20:00:00,2.15,2.18,2.137,2.15,60559000.0
2021-08-20 21:00:00,2.149,2.204,2.147,2.163,68837300.0
2021-08-20 22:00:00,2.163,2.194,2.14,2.157,27995000.0
2021-08-20 23:00:00,2.169,2.205,2.129,2.165,53937800.0
2021-08-21 00:00:00,2.171,2.175,2.126,2.157,48032000.0
2021-08-21 01:00:00,2.157,2.166,2.132,2.15,40171000.0
2021-08-21 02:00:00,2.15,2.175,2.137,2.142,36417100.0
2021-08-21 03:00:00,2.141,2.17,2.141,2.152,55218300.0
2021-08-21 04:00:00,2.152,2.2,2.144,2.146,35670100.0
2021-08-21 05:00:00,2.146,2.205,2.145,2.161,59203200.0
2021-08-21 06:00:00,2.161,2.2,2.154,2.177,61739000.0
2021-08-21 07:00:00,2.176,2.197,2.159,2.171,96190800.0
2021-08-21 08:00:00,2.163,2.174,2.14,2.14,54916400.0
2021-08-21 09:00:00,2.142,2.175,2.138,2.153,44346300.0
2021-08-21 10:00:00,2.153,2.168,2.118,2.142,61421500.0
2021-08-21 11:00:00,2.142,2.15,2.121,2.14,87236400.0
2021-08-21 12:00:00,2.138,2.143,2.12,2.129,62057500.0
2021-08-21 13:00:00,2.128,2.137,2.121,2.124,92491900.0
2021-08-21 14:00:00,2.124,2.135,2.115,2.135,61813800.0
2021-08-21 15:00:00,2.136,2.162,2.106,2.123,146122500.0
