,Open,High,Low,Close,Volume
2022-01-11 17:00:00,0.25,51.0,0.25,14.1725,3181934000.0
2022-01-11 18:00:00,14.1726,15.2545,13.51,14.4877,1379386100.0
2022-01-11 19:00:00,14.4874,14.5544,13.7,13.962,498899000.0
2022-01-11 20:00:00,13.9635,15.58,13.9,15.099,917853100.0
2022-01-11 21:00:00,15.0996,15.0996,13.9286,14.3418,573261300.0
2022-01-11 22:00:00,14.319,14.35,13.3,13.5619,401538300.0
2022-01-11 23:00:00,13.562,13.5767,12.085,12.3798,682005000.0
2022-01-12 00:00:00,12.3524,12.5498,11.768,11.9991,536787500.0
2022-01-12 01:00:00,11.9709,12.743,11.3,12.3019,611637000.0
2022-01-12 02:00:00,12.3249,12.4,9.3848,9.7567,1188958600.0
2022-01-12 03:00:00,9.7354,10.0745,9.22,9.7508,1016100600.0
2022-01-12 04:00:00,9.7637,9.8283,8.63,8.8331,900763500.0
2022-01-12 05:00:00,8.8598,9.2143,8.4438,8.81,1206982000.0
2022-01-12 06:00:00,8.816,9.1,8.3233,8.4301,749784200.0
2022-01-12 07:00:00,8.4364,9.0705,8.4121,8.8521,681416400.0
2022-01-12 08:00:00,8.8521,9.6695,8.6,9.5,1099236600.0
2022-01-12 09:00:00,9.4991,9.8666,8.65,8.831,1612303200.0
2022-01-12 10:00:00,8.8311,9.1707,8.6605,9.0595,668216400.0
2022-01-12 11:00:00,9.0575,9.0771,8.45,8.6573,670846700.0
2022-01-12 12:00:00,8.6566,8.88,8.5,8.6558,437643900.0
2022-01-12 13:00:00,8.6654,9.4813,8.6558,9.2252,903749500.0
2022-01-12 14:00:00,9.2236,9.691,8.9,9.0252,1445069900.0
2022-01-12 15:00:00,9.0272,9.15,8.75,8.7874,684272100.0
2022-01-12 16:00:00,8.7855,8.9444,8.58,8.7807,561006300.0
2022-01-12 17:00:00,8.7808,8.8571,8.4,8.6941,667034600.0
2022-01-12 18:00:00,8.7005,8.9,8.623,8.7976,354745700.0
2022-01-12 19:00:00,8.7976,9.2946,8.79,9.1386,762692800.0
2022-01-12 20:00:00,9.1386,9.448,8.9522,9.448,447448300.0
2022-01-12 21:00:00,9.448,9.448,8.7464,9.1208,592073300.0
2022-01-12 22:00:00,9.1208,9.14,8.9851,9.0342,211324900.0
2022-01-12 23:00:00,9.0392,9.3,8.8441,8.9388,264745599.99999997
2022-01-13 00:00:00,8.9326,9.0093,8.7126,8.9508,153758500.0
2022-01-13 01:00:00,8.9507,9.0899,8.6331,8.7101,225830900.0
2022-01-13 02:00:00,8.7101,8.9,8.53,8.6204,163268000.0
2022-01-13 03:00:00,8.6213,8.7921,8.589,8.6826,143700000.0
2022-01-13 04:00:00,8.689,8.9,8.6019,8.8794,128086600.0
2022-01-13 05:00:00,8.8755,9.0769,8.6769,8.6963,194505600.0
2022-01-13 06:00:00,8.6907,8.9,8.6503,8.7738,161658000.0
2022-01-13 07:00:00,8.7632,8.7899,8.6,8.7189,156569200.0
2022-01-13 08:00:00,8.7187,8.8,8.6761,8.7091,114325800.0
2022-01-13 09:00:00,8.7091,9.01,8.69,9.0096,188306200.0
2022-01-13 10:00:00,9.0098,9.4594,8.8847,9.3424,817327700.0
2022-01-13 11:00:00,9.3458,9.48,8.9901,9.1701,621967900.0
2022-01-13 12:00:00,9.1785,9.2215,9.01,9.1195,242498000.0
2022-01-13 13:00:00,9.1114,11.27,9.0848,10.8047,2564641300.0
2022-01-13 14:00:00,10.826,14.2564,10.8105,12.874,5634284000.0
2022-01-13 15:00:00,12.8733,13.1328,12.11,12.7264,2465719400.0
2022-01-13 16:00:00,12.7123,13.16,12.3,12.9566,1734432500.0
2022-01-13 17:00:00,12.9488,14.59,12.8545,13.9367,3528915300.0
2022-01-13 18:00:00,13.9367,14.487,13.1844,13.7823,1676338600.0
2022-01-13 19:00:00,13.7814,13.8,12.4522,12.605,962022900.0
2022-01-13 20:00:00,12.6053,13.38,12.1429,12.7633,1248566400.0
2022-01-13 21:00:00,12.7338,13.2218,12.555,12.7483,783620300.0
2022-01-13 22:00:00,12.7483,13.2801,12.5,12.52,822657100.0
2022-01-13 23:00:00,12.52,12.6851,11.8433,11.92,556410300.0
2022-01-14 00:00:00,11.92,12.17,11.4259,11.574,758393400.0
2022-01-14 01:00:00,11.5701,12.3865,11.2433,12.2915,713535700.0
2022-01-14 02:00:00,12.2915,12.88,11.8392,12.3898,817645800.0
2022-01-14 03:00:00,12.3581,12.5204,11.9176,12.1482,546704800.0
2022-01-14 04:00:00,12.1499,12.6862,12.0638,12.4732,385404900.0
2022-01-14 05:00:00,12.4652,13.4691,12.4649,13.397,675445000.0
2022-01-14 06:00:00,13.3798,14.0782,13.1315,13.3006,1056853800.0
2022-01-14 07:00:00,13.3007,13.5809,12.9166,13.2277,639810800.0
2022-01-14 08:00:00,13.2294,14.1103,13.2209,13.7378,792493200.0
2022-01-14 09:00:00,13.7378,13.8446,12.91,13.1035,744867100.0
2022-01-14 10:00:00,13.1036,13.733,13.08,13.289,618796300.0
2022-01-14 11:00:00,13.289,14.786,13.2829,14.2701,1505534100.0
2022-01-14 12:00:00,14.2701,14.99,13.6188,14.3898,1919615300.0
2022-01-14 13:00:00,14.39,15.97,14.3798,14.8806,2820527000.0
2022-01-14 14:00:00,14.8874,15.1835,14.1037,14.5039,1146931200.0
2022-01-14 15:00:00,14.5073,14.6627,13.8425,14.4301,901493100.0
2022-01-14 16:00:00,14.4301,14.7,13.938,14.1201,567315800.0
2022-01-14 17:00:00,14.125,14.3092,13.3694,13.4265,538301000.0
2022-01-14 18:00:00,13.4276,14.33,13.4276,14.0109,559956800.0
2022-01-14 19:00:00,14.011,14.68,14.0,14.4957,455092100.0
2022-01-14 20:00:00,14.4957,14.5688,13.8438,14.0845,283754600.0
2022-01-14 21:00:00,14.0988,14.35,13.9325,14.0,208106900.0
2022-01-14 22:00:00,14.0001,14.1,13.451,13.7552,285322200.0
2022-01-14 23:00:00,13.7552,13.9,13.4532,13.5404,214993900.0
2022-01-15 00:00:00,13.5404,13.6216,13.1282,13.3751,299128100.0
2022-01-15 01:00:00,13.3673,13.8513,13.1,13.1,381459500.0
2022-01-15 02:00:00,13.1065,13.113,12.3855,12.6519,524669699.99999994
2022-01-15 03:00:00,12.6518,12.94,12.48,12.9369,277157500.0
2022-01-15 04:00:00,12.9369,13.297,12.7887,13.2418,248513700.0
2022-01-15 05:00:00,13.2446,13.2468,12.7411,13.0041,192441900.0
2022-01-15 06:00:00,13.0045,13.5528,12.93,13.54,272064900.0
2022-01-15 07:00:00,13.54,14.279,13.41,14.0892,449608200.0
2022-01-15 08:00:00,14.089,14.0998,13.629,13.8508,262056300.0
2022-01-15 09:00:00,13.8581,13.8581,13.1995,13.545,374623900.0
2022-01-15 10:00:00,13.5401,13.99,13.5252,13.6667,265024900.00000003
2022-01-15 11:00:00,13.67,13.9114,13.551,13.6932,201761800.0
2022-01-15 12:00:00,13.6923,13.98,13.6099,13.8164,220661900.0
2022-01-15 13:00:00,13.8163,13.8484,12.99,13.281,491480000.0
2022-01-15 14:00:00,13.281,13.3773,12.99,13.0973,339771900.0
2022-01-15 15:00:00,13.0994,13.1668,12.8,12.85,238838100.0
2022-01-15 16:00:00,12.85,13.1741,12.6,13.1157,370269500.0
2022-01-15 17:00:00,13.1157,13.1791,12.71,12.9057,246033600.0
2022-01-15 18:00:00,12.9057,12.9058,12.53,12.7926,334310200.0
2022-01-15 19:00:00,12.789,13.1128,12.6286,13.0,243948900.0
2022-01-15 20:00:00,12.979,13.44,12.91,13.09,318894300.0
2022-01-15 21:00:00,13.09,13.1998,12.7883,12.8143,162292200.0
2022-01-15 22:00:00,12.8152,12.8457,12.7401,12.84,107812200.0
2022-01-15 23:00:00,12.8401,12.97,12.5994,12.6175,165444500.0
2022-01-16 00:00:00,12.6196,12.7295,12.6196,12.6221,56385900.0
2022-01-16 01:00:00,12.6303,12.7948,12.5,12.5622,156870500.0
2022-01-16 02:00:00,12.5622,12.8278,12.5,12.7378,178511700.0
2022-01-16 03:00:00,12.7269,12.7269,12.57,12.5839,94577900.0
2022-01-16 04:00:00,12.5818,12.5875,12.12,12.15,287034800.0
2022-01-16 05:00:00,12.15,12.2248,11.5,12.1129,529149100.0
2022-01-16 06:00:00,12.1208,12.1474,11.719,12.0797,244806200.0
2022-01-16 07:00:00,12.0797,12.2521,11.71,11.7828,241599000.0
2022-01-16 08:00:00,11.7706,11.9998,11.7706,11.8977,144280200.0
2022-01-16 09:00:00,11.8977,11.9212,11.5166,11.533,220072200.0
2022-01-16 10:00:00,11.55,11.85,11.537,11.7881,164853500.0
2022-01-16 11:00:00,11.7822,11.7988,11.5001,11.5123,171477900.0
2022-01-16 12:00:00,11.5129,11.93,11.5123,11.8562,266477800.0
2022-01-16 13:00:00,11.85,12.4555,11.85,12.186,485931400.0
2022-01-16 14:00:00,12.186,12.186,11.7,11.8322,272523900.0
2022-01-16 15:00:00,11.8271,12.2,11.7871,12.0444,300463300.0
2022-01-16 16:00:00,12.0444,12.1529,11.9206,12.0694,184858600.0
2022-01-16 17:00:00,12.0662,12.0721,11.6,11.77,210182600.0
2022-01-16 18:00:00,11.771,11.771,11.5601,11.5787,148551100.0
2022-01-16 19:00:00,11.5618,11.786,11.56,11.6958,126209200.0
2022-01-16 20:00:00,11.695,11.6954,11.35,11.3884,222246800.0
2022-01-16 21:00:00,11.3857,11.5698,11.37,11.5353,173386800.0
2022-01-16 22:00:00,11.536,11.5498,11.0172,11.0186,242201100.0
2022-01-16 23:00:00,11.0244,11.0286,10.6529,10.7187,434839300.0
