,Open,High,Low,Close,Volume
2021-08-30 08:00:00,294.9,418.0,294.9,366.8,59037126.0
2021-08-30 09:00:00,366.3,369.3,341.5,347.8,10407418.0
2021-08-30 10:00:00,347.3,358.9,340.0,341.1,7862761.0
2021-08-30 11:00:00,341.1,346.9,324.1,325.7,6911870.0
2021-08-30 12:00:00,326.2,333.5,320.0,326.2,4925084.0
2021-08-30 13:00:00,326.2,335.0,320.2,325.7,3714243.0
2021-08-30 14:00:00,325.6,331.0,310.1,316.1,4942623.0
2021-08-30 15:00:00,316.2,321.2,309.4,311.2,4752351.0
2021-08-30 16:00:00,311.2,320.8,310.1,317.5,3317159.0
2021-08-30 17:00:00,317.3,319.0,305.0,311.2,5420329.0
2021-08-30 18:00:00,312.0,316.0,303.4,309.6,2128404.0
2021-08-30 19:00:00,309.6,329.5,308.5,326.5,3094743.0
2021-08-30 20:00:00,326.5,331.0,305.0,315.2,2879796.0
2021-08-30 21:00:00,315.2,316.1,308.9,311.5,1139884.0
2021-08-30 22:00:00,310.6,320.0,308.0,315.2,1238564.0
2021-08-30 23:00:00,315.6,319.8,310.2,311.6,907852.0
2021-08-31 00:00:00,311.1,317.2,310.1,310.9,604245.0
2021-08-31 01:00:00,312.2,314.1,298.0,309.0,1781942.0
2021-08-31 02:00:00,308.5,308.5,298.0,301.5,1008675.0
2021-08-31 03:00:00,301.5,314.9,297.3,314.7,1726699.0
2021-08-31 04:00:00,314.4,320.1,310.1,311.9,973993.0
2021-08-31 05:00:00,312.8,317.5,310.1,314.6,773945.0
2021-08-31 06:00:00,314.6,316.1,312.0,312.7,754598.0
2021-08-31 07:00:00,313.6,331.0,307.0,313.0,9193605.0
2021-08-31 08:00:00,313.2,313.5,303.6,304.7,1492193.0
2021-08-31 09:00:00,304.7,306.0,300.5,304.0,2969606.0
2021-08-31 10:00:00,304.4,306.3,300.0,303.7,1393839.0
2021-08-31 11:00:00,303.0,304.4,297.3,300.8,1395119.0
2021-08-31 12:00:00,300.7,309.6,297.7,302.7,1587171.0
2021-08-31 13:00:00,302.8,305.9,300.0,305.2,1338802.0
2021-08-31 14:00:00,305.2,305.7,299.4,300.5,1929301.0
2021-08-31 15:00:00,300.5,301.5,297.7,298.6,651928.0
2021-08-31 16:00:00,298.9,302.5,290.4,291.2,1630366.0
2021-08-31 17:00:00,291.1,294.0,287.2,291.5,1222880.0
2021-08-31 18:00:00,291.5,291.5,282.8,282.8,994743.0
2021-08-31 19:00:00,283.1,294.5,280.4,283.8,1492208.0
2021-08-31 20:00:00,283.7,285.0,280.7,283.2,544079.0
2021-08-31 21:00:00,283.5,285.1,280.7,282.1,322674.0
2021-08-31 22:00:00,281.5,292.9,281.0,287.3,906161.0
2021-08-31 23:00:00,287.3,287.6,283.3,283.8,454861.0
2021-09-01 00:00:00,283.4,285.8,283.3,284.2,201027.0
2021-09-01 01:00:00,283.5,285.5,281.0,282.2,582284.0
2021-09-01 02:00:00,282.2,284.4,272.6,272.7,766717.0
2021-09-01 03:00:00,272.7,274.1,267.6,269.1,514707.99999999994
2021-09-01 04:00:00,269.9,274.0,264.5,265.0,747457.0
2021-09-01 05:00:00,265.0,274.5,263.8,271.5,671795.0
2021-09-01 06:00:00,271.0,281.2,269.0,269.9,712535.0
2021-09-01 07:00:00,269.9,275.9,268.4,273.4,789316.0
2021-09-01 08:00:00,274.1,282.8,272.2,274.3,586958.0
2021-09-01 09:00:00,274.2,287.8,273.0,287.7,1277980.0
2021-09-01 10:00:00,287.6,299.0,285.1,291.2,2742171.0
2021-09-01 11:00:00,290.2,305.7,281.5,284.4,4561323.0
2021-09-01 12:00:00,285.0,299.9,281.1,285.4,1824111.0
2021-09-01 13:00:00,284.8,299.0,282.0,287.3,1835688.0
2021-09-01 14:00:00,287.1,295.5,286.0,294.4,683881.0
2021-09-01 15:00:00,294.8,299.8,287.1,293.0,970591.0
2021-09-01 16:00:00,293.2,309.7,286.1,289.0,4213601.0
2021-09-01 17:00:00,289.0,289.7,286.1,287.8,493048.0
2021-09-01 18:00:00,287.7,296.2,287.7,293.4,720026.0
2021-09-01 19:00:00,292.9,293.5,286.0,293.0,666683.0
