,Open,High,Low,Close,Volume
2020-12-17 21:00:00,0.03,0.147,0.03,0.1062,94371186700.0
2020-12-17 22:00:00,0.10631,0.11868,0.097,0.11787,68984792200.0
2020-12-17 23:00:00,0.11786,0.13891,0.11577,0.12846,78922534600.0
2020-12-18 00:00:00,0.12892,0.13371,0.11711,0.12275,39111203900.0
2020-12-18 01:00:00,0.12253,0.14622,0.12253,0.14035,83746362800.0
2020-12-18 02:00:00,0.14033,0.14033,0.1283,0.13591,40661008200.0
2020-12-18 03:00:00,0.13593,0.136,0.12362,0.12674,29018674400.0
2020-12-18 04:00:00,0.12674,0.14619,0.12671,0.14169,59864008600.0
2020-12-18 05:00:00,0.1416,0.173,0.14122,0.16899,93999814600.0
2020-12-18 06:00:00,0.1682,0.194,0.1632,0.17216,110832143500.0
2020-12-18 07:00:00,0.17201,0.19748,0.17,0.19608,69147471100.0
2020-12-18 08:00:00,0.19606,0.19635,0.173,0.17713,51658510000.0
2020-12-18 09:00:00,0.17701,0.1892,0.1684,0.17327,52457461300.0
2020-12-18 10:00:00,0.17327,0.18694,0.1725,0.18551,32268993700.0
2020-12-18 11:00:00,0.18571,0.19,0.17559,0.18042,33242979200.0
2020-12-18 12:00:00,0.18049,0.1928,0.17531,0.19093,36265715300.0
2020-12-18 13:00:00,0.19115,0.24364,0.18823,0.24309,163181967300.0
2020-12-18 14:00:00,0.24309,0.28665,0.22111,0.25858,204748395200.0
2020-12-18 15:00:00,0.25858,0.27161,0.23216,0.25907,192321137300.0
2020-12-18 16:00:00,0.25899,0.28,0.24214,0.25573,105825745900.0
2020-12-18 17:00:00,0.25569,0.25569,0.208,0.23799,157068499800.0
2020-12-18 18:00:00,0.23702,0.26325,0.22268,0.25,97767023100.0
2020-12-18 19:00:00,0.25,0.25451,0.23632,0.25064,54912154900.0
2020-12-18 20:00:00,0.25128,0.26841,0.24511,0.25,71123969000.0
2020-12-18 21:00:00,0.24967,0.253,0.23197,0.23902,48186389700.0
2020-12-18 22:00:00,0.23984,0.258,0.23952,0.25157,36925119400.0
2020-12-18 23:00:00,0.25162,0.265,0.25162,0.25758,36301967300.0
2020-12-19 00:00:00,0.25756,0.26371,0.245,0.26122,36489321700.0
2020-12-19 01:00:00,0.26097,0.276,0.25522,0.2672,54351306800.0
2020-12-19 02:00:00,0.26752,0.3208,0.26301,0.31972,93968964500.0
2020-12-19 03:00:00,0.31973,0.356,0.30014,0.32714,150362755700.0
2020-12-19 04:00:00,0.32775,0.33758,0.305,0.32357,68238283500.0
2020-12-19 05:00:00,0.32388,0.3239,0.28777,0.30531,64773581100.0
2020-12-19 06:00:00,0.30531,0.32555,0.29873,0.32287,58388328400.0
2020-12-19 07:00:00,0.32287,0.325,0.3116,0.31816,33019609000.0
2020-12-19 08:00:00,0.31795,0.33524,0.307,0.33294,43381371000.0
2020-12-19 09:00:00,0.33315,0.38888,0.32366,0.38376,124974889800.0
2020-12-19 10:00:00,0.38345,0.40899,0.35374,0.36949,156908536400.0
2020-12-19 11:00:00,0.36923,0.418,0.363,0.4118,79237548800.0
