,Open,High,Low,Close,Volume
2020-11-06 07:00:00,0.85,6.0,0.55,0.9016,3807402650.0
2020-11-06 08:00:00,0.9016,0.9705,0.7132,0.722,1981108220.0
2020-11-06 09:00:00,0.7324,0.949,0.7,0.8989,768880260.0
2020-11-06 10:00:00,0.9057,1.02,0.8217,0.9046,933779690.0
2020-11-06 11:00:00,0.9106,0.95,0.77,0.88,828887240.0
2020-11-06 12:00:00,0.8791,0.9994,0.8224,0.8461,473427730.0
2020-11-06 13:00:00,0.8461,0.8497,0.7855,0.7907,224805430.0
2020-11-06 14:00:00,0.791,0.855,0.7878,0.82,336153150.0
2020-11-06 15:00:00,0.8201,0.92,0.8108,0.92,609276980.0
2020-11-06 16:00:00,0.9193,1.1,0.8259,0.8399,1130656380.0
2020-11-06 17:00:00,0.84,0.8724,0.8335,0.8417,253269580.0
2020-11-06 18:00:00,0.8419,0.8797,0.8382,0.853,173290490.0
2020-11-06 19:00:00,0.85,0.8588,0.84,0.847,76238910.0
2020-11-06 20:00:00,0.85,0.8551,0.8441,0.8507,39444930.0
2020-11-06 21:00:00,0.8496,0.8743,0.84,0.8547,84344630.0
2020-11-06 22:00:00,0.8456,0.8517,0.8384,0.8417,36496800.0
2020-11-06 23:00:00,0.8417,0.85,0.8156,0.8287,54565670.0
2020-11-07 00:00:00,0.8342,0.865,0.8295,0.844,78282900.0
2020-11-07 01:00:00,0.8454,0.8454,0.823,0.8252,85866110.0
2020-11-07 02:00:00,0.8274,0.8302,0.788,0.8107,142808660.0
2020-11-07 03:00:00,0.8061,0.831,0.8,0.8021,122298010.0
2020-11-07 04:00:00,0.8023,0.8309,0.8023,0.8142,61029220.0
2020-11-07 05:00:00,0.8142,0.8594,0.8115,0.8312,76713660.0
2020-11-07 06:00:00,0.8312,0.8451,0.8025,0.8228,2078929260.0
2020-11-07 07:00:00,0.823,0.83,0.788,0.7954,435128710.0
2020-11-07 08:00:00,0.7955,0.85,0.7927,0.8088,687803170.0
2020-11-07 09:00:00,0.8089,0.82,0.8026,0.81,69144940.0
2020-11-07 10:00:00,0.8101,0.8149,0.8012,0.8072,56427640.0
2020-11-07 11:00:00,0.8089,0.8333,0.7999,0.8231,150923410.0
2020-11-07 12:00:00,0.8232,0.84,0.8101,0.816,65702820.00000001
2020-11-07 13:00:00,0.816,0.8348,0.8129,0.8348,76756550.0
2020-11-07 14:00:00,0.8294,0.8345,0.8033,0.8044,102207350.0
2020-11-07 15:00:00,0.8046,0.8174,0.79,0.7949,182248930.0
2020-11-07 16:00:00,0.7901,0.8112,0.7701,0.7915,115384370.0
2020-11-07 17:00:00,0.79,0.8023,0.785,0.7911,31296230.0
2020-11-07 18:00:00,0.7914,0.7979,0.7853,0.7873,20649520.0
2020-11-07 19:00:00,0.7873,0.789,0.7001,0.7281,127215510.0
2020-11-07 20:00:00,0.7241,0.7324,0.68,0.694,122067010.0
2020-11-07 21:00:00,0.6941,0.7275,0.68,0.7179,64488620.0
2020-11-07 22:00:00,0.717,0.7196,0.7002,0.7005,25034030.0
2020-11-07 23:00:00,0.7009,0.7127,0.7001,0.7071,9189320.0
2020-11-08 00:00:00,0.7083,0.7499,0.6744,0.678,104502470.0
2020-11-08 01:00:00,0.6784,0.6828,0.6591,0.6718,40012700.0
2020-11-08 02:00:00,0.6685,0.714,0.6684,0.6915,470548440.0
2020-11-08 03:00:00,0.6916,0.6958,0.6755,0.6763,23337800.0
2020-11-08 04:00:00,0.6762,0.6869,0.6722,0.6772,21938740.0
2020-11-08 05:00:00,0.6783,0.6873,0.6728,0.6866,21037640.0
2020-11-08 06:00:00,0.6811,0.7433,0.6811,0.7165,54149950.0
2020-11-08 07:00:00,0.7172,0.72,0.69,0.6952,16761150.000000002
2020-11-08 08:00:00,0.699,0.699,0.69,0.6906,32515110.0
2020-11-08 09:00:00,0.6907,0.6981,0.6901,0.6981,16623259.999999998
2020-11-08 10:00:00,0.6922,0.695,0.6806,0.6852,19124600.0
2020-11-08 11:00:00,0.6857,0.7134,0.6817,0.7106,53199610.0
2020-11-08 12:00:00,0.7129,0.7131,0.69,0.6919,26038200.0
2020-11-08 13:00:00,0.6926,0.7026,0.6922,0.7004,18719060.0
2020-11-08 14:00:00,0.7003,0.7125,0.695,0.7001,37253400.0
2020-11-08 15:00:00,0.7006,0.7195,0.7001,0.7133,45535310.0
2020-11-08 16:00:00,0.7137,0.739,0.7133,0.735,60465340.0
2020-11-08 17:00:00,0.7306,0.7354,0.7072,0.7217,56022600.0
2020-11-08 18:00:00,0.7217,0.7288,0.715,0.7201,27417960.0
2020-11-08 19:00:00,0.7203,0.7204,0.7091,0.7165,33889110.0
2020-11-08 20:00:00,0.713,0.713,0.7001,0.7001,47304300.0
2020-11-08 21:00:00,0.7001,0.7039,0.685,0.688,41880820.0
2020-11-08 22:00:00,0.6875,0.6934,0.6711,0.6731,27167620.0
2020-11-08 23:00:00,0.6731,0.6871,0.6731,0.6825,14350570.0
2020-11-09 00:00:00,0.6859,0.69,0.6748,0.6863,29221730.0
2020-11-09 01:00:00,0.6866,0.6991,0.6853,0.6888,19105470.0
2020-11-09 02:00:00,0.6888,0.6888,0.6731,0.6734,45526940.0
2020-11-09 03:00:00,0.6735,0.6761,0.6514,0.6553,45321330.0
2020-11-09 04:00:00,0.6573,0.6624,0.6514,0.6607,22216800.0
2020-11-09 05:00:00,0.6581,0.6581,0.6413,0.6445,34957830.0
2020-11-09 06:00:00,0.6446,0.6498,0.6234,0.6286,62540290.0
2020-11-09 07:00:00,0.6303,0.6485,0.6272,0.6476,51768610.0
2020-11-09 08:00:00,0.6461,0.6461,0.6301,0.6314,88117240.0
2020-11-09 09:00:00,0.6316,0.6397,0.6078,0.6359,536327370.0
2020-11-09 10:00:00,0.634,0.6422,0.6183,0.6203,801853820.0
2020-11-09 11:00:00,0.6208,0.6329,0.6203,0.6297,865427470.0
2020-11-09 12:00:00,0.6304,0.6721,0.6253,0.6655,1124376280.0
2020-11-09 13:00:00,0.6657,0.6685,0.6201,0.6278,1121763010.0
