,Open,High,Low,Close,Volume
2019-09-25 14:00:00,1.57,1.978,1.5,1.5293,730420.0
2019-09-25 15:00:00,1.5544,1.5917,1.5371,1.5551,239720.0
2019-09-25 16:00:00,1.5902,1.6341,1.5418,1.5418,349010.0
2019-09-25 17:00:00,1.5418,1.5418,1.5418,1.5418,0.0
2019-09-25 18:00:00,1.5474,1.5599,1.53,1.5599,2747240.0
2019-09-25 19:00:00,1.5652,1.5652,1.5652,1.5652,79440.0
2019-09-25 20:00:00,1.573,1.573,1.573,1.573,20000.0
2019-09-25 21:00:00,1.5945,1.5945,1.5945,1.5945,211030.0
2019-09-25 22:00:00,1.5945,1.6518,1.5859,1.5957,180580.0
2019-09-25 23:00:00,1.6497,1.6598,1.6018,1.6105,81040.0
2019-09-26 00:00:00,1.6375,1.6695,1.5935,1.5935,348330.0
2019-09-26 01:00:00,1.5938,1.5938,1.5935,1.5935,100790.0
2019-09-26 02:00:00,1.6213,1.6333,1.6206,1.6317,635860.0
2019-09-26 03:00:00,1.6318,1.6485,1.6025,1.6025,101450.0
2019-09-26 04:00:00,1.5952,1.6271,1.5865,1.6122,162730.0
2019-09-26 05:00:00,1.6075,1.6483,1.6075,1.6381,30980.0
2019-09-26 06:00:00,1.6,1.6292,1.582,1.6147,267270.0
2019-09-26 07:00:00,1.6147,1.6293,1.6147,1.6293,25760.0
2019-09-26 08:00:00,1.6256,1.6293,1.6256,1.629,19450.0
2019-09-26 09:00:00,1.6273,1.6519,1.6273,1.6503,1207620.0
2019-09-26 10:00:00,1.6271,1.6465,1.6271,1.6465,48770.0
2019-09-26 11:00:00,1.652,1.7463,1.6512,1.7463,128280.0
2019-09-26 12:00:00,1.684,1.7516,1.67,1.682,135620.0
2019-09-26 13:00:00,1.7074,1.7089,1.6514,1.6844,775830.0
2019-09-26 14:00:00,1.6999,1.6999,1.665,1.6801,25110.0
2019-09-26 15:00:00,1.6838,1.6838,1.5729,1.5729,679140.0
2019-09-26 16:00:00,1.6165,1.6486,1.5862,1.5915,652200.0
2019-09-26 17:00:00,1.5915,1.5915,1.5127,1.5127,344110.0
2019-09-26 18:00:00,1.6116,1.6844,1.4687,1.565,1147930.0
2019-09-26 19:00:00,1.5187,1.6722,1.5187,1.542,569520.0
2019-09-26 20:00:00,1.6142,1.6142,1.55,1.595,139430.0
2019-09-26 21:00:00,1.5781,1.6225,1.5781,1.6225,79350.0
2019-09-26 22:00:00,1.5768,1.5933,1.5768,1.5853,141170.0
2019-09-26 23:00:00,1.5729,1.6224,1.5383,1.5974,192240.0
2019-09-27 00:00:00,1.6224,1.6224,1.5614,1.6005,120370.0
2019-09-27 01:00:00,1.59,1.6343,1.5833,1.6343,257890.0
2019-09-27 02:00:00,1.6,1.6121,1.59,1.59,43650.0
2019-09-27 03:00:00,1.612,1.612,1.612,1.612,1880.0
2019-09-27 04:00:00,1.612,1.612,1.5906,1.5906,10330.0
2019-09-27 05:00:00,1.5906,1.65,1.5906,1.6492,270360.0
2019-09-27 06:00:00,1.6201,1.6201,1.6201,1.6201,1900.0
2019-09-27 07:00:00,1.6158,1.6158,1.5753,1.596,238600.0
2019-09-27 08:00:00,1.5944,1.5946,1.5812,1.5946,337040.0
2019-09-27 09:00:00,1.5946,1.6155,1.5946,1.6155,1703090.0
2019-09-27 10:00:00,1.6194,1.6194,1.6194,1.6194,2210.0
2019-09-27 11:00:00,1.5906,1.6037,1.5753,1.5753,332650.0
2019-09-27 12:00:00,1.5808,1.5831,1.5706,1.5825,170330.0
2019-09-27 13:00:00,1.5832,1.6496,1.5532,1.5659,321230.0
2019-09-27 14:00:00,1.5657,1.59,1.5653,1.5809,528170.0
2019-09-27 15:00:00,1.5808,1.5856,1.5734,1.5752,486940.0
2019-09-27 16:00:00,1.5752,1.5855,1.5665,1.5702,577660.0
2019-09-27 17:00:00,1.5726,1.5852,1.561,1.5727,483720.0
2019-09-27 18:00:00,1.5726,1.6449,1.5685,1.6273,1753600.0
2019-09-27 19:00:00,1.6219,1.6453,1.6201,1.6252,647580.0
2019-09-27 20:00:00,1.6255,1.6453,1.6118,1.6142,1733430.0
2019-09-27 21:00:00,1.6161,1.636,1.6161,1.6169,412960.0
2019-09-27 22:00:00,1.6173,1.6498,1.6133,1.6376,607420.0
2019-09-27 23:00:00,1.6378,1.6649,1.6299,1.6526,708090.0
2019-09-28 00:00:00,1.6529,1.665,1.6387,1.6387,776740.0
2019-09-28 01:00:00,1.6353,1.6388,1.6183,1.6255,553930.0
2019-09-28 02:00:00,1.6266,1.6541,1.6266,1.6348,401730.0
2019-09-28 03:00:00,1.6362,1.654,1.6305,1.6378,392050.0
2019-09-28 04:00:00,1.638,1.6456,1.6215,1.6312,422160.0
2019-09-28 05:00:00,1.6315,1.6455,1.6225,1.6254,454500.0
2019-09-28 06:00:00,1.6251,1.6455,1.6251,1.6362,379940.0
2019-09-28 07:00:00,1.6356,1.6359,1.6135,1.6289,769650.0
2019-09-28 08:00:00,1.6292,1.6436,1.6162,1.6232,418810.0
2019-09-28 09:00:00,1.6235,1.6406,1.6233,1.6392,623540.0
2019-09-28 10:00:00,1.6389,1.6542,1.6389,1.6423,966130.0
