,Open,High,Low,Close,Volume
2020-04-27 07:00:00,0.4178,0.92,0.4178,0.6406,7712482620.0
2020-04-27 08:00:00,0.6406,0.7001,0.62,0.6421,3751369090.0
2020-04-27 09:00:00,0.6432,0.68,0.6403,0.6702,2019807700.0
2020-04-27 10:00:00,0.6702,0.741,0.664,0.6782,4010446040.0
2020-04-27 11:00:00,0.6782,0.7046,0.6748,0.6815,1545242870.0
2020-04-27 12:00:00,0.682,0.683,0.6252,0.6397,1917065990.0
2020-04-27 13:00:00,0.6392,0.6535,0.623,0.625,997208530.0
2020-04-27 14:00:00,0.6226,0.625,0.518,0.518,2422346850.0
2020-04-27 15:00:00,0.5187,0.552,0.5033,0.5424,2531117420.0
2020-04-27 16:00:00,0.5424,0.552,0.513,0.528,1011845610.0
2020-04-27 17:00:00,0.5266,0.5294,0.4549,0.475,1661640270.0
2020-04-27 18:00:00,0.4758,0.4781,0.453,0.4668,1046053680.0
2020-04-27 19:00:00,0.467,0.4978,0.4619,0.4894,1454092950.0
2020-04-27 20:00:00,0.49,0.509,0.4873,0.4915,1209926510.0
2020-04-27 21:00:00,0.4916,0.4948,0.4732,0.4825,467922160.0
2020-04-27 22:00:00,0.4823,0.4938,0.4807,0.4811,166589030.0
2020-04-27 23:00:00,0.4843,0.4863,0.465,0.4652,219705220.0
2020-04-28 00:00:00,0.4656,0.4758,0.4295,0.441,881178740.0
2020-04-28 01:00:00,0.4408,0.4555,0.433,0.448,422632730.0
2020-04-28 02:00:00,0.449,0.489,0.4422,0.4822,798239690.0
2020-04-28 03:00:00,0.4823,0.4825,0.4467,0.4515,539076510.0
2020-04-28 04:00:00,0.4516,0.485,0.4516,0.4685,555281050.0
2020-04-28 05:00:00,0.468,0.4992,0.4552,0.4873,609846020.0
2020-04-28 06:00:00,0.4897,0.4927,0.4768,0.4855,360957670.0
2020-04-28 07:00:00,0.4855,0.4855,0.4637,0.468,316980700.0
2020-04-28 08:00:00,0.4655,0.4818,0.4612,0.4777,425457320.0
2020-04-28 09:00:00,0.4772,0.4776,0.46,0.4678,539723440.0
2020-04-28 10:00:00,0.4673,0.4678,0.4375,0.4463,808491680.0
2020-04-28 11:00:00,0.4485,0.4546,0.4444,0.4449,328011670.0
2020-04-28 12:00:00,0.4445,0.4567,0.4419,0.4502,405809350.0
2020-04-28 13:00:00,0.4533,0.4549,0.4444,0.449,277350370.0
2020-04-28 14:00:00,0.4508,0.4536,0.4343,0.4381,443753910.0
2020-04-28 15:00:00,0.4381,0.445,0.432,0.434,442866070.0
2020-04-28 16:00:00,0.4334,0.441,0.4231,0.4317,740609770.0
2020-04-28 17:00:00,0.4327,0.45,0.428,0.4462,731522720.0
2020-04-28 18:00:00,0.4455,0.4483,0.435,0.439,350393440.0
2020-04-28 19:00:00,0.439,0.4404,0.4305,0.4315,186938420.0
2020-04-28 20:00:00,0.432,0.438,0.431,0.4325,128808390.0
2020-04-28 21:00:00,0.4325,0.4343,0.4283,0.4285,178749150.0
2020-04-28 22:00:00,0.4283,0.436,0.4275,0.4335,174320530.0
2020-04-28 23:00:00,0.433,0.4355,0.4309,0.4355,69597250.0
2020-04-29 00:00:00,0.4355,0.4358,0.4305,0.4358,149007400.0
2020-04-29 01:00:00,0.4354,0.4449,0.4317,0.4414,328701610.0
2020-04-29 02:00:00,0.4414,0.4462,0.4342,0.4367,152011480.0
2020-04-29 03:00:00,0.4368,0.4368,0.419,0.422,533154370.0
2020-04-29 04:00:00,0.4211,0.4245,0.3928,0.3977,914248740.0
2020-04-29 05:00:00,0.3978,0.4138,0.3939,0.4095,629837550.0
2020-04-29 06:00:00,0.4095,0.43,0.4076,0.4135,454396880.0
2020-04-29 07:00:00,0.4135,0.4298,0.4088,0.4227,558101580.0
2020-04-29 08:00:00,0.4227,0.4298,0.42,0.4214,342831650.0
2020-04-29 09:00:00,0.4214,0.4269,0.4177,0.4223,223231910.0
2020-04-29 10:00:00,0.4226,0.4237,0.4105,0.4181,266006909.99999997
2020-04-29 11:00:00,0.4181,0.4266,0.4144,0.426,300462360.0
2020-04-29 12:00:00,0.4241,0.4495,0.4185,0.4467,903018360.0
2020-04-29 13:00:00,0.4467,0.495,0.4409,0.467,3026283660.0
2020-04-29 14:00:00,0.469,0.5038,0.4674,0.4847,2006235870.0
2020-04-29 15:00:00,0.4846,0.4885,0.455,0.457,864641480.0
2020-04-29 16:00:00,0.457,0.4761,0.444,0.4674,1004982890.0
2020-04-29 17:00:00,0.4674,0.474,0.4523,0.4644,530516069.99999994
2020-04-29 18:00:00,0.4652,0.4652,0.4229,0.4336,1495805780.0
2020-04-29 19:00:00,0.4336,0.4371,0.4235,0.429,538660630.0
2020-04-29 20:00:00,0.4334,0.445,0.429,0.4395,424802320.0
2020-04-29 21:00:00,0.4394,0.4445,0.4338,0.4378,139113330.0
2020-04-29 22:00:00,0.4355,0.447,0.4351,0.4439,273798530.0
