,Open,High,Low,Close,Volume
2021-05-11 03:00:00,249.28,2831.02,249.28,385.0,292370340.0
2021-05-11 04:00:00,384.84,447.4,354.0,435.58,124776850.0
2021-05-11 05:00:00,436.92,600.0,410.5,579.82,178847000.0
2021-05-11 06:00:00,574.31,600.0,430.44,435.12,176042040.0
2021-05-11 07:00:00,435.04,498.0,435.01,486.02,111685570.0
2021-05-11 08:00:00,486.13,494.74,448.0,459.0,69231690.0
2021-05-11 09:00:00,458.93,469.64,430.73,454.07,58875580.0
2021-05-11 10:00:00,454.41,455.0,391.68,420.76,83404440.0
2021-05-11 11:00:00,421.0,429.0,405.0,414.58,38174390.0
2021-05-11 12:00:00,414.99,424.83,386.81,417.75,55360250.0
2021-05-11 13:00:00,417.42,424.0,393.0,403.28,39107840.0
2021-05-11 14:00:00,403.28,404.1,376.55,386.51,59501660.0
2021-05-11 15:00:00,386.54,425.0,385.0,419.17,75663520.0
2021-05-11 16:00:00,418.18,422.0,390.12,400.73,46453470.0
2021-05-11 17:00:00,400.73,415.55,390.68,410.63,39509340.0
2021-05-11 18:00:00,410.6,411.78,384.43,386.33,41345580.0
2021-05-11 19:00:00,386.33,386.59,359.0,377.93,51796440.0
2021-05-11 20:00:00,377.86,385.0,368.36,384.78,23583800.0
2021-05-11 21:00:00,384.78,389.28,357.56,362.12,30224630.0
2021-05-11 22:00:00,362.12,379.02,350.0,368.38,35120760.0
2021-05-11 23:00:00,368.5,420.0,367.1,417.35,56003680.0
2021-05-12 00:00:00,417.01,418.34,372.0,380.23,48302470.0
2021-05-12 01:00:00,380.18,381.35,359.6,364.01,38241660.0
2021-05-12 02:00:00,364.06,379.22,354.0,356.0,44414920.0
2021-05-12 03:00:00,355.4,373.9,355.08,372.82,31547450.0
2021-05-12 04:00:00,372.53,386.6,367.87,377.95,33210040.0
2021-05-12 05:00:00,377.95,390.0,369.33,376.58,32255560.0
2021-05-12 06:00:00,376.61,389.9,366.88,369.13,21927100.0
2021-05-12 07:00:00,369.08,372.41,359.75,368.83,24407710.0
2021-05-12 08:00:00,368.75,370.33,342.44,343.69,62158180.0
2021-05-12 09:00:00,343.19,351.56,334.0,346.52,46209970.0
2021-05-12 10:00:00,345.69,351.44,335.1,341.68,40306170.0
2021-05-12 11:00:00,341.68,350.58,332.89,338.03,41591420.0
2021-05-12 12:00:00,338.03,345.12,330.33,340.11,41893450.0
2021-05-12 13:00:00,340.11,363.03,340.1,350.28,48542720.0
2021-05-12 14:00:00,350.06,350.75,335.0,337.23,31693850.0
2021-05-12 15:00:00,337.62,339.31,320.04,323.69,51410750.0
2021-05-12 16:00:00,323.69,325.12,295.0,295.89,131138980.00000001
2021-05-12 17:00:00,295.98,304.0,284.54,290.12,176589110.0
2021-05-12 18:00:00,290.51,321.8,280.17,321.8,126027460.0
2021-05-12 19:00:00,321.8,325.84,298.41,303.43,56912750.0
2021-05-12 20:00:00,303.71,306.24,280.0,298.35,69504880.0
2021-05-12 21:00:00,297.75,305.95,291.61,304.85,35820190.0
2021-05-12 22:00:00,304.85,305.0,289.55,293.38,30924380.0
2021-05-12 23:00:00,293.37,295.23,280.0,290.53,24754600.0
2021-05-13 00:00:00,290.33,292.23,272.0,282.99,42360050.0
2021-05-13 01:00:00,283.0,288.55,255.0,258.02,45752840.0
2021-05-13 02:00:00,258.0,285.03,252.0,273.03,57031360.0
2021-05-13 03:00:00,273.35,299.57,269.09,294.38,35179730.0
2021-05-13 04:00:00,294.76,329.0,291.17,317.34,83497400.0
2021-05-13 05:00:00,317.01,318.29,295.0,310.96,46054020.0
2021-05-13 06:00:00,310.96,315.0,304.39,311.66,27079990.0
2021-05-13 07:00:00,311.3,346.81,309.1,326.25,55772400.0
2021-05-13 08:00:00,326.41,337.65,313.6,317.09,33007769.999999996
2021-05-13 09:00:00,317.08,325.86,306.0,311.04,27915110.0
2021-05-13 10:00:00,311.39,315.81,289.86,290.66,31818080.0
2021-05-13 11:00:00,290.8,297.0,270.0,278.84,51116010.0
2021-05-13 12:00:00,278.85,299.0,276.0,281.1,45185320.0
2021-05-13 13:00:00,281.1,313.0,279.0,300.76,51605290.0
2021-05-13 14:00:00,300.75,309.85,293.09,302.45,24599500.0
2021-05-13 15:00:00,302.41,308.98,295.4,301.47,19115740.0
2021-05-13 16:00:00,301.47,302.88,286.12,291.84,24065790.0
2021-05-13 17:00:00,291.79,293.41,280.25,292.85,19222630.0
2021-05-13 18:00:00,292.86,305.0,282.49,286.58,26742410.0
2021-05-13 19:00:00,286.79,289.09,272.16,282.44,34143080.0
2021-05-13 20:00:00,282.1,286.16,273.55,275.18,14764270.0
2021-05-13 21:00:00,275.13,287.49,274.79,282.04,14505870.0
2021-05-13 22:00:00,282.02,293.34,280.2,290.12,11155490.0
2021-05-13 23:00:00,290.18,315.91,285.03,315.16,36494140.0
2021-05-14 00:00:00,315.11,319.0,300.62,306.89,28103870.0
2021-05-14 01:00:00,306.0,307.19,293.22,301.44,17054360.0
2021-05-14 02:00:00,301.48,325.58,297.0,318.41,29992890.0
2021-05-14 03:00:00,318.39,337.0,314.25,322.32,54724020.0
2021-05-14 04:00:00,322.23,331.78,313.18,328.68,29119360.0
2021-05-14 05:00:00,328.75,336.49,320.53,335.99,33035120.000000004
2021-05-14 06:00:00,335.99,341.0,321.36,325.62,37224490.0
2021-05-14 07:00:00,326.27,326.61,309.73,316.1,24057680.0
2021-05-14 08:00:00,316.1,319.77,305.23,311.04,16074370.0
2021-05-14 09:00:00,311.04,320.03,311.0,314.42,17444090.0
2021-05-14 10:00:00,314.42,323.92,311.25,315.55,17002130.0
2021-05-14 11:00:00,315.52,318.32,309.86,313.58,13406650.0
2021-05-14 12:00:00,313.58,324.0,313.5,317.82,17391290.0
2021-05-14 13:00:00,317.96,326.78,315.32,316.97,13353590.0
2021-05-14 14:00:00,316.71,321.6,311.78,318.11,18231190.0
2021-05-14 15:00:00,318.19,319.0,312.0,317.21,14403050.0
2021-05-14 16:00:00,317.02,317.9,311.13,312.71,14273160.0
2021-05-14 17:00:00,312.71,318.0,312.5,317.5,16277500.0
2021-05-14 18:00:00,317.48,317.8,308.35,313.42,11985230.0
2021-05-14 19:00:00,313.42,316.3,301.58,304.82,26885690.0
2021-05-14 20:00:00,304.93,308.38,301.91,304.7,9397160.0
2021-05-14 21:00:00,304.64,307.41,300.0,301.68,8635620.0
2021-05-14 22:00:00,301.1,307.33,291.39,298.67,13397310.0
2021-05-14 23:00:00,298.86,310.0,295.2,305.04,11829490.0
2021-05-15 00:00:00,304.99,307.0,302.47,302.47,5123340.0
2021-05-15 01:00:00,302.47,316.5,299.1,304.13,8914670.0
2021-05-15 02:00:00,304.1,304.45,296.0,297.21,12627460.0
2021-05-15 03:00:00,297.21,305.03,296.89,302.36,7962360.0
2021-05-15 04:00:00,302.33,303.37,297.3,298.28,10461280.0
2021-05-15 05:00:00,298.36,299.98,294.51,294.85,9458040.0
2021-05-15 06:00:00,294.68,299.05,287.31,287.4,25080320.0
2021-05-15 07:00:00,287.53,289.0,283.0,288.23,18940740.0
2021-05-15 08:00:00,288.1,288.23,280.0,284.17,36999430.0
2021-05-15 09:00:00,284.1,286.4,280.44,282.37,22636110.0
2021-05-15 10:00:00,282.37,288.0,280.1,282.04,23592500.0
2021-05-15 11:00:00,281.98,284.47,277.89,280.69,33707220.0
2021-05-15 12:00:00,280.7,283.2,275.08,281.74,30910100.0
2021-05-15 13:00:00,281.74,286.99,280.0,281.99,19109410.0
2021-05-15 14:00:00,282.03,284.55,276.41,283.33,19601850.0
2021-05-15 15:00:00,283.4,284.0,271.5,273.68,22472040.0
2021-05-15 16:00:00,273.64,275.54,261.27,267.0,48496010.0
2021-05-15 17:00:00,266.92,272.83,264.3,268.89,25401070.0
2021-05-15 18:00:00,268.9,268.9,256.27,260.46,32497850.0
2021-05-15 19:00:00,260.46,261.13,253.96,255.52,19385770.0
2021-05-15 20:00:00,255.52,259.4,252.0,256.55,15345480.0
2021-05-15 21:00:00,256.51,258.29,240.0,246.8,43821530.0
2021-05-15 22:00:00,246.77,254.06,242.26,253.49,15590500.0
2021-05-15 23:00:00,253.46,266.0,253.42,261.95,17865590.0
2021-05-16 00:00:00,262.01,263.42,251.47,254.73,13316140.0
2021-05-16 01:00:00,254.74,258.14,245.0,246.06,14737090.0
2021-05-16 02:00:00,246.06,254.13,240.0,242.72,25706700.0
2021-05-16 03:00:00,242.72,252.86,242.51,252.57,16447619.999999998
2021-05-16 04:00:00,252.57,258.15,249.03,257.47,14510780.0
2021-05-16 05:00:00,257.49,261.95,248.86,253.24,24194350.0
2021-05-16 06:00:00,253.23,259.3,250.99,257.74,10991690.0
2021-05-16 07:00:00,257.48,258.51,251.64,256.41,9978740.0
2021-05-16 08:00:00,256.53,263.68,256.44,256.79,17751000.0
2021-05-16 09:00:00,256.69,256.69,250.95,252.31,19477660.0
2021-05-16 10:00:00,252.31,255.9,245.83,248.21,26474920.0
2021-05-16 11:00:00,248.11,255.99,247.61,251.84,14081160.0
2021-05-16 12:00:00,251.84,254.2,249.17,250.78,14717840.0
2021-05-16 13:00:00,250.79,255.71,250.63,253.78,12383440.0
2021-05-16 14:00:00,253.93,259.88,250.76,252.83,20369310.0
2021-05-16 15:00:00,252.69,256.0,250.57,252.1,10137280.0
2021-05-16 16:00:00,252.1,252.1,246.08,248.33,16137780.0
2021-05-16 17:00:00,248.33,249.97,241.34,241.4,17496940.0
2021-05-16 18:00:00,241.43,248.85,240.01,245.52,17644220.0
2021-05-16 19:00:00,245.39,245.39,229.8,234.23,32610020.0
2021-05-16 20:00:00,234.04,234.08,219.0,220.99,43112080.0
2021-05-16 21:00:00,220.89,223.99,211.0,214.62,41029480.0
2021-05-16 22:00:00,214.95,221.82,208.0,209.18,29233370.0
2021-05-16 23:00:00,209.03,223.18,205.07,219.97,25125950.0
2021-05-17 00:00:00,219.93,235.85,217.46,229.51,28638580.0
2021-05-17 01:00:00,229.3,231.52,222.45,225.19,19090700.0
2021-05-17 02:00:00,225.16,226.35,212.91,212.95,17633430.0
2021-05-17 03:00:00,212.94,216.71,208.37,213.61,22354420.0
2021-05-17 04:00:00,213.61,218.03,205.5,208.2,19405410.0
2021-05-17 05:00:00,208.16,212.13,201.0,202.95,35598330.0
2021-05-17 06:00:00,202.76,214.15,199.0,212.15,32592850.0
2021-05-17 07:00:00,212.16,215.31,203.15,211.14,20328170.0
2021-05-17 08:00:00,211.13,219.2,210.0,214.0,25794680.0
2021-05-17 09:00:00,213.94,222.65,213.35,222.05,16378800.0
2021-05-17 10:00:00,222.09,223.0,215.12,221.4,14787400.0
2021-05-17 11:00:00,221.4,221.58,214.65,217.34,12920770.0
2021-05-17 12:00:00,217.33,217.49,201.1,205.08,24674190.0
2021-05-17 13:00:00,205.25,211.24,202.23,210.38,27008370.0
2021-05-17 14:00:00,210.29,214.23,206.11,209.33,26367410.0
2021-05-17 15:00:00,209.49,212.2,205.07,209.78,18311240.0
2021-05-17 16:00:00,209.79,211.0,203.04,206.6,14681780.0
2021-05-17 17:00:00,206.52,208.13,199.0,200.5,23927500.0
2021-05-17 18:00:00,200.45,204.66,192.0,192.03,37238090.0
2021-05-17 19:00:00,192.14,216.0,184.39,192.52,40529280.0
2021-05-17 20:00:00,192.12,200.0,190.04,198.65,20155000.0
2021-05-17 21:00:00,198.7,201.89,195.28,198.65,13885970.0
2021-05-17 22:00:00,198.82,208.7,197.22,206.91,16244140.0
2021-05-17 23:00:00,206.91,207.17,195.0,196.0,12221710.0
2021-05-18 00:00:00,195.72,200.39,191.0,193.0,13898870.0
2021-05-18 01:00:00,193.04,197.52,191.0,195.59,13951960.0
2021-05-18 02:00:00,195.58,200.83,194.0,199.5,13969190.0
2021-05-18 03:00:00,199.37,205.78,198.5,205.33,16953180.0
2021-05-18 04:00:00,205.47,205.82,199.14,203.88,12076820.0
2021-05-18 05:00:00,203.75,203.9,197.35,198.58,10801410.0
2021-05-18 06:00:00,198.44,203.2,198.0,201.22,13674400.0
2021-05-18 07:00:00,201.31,201.31,196.71,198.84,13463570.0
2021-05-18 08:00:00,198.8,203.66,195.0,199.01,22785710.0
2021-05-18 09:00:00,199.13,201.33,197.88,200.51,9881950.0
2021-05-18 10:00:00,200.38,204.29,199.54,200.77,15966980.0
2021-05-18 11:00:00,200.62,201.0,193.0,195.17,33333100.0
2021-05-18 12:00:00,195.1,197.35,192.98,195.45,14556490.0
2021-05-18 13:00:00,195.53,195.54,191.11,193.29,19818790.0
2021-05-18 14:00:00,193.29,193.29,179.11,183.62,76609100.0
2021-05-18 15:00:00,183.57,185.2,175.65,176.34,43422000.0
2021-05-18 16:00:00,176.28,176.37,166.76,173.36,66815789.99999999
2021-05-18 17:00:00,173.36,178.33,171.12,174.25,33715720.0
2021-05-18 18:00:00,174.38,184.9,170.03,182.69,42669280.0
2021-05-18 19:00:00,182.67,182.84,175.05,176.31,32766340.0
2021-05-18 20:00:00,176.24,176.31,170.84,173.35,31561650.0
2021-05-18 21:00:00,173.47,175.11,168.04,170.76,28531640.0
2021-05-18 22:00:00,170.52,173.6,167.46,167.87,31364620.0
2021-05-18 23:00:00,167.67,171.84,166.87,169.67,24600580.0
2021-05-19 00:00:00,169.52,170.0,163.65,166.88,42697050.0
2021-05-19 01:00:00,166.64,166.78,160.34,163.47,38517720.0
2021-05-19 02:00:00,163.66,179.12,162.28,174.32,60965500.0
2021-05-19 03:00:00,174.25,174.29,158.0,162.7,59561050.0
2021-05-19 04:00:00,162.75,166.09,156.0,156.97,45826880.0
2021-05-19 05:00:00,156.88,162.12,153.48,159.64,36957390.0
2021-05-19 06:00:00,159.88,161.05,139.67,149.32,72562070.0
2021-05-19 07:00:00,149.34,152.73,144.2,146.44,55974350.0
2021-05-19 08:00:00,146.4,149.8,139.98,142.24,50169130.0
2021-05-19 09:00:00,142.34,146.36,135.59,144.11,65057420.0
2021-05-19 10:00:00,144.23,149.3,139.79,146.0,37702420.0
2021-05-19 11:00:00,146.08,150.0,145.88,147.76,30760880.0
2021-05-19 12:00:00,147.93,148.87,138.33,139.86,44501620.0
2021-05-19 13:00:00,139.86,143.23,124.01,135.82,81011340.0
2021-05-19 14:00:00,135.48,140.34,102.0,108.11,90901630.0
2021-05-19 15:00:00,108.35,120.0,92.0,112.31,89497040.0
2021-05-19 16:00:00,111.96,124.6,100.0,114.22,53158240.0
2021-05-19 17:00:00,114.22,129.45,110.4,128.98,56814660.0
2021-05-19 18:00:00,128.79,150.0,123.5,142.14,61198960.0
2021-05-19 19:00:00,141.91,145.79,129.13,130.0,44137610.0
2021-05-19 20:00:00,130.02,131.18,120.93,121.44,39510600.0
2021-05-19 21:00:00,121.44,127.63,119.06,124.6,43779840.0
2021-05-19 22:00:00,124.6,134.0,120.81,121.73,32508500.0
2021-05-19 23:00:00,121.73,125.13,115.72,119.97,32253940.0
2021-05-20 00:00:00,119.77,134.0,116.8,132.58,46742370.0
2021-05-20 01:00:00,132.51,133.76,122.43,122.79,42640310.0
2021-05-20 02:00:00,122.83,130.72,104.91,111.98,67206070.0
2021-05-20 03:00:00,111.79,114.25,103.63,113.17,48925820.0
2021-05-20 04:00:00,112.96,126.75,111.7,122.62,41105790.0
2021-05-20 05:00:00,122.42,126.33,118.55,124.78,60005370.0
2021-05-20 06:00:00,124.83,138.38,124.2,138.34,32576150.0
2021-05-20 07:00:00,138.24,179.99,136.69,167.85,323661160.0
2021-05-20 08:00:00,167.94,186.69,156.76,180.42,351782600.0
2021-05-20 09:00:00,180.41,224.11,179.16,186.0,490837640.0
2021-05-20 10:00:00,186.01,207.36,180.0,205.19,290039350.0
2021-05-20 11:00:00,205.54,205.55,175.56,191.11,228546870.0
