,Open,High,Low,Close,Volume
2018-06-13 10:00:00,1.9525,2.07,1.9305,1.9365,152924960.0
2018-06-13 11:00:00,1.9371,1.9409,1.85,1.8512,255118480.0
2018-06-13 12:00:00,1.8511,1.912,1.8497,1.8693,179933880.0
2018-06-13 13:00:00,1.8693,1.9127,1.8579,1.9127,103803060.0
2018-06-13 14:00:00,1.9121,2.06,1.8918,1.9835,238070310.0
2018-06-13 15:00:00,1.9825,2.0388,1.9522,1.9785,340196930.0
2018-06-13 16:00:00,1.9785,2.0168,1.915,1.9249,230865020.0
2018-06-13 17:00:00,1.925,1.9547,1.87,1.89,213544360.0
2018-06-13 18:00:00,1.8987,1.92,1.75,1.8778,429397250.0
2018-06-13 19:00:00,1.8774,2.0001,1.76,1.9254,298433040.0
2018-06-13 20:00:00,1.9308,2.01,1.9274,1.963,263538280.00000003
2018-06-13 21:00:00,1.963,2.003,1.8552,1.9167,284396310.0
2018-06-13 22:00:00,1.9067,1.9199,1.8783,1.9104,157339050.0
2018-06-13 23:00:00,1.9103,1.9543,1.8951,1.9306,136242620.0
2018-06-14 00:00:00,1.9316,2.0499,1.9316,2.0087,277649580.0
2018-06-14 01:00:00,2.0171,2.0206,1.9692,1.9792,188951430.0
2018-06-14 02:00:00,1.9792,1.9955,1.9621,1.965,241138510.0
2018-06-14 03:00:00,1.965,1.9861,1.961,1.9747,105775070.0
2018-06-14 04:00:00,1.9795,2.1299,1.9719,2.0724,504433270.0
2018-06-14 05:00:00,2.0606,2.0911,2.0315,2.0907,269407040.0
2018-06-14 06:00:00,2.0906,2.1238,2.0626,2.1096,356312910.0
2018-06-14 07:00:00,2.1091,2.199,2.0688,2.176,369809980.0
2018-06-14 08:00:00,2.1702,2.1952,2.14,2.1801,349777150.0
2018-06-14 09:00:00,2.1802,2.1811,2.109,2.1288,317733060.0
2018-06-14 10:00:00,2.1285,2.2269,2.1284,2.1578,358516030.0
2018-06-14 11:00:00,2.1576,2.1845,2.1543,2.1606,141074750.0
2018-06-14 12:00:00,2.1605,2.1712,2.1206,2.1234,160460900.0
2018-06-14 13:00:00,2.1292,2.1674,2.1234,2.1548,195331690.0
2018-06-14 14:00:00,2.1572,2.1658,2.1261,2.1649,226228580.0
2018-06-14 15:00:00,2.1649,2.165,2.001,2.0236,677244970.0
2018-06-14 16:00:00,2.0247,2.0751,2.024,2.0527,200953330.0
2018-06-14 17:00:00,2.0551,2.0988,2.01,2.0372,152370060.0
2018-06-14 18:00:00,2.043,2.18,2.0381,2.1553,257741490.0
2018-06-14 19:00:00,2.1553,2.355,2.1425,2.3299,1042637250.0
2018-06-14 20:00:00,2.3302,2.3986,2.265,2.2926,417069540.0
2018-06-14 21:00:00,2.2967,2.3,2.25,2.2807,328352960.0
2018-06-14 22:00:00,2.2744,2.34,2.243,2.324,221666960.0
2018-06-14 23:00:00,2.324,2.335,2.205,2.2944,279659750.0
2018-06-15 00:00:00,2.293,2.3137,2.2302,2.26,155832720.0
2018-06-15 01:00:00,2.26,2.3,2.22,2.2988,177732510.0
