,Open,High,Low,Close,Volume
2021-09-22 08:00:00,414.5,599.0,414.5,549.6,40734447.0
2021-09-22 09:00:00,549.2,559.0,531.4,541.3,8671564.0
2021-09-22 10:00:00,540.3,542.0,508.6,511.2,6997571.0
2021-09-22 11:00:00,511.1,573.1,506.8,530.0,12953111.0
2021-09-22 12:00:00,528.5,543.0,515.0,519.3,4625192.0
2021-09-22 13:00:00,519.2,537.5,509.9,512.9,4319077.0
2021-09-22 14:00:00,512.8,527.1,502.0,519.7,4826636.0
2021-09-22 15:00:00,519.7,539.8,513.3,528.6,4504899.0
2021-09-22 16:00:00,528.6,547.8,522.2,537.5,4245886.0
2021-09-22 17:00:00,537.5,560.0,526.5,543.8,7174664.0
2021-09-22 18:00:00,543.2,564.0,538.1,541.5,4935401.0
2021-09-22 19:00:00,541.4,555.6,530.1,548.4,2895553.0
2021-09-22 20:00:00,548.0,555.7,531.3,532.5,2240822.0
2021-09-22 21:00:00,532.2,546.2,506.5,534.6,2917247.0
2021-09-22 22:00:00,534.3,535.6,522.6,524.8,1542244.0
2021-09-22 23:00:00,524.8,552.9,523.8,533.7,2319281.0
2021-09-23 00:00:00,532.0,550.0,527.5,534.0,1058332.0
2021-09-23 01:00:00,534.0,549.0,531.4,546.1,1115383.0
2021-09-23 02:00:00,547.1,625.0,536.1,573.4,14718093.0
2021-09-23 03:00:00,571.9,606.0,566.7,585.6,10526845.0
2021-09-23 04:00:00,585.8,650.0,581.8,628.1,15576699.0
2021-09-23 05:00:00,628.0,654.0,608.0,617.9,10510444.0
2021-09-23 06:00:00,617.8,635.2,608.2,610.0,4296053.0
2021-09-23 07:00:00,610.0,622.2,601.9,609.6,2709929.0
2021-09-23 08:00:00,610.6,612.5,593.8,597.0,3717253.0
2021-09-23 09:00:00,596.6,609.9,592.2,602.1,1942545.0
2021-09-23 10:00:00,600.5,627.6,598.0,610.0,4735362.0
2021-09-23 11:00:00,611.4,620.1,607.4,611.0,2840352.0
2021-09-23 12:00:00,610.9,611.1,571.0,575.7,6021878.0
2021-09-23 13:00:00,575.8,583.5,570.0,577.7,1699004.0
2021-09-23 14:00:00,577.7,595.2,572.4,591.7,1934265.0
2021-09-23 15:00:00,591.7,597.9,581.1,587.1,2068297.9999999998
2021-09-23 16:00:00,587.7,595.5,581.6,582.1,2001731.0
2021-09-23 17:00:00,582.2,599.8,571.7,572.0,1886533.0
2021-09-23 18:00:00,572.6,580.0,565.0,571.2,1718246.0
2021-09-23 19:00:00,571.2,587.8,570.8,579.1,1246841.0
2021-09-23 20:00:00,580.0,584.0,574.1,582.6,734799.0
2021-09-23 21:00:00,582.3,591.0,575.8,583.9,1141109.0
2021-09-23 22:00:00,583.9,586.7,572.7,578.7,748495.0
2021-09-23 23:00:00,578.7,582.1,575.3,576.3,365824.0
2021-09-24 00:00:00,576.5,600.0,576.5,591.0,2212044.0
2021-09-24 01:00:00,591.0,592.4,575.2,579.2,1527280.0
2021-09-24 02:00:00,579.1,583.0,566.7,570.7,1687436.0
2021-09-24 03:00:00,571.0,573.2,561.7,561.7,1026881.0000000001
2021-09-24 04:00:00,562.2,570.0,555.0,563.7,1502657.0
2021-09-24 05:00:00,563.1,565.3,545.5,546.6,1173476.0
2021-09-24 06:00:00,545.7,546.5,539.6,540.2,994819.0
2021-09-24 07:00:00,540.2,540.8,529.1,533.5,1475425.0
2021-09-24 08:00:00,533.5,548.5,533.4,542.1,615179.0
2021-09-24 09:00:00,541.0,576.6,541.0,548.5,2711870.0
2021-09-24 10:00:00,547.0,550.4,535.0,537.2,988950.0
2021-09-24 11:00:00,538.0,538.0,486.7,494.6,4880610.0
2021-09-24 12:00:00,494.1,505.8,490.0,490.8,1313668.0
2021-09-24 13:00:00,490.9,495.9,470.9,492.9,1410103.0
2021-09-24 14:00:00,491.9,515.4,484.7,487.4,1434082.0
2021-09-24 15:00:00,487.1,500.0,480.7,497.8,640568.0
2021-09-24 16:00:00,497.1,514.7,495.0,506.0,840059.0
2021-09-24 17:00:00,506.6,507.0,494.0,495.5,591177.0
2021-09-24 18:00:00,495.5,503.7,494.0,499.4,908726.0
2021-09-24 19:00:00,499.2,506.1,493.2,496.3,303240.0
2021-09-24 20:00:00,494.9,506.0,493.8,498.7,469873.0
2021-09-24 21:00:00,499.1,510.0,496.6,505.5,441570.0
2021-09-24 22:00:00,503.6,511.2,501.3,510.0,475401.0
2021-09-24 23:00:00,510.1,525.0,507.7,510.0,927438.0
2021-09-25 00:00:00,509.9,517.0,507.5,515.0,238988.0
2021-09-25 01:00:00,514.4,514.4,506.5,509.4,284230.0
2021-09-25 02:00:00,509.9,519.4,506.0,506.0,352270.0
2021-09-25 03:00:00,506.1,511.3,499.1,502.1,377606.0
2021-09-25 04:00:00,501.9,508.0,501.7,503.9,161118.0
2021-09-25 05:00:00,504.0,505.0,502.1,502.8,60713.0
2021-09-25 06:00:00,502.7,506.9,502.7,506.3,176471.0
2021-09-25 07:00:00,505.2,508.3,500.9,501.1,200065.0
2021-09-25 08:00:00,501.5,506.2,499.2,503.7,245908.0
2021-09-25 09:00:00,503.7,505.0,497.2,498.9,219426.0
2021-09-25 10:00:00,498.9,502.7,486.4,500.1,467494.0
2021-09-25 11:00:00,499.0,514.0,498.3,511.3,360326.0
2021-09-25 12:00:00,510.6,530.0,510.6,524.6,1225799.0
2021-09-25 13:00:00,524.5,526.4,513.3,517.2,478351.0
2021-09-25 14:00:00,518.1,519.6,513.8,515.1,353338.0
2021-09-25 15:00:00,514.9,521.0,513.0,519.3,300084.0
2021-09-25 16:00:00,518.1,518.2,507.1,509.4,328183.0
2021-09-25 17:00:00,509.3,529.3,505.9,518.8,688780.0
2021-09-25 18:00:00,518.4,521.8,508.6,512.5,440095.0
2021-09-25 19:00:00,513.0,516.7,511.0,513.6,177947.0
2021-09-25 20:00:00,513.4,513.8,508.6,511.0,251742.0
2021-09-25 21:00:00,510.9,515.4,510.9,512.6,314376.0
2021-09-25 22:00:00,513.8,517.4,513.8,515.3,132188.0
2021-09-25 23:00:00,515.3,516.0,510.2,512.4,181576.0
2021-09-26 00:00:00,511.4,517.9,511.3,516.8,105493.0
2021-09-26 01:00:00,517.0,517.9,513.4,517.2,89794.0
2021-09-26 02:00:00,516.4,517.1,508.3,509.3,109709.0
2021-09-26 03:00:00,509.0,513.5,506.3,508.8,220744.0
2021-09-26 04:00:00,508.6,509.0,497.7,502.9,565516.0
2021-09-26 05:00:00,502.1,502.1,498.8,501.1,176537.0
2021-09-26 06:00:00,500.1,502.0,495.4,496.8,101586.0
2021-09-26 07:00:00,496.5,499.2,495.7,497.6,171858.0
2021-09-26 08:00:00,496.5,498.1,492.5,495.3,217697.0
2021-09-26 09:00:00,495.4,496.8,477.0,483.6,576707.0
2021-09-26 10:00:00,484.1,490.7,479.4,487.0,345968.0
2021-09-26 11:00:00,486.9,524.3,485.6,516.7,1097229.0
2021-09-26 12:00:00,517.9,519.9,509.8,510.6,205092.0
2021-09-26 13:00:00,511.1,525.0,511.1,519.8,334188.0
2021-09-26 14:00:00,520.7,525.0,517.9,520.9,398004.0
2021-09-26 15:00:00,519.7,522.0,515.8,518.0,250725.0
2021-09-26 16:00:00,518.5,527.0,517.9,525.7,786194.0
2021-09-26 17:00:00,525.7,547.0,522.1,531.3,1190997.0
2021-09-26 18:00:00,531.8,533.2,521.1,521.9,419023.0
2021-09-26 19:00:00,521.8,531.7,521.7,523.8,314344.0
2021-09-26 20:00:00,523.8,532.7,522.9,531.0,151428.0
2021-09-26 21:00:00,531.5,533.0,529.5,531.9,48157.0
2021-09-26 22:00:00,531.9,532.5,528.3,530.0,181660.0
2021-09-26 23:00:00,529.4,529.6,522.7,525.3,193681.0
2021-09-27 00:00:00,525.5,530.8,518.6,521.4,137274.0
2021-09-27 01:00:00,522.1,522.6,514.5,517.6,825592.0
2021-09-27 02:00:00,517.8,529.2,510.1,529.0,394085.0
2021-09-27 03:00:00,528.6,534.1,525.5,534.0,280076.0
2021-09-27 04:00:00,534.0,538.2,530.7,531.5,137803.0
2021-09-27 05:00:00,531.9,533.5,524.1,526.1,90245.0
2021-09-27 06:00:00,525.5,529.7,522.6,522.7,278589.0
2021-09-27 07:00:00,522.7,526.5,522.5,524.3,110171.0
2021-09-27 08:00:00,523.7,530.0,520.5,520.5,211759.0
2021-09-27 09:00:00,520.4,543.0,517.8,523.9,448051.0
2021-09-27 10:00:00,523.6,528.3,518.0,525.5,244753.0
2021-09-27 11:00:00,525.2,526.2,515.4,516.4,252370.0
2021-09-27 12:00:00,515.7,534.5,515.7,531.4,681332.0
