,Open,High,Low,Close,Volume
2022-01-10 11:00:00,3.751,4.3,3.751,3.845,1020857480.0
2022-01-10 12:00:00,3.845,3.883,3.713,3.732,223323220.0
2022-01-10 13:00:00,3.729,3.799,3.584,3.611,135615700.0
2022-01-10 14:00:00,3.61,3.646,3.553,3.572,96669220.0
2022-01-10 15:00:00,3.572,3.664,3.419,3.578,285832480.0
2022-01-10 16:00:00,3.591,3.626,3.521,3.597,103170180.0
2022-01-10 17:00:00,3.601,3.72,3.548,3.701,127722640.0
2022-01-10 18:00:00,3.704,3.717,3.565,3.648,62947640.0
2022-01-10 19:00:00,3.648,3.74,3.635,3.663,86252980.0
2022-01-10 20:00:00,3.658,3.697,3.64,3.659,38088970.0
2022-01-10 21:00:00,3.656,3.732,3.64,3.728,39209350.0
2022-01-10 22:00:00,3.728,3.8,3.727,3.739,119627360.0
2022-01-10 23:00:00,3.744,3.776,3.687,3.694,75939370.0
2022-01-11 00:00:00,3.704,3.892,3.692,3.784,140666210.0
2022-01-11 01:00:00,3.791,3.91,3.64,3.653,178605680.0
2022-01-11 02:00:00,3.649,3.659,3.525,3.609,149250460.0
2022-01-11 03:00:00,3.597,3.655,3.559,3.59,146723500.0
2022-01-11 04:00:00,3.59,3.634,3.575,3.591,55450830.0
2022-01-11 05:00:00,3.591,3.605,3.525,3.562,119482990.0
2022-01-11 06:00:00,3.562,3.565,3.451,3.48,88759010.0
2022-01-11 07:00:00,3.482,3.616,3.472,3.573,107144280.0
2022-01-11 08:00:00,3.573,3.582,3.367,3.445,256328040.0
2022-01-11 09:00:00,3.446,3.466,3.39,3.4,145497370.0
2022-01-11 10:00:00,3.4,3.416,3.38,3.4,127829700.0
2022-01-11 11:00:00,3.4,3.483,3.3,3.328,221433240.0
2022-01-11 12:00:00,3.328,3.4,3.319,3.398,104518030.0
2022-01-11 13:00:00,3.395,3.455,3.362,3.401,82220450.0
2022-01-11 14:00:00,3.402,3.459,3.4,3.438,85704960.0
2022-01-11 15:00:00,3.444,3.48,3.367,3.431,390858300.0
2022-01-11 16:00:00,3.429,3.495,3.415,3.494,247486780.0
2022-01-11 17:00:00,3.494,3.659,3.482,3.57,434608690.0
2022-01-11 18:00:00,3.571,3.657,3.57,3.645,154142570.0
2022-01-11 19:00:00,3.64,3.645,3.593,3.605,40812100.0
2022-01-11 20:00:00,3.605,3.606,3.541,3.561,118268900.0
2022-01-11 21:00:00,3.569,3.62,3.545,3.599,42746660.0
2022-01-11 22:00:00,3.599,3.599,3.547,3.556,41812660.0
2022-01-11 23:00:00,3.556,3.612,3.549,3.575,63338430.0
2022-01-12 00:00:00,3.575,3.623,3.564,3.597,90380810.0
2022-01-12 01:00:00,3.597,3.655,3.581,3.6,51462170.0
2022-01-12 02:00:00,3.6,3.609,3.58,3.602,54234870.0
2022-01-12 03:00:00,3.602,3.67,3.602,3.623,141411900.0
2022-01-12 04:00:00,3.629,3.844,3.605,3.81,598137930.0
2022-01-12 05:00:00,3.806,3.858,3.664,3.716,321787600.0
2022-01-12 06:00:00,3.709,3.721,3.678,3.689,161683170.0
2022-01-12 07:00:00,3.689,3.73,3.604,3.624,143577170.0
2022-01-12 08:00:00,3.624,3.628,3.52,3.549,142993500.0
2022-01-12 09:00:00,3.55,3.579,3.526,3.559,52414050.0
2022-01-12 10:00:00,3.56,3.613,3.554,3.578,72802880.0
2022-01-12 11:00:00,3.578,3.59,3.56,3.57,62688980.0
2022-01-12 12:00:00,3.576,3.65,3.57,3.593,133391980.00000001
2022-01-12 13:00:00,3.596,3.72,3.59,3.71,192856980.0
2022-01-12 14:00:00,3.711,3.815,3.668,3.811,175455090.0
2022-01-12 15:00:00,3.8,3.819,3.66,3.681,238390550.0
2022-01-12 16:00:00,3.678,3.72,3.664,3.674,207572340.0
2022-01-12 17:00:00,3.674,3.741,3.674,3.738,69595880.0
2022-01-12 18:00:00,3.738,3.8,3.692,3.701,86920290.0
2022-01-12 19:00:00,3.701,3.711,3.692,3.703,121559760.0
2022-01-12 20:00:00,3.693,3.705,3.662,3.67,85488130.0
2022-01-12 21:00:00,3.67,3.809,3.641,3.717,205442370.0
2022-01-12 22:00:00,3.719,3.789,3.703,3.752,61286110.0
2022-01-12 23:00:00,3.76,3.765,3.7,3.708,40812580.0
2022-01-13 00:00:00,3.709,3.736,3.671,3.725,74539300.0
2022-01-13 01:00:00,3.717,3.782,3.681,3.682,70657730.0
2022-01-13 02:00:00,3.684,3.717,3.65,3.651,67300080.0
2022-01-13 03:00:00,3.655,3.671,3.633,3.662,57634180.0
2022-01-13 04:00:00,3.66,3.662,3.621,3.628,95178200.0
2022-01-13 05:00:00,3.632,3.684,3.63,3.665,37665680.0
2022-01-13 06:00:00,3.671,3.706,3.671,3.684,26036620.0
2022-01-13 07:00:00,3.683,3.733,3.682,3.711,40338650.0
2022-01-13 08:00:00,3.711,3.717,3.675,3.68,32132910.0
2022-01-13 09:00:00,3.68,3.716,3.68,3.694,86154540.0
2022-01-13 10:00:00,3.694,3.709,3.675,3.695,52764880.0
2022-01-13 11:00:00,3.69,3.71,3.683,3.688,54268600.0
2022-01-13 12:00:00,3.688,3.699,3.639,3.664,79188140.0
2022-01-13 13:00:00,3.662,3.689,3.584,3.621,162936660.0
2022-01-13 14:00:00,3.621,3.63,3.573,3.59,104320000.0
2022-01-13 15:00:00,3.59,3.7,3.581,3.646,218122780.0
2022-01-13 16:00:00,3.643,3.649,3.5,3.546,151725560.0
2022-01-13 17:00:00,3.547,3.686,3.5,3.623,350970720.0
2022-01-13 18:00:00,3.62,3.692,3.539,3.678,158603790.0
2022-01-13 19:00:00,3.678,3.688,3.6,3.616,118607820.0
2022-01-13 20:00:00,3.622,3.64,3.539,3.569,20267090.0
2022-01-13 21:00:00,3.569,3.635,3.519,3.567,92107130.0
2022-01-13 22:00:00,3.584,3.593,3.535,3.535,17211990.0
2022-01-13 23:00:00,3.534,3.552,3.516,3.518,18640430.0
2022-01-14 00:00:00,3.518,3.518,3.5,3.505,29338430.0
2022-01-14 01:00:00,3.519,3.561,3.49,3.523,66195270.00000001
2022-01-14 02:00:00,3.523,3.58,3.513,3.554,72629290.0
2022-01-14 03:00:00,3.554,3.558,3.491,3.53,32825830.0
2022-01-14 04:00:00,3.537,3.572,3.506,3.524,48336190.0
2022-01-14 05:00:00,3.523,3.552,3.506,3.531,26281860.0
2022-01-14 06:00:00,3.527,3.596,3.506,3.569,66218369.99999999
2022-01-14 07:00:00,3.561,3.57,3.522,3.57,83862940.0
2022-01-14 08:00:00,3.57,3.573,3.506,3.518,49031890.0
2022-01-14 09:00:00,3.518,3.631,3.508,3.564,308389400.0
2022-01-14 10:00:00,3.559,3.611,3.556,3.584,30178680.0
2022-01-14 11:00:00,3.581,3.592,3.525,3.525,50908550.0
2022-01-14 12:00:00,3.532,3.58,3.5,3.53,99656060.0
2022-01-14 13:00:00,3.53,3.56,3.527,3.545,98765890.0
2022-01-14 14:00:00,3.541,3.582,3.506,3.51,43875110.0
2022-01-14 15:00:00,3.51,3.567,3.479,3.558,94853430.0
2022-01-14 16:00:00,3.553,3.59,3.524,3.585,98824810.0
2022-01-14 17:00:00,3.581,3.596,3.546,3.579,137693390.0
2022-01-14 18:00:00,3.574,3.607,3.558,3.586,95442870.0
2022-01-14 19:00:00,3.586,3.6,3.58,3.593,33211930.0
2022-01-14 20:00:00,3.587,3.62,3.582,3.601,21244090.0
2022-01-14 21:00:00,3.601,3.624,3.601,3.61,25328570.0
2022-01-14 22:00:00,3.605,3.632,3.605,3.624,22177820.0
2022-01-14 23:00:00,3.628,3.636,3.618,3.632,16041860.0
2022-01-15 00:00:00,3.632,3.642,3.547,3.562,72661990.0
2022-01-15 01:00:00,3.56,3.633,3.541,3.59,65979590.0
2022-01-15 02:00:00,3.585,3.629,3.572,3.607,62760220.0
2022-01-15 03:00:00,3.606,3.689,3.606,3.685,85759850.0
