,Open,High,Low,Close,Volume
2020-10-21 06:00:00,0.4,1.49,0.18,0.7823,11577708340.0
2020-10-21 07:00:00,0.7832,0.9738,0.7822,0.9316,7723008380.0
2020-10-21 08:00:00,0.9301,0.9369,0.7815,0.7862,3322601310.0
2020-10-21 09:00:00,0.7862,0.858,0.7511,0.8027,2107742160.0000002
2020-10-21 10:00:00,0.8035,0.83,0.761,0.822,1684851070.0
2020-10-21 11:00:00,0.822,0.8684,0.8178,0.8547,1659737880.0
2020-10-21 12:00:00,0.8547,0.86,0.8041,0.8302,1010780080.0
2020-10-21 13:00:00,0.8348,0.84,0.7777,0.7823,570715990.0
2020-10-21 14:00:00,0.7838,0.8004,0.76,0.7879,1029401340.0
2020-10-21 15:00:00,0.786,0.8035,0.7265,0.7287,988481280.0
2020-10-21 16:00:00,0.7292,0.7511,0.7102,0.7506,1102770080.0
2020-10-21 17:00:00,0.7506,0.76,0.7169,0.753,701901910.0
2020-10-21 18:00:00,0.753,0.7617,0.7285,0.7443,585214130.0
2020-10-21 19:00:00,0.743,0.7432,0.7105,0.7226,391356950.0
2020-10-21 20:00:00,0.7205,0.755,0.714,0.7387,477556640.0
2020-10-21 21:00:00,0.7387,0.7538,0.7241,0.7359,272757180.0
2020-10-21 22:00:00,0.7358,0.75,0.7313,0.7429,188075260.0
2020-10-21 23:00:00,0.7431,0.7433,0.7246,0.7349,123825780.0
2020-10-22 00:00:00,0.7349,0.7357,0.7208,0.7268,145889110.0
2020-10-22 01:00:00,0.7277,0.782,0.7257,0.7803,556373910.0
2020-10-22 02:00:00,0.7825,0.827,0.77,0.7961,886593900.0
2020-10-22 03:00:00,0.7965,0.7965,0.765,0.7825,270390080.0
2020-10-22 04:00:00,0.7825,0.7837,0.7303,0.7303,232496980.0
2020-10-22 05:00:00,0.7301,0.7769,0.7273,0.7653,229140930.0
2020-10-22 06:00:00,0.7639,0.765,0.7341,0.7531,167060230.0
2020-10-22 07:00:00,0.7503,0.7831,0.7369,0.7755,321838910.0
2020-10-22 08:00:00,0.7748,0.7946,0.7712,0.7777,131111480.00000001
2020-10-22 09:00:00,0.7777,0.7903,0.7604,0.7628,154999130.0
2020-10-22 10:00:00,0.7627,0.7655,0.7386,0.7619,211411970.0
2020-10-22 11:00:00,0.7619,0.7673,0.75,0.7532,100550970.0
2020-10-22 12:00:00,0.7563,0.7751,0.751,0.771,134913230.0
2020-10-22 13:00:00,0.771,0.7942,0.758,0.7841,205230890.0
2020-10-22 14:00:00,0.7863,0.7866,0.758,0.7605,170975220.0
2020-10-22 15:00:00,0.761,0.7703,0.7551,0.7551,149931940.0
2020-10-22 16:00:00,0.7552,0.7584,0.7406,0.7437,162215970.0
2020-10-22 17:00:00,0.7437,0.7608,0.7315,0.7431,205137930.0
2020-10-22 18:00:00,0.7436,0.75,0.736,0.7399,117532950.0
2020-10-22 19:00:00,0.7399,0.7445,0.7308,0.7445,83837010.0
2020-10-22 20:00:00,0.7441,0.7575,0.7365,0.7533,109665560.0
2020-10-22 21:00:00,0.7533,0.7533,0.7457,0.7467,24277520.0
2020-10-22 22:00:00,0.7467,0.7539,0.7446,0.7535,71001210.0
2020-10-22 23:00:00,0.7535,0.7741,0.7492,0.7738,204497970.0
2020-10-23 00:00:00,0.7737,0.8139,0.7674,0.8026,308428970.0
2020-10-23 01:00:00,0.8031,0.804,0.7774,0.7844,160656450.0
2020-10-23 02:00:00,0.7819,0.8612,0.7779,0.86,657831950.0
2020-10-23 03:00:00,0.8601,0.8872,0.8129,0.8235,568678940.0
2020-10-23 04:00:00,0.823,0.8241,0.798,0.799,191810590.0
2020-10-23 05:00:00,0.8016,0.828,0.794,0.8245,164188650.0
2020-10-23 06:00:00,0.8245,0.84,0.8083,0.8217,133989019.99999999
2020-10-23 07:00:00,0.8219,0.857,0.8166,0.8561,290583270.0
2020-10-23 08:00:00,0.8555,0.857,0.8316,0.8432,137159720.0
2020-10-23 09:00:00,0.8431,0.945,0.843,0.9203,960828240.0
2020-10-23 10:00:00,0.92,0.9347,0.885,0.8879,802430020.0
2020-10-23 11:00:00,0.8875,0.9302,0.8847,0.922,353106020.0
2020-10-23 12:00:00,0.9214,0.9622,0.92,0.923,876459490.0
2020-10-23 13:00:00,0.9239,0.9528,0.9156,0.9407,420595850.0
2020-10-23 14:00:00,0.9406,0.9407,0.9011,0.9082,265008020.00000003
2020-10-23 15:00:00,0.9083,0.9841,0.9082,0.983,758074180.0
2020-10-23 16:00:00,0.9823,1.16,0.9724,1.0342,3136612070.0
2020-10-23 17:00:00,1.0345,1.0677,0.9879,1.0028,1766426840.0
2020-10-23 18:00:00,1.0008,1.06,0.9586,1.0211,1535787200.0
2020-10-23 19:00:00,1.0209,1.085,0.9721,1.042,1341805840.0
2020-10-23 20:00:00,1.0424,1.0989,1.0424,1.0682,696022000.0
2020-10-23 21:00:00,1.0681,1.0802,0.9934,1.0802,1010756790.0
2020-10-23 22:00:00,1.0812,1.095,1.0402,1.0831,420571800.0
2020-10-23 23:00:00,1.0831,1.1828,1.0679,1.1729,996290310.0
2020-10-24 00:00:00,1.1729,1.1977,1.125,1.1623,886877160.0
2020-10-24 01:00:00,1.1623,1.224,1.1411,1.1838,817644330.0
2020-10-24 02:00:00,1.1904,1.1904,1.1103,1.1628,731026370.0
2020-10-24 03:00:00,1.165,1.1705,1.032,1.0661,780603350.0
2020-10-24 04:00:00,1.0663,1.1105,1.0432,1.0636,445413480.0
2020-10-24 05:00:00,1.0635,1.1294,1.0603,1.0893,306200360.0
2020-10-24 06:00:00,1.0893,1.0899,1.0205,1.0443,452990890.0
2020-10-24 07:00:00,1.0411,1.06,1.0084,1.0235,351642570.0
2020-10-24 08:00:00,1.0263,1.0263,0.9855,0.9925,412665390.0
2020-10-24 09:00:00,0.9925,1.0214,0.9716,1.004,493070860.0
2020-10-24 10:00:00,1.0018,1.06,0.9936,1.0375,763106320.0
2020-10-24 11:00:00,1.037,1.0729,1.0142,1.0729,402611580.0
2020-10-24 12:00:00,1.0726,1.1104,1.0599,1.0789,706724370.0
2020-10-24 13:00:00,1.0789,1.0789,1.0375,1.0476,314456780.0
2020-10-24 14:00:00,1.0435,1.0885,1.0428,1.0518,393289210.0
2020-10-24 15:00:00,1.0571,1.0727,1.0231,1.03,351796900.0
2020-10-24 16:00:00,1.0299,1.0336,0.982,1.0128,615259560.0
2020-10-24 17:00:00,1.0131,1.0389,0.99,0.992,371702220.0
2020-10-24 18:00:00,0.992,1.03,0.98,1.0176,358703200.0
2020-10-24 19:00:00,1.0196,1.0196,0.9856,1.0019,214988800.0
2020-10-24 20:00:00,1.005,1.005,0.9495,0.9681,590026320.0
2020-10-24 21:00:00,0.9682,0.9682,0.9355,0.9427,289295280.0
2020-10-24 22:00:00,0.9438,0.9626,0.9353,0.937,198442130.0
2020-10-24 23:00:00,0.9387,0.9573,0.9321,0.9557,125356120.0
2020-10-25 00:00:00,0.9557,0.9698,0.94,0.9697,100969340.0
2020-10-25 01:00:00,0.9696,0.9888,0.9429,0.9466,340892490.0
2020-10-25 02:00:00,0.9495,0.9641,0.91,0.916,275620470.0
2020-10-25 03:00:00,0.916,0.9214,0.8931,0.9,297433830.0
2020-10-25 04:00:00,0.9028,0.9086,0.8691,0.8829,327227980.0
2020-10-25 05:00:00,0.8824,0.9149,0.861,0.87,343472110.0
2020-10-25 06:00:00,0.87,0.8914,0.8431,0.8697,327921650.0
2020-10-25 07:00:00,0.8696,0.8939,0.8506,0.884,283444290.0
2020-10-25 08:00:00,0.884,0.899,0.855,0.8981,289979690.0
2020-10-25 09:00:00,0.8983,0.9039,0.8736,0.8901,204640940.0
2020-10-25 10:00:00,0.8908,0.9298,0.8908,0.9247,331860760.0
2020-10-25 11:00:00,0.9246,0.9298,0.906,0.9112,175876610.0
2020-10-25 12:00:00,0.9106,0.9279,0.8739,0.92,424761210.0
2020-10-25 13:00:00,0.92,0.9279,0.8918,0.917,177103450.0
2020-10-25 14:00:00,0.917,0.918,0.889,0.8893,75612780.0
2020-10-25 15:00:00,0.8901,0.8983,0.8826,0.8856,54473050.0
2020-10-25 16:00:00,0.8898,0.9125,0.8884,0.8948,140840720.0
2020-10-25 17:00:00,0.8898,0.8985,0.8666,0.8765,115276910.0
2020-10-25 18:00:00,0.8783,0.899,0.8749,0.8858,85194670.0
2020-10-25 19:00:00,0.8862,0.9229,0.8842,0.9119,153533640.0
2020-10-25 20:00:00,0.9122,0.93,0.9116,0.93,136889960.0
2020-10-25 21:00:00,0.9299,0.99,0.9256,0.9461,470707360.0
2020-10-25 22:00:00,0.9503,0.9758,0.9503,0.975,178409240.0
2020-10-25 23:00:00,0.975,0.9827,0.9584,0.9646,175624550.0
2020-10-26 00:00:00,0.9607,0.965,0.8954,0.9033,393052490.0
2020-10-26 01:00:00,0.9032,0.9214,0.8662,0.8844,421468470.0
2020-10-26 02:00:00,0.8861,0.8899,0.8748,0.8879,105464240.0
2020-10-26 03:00:00,0.8879,0.8991,0.8845,0.896,60648600.0
2020-10-26 04:00:00,0.896,0.9099,0.8914,0.9049,79228330.0
2020-10-26 05:00:00,0.9049,0.92,0.8893,0.891,69707880.0
2020-10-26 06:00:00,0.8894,0.8953,0.88,0.8915,50898250.0
2020-10-26 07:00:00,0.8915,0.9045,0.8801,0.9019,59513650.0
2020-10-26 08:00:00,0.9018,0.9186,0.8988,0.912,94896530.0
2020-10-26 09:00:00,0.9119,0.9198,0.8572,0.8723,236974750.0
2020-10-26 10:00:00,0.8724,0.8764,0.8119,0.8268,649117550.0
