,Open,High,Low,Close,Volume
2018-05-31 11:00:00,1.4,2.15,1.4,1.7051,130053010.0
2018-05-31 12:00:00,1.7059,1.7399,1.6881,1.7249,81927300.0
2018-05-31 13:00:00,1.7205,1.7733,1.7113,1.7285,169201060.0
2018-05-31 14:00:00,1.7266,1.76,1.7124,1.7358,291267750.0
2018-05-31 15:00:00,1.7349,1.75,1.6951,1.7394,257386740.0
2018-05-31 16:00:00,1.7389,1.7498,1.7266,1.7402,255248930.0
2018-05-31 17:00:00,1.743,1.81,1.7402,1.7787,566233310.0
2018-05-31 18:00:00,1.7787,1.7823,1.75,1.7699,364077250.0
2018-05-31 19:00:00,1.7667,1.8369,1.7657,1.8,331274280.0
2018-05-31 20:00:00,1.8038,1.817,1.7819,1.787,386623360.0
2018-05-31 21:00:00,1.782,1.7864,1.761,1.7612,289584740.0
2018-05-31 22:00:00,1.7613,1.7799,1.754,1.7587,364370190.0
2018-05-31 23:00:00,1.7623,1.7797,1.7574,1.766,188971930.0
2018-06-01 00:00:00,1.7663,1.7758,1.7247,1.7304,430242420.0
2018-06-01 01:00:00,1.7309,1.77,1.7251,1.7547,194805020.0
2018-06-01 02:00:00,1.7548,1.773,1.7514,1.7537,291754610.0
2018-06-01 03:00:00,1.756,1.7678,1.7362,1.7532,284849210.0
2018-06-01 04:00:00,1.7543,1.765,1.7515,1.7534,167276440.0
2018-06-01 05:00:00,1.7526,1.7541,1.7397,1.7474,313603820.0
2018-06-01 06:00:00,1.7473,1.7475,1.7128,1.7277,295299520.0
2018-06-01 07:00:00,1.7277,1.7349,1.7181,1.7305,284221350.0
2018-06-01 08:00:00,1.7285,1.83,1.7276,1.8131,409217960.0
2018-06-01 09:00:00,1.8131,1.8888,1.8131,1.8534,536518709.99999994
2018-06-01 10:00:00,1.8531,1.894,1.8391,1.8921,360522450.0
2018-06-01 11:00:00,1.8921,1.912,1.8324,1.8508,344411120.0
2018-06-01 12:00:00,1.8565,1.8751,1.846,1.8569,311926510.0
2018-06-01 13:00:00,1.8569,1.8721,1.7685,1.7787,443089460.0
2018-06-01 14:00:00,1.7787,1.83,1.774,1.8135,498947500.0
2018-06-01 15:00:00,1.8145,1.846,1.8064,1.8329,325868150.0
2018-06-01 16:00:00,1.831,1.8441,1.818,1.8243,248444050.0
2018-06-01 17:00:00,1.8243,1.8444,1.805,1.844,386477130.0
2018-06-01 18:00:00,1.844,1.8888,1.8364,1.8835,362314360.0
2018-06-01 19:00:00,1.8835,1.8887,1.8252,1.8503,419520040.0
2018-06-01 20:00:00,1.8514,1.8634,1.8287,1.8349,217783560.0
2018-06-01 21:00:00,1.8345,1.8717,1.8289,1.8558,226723880.0
2018-06-01 22:00:00,1.8507,1.865,1.8289,1.8547,237984280.0
