,Open,High,Low,Close,Volume
2020-08-11 08:00:00,0.11269,0.14499,0.09249,0.099,606932600.0
2020-08-11 09:00:00,0.09935,0.10369,0.09621,0.10017,878187900.0
2020-08-11 10:00:00,0.10017,0.1085,0.09969,0.1079,1028601100.0
2020-08-11 11:00:00,0.10621,0.10621,0.09901,0.09909,603690500.0
2020-08-11 12:00:00,0.09975,0.09975,0.09448,0.09534,1193316600.0
2020-08-11 13:00:00,0.09536,0.09643,0.0922,0.09476,546406300.0
2020-08-11 14:00:00,0.09414,0.096,0.09145,0.09145,758574400.0
2020-08-11 15:00:00,0.092,0.09356,0.08502,0.08826,1479211200.0
2020-08-11 16:00:00,0.08826,0.09045,0.08612,0.0901,502190600.0
2020-08-11 17:00:00,0.0901,0.09355,0.08626,0.09237,1579695900.0
2020-08-11 18:00:00,0.0919,0.09197,0.08747,0.08932,518975700.0
2020-08-11 19:00:00,0.08955,0.09333,0.089,0.09157,851600100.0
2020-08-11 20:00:00,0.09157,0.10464,0.0915,0.10072,1314285900.0
2020-08-11 21:00:00,0.10071,0.11107,0.10071,0.10629,4410282900.0
2020-08-11 22:00:00,0.10594,0.10594,0.09536,0.09785,1798647400.0
2020-08-11 23:00:00,0.09786,0.102,0.09444,0.09992,1186560000.0
2020-08-12 00:00:00,0.09994,0.103,0.09882,0.10213,841481900.0
2020-08-12 01:00:00,0.10235,0.1084,0.10006,0.1084,1130799500.0
2020-08-12 02:00:00,0.10818,0.10899,0.10358,0.1055,1148355700.0
2020-08-12 03:00:00,0.1054,0.1054,0.09436,0.0993,1495012700.0
2020-08-12 04:00:00,0.09899,0.111,0.09887,0.10631,1841538900.0
2020-08-12 05:00:00,0.10618,0.10997,0.10263,0.10296,982112600.0
2020-08-12 06:00:00,0.10326,0.10387,0.1,0.1005,589998300.0
2020-08-12 07:00:00,0.10077,0.10202,0.09826,0.099,608880400.0
2020-08-12 08:00:00,0.09901,0.10708,0.09602,0.10348,898743500.0
2020-08-12 09:00:00,0.103,0.10664,0.10089,0.10589,1299584800.0
2020-08-12 10:00:00,0.10589,0.10998,0.10468,0.10838,2238114900.0
2020-08-12 11:00:00,0.10837,0.13795,0.107,0.11781,6517771900.0
2020-08-12 12:00:00,0.11823,0.1225,0.11239,0.12,4382958600.0
2020-08-12 13:00:00,0.12025,0.136,0.11717,0.12909,6090226100.0
2020-08-12 14:00:00,0.1295,0.135,0.12193,0.12502,5087697600.0
2020-08-12 15:00:00,0.12582,0.13,0.1216,0.12261,3448500200.0
2020-08-12 16:00:00,0.12261,0.12999,0.12161,0.12426,2783195100.0
2020-08-12 17:00:00,0.1245,0.128,0.117,0.12168,2454175500.0
2020-08-12 18:00:00,0.1219,0.139,0.1175,0.13299,8778007500.0
2020-08-12 19:00:00,0.13272,0.146,0.13138,0.13396,9091919900.0
2020-08-12 20:00:00,0.13386,0.13966,0.12802,0.12972,2886565600.0
2020-08-12 21:00:00,0.12999,0.13891,0.12872,0.13179,2025498600.0
2020-08-12 22:00:00,0.13171,0.135,0.13,0.13354,867766000.0
2020-08-12 23:00:00,0.1328,0.15,0.1328,0.14107,4695145600.0
2020-08-13 00:00:00,0.14107,0.149,0.13812,0.14181,2784182100.0
2020-08-13 01:00:00,0.14215,0.147,0.1358,0.1435,3237651900.0
2020-08-13 02:00:00,0.14226,0.1465,0.13799,0.14209,1750557000.0
2020-08-13 03:00:00,0.142,0.144,0.13712,0.14052,1496741400.0
2020-08-13 04:00:00,0.14102,0.14599,0.13668,0.137,1238393700.0
2020-08-13 05:00:00,0.137,0.14126,0.13666,0.13685,1159662800.0
2020-08-13 06:00:00,0.13677,0.13692,0.13163,0.13424,2741651800.0
2020-08-13 07:00:00,0.13417,0.138,0.13002,0.13644,1353526600.0
2020-08-13 08:00:00,0.13644,0.1475,0.13475,0.138,2540733100.0
2020-08-13 09:00:00,0.13789,0.14022,0.13567,0.13595,727803900.0
2020-08-13 10:00:00,0.13595,0.13624,0.12267,0.12639,3392670700.0
2020-08-13 11:00:00,0.1262,0.1306,0.12062,0.13059,1257584300.0
2020-08-13 12:00:00,0.13059,0.13333,0.125,0.126,900497200.0
