,Open,High,Low,Close,Volume
2021-11-22 13:00:00,0.1451,0.3649,0.1451,0.253,317573462300.0
2021-11-22 14:00:00,0.2527,0.2649,0.2236,0.2255,107911314600.0
2021-11-22 15:00:00,0.2255,0.2398,0.218,0.2317,48563500200.0
2021-11-22 16:00:00,0.2317,0.2321,0.2121,0.218,34053538100.0
2021-11-22 17:00:00,0.2176,0.2178,0.1884,0.1943,51866424900.0
2021-11-22 18:00:00,0.1943,0.2094,0.1866,0.201,61165104600.0
2021-11-22 19:00:00,0.2012,0.2146,0.1942,0.1962,37485000500.0
2021-11-22 20:00:00,0.1962,0.205,0.1881,0.1885,17232544100.0
2021-11-22 21:00:00,0.1882,0.204,0.1873,0.1951,25497920000.0
2021-11-22 22:00:00,0.1952,0.23,0.1945,0.2183,51884177200.0
2021-11-22 23:00:00,0.2176,0.2547,0.2075,0.2536,61398728400.0
2021-11-23 00:00:00,0.2536,0.28,0.227,0.2366,123544598700.0
2021-11-23 01:00:00,0.2366,0.2446,0.2158,0.2342,30534639300.0
2021-11-23 02:00:00,0.2347,0.2355,0.2117,0.217,16483027200.0
2021-11-23 03:00:00,0.2168,0.2271,0.2123,0.2239,13870850100.0
2021-11-23 04:00:00,0.2245,0.2428,0.2171,0.2216,21507842400.0
2021-11-23 05:00:00,0.2217,0.2286,0.2162,0.2191,11090461700.0
2021-11-23 06:00:00,0.219,0.222,0.2076,0.2161,18255723500.0
2021-11-23 07:00:00,0.2161,0.2192,0.2026,0.2047,15974005600.0
2021-11-23 08:00:00,0.2046,0.214,0.2032,0.2083,15176271000.0
2021-11-23 09:00:00,0.2083,0.2101,0.198,0.1984,14719324400.0
2021-11-23 10:00:00,0.1984,0.2088,0.1982,0.2051,20628038100.0
2021-11-23 11:00:00,0.2051,0.2062,0.1976,0.1992,11958881500.0
2021-11-23 12:00:00,0.1991,0.2069,0.1955,0.1982,17728209300.0
2021-11-23 13:00:00,0.1983,0.199,0.1955,0.1974,14608833400.0
2021-11-23 14:00:00,0.1976,0.2045,0.1971,0.2004,16230398700.0
2021-11-23 15:00:00,0.2004,0.2038,0.199,0.2002,7798266200.0
2021-11-23 16:00:00,0.2003,0.2019,0.1961,0.1997,10452700900.0
2021-11-23 17:00:00,0.1997,0.2082,0.1963,0.2021,15336229500.0
