,Open,High,Low,Close,Volume
2021-12-28 12:00:00,2.21,2.79,2.21,2.427,8456452330.0
2021-12-28 13:00:00,2.427,2.544,2.414,2.472,1897900600.0
2021-12-28 14:00:00,2.471,2.477,2.335,2.411,961400690.0
2021-12-28 15:00:00,2.412,2.423,2.294,2.35,840080090.0
2021-12-28 16:00:00,2.35,2.439,2.33,2.414,635638470.0
2021-12-28 17:00:00,2.412,2.419,2.262,2.344,783704090.0
2021-12-28 18:00:00,2.344,2.355,2.224,2.241,466153970.0
2021-12-28 19:00:00,2.24,2.314,2.225,2.241,502540530.0
2021-12-28 20:00:00,2.242,2.299,2.202,2.289,485740120.0
2021-12-28 21:00:00,2.29,2.456,2.245,2.359,807108450.0
2021-12-28 22:00:00,2.358,2.49,2.329,2.367,655878050.0
2021-12-28 23:00:00,2.367,2.406,2.306,2.374,445402140.0
2021-12-29 00:00:00,2.374,2.421,2.356,2.364,224843470.0
2021-12-29 01:00:00,2.363,2.436,2.363,2.413,463195660.0
2021-12-29 02:00:00,2.413,2.455,2.386,2.388,256470670.0
2021-12-29 03:00:00,2.389,2.4,2.342,2.353,198941880.0
2021-12-29 04:00:00,2.349,2.4,2.342,2.368,123750280.0
2021-12-29 05:00:00,2.368,2.386,2.34,2.35,106156010.0
2021-12-29 06:00:00,2.346,2.349,2.301,2.305,102309140.0
2021-12-29 07:00:00,2.307,2.341,2.301,2.338,119671060.0
2021-12-29 08:00:00,2.338,2.35,2.252,2.268,279063460.0
2021-12-29 09:00:00,2.268,2.3,2.265,2.27,160685560.0
2021-12-29 10:00:00,2.266,2.285,2.2,2.27,339553100.0
2021-12-29 11:00:00,2.271,2.299,2.253,2.272,129166620.0
2021-12-29 12:00:00,2.272,2.32,2.255,2.292,245398130.0
2021-12-29 13:00:00,2.288,2.288,2.182,2.191,500508240.0
2021-12-29 14:00:00,2.19,2.25,2.172,2.233,209819720.0
2021-12-29 15:00:00,2.233,2.28,2.23,2.266,130699890.0
2021-12-29 16:00:00,2.266,2.293,2.252,2.291,128472170.0
2021-12-29 17:00:00,2.291,2.312,2.265,2.284,72220520.0
2021-12-29 18:00:00,2.284,2.32,2.273,2.285,210136460.0
2021-12-29 19:00:00,2.291,2.323,2.262,2.284,139014700.0
2021-12-29 20:00:00,2.284,2.3,2.265,2.271,101013720.0
2021-12-29 21:00:00,2.271,2.29,2.252,2.279,125416870.0
2021-12-29 22:00:00,2.277,2.295,2.25,2.288,66243720.0
2021-12-29 23:00:00,2.288,2.29,2.273,2.28,25069190.0
2021-12-30 00:00:00,2.28,2.283,2.226,2.262,141395710.0
2021-12-30 01:00:00,2.26,2.316,2.211,2.3,185655760.0
2021-12-30 02:00:00,2.3,2.319,2.274,2.284,36681740.0
