,Open,High,Low,Close,Volume
2020-08-11 08:00:00,0.07367,0.096,0.0728,0.07561,53157373700.0
2020-08-11 09:00:00,0.07586,0.079,0.06758,0.07515,30217360500.0
2020-08-11 10:00:00,0.07515,0.07701,0.072,0.0743,9124735900.0
2020-08-11 11:00:00,0.07453,0.079,0.07385,0.07675,9081361300.0
2020-08-11 12:00:00,0.07709,0.07752,0.0735,0.07376,4454570100.0
2020-08-11 13:00:00,0.0738,0.07506,0.069,0.07121,6397679700.0
2020-08-11 14:00:00,0.07121,0.07269,0.0691,0.07019,6714932900.0
2020-08-11 15:00:00,0.07019,0.07143,0.06364,0.06827,14271623900.0
2020-08-11 16:00:00,0.06829,0.074,0.06812,0.0715,15459919400.0
2020-08-11 17:00:00,0.0715,0.07418,0.06623,0.07128,14053017000.0
2020-08-11 18:00:00,0.07147,0.07336,0.06787,0.06947,14576723800.0
2020-08-11 19:00:00,0.06895,0.0727,0.068,0.07138,14557603800.0
2020-08-11 20:00:00,0.0713,0.0718,0.069,0.06931,9201886700.0
2020-08-11 21:00:00,0.06931,0.06952,0.068,0.0681,1484224000.0
2020-08-11 22:00:00,0.06832,0.06931,0.06622,0.06647,2387305900.0
2020-08-11 23:00:00,0.06647,0.06798,0.06466,0.06561,5239536300.0
2020-08-12 00:00:00,0.06561,0.06703,0.064,0.06489,10639957700.0
2020-08-12 01:00:00,0.06538,0.06974,0.06452,0.06895,18123785200.0
2020-08-12 02:00:00,0.06916,0.0729,0.06826,0.07094,32053063800.0
2020-08-12 03:00:00,0.07036,0.07123,0.069,0.06928,26979026200.0
2020-08-12 04:00:00,0.0692,0.07009,0.0678,0.06867,29583545800.0
2020-08-12 05:00:00,0.06874,0.072,0.06816,0.07,41915244100.0
2020-08-12 06:00:00,0.06998,0.08498,0.06959,0.08075,46340533700.0
2020-08-12 07:00:00,0.0804,0.08099,0.0733,0.07332,34872287000.0
2020-08-12 08:00:00,0.07332,0.07755,0.07315,0.07635,43258144000.0
2020-08-12 09:00:00,0.07649,0.081,0.07631,0.07811,38071087400.0
2020-08-12 10:00:00,0.0781,0.07899,0.07402,0.07487,20800887800.0
2020-08-12 11:00:00,0.07451,0.076,0.0731,0.07536,32234069600.0
2020-08-12 12:00:00,0.07488,0.076,0.07363,0.07499,26340721200.0
2020-08-12 13:00:00,0.07518,0.07587,0.0718,0.07267,42590240500.0
2020-08-12 14:00:00,0.07264,0.07659,0.07134,0.07552,28050263200.0
2020-08-12 15:00:00,0.07568,0.07875,0.07444,0.07825,38319916400.0
2020-08-12 16:00:00,0.07818,0.0808,0.0766,0.07911,35370953700.0
2020-08-12 17:00:00,0.07902,0.08149,0.07701,0.07917,27456537900.0
2020-08-12 18:00:00,0.07916,0.08149,0.07747,0.07876,16592387800.0
2020-08-12 19:00:00,0.07875,0.07997,0.07562,0.07638,32437830100.0
2020-08-12 20:00:00,0.07627,0.07821,0.07568,0.07636,43562790900.0
2020-08-12 21:00:00,0.07654,0.0766,0.07464,0.07489,8333698400.0
2020-08-12 22:00:00,0.07496,0.07626,0.07463,0.0747,5723505700.0
2020-08-12 23:00:00,0.07497,0.0763,0.07464,0.07501,5843860500.0
2020-08-13 00:00:00,0.07501,0.07851,0.07476,0.07569,22263213200.0
2020-08-13 01:00:00,0.07573,0.07756,0.07499,0.07666,42533456800.0
2020-08-13 02:00:00,0.07667,0.079,0.07587,0.07635,37012683400.0
2020-08-13 03:00:00,0.07648,0.07805,0.076,0.07639,35517579300.0
2020-08-13 04:00:00,0.07648,0.07694,0.07122,0.07399,28622243300.0
2020-08-13 05:00:00,0.07387,0.076,0.07204,0.07313,21612143800.0
2020-08-13 06:00:00,0.07319,0.07425,0.07216,0.07317,13838761900.0
2020-08-13 07:00:00,0.07328,0.07362,0.07201,0.07254,26319509500.0
2020-08-13 08:00:00,0.07239,0.07299,0.07,0.07131,21214288900.0
2020-08-13 09:00:00,0.07168,0.07494,0.07126,0.0726,13338202500.0
2020-08-13 10:00:00,0.0726,0.07399,0.07006,0.07086,8686818700.0
2020-08-13 11:00:00,0.07105,0.07176,0.06912,0.0708,8900353700.0
2020-08-13 12:00:00,0.07073,0.0744,0.07073,0.07407,5571578100.0
2020-08-13 13:00:00,0.07398,0.0763,0.072,0.07262,12308365600.0
2020-08-13 14:00:00,0.07269,0.07336,0.07172,0.07211,4968243300.0
2020-08-13 15:00:00,0.07225,0.07276,0.0709,0.07165,6682613200.0
2020-08-13 16:00:00,0.07165,0.07299,0.071,0.072,5511468600.0
2020-08-13 17:00:00,0.07201,0.07292,0.0711,0.07219,7890181200.0
2020-08-13 18:00:00,0.07195,0.07277,0.06893,0.07005,10004887000.0
2020-08-13 19:00:00,0.07021,0.07241,0.07002,0.07124,4036180300.0
2020-08-13 20:00:00,0.07133,0.072,0.07,0.07096,2006684700.0
2020-08-13 21:00:00,0.07096,0.07098,0.06972,0.07025,3964284200.0
2020-08-13 22:00:00,0.07014,0.07087,0.0685,0.06988,2151127400.0
2020-08-13 23:00:00,0.07018,0.07025,0.06853,0.06869,3239231900.0
2020-08-14 00:00:00,0.06871,0.07026,0.06828,0.0695,3695573200.0
2020-08-14 01:00:00,0.06979,0.0702,0.069,0.06955,1525635300.0
2020-08-14 02:00:00,0.0698,0.07172,0.06961,0.07164,2610032500.0
2020-08-14 03:00:00,0.0718,0.07333,0.07011,0.0711,5629462600.0
2020-08-14 04:00:00,0.07108,0.07127,0.06927,0.06961,4743661400.0
2020-08-14 05:00:00,0.06961,0.0715,0.06887,0.07095,2407516800.0
2020-08-14 06:00:00,0.07112,0.0719,0.07031,0.07123,5341790300.0
2020-08-14 07:00:00,0.07111,0.07143,0.0698,0.06981,5487538100.0
2020-08-14 08:00:00,0.07018,0.07115,0.0698,0.07033,4768151800.0
2020-08-14 09:00:00,0.07061,0.087,0.07045,0.07299,96868891000.0
2020-08-14 10:00:00,0.07288,0.07418,0.071,0.07102,12005424500.0
2020-08-14 11:00:00,0.07103,0.07249,0.0709,0.0714,8005411100.0
2020-08-14 12:00:00,0.07164,0.07281,0.07145,0.07209,8767272500.0
2020-08-14 13:00:00,0.0719,0.0722,0.0715,0.07199,6002605500.0
2020-08-14 14:00:00,0.0719,0.07214,0.07133,0.07133,7285909700.0
2020-08-14 15:00:00,0.07135,0.07191,0.07,0.07054,9198121400.0
2020-08-14 16:00:00,0.0705,0.07112,0.07,0.07082,6578679100.0
2020-08-14 17:00:00,0.07099,0.07298,0.0704,0.07116,8308378500.0
2020-08-14 18:00:00,0.07102,0.07133,0.0701,0.07073,5158275400.0
2020-08-14 19:00:00,0.07074,0.07103,0.06992,0.07075,3927638700.0
2020-08-14 20:00:00,0.07073,0.07134,0.07,0.0701,6577383100.0
2020-08-14 21:00:00,0.07042,0.07094,0.0701,0.07068,2704067900.0
2020-08-14 22:00:00,0.07068,0.07071,0.07017,0.07069,867863600.0
2020-08-14 23:00:00,0.07069,0.0718,0.07026,0.07146,1029669500.0
2020-08-15 00:00:00,0.07147,0.07198,0.0712,0.07184,1875366000.0
2020-08-15 01:00:00,0.07184,0.07235,0.071,0.07166,2930930200.0
2020-08-15 02:00:00,0.07167,0.0725,0.07055,0.07056,7875068100.0
2020-08-15 03:00:00,0.07058,0.07131,0.07,0.07095,7146091300.0
2020-08-15 04:00:00,0.07095,0.07132,0.07,0.07005,6392022000.0
2020-08-15 05:00:00,0.0702,0.07064,0.06977,0.07003,5772819700.0
2020-08-15 06:00:00,0.06993,0.07016,0.069,0.06919,6848913500.0
2020-08-15 07:00:00,0.06933,0.06996,0.069,0.06946,6219472400.0
2020-08-15 08:00:00,0.06943,0.06955,0.0681,0.0686,7522054700.0
2020-08-15 09:00:00,0.06861,0.06912,0.06781,0.06884,9050651500.0
2020-08-15 10:00:00,0.06887,0.0725,0.0687,0.06933,7674345000.0
2020-08-15 11:00:00,0.06933,0.071,0.06903,0.06924,3981407000.0
2020-08-15 12:00:00,0.06925,0.07086,0.06901,0.06901,1726441800.0
2020-08-15 13:00:00,0.069,0.06976,0.06857,0.0686,1559912300.0
2020-08-15 14:00:00,0.06856,0.06949,0.06788,0.068,5358421700.0
2020-08-15 15:00:00,0.068,0.06949,0.06785,0.06886,6020264800.0
2020-08-15 16:00:00,0.06897,0.07001,0.06869,0.07001,5517756600.0
2020-08-15 17:00:00,0.07001,0.07006,0.06928,0.06972,3320937500.0
2020-08-15 18:00:00,0.06947,0.06979,0.06879,0.06906,6291062400.0
2020-08-15 19:00:00,0.06911,0.07243,0.06881,0.07084,9059309900.0
2020-08-15 20:00:00,0.07062,0.0708,0.0695,0.0703,5358045000.0
2020-08-15 21:00:00,0.07023,0.0717,0.06996,0.0707,4402999200.0
2020-08-15 22:00:00,0.07068,0.07129,0.07041,0.071,2639927400.0
2020-08-15 23:00:00,0.071,0.0719,0.0701,0.07022,4213837700.0
2020-08-16 00:00:00,0.07035,0.07092,0.06989,0.07061,3547499400.0
2020-08-16 01:00:00,0.0703,0.0716,0.07014,0.07104,4236582700.0
2020-08-16 02:00:00,0.07095,0.07149,0.0702,0.07045,5349565700.0
2020-08-16 03:00:00,0.07045,0.0719,0.07023,0.07112,2903066000.0
2020-08-16 04:00:00,0.07112,0.07126,0.0705,0.0705,866857200.0
2020-08-16 05:00:00,0.0705,0.0719,0.0705,0.07161,3281452900.0
2020-08-16 06:00:00,0.07161,0.07198,0.071,0.0715,5669050500.0
2020-08-16 07:00:00,0.07152,0.07165,0.07068,0.0712,6971530900.0
2020-08-16 08:00:00,0.07123,0.07166,0.07065,0.07086,6180016100.0
2020-08-16 09:00:00,0.07101,0.07144,0.07052,0.0714,8322635900.0
2020-08-16 10:00:00,0.07141,0.07149,0.07066,0.07099,7227572800.0
2020-08-16 11:00:00,0.071,0.07139,0.07075,0.071,5540139400.0
