,Open,High,Low,Close,Volume
2020-12-21 07:00:00,14.66,43.43,12.0,21.227,521261147.0
2020-12-21 08:00:00,21.3,22.301,17.0,20.189,233539355.0
2020-12-21 09:00:00,20.174,23.94,18.01,20.276,183797876.0
2020-12-21 10:00:00,20.234,24.19,18.735,24.15,214661422.0
2020-12-21 11:00:00,24.13,24.712,20.63,23.294,150328706.0
2020-12-21 12:00:00,23.299,33.737,22.222,30.728,364050406.0
2020-12-21 13:00:00,30.946,38.294,27.601,37.107,582280827.0
2020-12-21 14:00:00,37.124,37.5,31.5,35.393,167747831.0
2020-12-21 15:00:00,35.393,35.393,35.393,35.393,0.0
2020-12-21 19:00:00,27.97,35.776,27.97,30.911,249584381.0
2020-12-21 20:00:00,30.847,30.847,23.0,27.312,223036658.0
2020-12-21 21:00:00,27.3,30.53,26.002,28.0,139725953.0
2020-12-21 22:00:00,28.088,29.0,26.85,28.256,77460539.0
2020-12-21 23:00:00,28.293,28.3,25.0,26.274,69416366.0
2020-12-22 00:00:00,26.387,26.702,23.644,25.2,62266838.0
2020-12-22 01:00:00,25.375,26.07,19.391,21.024,109847368.0
2020-12-22 02:00:00,20.955,22.0,18.008,18.301,82860622.0
2020-12-22 03:00:00,18.362,23.79,17.971,23.554,68890003.0
2020-12-22 04:00:00,23.552,25.457,22.04,24.71,87226385.0
2020-12-22 05:00:00,24.739,24.739,21.0,21.458,77171800.0
2020-12-22 06:00:00,21.458,24.5,21.005,22.951,54604646.0
2020-12-22 07:00:00,23.061,23.299,21.1,21.223,41249906.0
2020-12-22 08:00:00,21.224,23.222,21.0,22.61,33568644.0
2020-12-22 09:00:00,22.61,22.921,21.0,21.968,29298678.0
2020-12-22 10:00:00,21.797,27.0,21.459,25.684,100424305.0
2020-12-22 11:00:00,25.684,27.6,23.784,24.25,106481140.0
2020-12-22 12:00:00,24.236,24.685,22.1,23.208,61252295.0
2020-12-22 13:00:00,23.207,23.299,21.081,21.12,46228984.0
2020-12-22 14:00:00,21.121,22.551,21.12,21.535,28782863.0
2020-12-22 15:00:00,21.535,22.0,19.999,20.7,49675343.0
2020-12-22 16:00:00,20.7,22.0,20.142,20.6,43851201.0
2020-12-22 17:00:00,20.535,21.5,20.451,20.65,19982046.0
2020-12-22 18:00:00,20.713,22.0,20.633,21.44,27997494.0
2020-12-22 19:00:00,21.456,21.649,20.78,21.102,13837351.0
2020-12-22 20:00:00,21.102,21.181,20.101,20.199,15388005.0
2020-12-22 21:00:00,20.199,20.488,19.151,19.6,28360063.0
2020-12-22 22:00:00,19.634,20.3,18.265,18.774,31170826.0
2020-12-22 23:00:00,18.773,20.574,18.0,19.599,36451232.0
2020-12-23 00:00:00,19.6,19.748,18.52,18.948,12087179.0
2020-12-23 01:00:00,18.948,19.693,18.4,18.912,16366046.0
2020-12-23 02:00:00,18.996,20.6,18.643,20.249,32578732.0
2020-12-23 03:00:00,20.249,20.642,18.95,19.345,25280764.0
2020-12-23 04:00:00,19.284,19.284,18.519,19.15,9752260.0
2020-12-23 05:00:00,19.14,19.15,18.3,18.4,9957364.0
2020-12-23 06:00:00,18.414,19.0,16.63,16.937,25844986.0
2020-12-23 07:00:00,16.915,17.389,15.65,16.116,40059340.0
2020-12-23 08:00:00,16.199,16.759,15.138,15.822,32783853.000000004
2020-12-23 09:00:00,15.883,16.399,15.183,15.24,26368254.0
2020-12-23 10:00:00,15.24,15.641,14.409,15.159,47435134.0
2020-12-23 11:00:00,15.134,16.388,15.0,15.302,46421807.0
2020-12-23 12:00:00,15.302,15.451,13.501,14.199,40611369.0
2020-12-23 13:00:00,14.18,15.997,13.99,14.702,25627336.0
2020-12-23 14:00:00,14.701,15.49,14.279,14.45,24071596.0
2020-12-23 15:00:00,14.501,15.3,14.002,14.003,17849005.0
2020-12-23 16:00:00,14.004,14.826,13.887,14.1,23775054.0
2020-12-23 17:00:00,14.101,14.277,13.104,13.257,28660351.0
2020-12-23 18:00:00,13.258,14.13,12.784,14.0,26653204.0
2020-12-23 19:00:00,14.0,15.5,14.0,15.2,27738402.0
2020-12-23 20:00:00,15.253,15.34,14.188,14.917,16837243.0
2020-12-23 21:00:00,14.906,15.25,13.6,13.65,12748679.0
2020-12-23 22:00:00,13.65,13.794,12.851,13.341,14163647.0
2020-12-23 23:00:00,13.305,14.044,11.999,13.7,30252007.0
2020-12-24 00:00:00,13.7,15.2,13.5,13.803,29597552.0
2020-12-24 01:00:00,13.866,13.928,12.806,13.0,7256617.0
2020-12-24 02:00:00,13.001,13.552,12.556,13.178,7304272.0
2020-12-24 03:00:00,13.178,14.02,12.78,13.264,8750493.0
2020-12-24 04:00:00,13.166,13.264,12.659,13.264,3281509.0
2020-12-24 05:00:00,13.163,13.262,12.05,12.685,18200642.0
2020-12-24 06:00:00,12.729,13.25,12.558,12.718,3736138.0
2020-12-24 07:00:00,12.823,12.824,12.09,12.12,4896814.0
2020-12-24 08:00:00,12.242,12.8,12.05,12.75,14097938.0
2020-12-24 09:00:00,12.75,13.25,12.566,13.019,9491200.0
2020-12-24 10:00:00,13.099,13.662,13.062,13.413,5303224.0
2020-12-24 11:00:00,13.419,13.5,12.952,13.242,6965491.0
2020-12-24 12:00:00,13.32,13.32,12.901,12.999,3718756.0
2020-12-24 13:00:00,12.999,13.159,12.903,12.979,5862267.0
2020-12-24 14:00:00,12.979,13.069,12.5,12.767,7260438.0
2020-12-24 15:00:00,12.767,14.0,12.767,13.352,21696994.0
2020-12-24 16:00:00,13.398,14.585,13.351,14.445,15264699.0
2020-12-24 17:00:00,14.404,17.602,14.045,15.795,141483932.0
2020-12-24 18:00:00,15.766,15.9,14.66,15.053,44161357.0
2020-12-24 19:00:00,15.01,15.092,14.223,14.586,10864973.0
2020-12-24 20:00:00,14.586,15.51,14.447,15.347,18819538.0
2020-12-24 21:00:00,15.346,15.814,14.849,15.693,12124134.0
2020-12-24 22:00:00,15.769,17.1,15.229,16.3,40728983.0
2020-12-24 23:00:00,16.239,16.646,15.09,15.215,26343194.0
2020-12-25 00:00:00,15.214,15.6,14.64,15.102,12127304.0
2020-12-25 01:00:00,15.305,15.684,14.7,14.956,8235386.0
2020-12-25 02:00:00,14.899,15.029,14.752,14.956,3472634.0
2020-12-25 04:00:00,14.956,14.956,14.245,14.3,4406213.0
2020-12-25 05:00:00,14.263,14.641,13.82,14.26,9907795.0
2020-12-25 06:00:00,14.299,14.708,13.601,14.152,15210871.0
2020-12-25 07:00:00,14.2,14.7,13.972,14.373,6080069.0
2020-12-25 08:00:00,14.383,14.452,13.8,14.0,7800142.0
2020-12-25 09:00:00,13.965,14.938,13.9,14.528,8505135.0
2020-12-25 10:00:00,14.522,15.171,14.5,15.018,4835929.0
2020-12-25 11:00:00,14.999,15.018,14.44,14.666,5836904.0
2020-12-25 12:00:00,14.699,14.98,14.2,14.482,9888106.0
2020-12-25 13:00:00,14.35,14.91,14.159,14.455,13977953.0
2020-12-25 14:00:00,14.455,14.972,14.421,14.489,5184929.0
2020-12-25 15:00:00,14.49,14.824,14.201,14.355,4705541.0
2020-12-25 16:00:00,14.357,14.693,14.357,14.499,3116243.0
2020-12-25 17:00:00,14.417,14.646,14.194,14.2,5841706.0
2020-12-25 18:00:00,14.2,14.342,13.5,14.087,10427458.0
2020-12-25 19:00:00,14.021,14.999,13.727,14.105,49684766.0
2020-12-25 20:00:00,14.05,14.29,13.7,14.066,8582117.0
2020-12-25 21:00:00,14.099,14.387,13.984,14.052,2741005.0
2020-12-25 22:00:00,14.024,14.15,13.801,13.979,3211706.0
2020-12-25 23:00:00,14.063,14.14,13.979,14.079,1036680.0000000001
2020-12-26 00:00:00,14.079,14.9,13.979,14.457,6027509.0
2020-12-26 01:00:00,14.456,14.591,14.116,14.146,1935604.0
2020-12-26 02:00:00,14.168,14.284,13.775,13.798,1982270.0
2020-12-26 03:00:00,13.799,14.0,13.611,13.816,1701927.0
2020-12-26 04:00:00,13.817,14.25,13.695,14.0,2637969.0
2020-12-26 05:00:00,13.95,14.001,13.321,13.821,8927651.0
2020-12-26 06:00:00,13.821,13.97,13.52,13.7,3213927.0
2020-12-26 07:00:00,13.7,14.183,13.5,14.183,4408361.0
2020-12-26 08:00:00,14.087,14.299,13.88,14.03,3356258.0
2020-12-26 09:00:00,14.113,15.476,14.0,15.475,11489242.0
2020-12-26 10:00:00,15.402,16.2,14.425,14.788,17328322.0
2020-12-26 11:00:00,14.788,15.222,14.5,14.724,8975516.0
2020-12-26 12:00:00,14.725,14.759,14.194,14.637,4659340.0
2020-12-26 13:00:00,14.64,15.031,14.557,14.557,3540725.0
2020-12-26 14:00:00,14.557,14.749,14.46,14.742,1629330.0
2020-12-26 15:00:00,14.651,15.0,14.066,14.248,7493017.0
2020-12-26 16:00:00,14.248,14.369,14.05,14.084,5261770.0
2020-12-26 17:00:00,14.084,14.387,13.851,14.197,6819931.0
2020-12-26 18:00:00,14.177,14.589,14.004,14.376,4688701.0
2020-12-26 19:00:00,14.301,14.449,14.226,14.376,2141122.0
2020-12-26 20:00:00,14.261,14.374,14.135,14.202,1023339.0
2020-12-26 21:00:00,14.268,14.395,13.594,13.728,7379420.0
2020-12-26 22:00:00,13.776,14.16,13.632,13.79,7046951.0
2020-12-26 23:00:00,13.936,14.018,13.63,13.741,3543315.0
2020-12-27 00:00:00,13.639,13.991,13.263,13.358,12997026.0
2020-12-27 01:00:00,13.383,13.965,13.383,13.9,4411921.0
2020-12-27 02:00:00,13.827,13.948,13.5,13.789,3592163.0
2020-12-27 03:00:00,13.684,13.912,13.5,13.7,2420388.0
2020-12-27 04:00:00,13.762,13.874,13.714,13.799,961618.0
2020-12-27 05:00:00,13.735,13.92,13.7,13.891,2178852.0
2020-12-27 06:00:00,13.811,13.921,13.759,13.766,1097123.0
2020-12-27 07:00:00,13.767,13.966,13.55,13.775,3145400.0
2020-12-27 08:00:00,13.653,13.702,13.469,13.552,2792724.0
2020-12-27 09:00:00,13.571,13.799,13.553,13.626,1974040.0
2020-12-27 10:00:00,13.626,13.701,13.5,13.579,2655645.0
2020-12-27 11:00:00,13.573,13.788,13.508,13.681,3564389.0
2020-12-27 12:00:00,13.601,14.6,13.371,14.299,19567446.0
2020-12-27 13:00:00,14.298,14.89,13.814,13.898,13992535.0
2020-12-27 14:00:00,13.928,14.25,13.815,14.044,2946194.0
2020-12-27 15:00:00,14.044,14.598,13.785,13.803,5722744.0
2020-12-27 16:00:00,13.899,14.11,13.698,13.821,3493234.0
2020-12-27 17:00:00,13.821,14.082,13.51,13.699,6088381.0
2020-12-27 18:00:00,13.753,14.89,13.704,14.611,8084972.0
2020-12-27 19:00:00,14.611,15.78,14.159,15.698,12236473.0
2020-12-27 20:00:00,15.705,16.0,15.31,15.89,15464479.0
2020-12-27 21:00:00,15.866,15.92,14.938,14.938,6612525.0
2020-12-27 22:00:00,14.945,15.737,14.756,15.698,6078325.0
2020-12-27 23:00:00,15.698,15.739,15.074,15.485,3316452.0
2020-12-28 00:00:00,15.363,15.406,14.803,15.058,1953164.0
2020-12-28 01:00:00,14.954,15.35,14.618,15.307,2791672.0
2020-12-28 02:00:00,15.349,15.351,14.931,15.058,1278688.0
