,Open,High,Low,Close,Volume
2019-10-25 04:00:00,0.46,1.2798,0.46,0.8056,7127370890.0
2019-10-25 05:00:00,0.81,0.85,0.728,0.728,986581990.0
2019-10-25 06:00:00,0.7255,0.76,0.6821,0.7271,746393810.0
2019-10-25 07:00:00,0.7261,0.835,0.7255,0.8262,515916540.0
2019-10-25 08:00:00,0.8316,0.8319,0.7616,0.7801,414775990.0
2019-10-25 09:00:00,0.7804,0.8245,0.7663,0.77,393807970.0
2019-10-25 10:00:00,0.77,0.7908,0.755,0.7665,207955310.0
2019-10-25 11:00:00,0.7665,0.7948,0.7641,0.7762,146063100.0
2019-10-25 12:00:00,0.78,0.79,0.7678,0.772,167901940.0
2019-10-25 13:00:00,0.773,0.8289,0.773,0.7936,457679020.0
2019-10-25 14:00:00,0.7937,0.8747,0.7814,0.87,669627790.0
2019-10-25 15:00:00,0.8701,0.9447,0.8422,0.936,1634578710.0
2019-10-25 16:00:00,0.9362,1.09,0.9235,1.0203,1958819440.0
2019-10-25 17:00:00,1.0205,1.04,0.9686,1.0036,1145679140.0
2019-10-25 18:00:00,1.0036,1.2346,0.99,1.2346,3200326670.0
2019-10-25 19:00:00,1.2345,1.2779,1.1756,1.2141,2086361140.0
2019-10-25 20:00:00,1.2151,1.3149,1.1767,1.2925,1719309010.0
2019-10-25 21:00:00,1.2925,1.3044,1.1158,1.2154,1808238730.0
2019-10-25 22:00:00,1.2107,1.22,1.08,1.1498,797109040.0
2019-10-25 23:00:00,1.1468,1.644,1.0808,1.3459,2858309750.0
2019-10-26 00:00:00,1.3561,1.4435,1.2287,1.2527,2108171450.0000002
2019-10-26 01:00:00,1.2508,1.3195,1.2425,1.2983,663650490.0
2019-10-26 02:00:00,1.2966,1.3612,1.0756,1.0756,1824850750.0
2019-10-26 03:00:00,1.0751,1.1539,1.01,1.09,1777587120.0
2019-10-26 04:00:00,1.0888,1.16,1.055,1.1268,1206838630.0
2019-10-26 05:00:00,1.1268,1.2356,1.1259,1.1891,1342199660.0
2019-10-26 06:00:00,1.1837,1.187,1.1201,1.1502,549694110.0
2019-10-26 07:00:00,1.1499,1.1996,1.0824,1.1762,822862720.0
2019-10-26 08:00:00,1.1762,1.1983,1.1487,1.1538,191827790.0
2019-10-26 09:00:00,1.1536,1.1749,1.1204,1.1477,344967960.0
2019-10-26 10:00:00,1.1477,1.1712,1.123,1.1712,203778130.0
2019-10-26 11:00:00,1.1712,1.19,1.1317,1.139,400862870.0
2019-10-26 12:00:00,1.14,1.143,1.11,1.1254,323708400.0
2019-10-26 13:00:00,1.1326,1.1635,1.1231,1.1416,309341400.0
2019-10-26 14:00:00,1.1369,1.142,1.1,1.125,321864750.0
2019-10-26 15:00:00,1.1194,1.1304,1.083,1.0844,234486350.0
2019-10-26 16:00:00,1.085,1.0899,0.9626,0.9975,779047940.0
2019-10-26 17:00:00,0.9975,1.036,0.9802,1.0287,301738840.0
2019-10-26 18:00:00,1.029,1.049,0.9888,1.0036,458249010.0
2019-10-26 19:00:00,1.0036,1.01,0.9729,0.9978,219030600.0
2019-10-26 20:00:00,0.9913,1.0005,0.9718,0.9906,95860790.0
2019-10-26 21:00:00,0.9906,1.0005,0.9355,0.9832,165927710.0
2019-10-26 22:00:00,0.9898,1.0186,0.9821,0.9945,139439420.0
2019-10-26 23:00:00,1.0029,1.0098,0.9655,0.976,114495410.0
2019-10-27 00:00:00,0.9721,0.9965,0.9548,0.993,191620660.0
2019-10-27 01:00:00,0.993,0.993,0.9535,0.9762,79770120.0
2019-10-27 02:00:00,0.9559,0.958,0.8687,0.8852,444623410.0
2019-10-27 03:00:00,0.8811,0.8958,0.845,0.8564,303447930.0
2019-10-27 04:00:00,0.8631,0.87,0.8432,0.8535,178956000.0
2019-10-27 05:00:00,0.8577,0.8735,0.845,0.845,117702160.0
2019-10-27 06:00:00,0.8451,0.8543,0.8112,0.8112,335233700.0
2019-10-27 07:00:00,0.8112,0.8489,0.8091,0.8399,281626750.0
2019-10-27 08:00:00,0.84,0.8555,0.8261,0.8412,199183510.0
2019-10-27 09:00:00,0.8428,0.865,0.8419,0.844,134968530.0
2019-10-27 10:00:00,0.8432,0.8568,0.818,0.8328,232684910.0
2019-10-27 11:00:00,0.8276,0.836,0.8156,0.8239,148623500.0
2019-10-27 12:00:00,0.8271,0.8307,0.7711,0.7961,424106310.0
2019-10-27 13:00:00,0.798,0.8237,0.7834,0.8023,267310260.0
2019-10-27 14:00:00,0.8027,0.9057,0.801,0.8967,979022020.0
2019-10-27 15:00:00,0.8967,0.9039,0.8446,0.8542,504803350.0
2019-10-27 16:00:00,0.8535,0.8936,0.8417,0.8558,395990790.0
2019-10-27 17:00:00,0.8512,0.8611,0.798,0.8062,466535980.0
2019-10-27 18:00:00,0.8063,0.8241,0.8,0.8224,327395950.0
2019-10-27 19:00:00,0.82,0.823,0.798,0.8099,243714390.0
2019-10-27 20:00:00,0.8103,0.8239,0.8061,0.8061,167659360.0
2019-10-27 21:00:00,0.8061,0.8193,0.8051,0.816,82852400.0
2019-10-27 22:00:00,0.8177,0.85,0.816,0.8377,267256219.99999997
2019-10-27 23:00:00,0.834,0.8398,0.812,0.8166,141686960.0
2019-10-28 00:00:00,0.8166,0.834,0.8067,0.8068,89377720.0
2019-10-28 01:00:00,0.8127,0.8273,0.7593,0.7597,195483230.0
2019-10-28 02:00:00,0.7593,0.7743,0.7335,0.7504,417006130.0
2019-10-28 03:00:00,0.7505,0.8157,0.7505,0.7974,166560400.0
2019-10-28 04:00:00,0.795,0.8089,0.7777,0.7833,189112270.0
2019-10-28 05:00:00,0.7843,0.7939,0.7728,0.7817,113227620.0
2019-10-28 06:00:00,0.7817,0.7844,0.772,0.772,104574730.0
2019-10-28 07:00:00,0.772,0.8485,0.7587,0.83,457379510.0
2019-10-28 08:00:00,0.8261,0.8424,0.8021,0.8305,261906310.0
2019-10-28 09:00:00,0.83,0.83,0.7888,0.7977,109779890.0
2019-10-28 10:00:00,0.8004,0.8301,0.7986,0.8257,77434440.0
2019-10-28 11:00:00,0.8257,0.828,0.8081,0.8085,65541710.00000001
2019-10-28 12:00:00,0.8085,0.84,0.8074,0.8333,259407440.0
2019-10-28 13:00:00,0.8333,0.8668,0.8274,0.8619,318413710.0
2019-10-28 14:00:00,0.8616,1.0707,0.84,0.9387,1519056800.0
2019-10-28 15:00:00,0.9404,0.98,0.8822,0.9177,599957620.0
2019-10-28 16:00:00,0.9147,0.9722,0.9044,0.9301,475914430.0
2019-10-28 17:00:00,0.934,1.0749,0.934,1.0164,1209026480.0
2019-10-28 18:00:00,1.013,1.0549,0.9881,1.0263,802097100.0
2019-10-28 19:00:00,1.0254,1.0475,0.9953,0.997,401798200.0
2019-10-28 20:00:00,0.996,1.0101,0.9554,0.9593,432430460.0
2019-10-28 21:00:00,0.958,0.976,0.9316,0.9396,344536360.0
2019-10-28 22:00:00,0.9442,0.9595,0.9183,0.9427,110648250.0
2019-10-28 23:00:00,0.9428,0.9653,0.9196,0.93,142669030.0
2019-10-29 00:00:00,0.93,0.9336,0.875,0.9079,264989330.00000003
2019-10-29 01:00:00,0.9105,0.9289,0.8857,0.9092,155685690.0
2019-10-29 02:00:00,0.9084,0.9495,0.8971,0.9078,321162880.0
2019-10-29 03:00:00,0.9079,0.9178,0.8424,0.8492,411959150.0
2019-10-29 04:00:00,0.8488,0.878,0.84,0.853,282886720.0
2019-10-29 05:00:00,0.8535,0.8695,0.8314,0.8517,145380930.0
2019-10-29 06:00:00,0.8524,0.8889,0.8475,0.879,229072850.0
2019-10-29 07:00:00,0.8753,0.9552,0.8745,0.929,753083820.0
2019-10-29 08:00:00,0.9372,0.9652,0.9111,0.9652,281553050.0
2019-10-29 09:00:00,0.9656,0.9656,0.9251,0.9263,183914280.0
2019-10-29 10:00:00,0.9314,0.9545,0.9126,0.915,166006160.0
2019-10-29 11:00:00,0.9151,0.9484,0.9053,0.9285,188746740.0
2019-10-29 12:00:00,0.9285,0.95,0.9064,0.918,150192370.0
2019-10-29 13:00:00,0.9154,0.9154,0.888,0.9003,158016320.0
2019-10-29 14:00:00,0.8959,0.9029,0.88,0.8805,124361010.0
2019-10-29 15:00:00,0.8805,0.8854,0.855,0.8667,233093250.0
2019-10-29 16:00:00,0.8646,0.9141,0.86,0.8808,445507260.0
2019-10-29 17:00:00,0.8809,0.8934,0.8735,0.8834,98190970.0
2019-10-29 18:00:00,0.8825,0.9026,0.8788,0.8861,86223120.0
2019-10-29 19:00:00,0.8871,0.9051,0.882,0.893,62710560.0
2019-10-29 20:00:00,0.893,0.8978,0.8651,0.8748,140645700.0
2019-10-29 21:00:00,0.869,0.896,0.867,0.8697,107502840.0
2019-10-29 22:00:00,0.8679,0.8869,0.8671,0.87,79782790.0
2019-10-29 23:00:00,0.8716,0.8755,0.8666,0.8684,31085720.0
2019-10-30 00:00:00,0.8684,0.875,0.8661,0.8694,80782130.0
2019-10-30 01:00:00,0.868,0.8873,0.8661,0.8873,75819410.0
