,Open,High,Low,Close,Volume
2022-03-11 12:00:00,6.211,9.675,6.211,7.47,2396787670.0
2022-03-11 13:00:00,7.47,7.89,7.04,7.369,1096165070.0
2022-03-11 14:00:00,7.369,7.55,7.077,7.168,604790350.0
2022-03-11 15:00:00,7.169,7.35,7.04,7.069,443985930.0
2022-03-11 16:00:00,7.069,7.1,6.717,6.882,390123490.0
2022-03-11 17:00:00,6.882,7.2,6.681,7.126,290758910.0
2022-03-11 18:00:00,7.131,7.179,6.842,6.938,221607220.0
2022-03-11 19:00:00,6.935,7.109,6.865,6.865,98809030.0
2022-03-11 20:00:00,6.865,6.895,6.75,6.8,99892710.0
2022-03-11 21:00:00,6.8,6.983,6.57,6.654,165041120.0
2022-03-11 22:00:00,6.653,6.878,6.615,6.616,74197990.0
2022-03-11 23:00:00,6.616,6.8,6.615,6.701,80403290.0
2022-03-12 00:00:00,6.706,6.856,6.5,6.523,81179060.0
2022-03-12 01:00:00,6.53,6.724,6.5,6.583,87636540.0
2022-03-12 02:00:00,6.583,6.937,6.583,6.918,154507810.0
2022-03-12 03:00:00,6.928,7.227,6.7,6.879,447149400.0
2022-03-12 04:00:00,6.879,7.268,6.808,6.946,203101340.0
2022-03-12 05:00:00,6.947,7.2,6.93,7.014,189800580.0
2022-03-12 06:00:00,7.017,7.044,6.84,6.948,133139440.0
2022-03-12 07:00:00,6.94,6.962,6.764,6.781,91360780.0
2022-03-12 08:00:00,6.777,6.974,6.761,6.817,181215520.0
2022-03-12 09:00:00,6.813,6.93,6.737,6.872,152856570.0
2022-03-12 10:00:00,6.873,7.159,6.85,7.05,443637510.0
2022-03-12 11:00:00,7.052,7.065,6.943,6.992,140403730.0
2022-03-12 12:00:00,7.0,7.043,6.802,6.813,158954360.0
2022-03-12 13:00:00,6.813,7.049,6.781,6.865,121688940.0
2022-03-12 14:00:00,6.864,6.894,6.75,6.78,85795410.0
2022-03-12 15:00:00,6.788,6.89,6.67,6.761,96955070.0
2022-03-12 16:00:00,6.761,6.765,6.659,6.709,76013410.0
2022-03-12 17:00:00,6.707,6.99,6.676,6.787,96395420.0
2022-03-12 18:00:00,6.789,6.86,6.71,6.715,75835050.0
