,Open,High,Low,Close,Volume
2021-06-17 08:00:00,0.5386,1.08,0.5386,0.6331,41956965000.0
2021-06-17 09:00:00,0.6324,0.6554,0.6139,0.6485,10448969000.0
2021-06-17 10:00:00,0.6485,0.7613,0.6484,0.69,40664552000.0
2021-06-17 11:00:00,0.6907,0.7079,0.6708,0.6812,13305516000.0
2021-06-17 12:00:00,0.6812,0.692,0.6502,0.6523,6098088000.0
2021-06-17 13:00:00,0.6523,0.6597,0.6336,0.6413,5756526000.0
2021-06-17 14:00:00,0.6413,0.6508,0.622,0.631,4937157000.0
2021-06-17 15:00:00,0.631,0.6585,0.6192,0.635,5159742000.0
2021-06-17 16:00:00,0.6348,0.7155,0.6328,0.6568,10865511000.0
2021-06-17 17:00:00,0.6575,0.6596,0.6373,0.6495,3639265000.0
2021-06-17 18:00:00,0.6495,0.667,0.641,0.6484,5265676000.0
2021-06-17 19:00:00,0.648,0.6486,0.6186,0.6239,3713218000.0
2021-06-17 20:00:00,0.6231,0.6376,0.6155,0.6228,2566502000.0
2021-06-17 21:00:00,0.6232,0.66,0.6226,0.6406,4166242000.0
2021-06-17 22:00:00,0.6389,0.642,0.6155,0.6222,2328586000.0
2021-06-17 23:00:00,0.6219,0.631,0.5873,0.6218,5711860000.0
2021-06-18 00:00:00,0.6217,0.683,0.6186,0.6503,12497523000.0
2021-06-18 01:00:00,0.6508,0.655,0.6192,0.627,3023931000.0
2021-06-18 02:00:00,0.6263,0.6349,0.6,0.6077,2905051000.0
2021-06-18 03:00:00,0.6077,0.6281,0.6053,0.6096,1553847000.0
2021-06-18 04:00:00,0.6095,0.6179,0.5898,0.6079,2221636000.0
2021-06-18 05:00:00,0.6079,0.6118,0.5957,0.6028,1385009000.0
2021-06-18 06:00:00,0.603,0.6073,0.58,0.5906,2406270000.0
2021-06-18 07:00:00,0.5907,0.5949,0.58,0.5833,1646230000.0
2021-06-18 08:00:00,0.5846,0.5888,0.5543,0.5623,2770730000.0
2021-06-18 09:00:00,0.5604,0.5696,0.5524,0.5562,1649368000.0
2021-06-18 10:00:00,0.5562,0.575,0.5562,0.5671,2277015000.0
2021-06-18 11:00:00,0.5665,0.5737,0.5525,0.5566,1837750000.0
2021-06-18 12:00:00,0.5566,0.5608,0.5443,0.5479,2261696000.0
2021-06-18 13:00:00,0.5484,0.5589,0.539,0.5429,1572865000.0
2021-06-18 14:00:00,0.5429,0.5462,0.5303,0.5385,1465334000.0
2021-06-18 15:00:00,0.5385,0.54,0.52,0.5236,1720748000.0
2021-06-18 16:00:00,0.5235,0.5261,0.4992,0.51,4082488000.0
2021-06-18 17:00:00,0.511,0.53,0.5085,0.5228,2073358000.0
2021-06-18 18:00:00,0.5244,0.5391,0.5092,0.5286,2556761000.0
2021-06-18 19:00:00,0.5286,0.5391,0.5165,0.5205,1116620000.0
2021-06-18 20:00:00,0.5201,0.535,0.501,0.5035,1272254000.0
2021-06-18 21:00:00,0.5035,0.528,0.5014,0.5093,1235456000.0
2021-06-18 22:00:00,0.5089,0.5248,0.5064,0.5121,885253000.0
2021-06-18 23:00:00,0.5121,0.5232,0.5091,0.5224,593093000.0
2021-06-19 00:00:00,0.5221,0.525,0.5137,0.5178,364557000.0
2021-06-19 01:00:00,0.518,0.53,0.5179,0.5239,282319000.0
2021-06-19 02:00:00,0.5239,0.528,0.509,0.5215,694012000.0
2021-06-19 03:00:00,0.5216,0.5227,0.5,0.5053,1390281000.0
2021-06-19 04:00:00,0.5054,0.5056,0.4846,0.4847,1222769000.0
2021-06-19 05:00:00,0.4852,0.4889,0.4598,0.463,1375734000.0
2021-06-19 06:00:00,0.4615,0.4714,0.4543,0.4619,1378239000.0
2021-06-19 07:00:00,0.4621,0.4741,0.4556,0.4666,1456456000.0
2021-06-19 08:00:00,0.4667,0.491,0.4649,0.4804,1193507000.0
2021-06-19 09:00:00,0.4804,0.4816,0.4635,0.4726,1905961000.0
2021-06-19 10:00:00,0.4731,0.474,0.4632,0.4666,607580000.0
2021-06-19 11:00:00,0.4666,0.4687,0.4505,0.4506,843733000.0
2021-06-19 12:00:00,0.4505,0.4633,0.4475,0.4604,902987000.0
2021-06-19 13:00:00,0.461,0.4669,0.4527,0.4605,1104592000.0
2021-06-19 14:00:00,0.4605,0.482,0.458,0.4643,1578687000.0
2021-06-19 15:00:00,0.4636,0.475,0.46,0.473,817986000.0
2021-06-19 16:00:00,0.472,0.4751,0.4628,0.4649,747565000.0
2021-06-19 17:00:00,0.4649,0.4665,0.45,0.4572,1244214000.0
2021-06-19 18:00:00,0.4575,0.4643,0.445,0.455,1487246000.0
2021-06-19 19:00:00,0.4544,0.465,0.4479,0.4575,1358620000.0
2021-06-19 20:00:00,0.4587,0.4599,0.4432,0.4474,809895000.0
