,Open,High,Low,Close,Volume
2021-06-24 10:00:00,0.8974,1.356,0.8974,1.0205,11258731000.0
2021-06-24 11:00:00,1.021,1.1456,1.0164,1.135,4728290000.0
2021-06-24 12:00:00,1.1336,1.1798,1.0322,1.0403,3700383000.0
2021-06-24 13:00:00,1.0398,1.12,1.0389,1.08,2228714000.0
2021-06-24 14:00:00,1.0799,1.101,1.0582,1.0886,1548088000.0
2021-06-24 15:00:00,1.0898,1.129,1.0756,1.0912,1946504000.0
2021-06-24 16:00:00,1.0918,1.098,1.0549,1.06,1395494000.0
2021-06-24 17:00:00,1.0597,1.07,1.017,1.019,1395618000.0
2021-06-24 18:00:00,1.0189,1.0512,1.006,1.0276,1048348000.0
2021-06-24 19:00:00,1.0261,1.0578,1.0085,1.0249,1043765000.0
2021-06-24 20:00:00,1.0235,1.0729,1.0156,1.0728,737108000.0
2021-06-24 21:00:00,1.0728,1.076,1.025,1.027,551051000.0
2021-06-24 22:00:00,1.0273,1.075,1.022,1.0707,483381000.0
2021-06-24 23:00:00,1.0708,1.111,1.0623,1.0839,1013371000.0
2021-06-25 00:00:00,1.0833,1.095,1.0471,1.0847,538923000.0
2021-06-25 01:00:00,1.0838,1.0859,1.0114,1.0157,606291000.0
2021-06-25 02:00:00,1.0158,1.0533,1.0022,1.027,1253030000.0
2021-06-25 03:00:00,1.0271,1.0425,1.0126,1.0379,376391000.0
2021-06-25 04:00:00,1.0382,1.0791,1.0325,1.0787,514723000.0
2021-06-25 05:00:00,1.0784,1.0784,1.0332,1.0347,361626000.0
2021-06-25 06:00:00,1.0347,1.0667,1.0301,1.0504,346641000.0
2021-06-25 07:00:00,1.0502,1.059,1.026,1.0467,443875000.0
2021-06-25 08:00:00,1.0467,1.05,1.0248,1.0368,330220000.0
2021-06-25 09:00:00,1.0365,1.0374,1.0014,1.006,477824000.0
2021-06-25 10:00:00,1.0063,1.0091,0.9659,0.991,810124000.0
2021-06-25 11:00:00,0.9905,0.998,0.9412,0.944,604333000.0
2021-06-25 12:00:00,0.9464,0.9772,0.939,0.9663,483336000.0
2021-06-25 13:00:00,0.9628,0.9786,0.9425,0.9723,447039000.0
2021-06-25 14:00:00,0.9713,0.9805,0.945,0.9698,375507000.0
2021-06-25 15:00:00,0.9698,0.9813,0.9609,0.9796,294885000.0
2021-06-25 16:00:00,0.9805,1.0,0.9699,0.99,364053000.0
2021-06-25 17:00:00,0.9898,0.9939,0.9569,0.9738,222537000.0
2021-06-25 18:00:00,0.9727,0.9787,0.932,0.9364,281024000.0
2021-06-25 19:00:00,0.9347,0.9636,0.9301,0.9542,370337000.0
2021-06-25 20:00:00,0.9552,0.965,0.9351,0.9524,248557000.0
2021-06-25 21:00:00,0.9546,0.9672,0.9473,0.9593,117230000.0
2021-06-25 22:00:00,0.954,0.97,0.9459,0.9642,181291000.0
2021-06-25 23:00:00,0.9642,0.966,0.9371,0.9515,125054000.0
2021-06-26 00:00:00,0.9515,0.9588,0.932,0.9341,155440000.0
2021-06-26 01:00:00,0.9341,0.9383,0.9178,0.931,190525000.0
2021-06-26 02:00:00,0.93,0.9606,0.9158,0.9524,237049000.0
2021-06-26 03:00:00,0.9524,0.9551,0.9232,0.9454,158808000.0
2021-06-26 04:00:00,0.9462,0.9528,0.9371,0.9474,119284000.0
2021-06-26 05:00:00,0.9482,0.956,0.9441,0.9488,192931000.0
2021-06-26 06:00:00,0.9494,0.9558,0.939,0.9519,116477000.0
2021-06-26 07:00:00,0.952,0.965,0.94,0.95,238829000.0
