,Open,High,Low,Close,Volume
2020-06-12 10:00:00,1.154,1.279,1.122,1.198,54603770.0
2020-06-12 11:00:00,1.199,1.211,1.181,1.181,23114889.0
2020-06-12 12:00:00,1.191,1.201,1.176,1.18,80262477.0
2020-06-12 13:00:00,1.183,1.227,1.171,1.191,43744381.0
2020-06-12 14:00:00,1.188,1.212,1.162,1.191,72788377.0
2020-06-12 15:00:00,1.194,1.345,1.19,1.31,169900624.0
2020-06-12 16:00:00,1.31,1.332,1.218,1.229,256145679.0
2020-06-12 17:00:00,1.228,1.3,1.222,1.247,120258224.0
2020-06-12 18:00:00,1.245,1.284,1.222,1.276,86775345.0
2020-06-12 19:00:00,1.276,1.305,1.223,1.256,332404355.0
2020-06-12 20:00:00,1.256,1.274,1.232,1.248,102718481.0
2020-06-12 21:00:00,1.253,1.29,1.249,1.279,114256700.0
2020-06-12 22:00:00,1.276,1.298,1.257,1.283,104852888.0
2020-06-12 23:00:00,1.283,1.29,1.265,1.266,112048417.0
2020-06-13 00:00:00,1.266,1.274,1.253,1.271,29206691.0
2020-06-13 01:00:00,1.271,1.292,1.26,1.279,81119145.0
2020-06-13 02:00:00,1.282,1.296,1.265,1.266,95450535.0
2020-06-13 03:00:00,1.266,1.282,1.252,1.275,58651205.0
2020-06-13 04:00:00,1.275,1.283,1.268,1.268,47921000.0
2020-06-13 05:00:00,1.269,1.272,1.228,1.25,323919539.0
2020-06-13 06:00:00,1.249,1.255,1.211,1.243,78827802.0
2020-06-13 07:00:00,1.242,1.246,1.211,1.236,33857385.0
2020-06-13 08:00:00,1.234,1.255,1.225,1.255,37822584.0
2020-06-13 09:00:00,1.257,1.26,1.244,1.254,11746721.0
2020-06-13 10:00:00,1.254,1.259,1.24,1.246,20057031.0
2020-06-13 11:00:00,1.243,1.261,1.236,1.247,19124454.0
2020-06-13 12:00:00,1.245,1.258,1.242,1.255,20671003.0
2020-06-13 13:00:00,1.255,1.255,1.217,1.234,48564183.0
2020-06-13 14:00:00,1.235,1.236,1.194,1.204,106971030.0
2020-06-13 15:00:00,1.204,1.218,1.171,1.208,109441885.0
2020-06-13 16:00:00,1.208,1.232,1.202,1.222,33543196.000000004
2020-06-13 17:00:00,1.223,1.224,1.209,1.214,40588222.0
2020-06-13 18:00:00,1.215,1.217,1.179,1.186,115070989.0
2020-06-13 19:00:00,1.185,1.199,1.178,1.181,39247109.0
2020-06-13 20:00:00,1.181,1.191,1.181,1.185,24386890.0
2020-06-13 21:00:00,1.185,1.193,1.179,1.183,30167271.0
2020-06-13 22:00:00,1.183,1.215,1.18,1.213,57550741.0
2020-06-13 23:00:00,1.212,1.221,1.2,1.204,34205974.0
2020-06-14 00:00:00,1.205,1.209,1.184,1.197,29299629.0
2020-06-14 01:00:00,1.198,1.203,1.189,1.203,22690591.0
2020-06-14 02:00:00,1.204,1.205,1.19,1.202,38868064.0
2020-06-14 03:00:00,1.202,1.207,1.197,1.197,13590695.0
2020-06-14 04:00:00,1.198,1.199,1.178,1.182,22156164.0
2020-06-14 05:00:00,1.183,1.187,1.162,1.163,99445735.0
2020-06-14 06:00:00,1.165,1.173,1.15,1.162,62737866.0
2020-06-14 07:00:00,1.162,1.17,1.152,1.161,43020972.0
2020-06-14 08:00:00,1.161,1.161,1.144,1.148,21615452.0
2020-06-14 09:00:00,1.15,1.176,1.121,1.172,117286355.0
2020-06-14 10:00:00,1.173,1.173,1.154,1.161,23560277.0
2020-06-14 11:00:00,1.161,1.163,1.13,1.13,46660424.0
2020-06-14 12:00:00,1.131,1.156,1.129,1.154,40752199.0
2020-06-14 13:00:00,1.154,1.163,1.154,1.16,14871677.0
2020-06-14 14:00:00,1.16,1.164,1.156,1.164,25929731.0
2020-06-14 15:00:00,1.163,1.249,1.163,1.23,215155839.0
2020-06-14 16:00:00,1.23,1.24,1.175,1.188,174759613.0
2020-06-14 17:00:00,1.189,1.197,1.18,1.193,22482077.0
2020-06-14 18:00:00,1.193,1.227,1.192,1.223,72608424.0
2020-06-14 19:00:00,1.223,1.223,1.197,1.219,78527942.0
2020-06-14 20:00:00,1.219,1.238,1.208,1.211,36426381.0
2020-06-14 21:00:00,1.212,1.226,1.206,1.226,33893409.0
2020-06-14 22:00:00,1.226,1.238,1.215,1.222,40823328.0
2020-06-14 23:00:00,1.222,1.223,1.193,1.21,70749048.0
2020-06-15 00:00:00,1.207,1.216,1.179,1.194,151892782.0
2020-06-15 01:00:00,1.194,1.201,1.167,1.171,71481860.0
2020-06-15 02:00:00,1.171,1.218,1.17,1.202,75637282.0
2020-06-15 03:00:00,1.202,1.207,1.163,1.164,93533159.0
2020-06-15 04:00:00,1.164,1.171,1.132,1.148,84632838.0
2020-06-15 05:00:00,1.148,1.156,1.1,1.133,87879318.0
2020-06-15 06:00:00,1.129,1.158,1.129,1.148,97947501.0
2020-06-15 07:00:00,1.152,1.152,1.09,1.092,102798781.0
2020-06-15 08:00:00,1.098,1.124,1.051,1.109,150788855.0
2020-06-15 09:00:00,1.11,1.15,1.102,1.143,128780085.0
2020-06-15 10:00:00,1.141,1.15,1.131,1.139,65506158.0
2020-06-15 11:00:00,1.131,1.135,1.118,1.118,22024127.0
2020-06-15 12:00:00,1.12,1.128,1.086,1.086,105678030.0
2020-06-15 13:00:00,1.088,1.121,1.088,1.12,47632358.0
2020-06-15 14:00:00,1.117,1.151,1.117,1.129,67033183.00000001
2020-06-15 15:00:00,1.129,1.134,1.1,1.134,85859309.0
2020-06-15 16:00:00,1.135,1.164,1.134,1.153,80852359.0
2020-06-15 17:00:00,1.154,1.212,1.154,1.187,141596705.0
2020-06-15 18:00:00,1.186,1.206,1.166,1.177,116401894.0
2020-06-15 19:00:00,1.177,1.189,1.177,1.178,54721800.0
2020-06-15 20:00:00,1.178,1.189,1.155,1.157,68109380.0
2020-06-15 21:00:00,1.159,1.188,1.158,1.181,39369910.0
2020-06-15 22:00:00,1.182,1.185,1.164,1.172,19781401.0
2020-06-15 23:00:00,1.173,1.173,1.151,1.169,57661670.0
2020-06-16 00:00:00,1.169,1.175,1.151,1.16,28485719.0
2020-06-16 01:00:00,1.158,1.167,1.151,1.165,18078684.0
2020-06-16 02:00:00,1.165,1.165,1.141,1.149,82890547.0
2020-06-16 03:00:00,1.149,1.174,1.146,1.17,28220271.0
2020-06-16 04:00:00,1.17,1.177,1.17,1.173,28729080.0
2020-06-16 05:00:00,1.175,1.202,1.172,1.201,81653948.0
2020-06-16 06:00:00,1.205,1.23,1.192,1.197,164271016.0
2020-06-16 07:00:00,1.196,1.207,1.183,1.206,85450823.0
2020-06-16 08:00:00,1.206,1.229,1.197,1.203,147919945.0
2020-06-16 09:00:00,1.202,1.205,1.183,1.192,53804199.0
2020-06-16 10:00:00,1.191,1.196,1.183,1.19,40374267.0
2020-06-16 11:00:00,1.19,1.2,1.18,1.199,52567401.0
2020-06-16 12:00:00,1.2,1.2,1.189,1.192,29699543.0
2020-06-16 13:00:00,1.192,1.211,1.192,1.198,29110183.0
2020-06-16 14:00:00,1.198,1.211,1.19,1.204,42559183.0
2020-06-16 15:00:00,1.21,1.266,1.204,1.264,146764602.0
2020-06-16 16:00:00,1.266,1.267,1.207,1.212,174240598.0
2020-06-16 17:00:00,1.212,1.235,1.202,1.233,70733085.0
2020-06-16 18:00:00,1.236,1.237,1.22,1.224,28821566.0
2020-06-16 19:00:00,1.223,1.241,1.219,1.23,35690098.0
2020-06-16 20:00:00,1.228,1.234,1.222,1.233,30332255.0
2020-06-16 21:00:00,1.231,1.244,1.228,1.24,15297528.0
2020-06-16 22:00:00,1.243,1.243,1.229,1.231,35597972.0
2020-06-16 23:00:00,1.235,1.238,1.224,1.23,16930773.0
2020-06-17 00:00:00,1.226,1.228,1.207,1.226,79247166.0
2020-06-17 01:00:00,1.223,1.258,1.223,1.256,33660622.0
2020-06-17 02:00:00,1.255,1.256,1.232,1.243,70755567.0
2020-06-17 03:00:00,1.243,1.246,1.221,1.227,16691051.0
2020-06-17 04:00:00,1.227,1.228,1.202,1.214,38977924.0
2020-06-17 05:00:00,1.21,1.216,1.192,1.198,42707143.0
2020-06-17 06:00:00,1.198,1.205,1.189,1.193,40214756.0
2020-06-17 07:00:00,1.193,1.2,1.176,1.183,72932328.0
2020-06-17 08:00:00,1.185,1.211,1.185,1.199,49991267.0
2020-06-17 09:00:00,1.197,1.219,1.191,1.217,30885927.0
2020-06-17 10:00:00,1.219,1.223,1.21,1.22,26663155.0
2020-06-17 11:00:00,1.216,1.217,1.206,1.211,22162322.0
2020-06-17 12:00:00,1.212,1.212,1.204,1.208,66736657.99999999
2020-06-17 13:00:00,1.208,1.215,1.199,1.211,14980590.0
2020-06-17 14:00:00,1.201,1.215,1.198,1.208,19725556.0
2020-06-17 15:00:00,1.205,1.21,1.172,1.189,77949228.0
2020-06-17 16:00:00,1.189,1.194,1.178,1.179,27400263.0
2020-06-17 17:00:00,1.179,1.189,1.179,1.183,39122028.0
2020-06-17 18:00:00,1.183,1.189,1.176,1.177,26790862.0
2020-06-17 19:00:00,1.177,1.188,1.175,1.188,21348791.0
2020-06-17 20:00:00,1.19,1.192,1.186,1.187,6870849.0
2020-06-17 21:00:00,1.187,1.187,1.176,1.177,24426086.0
2020-06-17 22:00:00,1.176,1.182,1.162,1.182,39131033.0
2020-06-17 23:00:00,1.178,1.197,1.178,1.192,4810794.0
2020-06-18 00:00:00,1.196,1.196,1.186,1.194,13159048.0
2020-06-18 01:00:00,1.191,1.198,1.187,1.195,28767716.0
2020-06-18 02:00:00,1.193,1.194,1.173,1.183,42375913.0
2020-06-18 03:00:00,1.178,1.183,1.166,1.17,63523805.0
2020-06-18 04:00:00,1.17,1.177,1.164,1.174,23631391.0
2020-06-18 05:00:00,1.175,1.187,1.17,1.181,47022254.0
2020-06-18 06:00:00,1.185,1.185,1.167,1.174,22443727.0
2020-06-18 07:00:00,1.174,1.176,1.17,1.176,3445434.0
2020-06-18 08:00:00,1.174,1.175,1.169,1.169,10390097.0
2020-06-18 09:00:00,1.168,1.172,1.163,1.167,17871909.0
2020-06-18 10:00:00,1.17,1.173,1.164,1.164,13895358.0
2020-06-18 11:00:00,1.164,1.173,1.163,1.167,15572706.0
2020-06-18 12:00:00,1.163,1.169,1.162,1.162,4168340.0
2020-06-18 13:00:00,1.166,1.167,1.16,1.16,17836719.0
2020-06-18 14:00:00,1.161,1.165,1.157,1.157,31513600.0
2020-06-18 15:00:00,1.158,1.162,1.15,1.156,43675900.0
2020-06-18 16:00:00,1.153,1.172,1.151,1.172,22574255.0
2020-06-18 17:00:00,1.175,1.197,1.171,1.18,62228343.0
2020-06-18 18:00:00,1.18,1.18,1.155,1.163,45771373.0
2020-06-18 19:00:00,1.165,1.168,1.159,1.163,21765987.0
2020-06-18 20:00:00,1.164,1.164,1.152,1.153,28775140.0
2020-06-18 21:00:00,1.157,1.173,1.151,1.173,18727529.0
2020-06-18 22:00:00,1.171,1.175,1.151,1.152,38634109.0
2020-06-18 23:00:00,1.151,1.156,1.14,1.148,33711574.0
2020-06-19 00:00:00,1.148,1.173,1.145,1.15,45276926.0
2020-06-19 01:00:00,1.15,1.155,1.147,1.151,15104609.0
2020-06-19 02:00:00,1.151,1.153,1.142,1.151,4769276.0
2020-06-19 03:00:00,1.151,1.175,1.151,1.151,26676353.0
2020-06-19 04:00:00,1.152,1.17,1.147,1.157,38639735.0
2020-06-19 05:00:00,1.157,1.158,1.146,1.154,7077612.0
2020-06-19 06:00:00,1.151,1.162,1.149,1.157,23085160.0
2020-06-19 07:00:00,1.157,1.161,1.146,1.161,18001024.0
2020-06-19 08:00:00,1.162,1.167,1.16,1.16,6367156.0
2020-06-19 09:00:00,1.16,1.162,1.156,1.16,4999812.0
2020-06-19 10:00:00,1.156,1.183,1.154,1.183,58219249.0
2020-06-19 11:00:00,1.183,1.224,1.181,1.207,117724481.0
2020-06-19 12:00:00,1.207,1.215,1.182,1.191,97129670.0
2020-06-19 13:00:00,1.189,1.203,1.173,1.174,80865213.0
2020-06-19 14:00:00,1.174,1.211,1.171,1.194,70895372.0
2020-06-19 15:00:00,1.195,1.208,1.188,1.205,40060189.0
2020-06-19 16:00:00,1.206,1.209,1.195,1.195,42604214.0
2020-06-19 17:00:00,1.197,1.201,1.186,1.193,26805096.0
2020-06-19 18:00:00,1.197,1.199,1.18,1.18,10868879.0
2020-06-19 19:00:00,1.184,1.196,1.175,1.179,59297063.0
2020-06-19 20:00:00,1.176,1.181,1.16,1.171,45267614.0
2020-06-19 21:00:00,1.171,1.202,1.171,1.174,27404788.0
2020-06-19 22:00:00,1.172,1.186,1.166,1.182,67278608.0
2020-06-19 23:00:00,1.179,1.184,1.174,1.179,18438789.0
2020-06-20 00:00:00,1.179,1.199,1.179,1.187,36461401.0
2020-06-20 01:00:00,1.188,1.207,1.188,1.195,21991459.0
2020-06-20 02:00:00,1.193,1.222,1.19,1.21,91040291.0
2020-06-20 03:00:00,1.209,1.256,1.208,1.236,254478190.0
2020-06-20 04:00:00,1.235,1.241,1.209,1.233,131511625.99999999
2020-06-20 05:00:00,1.237,1.238,1.215,1.232,58628379.0
2020-06-20 06:00:00,1.229,1.236,1.217,1.233,43962685.0
2020-06-20 07:00:00,1.236,1.258,1.231,1.258,95918648.0
2020-06-20 08:00:00,1.258,1.303,1.243,1.296,182425384.0
2020-06-20 09:00:00,1.297,1.302,1.264,1.281,206439047.0
2020-06-20 10:00:00,1.281,1.281,1.254,1.265,70017171.0
2020-06-20 11:00:00,1.267,1.296,1.263,1.282,114041315.0
2020-06-20 12:00:00,1.278,1.284,1.256,1.26,62040115.0
2020-06-20 13:00:00,1.263,1.271,1.227,1.254,176608451.0
2020-06-20 14:00:00,1.254,1.256,1.236,1.247,37746697.0
2020-06-20 15:00:00,1.248,1.248,1.236,1.243,39870965.0
2020-06-20 16:00:00,1.247,1.249,1.221,1.225,31371370.0
2020-06-20 17:00:00,1.22,1.271,1.216,1.245,101742938.0
2020-06-20 18:00:00,1.245,1.261,1.239,1.256,51652939.0
2020-06-20 19:00:00,1.258,1.275,1.258,1.27,64632082.0
2020-06-20 20:00:00,1.27,1.282,1.253,1.274,87868162.0
2020-06-20 21:00:00,1.279,1.28,1.264,1.27,41981477.0
2020-06-20 22:00:00,1.271,1.288,1.266,1.288,45674582.0
2020-06-20 23:00:00,1.288,1.29,1.263,1.263,41617798.0
2020-06-21 00:00:00,1.267,1.289,1.267,1.287,46955708.0
2020-06-21 01:00:00,1.285,1.295,1.274,1.289,36565691.0
2020-06-21 02:00:00,1.294,1.303,1.28,1.292,129101751.0
2020-06-21 03:00:00,1.295,1.297,1.266,1.267,28673164.0
2020-06-21 04:00:00,1.267,1.276,1.254,1.267,59651772.0
2020-06-21 05:00:00,1.268,1.28,1.262,1.264,19711234.0
2020-06-21 06:00:00,1.261,1.274,1.259,1.273,32559366.0
2020-06-21 07:00:00,1.273,1.28,1.266,1.269,33884761.0
2020-06-21 08:00:00,1.269,1.274,1.262,1.266,15484696.0
2020-06-21 09:00:00,1.266,1.266,1.248,1.263,29400739.0
2020-06-21 10:00:00,1.265,1.268,1.25,1.25,18625355.0
2020-06-21 11:00:00,1.248,1.26,1.247,1.247,40003837.0
2020-06-21 12:00:00,1.247,1.256,1.244,1.256,9405476.0
2020-06-21 13:00:00,1.256,1.26,1.252,1.254,25638995.0
2020-06-21 14:00:00,1.251,1.262,1.245,1.255,38442070.0
2020-06-21 15:00:00,1.255,1.259,1.239,1.244,47863469.0
2020-06-21 16:00:00,1.241,1.255,1.241,1.248,15309507.0
2020-06-21 17:00:00,1.245,1.264,1.245,1.257,18125854.0
2020-06-21 18:00:00,1.256,1.257,1.241,1.244,59606703.0
2020-06-21 19:00:00,1.241,1.241,1.231,1.237,33366417.0
2020-06-21 20:00:00,1.232,1.247,1.231,1.247,29963836.0
2020-06-21 21:00:00,1.245,1.251,1.235,1.24,15895362.0
2020-06-21 22:00:00,1.24,1.253,1.24,1.245,11379390.0
2020-06-21 23:00:00,1.245,1.25,1.236,1.24,16144213.0
2020-06-22 00:00:00,1.24,1.243,1.219,1.223,29775186.0
2020-06-22 01:00:00,1.224,1.235,1.219,1.228,23864299.0
2020-06-22 02:00:00,1.228,1.243,1.228,1.235,25016820.0
2020-06-22 03:00:00,1.235,1.253,1.224,1.253,54532880.0
2020-06-22 04:00:00,1.254,1.255,1.228,1.236,24366605.0
2020-06-22 05:00:00,1.233,1.277,1.225,1.238,208786411.0
2020-06-22 06:00:00,1.239,1.239,1.221,1.226,57714777.0
2020-06-22 07:00:00,1.229,1.234,1.21,1.229,127063166.0
2020-06-22 08:00:00,1.23,1.241,1.22,1.234,75545874.0
2020-06-22 09:00:00,1.233,1.24,1.229,1.239,13096508.0
2020-06-22 10:00:00,1.239,1.257,1.239,1.248,40224537.0
2020-06-22 11:00:00,1.248,1.259,1.242,1.249,54045306.0
2020-06-22 12:00:00,1.249,1.254,1.231,1.233,45783772.0
2020-06-22 13:00:00,1.232,1.238,1.228,1.229,32818801.0
2020-06-22 14:00:00,1.228,1.247,1.228,1.245,48738216.0
2020-06-22 15:00:00,1.245,1.246,1.226,1.235,21669290.0
2020-06-22 16:00:00,1.235,1.237,1.23,1.234,22257088.0
2020-06-22 17:00:00,1.233,1.237,1.222,1.228,36427212.0
2020-06-22 18:00:00,1.226,1.247,1.223,1.226,139439762.0
2020-06-22 19:00:00,1.226,1.24,1.219,1.237,61483461.0
2020-06-22 20:00:00,1.234,1.244,1.23,1.234,48155223.0
2020-06-22 21:00:00,1.233,1.234,1.226,1.227,14010372.0
2020-06-22 22:00:00,1.23,1.241,1.228,1.236,20310317.0
2020-06-22 23:00:00,1.239,1.254,1.239,1.243,48600208.0
2020-06-23 00:00:00,1.243,1.247,1.234,1.247,20062635.0
2020-06-23 01:00:00,1.244,1.247,1.236,1.246,15164556.0
2020-06-23 02:00:00,1.243,1.252,1.239,1.239,40748572.0
2020-06-23 03:00:00,1.24,1.243,1.235,1.235,21199933.0
2020-06-23 04:00:00,1.239,1.239,1.22,1.232,51810778.0
2020-06-23 05:00:00,1.232,1.235,1.227,1.235,20719558.0
2020-06-23 06:00:00,1.234,1.236,1.228,1.232,12056824.0
2020-06-23 07:00:00,1.233,1.236,1.227,1.229,19983902.0
2020-06-23 08:00:00,1.228,1.231,1.226,1.227,25074438.0
2020-06-23 09:00:00,1.226,1.235,1.223,1.232,31233772.0
2020-06-23 10:00:00,1.232,1.232,1.216,1.222,34126652.0
2020-06-23 11:00:00,1.217,1.218,1.181,1.192,165616726.0
2020-06-23 12:00:00,1.192,1.202,1.191,1.201,36555001.0
2020-06-23 13:00:00,1.198,1.221,1.198,1.21,58759327.0
2020-06-23 14:00:00,1.209,1.209,1.185,1.2,29939202.0
2020-06-23 15:00:00,1.196,1.198,1.186,1.186,26868385.0
2020-06-23 16:00:00,1.186,1.205,1.168,1.199,77589074.0
2020-06-23 17:00:00,1.199,1.203,1.196,1.2,25990646.0
2020-06-23 18:00:00,1.204,1.214,1.198,1.21,35468987.0
2020-06-23 19:00:00,1.21,1.22,1.201,1.201,31110541.0
2020-06-23 20:00:00,1.2,1.209,1.195,1.208,26122605.0
2020-06-23 21:00:00,1.211,1.215,1.209,1.21,4148616.0
2020-06-23 22:00:00,1.21,1.216,1.203,1.213,13695330.0
2020-06-23 23:00:00,1.215,1.221,1.212,1.214,17871574.0
2020-06-24 00:00:00,1.215,1.215,1.189,1.19,36804114.0
2020-06-24 01:00:00,1.188,1.208,1.188,1.205,29359973.0
2020-06-24 02:00:00,1.202,1.209,1.199,1.2,8704565.0
2020-06-24 03:00:00,1.198,1.201,1.182,1.195,54577557.0
2020-06-24 04:00:00,1.195,1.204,1.191,1.198,19158296.0
2020-06-24 05:00:00,1.198,1.198,1.19,1.193,5358819.0
2020-06-24 06:00:00,1.193,1.206,1.193,1.204,24439938.0
2020-06-24 07:00:00,1.207,1.215,1.201,1.215,29504481.0
2020-06-24 08:00:00,1.215,1.222,1.208,1.222,36147134.0
2020-06-24 09:00:00,1.222,1.225,1.189,1.191,45127681.0
2020-06-24 10:00:00,1.189,1.201,1.186,1.197,35737687.0
2020-06-24 11:00:00,1.195,1.2,1.192,1.199,45419747.0
2020-06-24 12:00:00,1.199,1.202,1.176,1.2,125536329.0
2020-06-24 13:00:00,1.197,1.214,1.179,1.179,70878816.0
2020-06-24 14:00:00,1.178,1.188,1.167,1.184,52471355.0
2020-06-24 15:00:00,1.181,1.199,1.181,1.194,26961023.0
2020-06-24 16:00:00,1.194,1.203,1.172,1.173,40112279.0
2020-06-24 17:00:00,1.174,1.177,1.152,1.154,70629450.0
2020-06-24 18:00:00,1.152,1.2,1.152,1.189,93457022.0
2020-06-24 19:00:00,1.186,1.189,1.166,1.168,17548269.0
2020-06-24 20:00:00,1.171,1.184,1.17,1.179,12505827.0
2020-06-24 21:00:00,1.181,1.189,1.18,1.184,17523416.0
2020-06-24 22:00:00,1.185,1.185,1.175,1.177,26807395.0
2020-06-24 23:00:00,1.176,1.177,1.163,1.177,38500687.0
2020-06-25 00:00:00,1.177,1.182,1.171,1.176,15100065.0
2020-06-25 01:00:00,1.179,1.182,1.173,1.176,20007201.0
2020-06-25 02:00:00,1.176,1.18,1.168,1.17,11202894.0
2020-06-25 03:00:00,1.173,1.18,1.172,1.176,19756311.0
2020-06-25 04:00:00,1.175,1.178,1.163,1.166,18046414.0
2020-06-25 05:00:00,1.166,1.166,1.1,1.131,129087274.0
2020-06-25 06:00:00,1.131,1.138,1.118,1.128,37548118.0
2020-06-25 07:00:00,1.124,1.144,1.121,1.139,25456143.0
2020-06-25 08:00:00,1.139,1.144,1.137,1.14,14178645.0
2020-06-25 09:00:00,1.143,1.143,1.134,1.139,6675322.0
2020-06-25 10:00:00,1.145,1.161,1.145,1.147,28543825.0
2020-06-25 11:00:00,1.148,1.158,1.142,1.155,25636935.0
2020-06-25 12:00:00,1.155,1.16,1.152,1.157,18031994.0
2020-06-25 13:00:00,1.157,1.165,1.154,1.16,42737475.0
2020-06-25 14:00:00,1.157,1.157,1.139,1.139,19802589.0
2020-06-25 15:00:00,1.138,1.15,1.138,1.141,13507063.0
2020-06-25 16:00:00,1.144,1.145,1.139,1.142,25960694.0
2020-06-25 17:00:00,1.142,1.145,1.138,1.145,19691125.0
2020-06-25 18:00:00,1.145,1.161,1.14,1.161,28794173.0
2020-06-25 19:00:00,1.161,1.161,1.146,1.146,18693986.0
2020-06-25 20:00:00,1.144,1.15,1.142,1.15,3561360.0
2020-06-25 21:00:00,1.145,1.15,1.144,1.148,8619655.0
2020-06-25 22:00:00,1.149,1.15,1.138,1.138,20372394.0
2020-06-25 23:00:00,1.14,1.154,1.137,1.147,22400194.0
2020-06-26 00:00:00,1.152,1.152,1.138,1.145,16067257.0
2020-06-26 01:00:00,1.149,1.157,1.145,1.154,26535440.0
2020-06-26 02:00:00,1.154,1.157,1.146,1.152,15187133.0
2020-06-26 03:00:00,1.154,1.155,1.144,1.145,9638720.0
2020-06-26 04:00:00,1.145,1.158,1.14,1.156,34106453.0
2020-06-26 05:00:00,1.155,1.167,1.155,1.165,19705257.0
2020-06-26 06:00:00,1.164,1.183,1.161,1.181,52277465.0
2020-06-26 07:00:00,1.184,1.203,1.17,1.19,99023525.0
2020-06-26 08:00:00,1.19,1.197,1.173,1.179,79794932.0
2020-06-26 09:00:00,1.176,1.181,1.161,1.171,43786551.0
2020-06-26 10:00:00,1.174,1.19,1.173,1.184,33692353.0
2020-06-26 11:00:00,1.183,1.184,1.152,1.169,79889905.0
2020-06-26 12:00:00,1.17,1.189,1.169,1.183,31104626.0
2020-06-26 13:00:00,1.182,1.182,1.155,1.164,45570830.0
2020-06-26 14:00:00,1.164,1.173,1.162,1.163,12719729.0
2020-06-26 15:00:00,1.164,1.188,1.163,1.169,47158697.0
2020-06-26 16:00:00,1.169,1.182,1.162,1.176,76950626.0
2020-06-26 17:00:00,1.176,1.187,1.152,1.164,97926037.0
2020-06-26 18:00:00,1.165,1.179,1.154,1.175,43143016.0
2020-06-26 19:00:00,1.175,1.177,1.16,1.164,30103896.0
2020-06-26 20:00:00,1.161,1.165,1.156,1.164,27334134.0
2020-06-26 21:00:00,1.164,1.165,1.144,1.155,37132497.0
2020-06-26 22:00:00,1.158,1.165,1.154,1.162,19818124.0
2020-06-26 23:00:00,1.161,1.167,1.161,1.167,13341942.0
2020-06-27 00:00:00,1.167,1.179,1.164,1.173,41844348.0
2020-06-27 01:00:00,1.175,1.175,1.156,1.16,16962860.0
2020-06-27 02:00:00,1.16,1.162,1.151,1.162,29120307.0
2020-06-27 03:00:00,1.159,1.177,1.157,1.167,19424349.0
2020-06-27 04:00:00,1.165,1.175,1.159,1.162,22941063.0
2020-06-27 05:00:00,1.164,1.171,1.158,1.169,15600680.0
2020-06-27 06:00:00,1.164,1.165,1.149,1.156,19846332.0
2020-06-27 07:00:00,1.153,1.16,1.153,1.158,14608564.0
2020-06-27 08:00:00,1.158,1.162,1.15,1.161,14826950.0
2020-06-27 09:00:00,1.156,1.157,1.15,1.155,34254985.0
2020-06-27 10:00:00,1.154,1.161,1.146,1.151,23669699.0
2020-06-27 11:00:00,1.15,1.152,1.13,1.133,74648953.0
2020-06-27 12:00:00,1.137,1.143,1.137,1.143,25739870.0
2020-06-27 13:00:00,1.143,1.148,1.136,1.136,27165878.0
2020-06-27 14:00:00,1.14,1.144,1.134,1.14,13910964.0
2020-06-27 15:00:00,1.138,1.138,1.133,1.138,28471086.0
2020-06-27 16:00:00,1.135,1.14,1.131,1.139,19375911.0
2020-06-27 17:00:00,1.138,1.139,1.117,1.125,48204100.0
2020-06-27 18:00:00,1.121,1.123,1.082,1.106,108601821.0
2020-06-27 19:00:00,1.106,1.116,1.081,1.091,74430587.0
2020-06-27 20:00:00,1.091,1.095,1.07,1.07,35567397.0
2020-06-27 21:00:00,1.07,1.085,1.001,1.053,151973149.0
2020-06-27 22:00:00,1.052,1.081,1.025,1.05,174622512.0
2020-06-27 23:00:00,1.05,1.083,1.047,1.076,40134848.0
2020-06-28 00:00:00,1.077,1.125,1.065,1.066,52493960.0
2020-06-28 01:00:00,1.068,1.074,1.054,1.065,31910135.0
2020-06-28 02:00:00,1.065,1.068,1.05,1.052,49906823.0
2020-06-28 03:00:00,1.054,1.055,1.049,1.053,11412090.0
2020-06-28 07:00:00,1.055,1.056,1.044,1.052,25564858.0
2020-06-28 08:00:00,1.055,1.09,1.052,1.09,25773373.0
2020-06-28 09:00:00,1.093,1.099,1.08,1.088,77708236.0
2020-06-28 10:00:00,1.088,1.1,1.084,1.1,11870007.0
2020-06-28 11:00:00,1.1,1.122,1.098,1.11,64142905.0
2020-06-28 12:00:00,1.112,1.132,1.109,1.127,65464895.0
2020-06-28 13:00:00,1.13,1.131,1.107,1.107,50989345.0
2020-06-28 14:00:00,1.108,1.11,1.091,1.103,83826520.0
2020-06-28 15:00:00,1.101,1.105,1.09,1.097,42130717.0
2020-06-28 16:00:00,1.098,1.126,1.095,1.122,77324010.0
2020-06-28 17:00:00,1.12,1.121,1.105,1.11,39625125.0
2020-06-28 18:00:00,1.11,1.117,1.101,1.114,30469664.0
2020-06-28 19:00:00,1.115,1.115,1.095,1.101,20966961.0
2020-06-28 20:00:00,1.101,1.115,1.097,1.115,26127528.0
2020-06-28 21:00:00,1.111,1.116,1.096,1.097,39273611.0
