,Open,High,Low,Close,Volume
2020-09-04 13:00:00,43.15,49.0,40.901,42.103,7573056.0
2020-09-04 14:00:00,42.199,42.5,40.366,40.733,1495370.0
2020-09-04 15:00:00,40.737,41.623,40.508,40.83,2055465.0000000002
2020-09-04 16:00:00,40.825,40.939,34.783,37.45,5974125.0
2020-09-04 17:00:00,38.363,40.99,34.5,38.98,10086436.0
2020-09-04 18:00:00,38.601,43.209,35.97,41.394,3007220.0
2020-09-04 19:00:00,41.332,42.0,40.03,40.03,962734.0
2020-09-04 20:00:00,40.322,41.601,39.341,40.313,750467.0
2020-09-04 21:00:00,40.313,41.0,39.221,40.637,870758.0
2020-09-04 22:00:00,40.637,41.79,40.5,40.5,909439.0
2020-09-04 23:00:00,40.498,41.5,40.306,40.437,576093.0
2020-09-05 00:00:00,40.473,44.918,40.0,44.857,886076.0
2020-09-05 01:00:00,44.857,44.857,41.501,42.167,1066916.0
2020-09-05 02:00:00,42.0,43.998,41.469,42.09,1450916.0
2020-09-05 03:00:00,42.085,42.906,41.0,41.053,1850187.0
2020-09-05 04:00:00,41.076,41.441,40.419,40.51,862897.0
2020-09-05 05:00:00,40.424,42.8,40.424,41.92,929043.0
2020-09-05 06:00:00,41.92,42.8,40.419,40.605,1271705.0
2020-09-05 07:00:00,40.592,40.899,39.555,39.555,588440.0
2020-09-05 08:00:00,39.995,40.009,37.751,39.108,3267655.0
2020-09-05 09:00:00,39.108,39.93,37.669,38.546,1917442.0
2020-09-05 10:00:00,38.505,38.505,36.0,36.547,2095612.9999999998
2020-09-05 11:00:00,36.587,37.542,35.606,36.036,3473419.0
2020-09-05 12:00:00,35.936,36.128,34.52,34.534,8584404.0
2020-09-05 13:00:00,34.903,34.903,30.515,34.339,8081888.0
2020-09-05 14:00:00,34.364,35.165,30.894,31.517,2866086.0
2020-09-05 15:00:00,31.519,35.0,31.515,33.981,2141093.0
2020-09-05 16:00:00,33.981,39.3,33.981,37.732,3236532.0
2020-09-05 17:00:00,37.732,42.8,35.785,37.095,14805705.0
2020-09-05 18:00:00,37.095,37.851,34.2,36.194,5033000.0
2020-09-05 19:00:00,36.238,37.217,33.351,33.792,3125450.0
2020-09-05 20:00:00,33.681,33.76,29.736,31.988,9128402.0
2020-09-05 21:00:00,32.002,34.95,29.32,30.892,4006729.0
2020-09-05 22:00:00,30.893,34.0,30.125,33.168,3416699.0
2020-09-05 23:00:00,33.158,33.45,31.539,32.191,1513941.0
2020-09-06 00:00:00,32.377,34.85,30.004,30.888,2385439.0
2020-09-06 01:00:00,30.889,35.0,30.587,32.49,2921727.0
2020-09-06 02:00:00,32.558,35.0,30.04,31.402,3029545.0
2020-09-06 03:00:00,31.416,32.709,30.04,30.6,3989321.0
2020-09-06 04:00:00,30.602,32.055,30.2,32.055,1773433.0
2020-09-06 05:00:00,31.777,32.055,30.898,31.803,1866795.0
2020-09-06 06:00:00,31.858,33.371,30.888,30.91,2621994.0
2020-09-06 07:00:00,31.046,31.415,30.201,30.855,1450241.0
2020-09-06 08:00:00,30.879,31.333,30.513,31.105,2452900.0
2020-09-06 09:00:00,31.099,33.5,30.669,33.3,3506244.0
