,Open,High,Low,Close,Volume
2021-10-21 14:00:00,1.0,100.0,1.0,20.8153,11068697620.0
2021-10-21 15:00:00,20.815,23.1907,20.6334,21.6,3739391460.0
2021-10-21 16:00:00,21.6,22.4,19.8,19.8268,1564372340.0
2021-10-21 17:00:00,19.8268,20.5918,18.7,19.7745,1562555240.0
2021-10-21 18:00:00,19.7739,21.4688,19.3759,20.539,1183428350.0
2021-10-21 19:00:00,20.533,20.6393,19.764,20.314,484346280.0
2021-10-21 20:00:00,20.3182,21.0946,19.9001,21.0824,436898270.0
2021-10-21 21:00:00,21.0824,22.9477,20.9419,22.9009,1306322240.0
2021-10-21 22:00:00,22.9154,28.82,22.4357,25.5876,5176303860.0
2021-10-21 23:00:00,25.5876,25.8448,23.6043,24.0765,2542678550.0
2021-10-22 00:00:00,24.0504,24.1,22.56,23.8446,1152605300.0
2021-10-22 01:00:00,23.8446,25.38,22.9,23.25,876111370.0
2021-10-22 02:00:00,23.2402,23.6,21.6313,21.7841,591600120.0
2021-10-22 03:00:00,21.7973,22.35,20.7012,21.6949,701338960.0
2021-10-22 04:00:00,21.7095,22.45,21.5329,22.3954,334664440.0
2021-10-22 05:00:00,22.3958,23.569,21.55,21.7891,522307710.0
2021-10-22 06:00:00,21.7878,22.7371,21.7271,22.4391,311322760.0
2021-10-22 07:00:00,22.4395,22.4587,21.133,21.133,276749350.0
2021-10-22 08:00:00,21.143,21.3962,20.153,20.9231,531385569.99999994
2021-10-22 09:00:00,20.929,21.0,20.031,20.2033,372793320.0
2021-10-22 10:00:00,20.2033,22.8,20.11,22.1178,905521840.0
2021-10-22 11:00:00,22.0992,23.1,21.6001,21.6001,807213350.0
2021-10-22 12:00:00,21.6001,22.5555,20.5,21.6867,690347520.0
2021-10-22 13:00:00,21.6678,22.1191,21.5,21.7174,342984040.0
2021-10-22 14:00:00,21.7174,21.72,20.4138,21.0044,525782990.0
2021-10-22 15:00:00,21.0262,21.1786,20.5731,20.9102,325988020.0
2021-10-22 16:00:00,20.9101,20.9248,19.2114,19.858,503504180.0
2021-10-22 17:00:00,19.8608,20.4,19.8,19.8673,281872480.0
2021-10-22 18:00:00,19.8693,19.9,19.2222,19.42,299456320.0
2021-10-22 19:00:00,19.4352,19.4451,18.7907,19.0008,219816640.0
2021-10-22 20:00:00,19.0008,19.3565,18.6108,18.7302,240010140.0
2021-10-22 21:00:00,18.7301,18.7302,17.8189,18.0898,386622170.0
2021-10-22 22:00:00,18.09,18.1981,16.8188,16.8199,406271250.0
2021-10-22 23:00:00,16.82,18.7305,16.421,18.6149,796957100.0
2021-10-23 00:00:00,18.6009,18.839,16.755,17.3861,599976940.0
2021-10-23 01:00:00,17.3905,17.7,16.7009,16.9495,281007930.0
2021-10-23 02:00:00,16.9495,17.49,16.5762,16.798,174557180.0
2021-10-23 03:00:00,16.7968,17.3672,16.5214,17.0715,149536130.0
2021-10-23 04:00:00,17.0745,17.3371,16.8091,16.9227,86284980.0
2021-10-23 05:00:00,16.9098,17.7135,16.9097,17.1866,132356100.0
2021-10-23 06:00:00,17.1866,17.1894,16.8021,16.8761,76326960.0
2021-10-23 07:00:00,16.8761,17.8,16.8604,17.4018,181850210.0
2021-10-23 08:00:00,17.4018,17.6197,17.2601,17.2604,123289960.0
2021-10-23 09:00:00,17.2802,17.3907,16.88,16.8915,116526440.0
2021-10-23 10:00:00,16.8915,17.0434,16.7002,16.7323,80560440.0
2021-10-23 11:00:00,16.7322,16.9756,16.68,16.7002,101625150.0
2021-10-23 12:00:00,16.7003,17.2863,16.7,16.8016,142365920.0
2021-10-23 13:00:00,16.8016,17.52,16.75,17.17,207253660.0
2021-10-23 14:00:00,17.1755,17.3,16.9331,17.0547,126681660.0
2021-10-23 15:00:00,17.0556,17.0981,16.92,17.0375,70940540.0
2021-10-23 16:00:00,17.036,17.036,16.8314,16.8852,58286730.0
2021-10-23 17:00:00,16.8813,16.957,16.7,16.8283,89860890.0
2021-10-23 18:00:00,16.84,16.9,15.0593,15.2367,480402160.0
2021-10-23 19:00:00,15.2481,15.5,14.3601,14.5798,650076260.0
2021-10-23 20:00:00,14.5732,15.1489,14.5197,15.08,286458920.0
2021-10-23 21:00:00,15.0792,15.29,14.594,14.713,211035790.0
2021-10-23 22:00:00,14.713,15.02,14.5618,14.6053,153449700.0
2021-10-23 23:00:00,14.585,14.7773,13.9488,14.0249,133174970.0
2021-10-24 00:00:00,14.0264,14.299,13.68,13.8203,197590320.0
2021-10-24 01:00:00,13.8203,13.9295,13.1172,13.3623,272588590.0
2021-10-24 02:00:00,13.3627,13.76,13.15,13.3633,222014120.0
2021-10-24 03:00:00,13.3636,13.85,13.2191,13.7865,173021370.0
2021-10-24 04:00:00,13.7793,14.3208,13.5643,13.6096,230654900.0
2021-10-24 05:00:00,13.6182,13.7203,13.5633,13.6638,71427750.0
2021-10-24 06:00:00,13.6747,14.1668,13.66,14.1513,131264810.0
2021-10-24 07:00:00,14.1513,14.1577,13.8062,13.8562,109473660.0
2021-10-24 08:00:00,13.8326,13.8764,13.23,13.2751,164501360.0
2021-10-24 09:00:00,13.2595,13.5309,13.25,13.5074,138958000.0
2021-10-24 10:00:00,13.507,13.9,13.5,13.63,169438700.0
2021-10-24 11:00:00,13.6358,13.6661,13.3303,13.5609,108084270.0
2021-10-24 12:00:00,13.5609,13.5702,13.2816,13.3221,90539370.0
2021-10-24 13:00:00,13.335,13.4245,12.6302,12.7851,365153590.0
2021-10-24 14:00:00,12.7711,13.1,12.5204,12.9546,326675120.0
2021-10-24 15:00:00,12.9444,13.9,12.92,13.1397,447114140.0
2021-10-24 16:00:00,13.1401,13.5887,12.75,12.9121,240458760.0
2021-10-24 17:00:00,12.9167,12.9442,12.6502,12.7796,176771970.0
2021-10-24 18:00:00,12.7975,12.8665,12.5913,12.7349,105243530.0
2021-10-24 19:00:00,12.7266,12.7897,12.15,12.4093,207504790.0
2021-10-24 20:00:00,12.4024,12.405,11.7012,11.8502,290631200.0
2021-10-24 21:00:00,11.8516,13.0553,11.8223,12.7999,404210410.0
2021-10-24 22:00:00,12.79,12.88,12.2975,12.4299,159570240.0
2021-10-24 23:00:00,12.43,12.7425,12.06,12.2055,104521160.0
2021-10-25 00:00:00,12.2256,12.4713,12.1501,12.2514,52686040.0
2021-10-25 01:00:00,12.2531,12.3187,12.0008,12.2573,49680090.0
2021-10-25 02:00:00,12.265,12.7493,12.0004,12.7059,89874500.0
2021-10-25 03:00:00,12.7188,12.792,12.3386,12.47,46097890.0
2021-10-25 04:00:00,12.4541,12.5198,12.2724,12.4583,32631650.0
2021-10-25 05:00:00,12.4583,13.35,12.4579,13.1599,211994000.0
2021-10-25 06:00:00,13.1725,13.1762,12.75,12.8989,153584290.0
2021-10-25 07:00:00,12.8976,12.8989,12.48,12.6175,76890060.0
2021-10-25 08:00:00,12.637,12.9135,12.3915,12.8123,77860480.0
2021-10-25 09:00:00,12.8251,13.8489,12.4907,13.4465,295992240.0
2021-10-25 10:00:00,13.4217,13.6443,13.0212,13.11,216217170.0
2021-10-25 11:00:00,13.118,14.3785,13.1,13.8892,501419280.0
2021-10-25 12:00:00,13.889,19.22,13.889,17.5802,4580665770.0
2021-10-25 13:00:00,17.576,19.5526,17.2505,18.2226,2504121720.0
2021-10-25 14:00:00,18.2216,18.5,17.2679,17.7028,989775530.0
2021-10-25 15:00:00,17.7021,17.8499,15.8836,16.1675,1153217470.0
2021-10-25 16:00:00,16.1676,16.3405,15.35,15.4256,504517700.0
2021-10-25 17:00:00,15.4246,17.6619,15.4245,17.3218,1400608030.0
2021-10-25 18:00:00,17.3135,17.331,16.2125,16.5211,612018700.0
2021-10-25 19:00:00,16.5211,16.543,15.7338,15.9751,315572530.0
2021-10-25 20:00:00,15.9927,16.4451,15.3,16.2774,690721700.0
2021-10-25 21:00:00,16.2701,16.584,15.6455,15.8487,370350680.0
2021-10-25 22:00:00,15.8487,16.09,15.65,15.8503,204342630.0
2021-10-25 23:00:00,15.8659,15.9499,15.5321,15.6213,168208700.0
2021-10-26 00:00:00,15.6301,16.1105,15.3623,15.8561,227352200.0
2021-10-26 01:00:00,15.8574,16.2549,15.6551,15.8189,171480840.0
2021-10-26 02:00:00,15.8151,16.192,15.1824,15.4879,198280630.0
2021-10-26 03:00:00,15.4658,15.4715,14.8186,14.8969,138565960.0
2021-10-26 04:00:00,14.8675,15.3195,14.7,15.2779,119860030.0
2021-10-26 05:00:00,15.2999,15.6897,15.11,15.4693,182130170.0
2021-10-26 06:00:00,15.4693,16.5,14.265,15.1459,618715690.0
2021-10-26 07:00:00,15.1459,15.5975,15.1459,15.5101,218557600.0
2021-10-26 08:00:00,15.51,16.2099,15.3909,15.8007,247578370.0
2021-10-26 09:00:00,15.8165,15.9,15.3517,15.3684,147613650.0
2021-10-26 10:00:00,15.36,15.7999,15.3538,15.5507,154236140.0
2021-10-26 11:00:00,15.5507,15.58,15.35,15.522,119772560.0
2021-10-26 12:00:00,15.5002,15.5334,14.86,15.0888,234399690.0
2021-10-26 13:00:00,15.0818,15.1003,14.6291,14.8797,304295350.0
2021-10-26 14:00:00,14.8935,15.45,14.87,15.1683,292382430.0
2021-10-26 15:00:00,15.1585,15.6897,15.0025,15.165,253903030.0
2021-10-26 16:00:00,15.1651,15.3294,14.87,15.0169,169551820.0
2021-10-26 17:00:00,15.0169,15.15,14.9,15.0671,95175740.0
2021-10-26 18:00:00,15.0701,15.09,14.92,15.0124,74460890.0
2021-10-26 19:00:00,15.0116,15.05,14.8137,14.8512,76881680.0
2021-10-26 20:00:00,14.8514,14.8951,14.0304,14.4201,282472600.0
2021-10-26 21:00:00,14.4212,14.641,14.2398,14.4917,137714550.0
2021-10-26 22:00:00,14.4904,14.7567,14.2783,14.3073,151287180.0
2021-10-26 23:00:00,14.3061,14.679,14.19,14.3122,98906830.0
2021-10-27 00:00:00,14.3089,14.3959,14.08,14.1879,92083810.0
2021-10-27 01:00:00,14.1714,14.3925,14.1011,14.386,49296500.0
2021-10-27 02:00:00,14.3604,14.7999,14.2103,14.6571,64870720.0
2021-10-27 03:00:00,14.6579,14.8,14.3701,14.3738,33562290.0
2021-10-27 04:00:00,14.3769,14.5408,14.3,14.3027,27826080.0
2021-10-27 05:00:00,14.3027,14.4,14.1867,14.3257,31076720.0
2021-10-27 06:00:00,14.3255,14.44,14.008,14.38,89838740.0
2021-10-27 07:00:00,14.3884,14.5555,14.1769,14.1837,69980400.0
2021-10-27 08:00:00,14.19,14.2768,13.95,14.012,147029580.0
2021-10-27 09:00:00,14.0118,14.0183,13.3818,13.5107,148738680.0
2021-10-27 10:00:00,13.5107,13.7,12.1,13.498,370811800.0
2021-10-27 11:00:00,13.498,13.8109,12.9324,13.1032,133864730.00000001
2021-10-27 12:00:00,13.1191,13.4,12.9964,13.122,84298200.0
2021-10-27 13:00:00,13.1087,13.1736,12.8185,12.9557,76892770.0
2021-10-27 14:00:00,12.9594,13.1,12.8828,13.0654,51105670.0
2021-10-27 15:00:00,13.0852,14.059,13.05,13.2719,232647980.0
2021-10-27 16:00:00,13.27,13.3231,12.8807,13.0354,106067580.0
2021-10-27 17:00:00,13.0389,13.129,12.6135,12.9532,125431870.0
2021-10-27 18:00:00,12.9532,12.9726,12.7022,12.9095,63673610.0
2021-10-27 19:00:00,12.9098,12.9311,12.7638,12.7908,61178660.0
2021-10-27 20:00:00,12.7904,13.3345,12.72,12.8708,103934430.0
2021-10-27 21:00:00,12.8708,12.932,12.1636,12.4568,174736060.0
2021-10-27 22:00:00,12.4568,13.2,12.15,12.4483,170260460.0
2021-10-27 23:00:00,12.4784,12.7615,12.2513,12.3461,68373910.0
2021-10-28 00:00:00,12.3444,12.4342,12.2211,12.2404,42197860.0
2021-10-28 01:00:00,12.2408,12.3397,12.12,12.16,40924010.0
2021-10-28 02:00:00,12.1599,12.52,12.1236,12.2818,55060940.0
2021-10-28 03:00:00,12.2818,12.6909,12.2517,12.4715,49407800.0
2021-10-28 04:00:00,12.4718,12.5029,12.3356,12.3683,35183870.0
2021-10-28 05:00:00,12.3683,12.6469,12.3683,12.4999,57918000.0
2021-10-28 06:00:00,12.4999,12.55,11.9623,12.2032,104651790.0
2021-10-28 07:00:00,12.2036,12.3,11.8054,11.8307,70300520.0
2021-10-28 08:00:00,11.8664,11.8703,11.175,11.3418,206434630.0
2021-10-28 09:00:00,11.3419,11.7446,11.3419,11.4033,100368780.0
2021-10-28 10:00:00,11.4033,12.6225,11.3999,12.4788,264258200.0
2021-10-28 11:00:00,12.4788,12.6064,11.9,12.1997,172111650.0
2021-10-28 12:00:00,12.1999,12.29,11.9386,12.1,64537950.0
2021-10-28 13:00:00,12.0972,12.1207,11.8048,12.0766,66243820.00000001
2021-10-28 14:00:00,12.0607,12.0767,11.9005,12.005,42614320.0
2021-10-28 15:00:00,12.0059,12.4846,12.0,12.2835,172839640.0
2021-10-28 16:00:00,12.2902,12.2902,11.9698,12.0372,78410920.0
2021-10-28 17:00:00,12.035,12.0442,11.8201,11.8485,66054810.0
2021-10-28 18:00:00,11.8475,12.0,11.8201,11.8652,35427350.0
2021-10-28 19:00:00,11.8652,11.956,11.5186,11.7144,81083440.0
2021-10-28 20:00:00,11.7437,11.7907,11.45,11.5774,66434289.99999999
2021-10-28 21:00:00,11.5774,11.6177,11.2,11.554,90167180.0
2021-10-28 22:00:00,11.55,11.98,11.4217,11.4241,100752600.0
2021-10-28 23:00:00,11.4241,11.6853,11.301,11.4,74087030.0
2021-10-29 00:00:00,11.4011,11.739,11.3676,11.546,48147500.0
2021-10-29 01:00:00,11.546,11.6349,11.451,11.5643,22815330.0
2021-10-29 02:00:00,11.5524,12.1612,11.5122,12.1,70875820.0
2021-10-29 03:00:00,12.1,12.1,11.8012,12.0115,58993950.0
2021-10-29 04:00:00,12.012,12.0591,11.7442,11.7479,32411110.0
