,Open,High,Low,Close,Volume
2021-03-18 13:00:00,0.085,1.0,0.085,0.2735,758887884250.0
2021-03-18 14:00:00,0.2731,0.2737,0.2235,0.2269,228042637470.0
2021-03-18 15:00:00,0.2269,0.2426,0.208,0.2165,157585903270.0
2021-03-18 16:00:00,0.2168,0.228,0.2056,0.2246,103610390890.0
2021-03-18 17:00:00,0.2246,0.231,0.2062,0.2088,81753894000.0
2021-03-18 18:00:00,0.2088,0.2102,0.191,0.1987,85204887070.0
2021-03-18 19:00:00,0.1989,0.2141,0.1925,0.2074,70126692710.0
2021-03-18 20:00:00,0.2074,0.2106,0.1925,0.1953,41716229730.0
2021-03-18 21:00:00,0.1953,0.2021,0.1944,0.1954,23817438560.0
2021-03-18 22:00:00,0.1955,0.1979,0.1842,0.1873,30629373600.0
2021-03-18 23:00:00,0.1873,0.195,0.1842,0.194,28689582740.0
2021-03-19 00:00:00,0.194,0.2133,0.1937,0.2054,64455319030.0
2021-03-19 01:00:00,0.2054,0.2057,0.1889,0.189,23626227070.0
2021-03-19 02:00:00,0.1892,0.1928,0.1855,0.1888,14482273270.0
2021-03-19 03:00:00,0.1885,0.1905,0.1855,0.1861,12747878810.0
2021-03-19 04:00:00,0.1864,0.1983,0.1858,0.1965,20395812890.0
2021-03-19 05:00:00,0.1963,0.1966,0.1866,0.1874,11279225510.0
2021-03-19 06:00:00,0.1873,0.19,0.1847,0.189,16658444760.0
2021-03-19 07:00:00,0.1889,0.205,0.1876,0.1953,31057589220.0
2021-03-19 08:00:00,0.1953,0.2029,0.1889,0.1891,24380492050.0
2021-03-19 09:00:00,0.1891,0.1953,0.1889,0.1925,16719048130.0
2021-03-19 10:00:00,0.1926,0.1932,0.1898,0.1912,15892190350.0
2021-03-19 11:00:00,0.1911,0.194,0.1898,0.1901,15199839800.0
2021-03-19 12:00:00,0.1901,0.1925,0.1869,0.1908,14196512660.0
2021-03-19 13:00:00,0.1908,0.1915,0.185,0.1864,30367426610.0
2021-03-19 14:00:00,0.1864,0.1865,0.1774,0.1788,26441217620.0
2021-03-19 15:00:00,0.1788,0.1798,0.1725,0.1794,26776481440.0
2021-03-19 16:00:00,0.1794,0.1797,0.1733,0.176,15092062790.0
2021-03-19 17:00:00,0.176,0.1776,0.1666,0.1682,26868068080.0
2021-03-19 18:00:00,0.1683,0.1734,0.1678,0.1701,14975822690.0
2021-03-19 19:00:00,0.1703,0.1734,0.167,0.1721,10813109950.0
2021-03-19 20:00:00,0.172,0.1764,0.17,0.1737,12391253670.0
2021-03-19 21:00:00,0.1736,0.1738,0.1701,0.1714,10141992270.0
2021-03-19 22:00:00,0.1714,0.1719,0.1665,0.1689,9355411760.0
2021-03-19 23:00:00,0.1687,0.17,0.1665,0.1696,7331965200.0
2021-03-20 00:00:00,0.1696,0.1733,0.167,0.1685,8987789270.0
2021-03-20 01:00:00,0.1684,0.1697,0.1609,0.162,15469054260.0
2021-03-20 02:00:00,0.162,0.1648,0.1602,0.164,7809139780.0
2021-03-20 03:00:00,0.1638,0.1675,0.1552,0.157,29393663880.0
2021-03-20 04:00:00,0.1572,0.158,0.1527,0.1531,17495451770.0
2021-03-20 05:00:00,0.1532,0.1577,0.1526,0.1567,13171876430.0
2021-03-20 06:00:00,0.1564,0.158,0.1547,0.1571,7809668160.0
2021-03-20 07:00:00,0.1572,0.1633,0.1561,0.1629,14461262870.0
2021-03-20 08:00:00,0.163,0.1635,0.1589,0.1633,11455328790.0
2021-03-20 09:00:00,0.1633,0.1717,0.162,0.1694,22940192820.0
2021-03-20 10:00:00,0.1694,0.1777,0.168,0.1753,30744891190.0
2021-03-20 11:00:00,0.1751,0.1755,0.167,0.1704,14500264450.0
2021-03-20 12:00:00,0.1702,0.1728,0.1688,0.1714,10114022720.0
2021-03-20 13:00:00,0.1714,0.172,0.1659,0.1665,8408893570.0
2021-03-20 14:00:00,0.1663,0.1695,0.164,0.1655,9345201890.0
2021-03-20 15:00:00,0.1655,0.1669,0.1606,0.1663,11780142560.0
2021-03-20 16:00:00,0.1663,0.1731,0.1658,0.1707,12373629400.0
2021-03-20 17:00:00,0.1707,0.1733,0.166,0.169,13050243100.0
2021-03-20 18:00:00,0.1691,0.1722,0.168,0.1719,10412670580.0
2021-03-20 19:00:00,0.1719,0.175,0.1696,0.1715,11954795390.0
2021-03-20 20:00:00,0.1716,0.1721,0.168,0.1681,7864609450.0
2021-03-20 21:00:00,0.1682,0.1684,0.1621,0.1622,8122173030.0
2021-03-20 22:00:00,0.1623,0.1679,0.1621,0.1657,6785225330.0
2021-03-20 23:00:00,0.1657,0.1665,0.1609,0.1617,8421553710.000001
2021-03-21 00:00:00,0.1617,0.1621,0.155,0.1559,13068262770.0
2021-03-21 01:00:00,0.156,0.1663,0.1546,0.1655,17349648200.0
2021-03-21 02:00:00,0.1654,0.1663,0.1603,0.1646,8963074730.0
2021-03-21 03:00:00,0.1646,0.1649,0.1571,0.16,9787277070.0
2021-03-21 04:00:00,0.1599,0.163,0.1575,0.1617,6194577120.0
2021-03-21 05:00:00,0.1616,0.172,0.1583,0.16,19258702550.0
2021-03-21 06:00:00,0.1601,0.1678,0.1586,0.1668,11349932040.0
2021-03-21 07:00:00,0.1669,0.1745,0.1656,0.1693,22817451580.0
2021-03-21 08:00:00,0.1693,0.175,0.1681,0.1746,23746633740.0
2021-03-21 09:00:00,0.1745,0.18,0.1725,0.1754,34738845180.0
2021-03-21 10:00:00,0.1757,0.1782,0.1661,0.1682,23366931410.0
2021-03-21 11:00:00,0.1683,0.1687,0.1647,0.1665,12560627450.0
2021-03-21 12:00:00,0.1665,0.1671,0.1621,0.1656,10894254910.0
2021-03-21 13:00:00,0.1656,0.166,0.1603,0.1611,9647482620.0
2021-03-21 14:00:00,0.1612,0.1687,0.1608,0.1676,11545995000.0
2021-03-21 15:00:00,0.1677,0.1734,0.1676,0.1692,16122442250.0
2021-03-21 16:00:00,0.1689,0.1697,0.1652,0.1655,11865886940.0
2021-03-21 17:00:00,0.1654,0.1689,0.1647,0.1671,9658439980.0
2021-03-21 18:00:00,0.1673,0.1687,0.1663,0.168,7008175900.0
2021-03-21 19:00:00,0.1678,0.1683,0.165,0.166,7454329440.0
2021-03-21 20:00:00,0.166,0.1679,0.165,0.1653,7003599070.0
2021-03-21 21:00:00,0.1652,0.1656,0.1625,0.1627,7576334410.0
2021-03-21 22:00:00,0.1627,0.1667,0.1622,0.1661,6446004010.0
2021-03-21 23:00:00,0.166,0.1686,0.165,0.1679,5889460890.0
2021-03-22 00:00:00,0.1681,0.171,0.166,0.1692,10052420990.0
2021-03-22 01:00:00,0.1695,0.1698,0.16,0.162,11834358080.0
2021-03-22 02:00:00,0.162,0.1632,0.16,0.162,7875131210.0
2021-03-22 03:00:00,0.1618,0.1645,0.1608,0.1637,5276318390.0
2021-03-22 04:00:00,0.1637,0.1674,0.1607,0.163,10327931210.0
2021-03-22 05:00:00,0.1628,0.1635,0.1611,0.1629,6053634470.0
2021-03-22 06:00:00,0.1629,0.1636,0.1612,0.1631,5996739470.0
2021-03-22 07:00:00,0.1631,0.1647,0.1627,0.1637,6182061150.0
2021-03-22 08:00:00,0.1635,0.1637,0.1606,0.1613,6276432870.0
2021-03-22 09:00:00,0.1613,0.1622,0.158,0.1586,11393558700.0
2021-03-22 10:00:00,0.1586,0.1619,0.1585,0.1617,8040722690.0
2021-03-22 11:00:00,0.1617,0.1618,0.1589,0.1601,7027095650.0
2021-03-22 12:00:00,0.1602,0.1608,0.159,0.16,6076051630.0
