,Open,High,Low,Close,Volume
2020-07-16 10:00:00,10.0,11.28,10.0,10.58,7250330.0
2020-07-16 11:00:00,10.62,10.99,10.43,10.73,3205910.0
2020-07-16 12:00:00,10.74,11.02,10.5,10.5,4747780.0
2020-07-16 13:00:00,10.47,10.75,10.47,10.75,4399030.0
2020-07-16 14:00:00,10.8,10.8,10.47,10.71,1484170.0
2020-07-16 15:00:00,10.68,10.9,10.6,10.81,3112890.0
2020-07-16 16:00:00,10.86,11.35,9.69,10.27,3848150.0
2020-07-16 17:00:00,10.26,10.34,9.24,9.42,11679210.0
2020-07-16 18:00:00,9.38,9.69,8.8,9.54,8542690.0
2020-07-16 19:00:00,9.51,9.58,9.18,9.28,3103240.0
2020-07-16 20:00:00,9.26,9.54,9.13,9.54,2018300.0
2020-07-16 21:00:00,9.55,9.92,9.33,9.83,2504950.0
2020-07-16 22:00:00,9.8,10.61,9.65,10.11,5239020.0
2020-07-16 23:00:00,10.12,10.41,9.87,10.23,5821480.0
2020-07-17 00:00:00,10.16,10.16,9.59,9.71,5039340.0
2020-07-17 01:00:00,9.68,10.23,9.65,10.14,7380660.0
2020-07-17 02:00:00,10.03,10.35,10.0,10.19,2903070.0
2020-07-17 03:00:00,10.18,10.25,9.78,10.0,2876650.0
2020-07-17 04:00:00,10.02,10.03,9.82,9.94,542680.0
2020-07-17 05:00:00,9.94,10.32,9.94,10.16,2225600.0
2020-07-17 06:00:00,10.14,10.47,10.03,10.22,6492160.0
2020-07-17 07:00:00,10.17,10.55,10.16,10.35,3169390.0
2020-07-17 08:00:00,10.28,10.28,9.42,9.69,13845710.0
2020-07-17 09:00:00,9.66,10.0,9.6,9.94,2722740.0
2020-07-17 10:00:00,9.97,10.16,9.91,10.03,1775720.0
2020-07-17 11:00:00,10.0,10.05,9.69,9.85,1842180.0
2020-07-17 12:00:00,9.82,9.95,9.75,9.92,2576600.0
2020-07-17 13:00:00,9.92,9.99,9.65,9.72,2005160.0
2020-07-17 14:00:00,9.69,9.75,9.26,9.63,10782570.0
2020-07-17 15:00:00,9.6,9.78,9.5,9.66,4886960.0
2020-07-17 16:00:00,9.69,9.9,9.59,9.82,2079139.9999999998
2020-07-17 17:00:00,9.78,10.03,9.69,9.96,1673210.0
2020-07-17 18:00:00,9.94,10.16,9.84,9.97,4854740.0
2020-07-17 19:00:00,9.91,10.28,9.91,10.14,3343400.0
2020-07-17 20:00:00,10.23,10.23,9.98,10.21,3844150.0
2020-07-17 21:00:00,10.2,10.27,9.91,9.98,1937610.0
2020-07-17 22:00:00,10.03,10.03,9.76,9.99,3508310.0
2020-07-17 23:00:00,10.0,10.13,9.92,10.13,2494090.0
2020-07-18 00:00:00,10.08,10.1,10.03,10.06,653140.0
2020-07-18 01:00:00,10.06,10.19,10.02,10.12,3425090.0
2020-07-18 02:00:00,10.22,12.25,10.19,11.2,17943660.0
2020-07-18 03:00:00,11.34,11.4,10.93,11.27,6861820.0
2020-07-18 04:00:00,11.27,11.84,11.07,11.19,9586550.0
2020-07-18 05:00:00,11.22,11.73,11.18,11.39,3490160.0
2020-07-18 06:00:00,11.59,11.64,11.21,11.41,1868990.0
2020-07-18 07:00:00,11.33,11.75,11.33,11.45,2276920.0
2020-07-18 08:00:00,11.45,11.6,11.25,11.54,2412030.0
2020-07-18 09:00:00,11.5,11.5,10.95,11.06,3976570.0
2020-07-18 10:00:00,11.11,11.25,10.51,10.65,4101800.0
2020-07-18 11:00:00,10.64,10.78,10.42,10.78,3798900.0
2020-07-18 12:00:00,10.72,10.95,10.72,10.95,2045040.0
2020-07-18 13:00:00,10.95,11.3,10.83,11.3,3172640.0
2020-07-18 14:00:00,11.3,11.48,11.08,11.22,4332450.0
2020-07-18 15:00:00,11.22,11.22,11.0,11.19,1396170.0
2020-07-18 16:00:00,11.17,11.34,11.11,11.11,2043240.0
2020-07-18 17:00:00,11.11,11.16,11.11,11.16,115130.0
2020-07-18 18:00:00,11.1,11.1,10.36,10.42,9412450.0
2020-07-18 19:00:00,10.39,10.61,10.07,10.44,11828370.0
2020-07-18 20:00:00,10.54,10.54,10.27,10.45,635830.0
2020-07-18 21:00:00,10.47,10.7,10.46,10.63,808960.0
2020-07-18 22:00:00,10.49,10.65,10.49,10.53,496880.0
2020-07-18 23:00:00,10.61,10.65,10.51,10.57,1072960.0
2020-07-19 00:00:00,10.65,11.17,10.61,11.06,9110580.0
2020-07-19 01:00:00,11.06,11.06,10.86,10.86,509710.0
2020-07-19 02:00:00,11.0,11.01,10.62,10.65,2808650.0
2020-07-19 03:00:00,10.72,11.0,10.72,10.89,5118110.0
2020-07-19 04:00:00,10.96,11.11,10.86,11.08,3981240.0
2020-07-19 05:00:00,11.1,11.46,11.1,11.25,5595280.0
2020-07-19 06:00:00,11.34,11.42,11.19,11.24,2872120.0
2020-07-19 07:00:00,11.21,11.31,11.02,11.15,3066400.0
2020-07-19 08:00:00,11.22,11.22,10.83,11.03,4049540.0
2020-07-19 09:00:00,11.06,11.1,10.93,10.95,1447810.0
2020-07-19 10:00:00,10.97,11.06,10.93,10.93,252070.0
2020-07-19 11:00:00,10.93,11.01,10.88,10.98,1604610.0
2020-07-19 12:00:00,11.01,11.45,10.98,11.3,3571080.0
2020-07-19 13:00:00,11.3,11.42,11.24,11.37,2193420.0
2020-07-19 14:00:00,11.4,11.54,11.27,11.27,4674990.0
2020-07-19 15:00:00,11.25,11.45,11.25,11.32,3874890.0
2020-07-19 16:00:00,11.38,11.38,11.17,11.34,4715590.0
2020-07-19 17:00:00,11.33,11.42,11.26,11.35,1273410.0
2020-07-19 18:00:00,11.38,11.42,11.0,11.1,4757600.0
2020-07-19 19:00:00,11.1,11.27,11.1,11.24,650140.0
2020-07-19 20:00:00,11.27,11.35,11.2,11.2,2024710.0
2020-07-19 21:00:00,11.23,11.26,11.14,11.17,508510.0
2020-07-19 22:00:00,11.12,11.17,10.5,10.64,7219640.0
2020-07-19 23:00:00,10.68,10.68,10.25,10.59,7309040.0
2020-07-20 00:00:00,10.57,10.78,10.42,10.65,1681950.0
2020-07-20 01:00:00,10.63,10.67,10.58,10.6,1888750.0
2020-07-20 02:00:00,10.63,10.78,10.6,10.78,626610.0
2020-07-20 03:00:00,10.79,10.95,10.75,10.85,4151720.0000000005
2020-07-20 04:00:00,10.79,10.79,10.73,10.73,1209130.0
2020-07-20 05:00:00,10.71,10.71,10.58,10.58,595280.0
2020-07-20 06:00:00,10.57,10.71,10.43,10.71,1417880.0
2020-07-20 07:00:00,10.68,10.79,10.64,10.69,1268870.0
2020-07-20 08:00:00,10.7,10.81,10.7,10.76,988320.0
2020-07-20 09:00:00,10.78,10.78,10.66,10.66,318460.0
2020-07-20 10:00:00,10.67,10.75,10.6,10.75,825390.0
2020-07-20 11:00:00,10.75,10.93,10.71,10.88,917500.0
2020-07-20 12:00:00,10.9,11.33,10.87,11.13,2309870.0
2020-07-20 13:00:00,11.15,11.27,11.06,11.27,1097160.0
2020-07-20 14:00:00,11.29,11.35,11.08,11.2,297550.0
2020-07-20 15:00:00,11.24,11.6,11.24,11.51,6547870.0
2020-07-20 16:00:00,11.45,11.45,11.15,11.35,2222070.0
2020-07-20 17:00:00,11.35,11.45,11.24,11.36,1668160.0
2020-07-20 18:00:00,11.33,11.68,11.33,11.52,987340.0
2020-07-20 19:00:00,11.47,11.6,11.41,11.6,1300250.0
2020-07-20 20:00:00,11.55,13.14,11.52,12.74,19557490.0
2020-07-20 21:00:00,12.68,14.0,12.61,13.11,5973770.0
2020-07-20 22:00:00,13.07,13.35,12.46,12.67,7107040.0
2020-07-20 23:00:00,12.76,12.99,12.3,12.3,1531170.0
2020-07-21 00:00:00,12.34,13.14,12.34,13.02,5508330.0
2020-07-21 01:00:00,13.02,13.67,12.87,13.54,2901380.0
2020-07-21 02:00:00,13.84,13.84,13.06,13.38,3876520.0
2020-07-21 03:00:00,13.11,13.28,12.9,13.18,5115800.0
2020-07-21 04:00:00,13.18,13.21,12.79,12.82,5541040.0
2020-07-21 05:00:00,12.94,13.12,12.89,12.89,1494670.0
2020-07-21 06:00:00,12.84,13.0,12.55,12.78,2891510.0
2020-07-21 07:00:00,12.8,12.85,12.7,12.7,1001720.0
2020-07-21 08:00:00,12.82,13.16,12.82,12.9,10906180.0
2020-07-21 09:00:00,12.89,12.92,12.46,12.63,2844910.0
2020-07-21 10:00:00,12.54,12.86,12.5,12.8,2592740.0
2020-07-21 11:00:00,12.67,12.7,11.98,12.08,2136630.0
2020-07-21 12:00:00,12.2,12.28,11.75,11.77,1177970.0
2020-07-21 13:00:00,11.98,12.19,11.77,12.12,3668050.0
2020-07-21 14:00:00,12.18,12.61,12.05,12.61,4691060.0
2020-07-21 15:00:00,12.63,13.75,12.58,13.35,5451130.0
2020-07-21 16:00:00,13.32,13.64,12.98,12.98,767700.0
2020-07-21 17:00:00,13.02,13.22,12.85,12.9,2658320.0
2020-07-21 18:00:00,12.92,13.25,12.92,13.19,1065920.0
2020-07-21 19:00:00,13.2,13.45,13.16,13.16,3329610.0
2020-07-21 20:00:00,13.19,13.22,13.09,13.09,2832590.0
2020-07-21 21:00:00,13.16,14.83,13.16,13.95,12912170.0
2020-07-21 22:00:00,14.08,14.16,13.64,14.04,4253190.0
2020-07-21 23:00:00,14.26,14.27,13.75,13.75,7012210.0
2020-07-22 00:00:00,13.6,13.74,13.38,13.5,1663060.0
2020-07-22 01:00:00,13.3,13.43,13.07,13.12,811100.0
2020-07-22 02:00:00,13.09,13.35,12.99,13.35,3989490.0
2020-07-22 03:00:00,13.39,13.58,13.24,13.32,293930.0
2020-07-22 04:00:00,13.32,13.54,13.32,13.52,93460.0
2020-07-22 05:00:00,13.59,13.79,13.51,13.56,3034870.0
2020-07-22 06:00:00,13.56,13.75,13.56,13.69,982730.0
2020-07-22 07:00:00,13.84,13.94,13.58,13.58,1712400.0
2020-07-22 08:00:00,13.59,13.59,13.26,13.48,4127750.0
2020-07-22 09:00:00,13.56,13.71,13.48,13.71,383060.0
2020-07-22 10:00:00,13.75,13.81,13.61,13.77,3326600.0
2020-07-22 11:00:00,13.55,13.6,13.49,13.49,183360.0
2020-07-22 12:00:00,13.34,13.34,12.66,12.78,6225570.0
2020-07-22 13:00:00,12.78,12.95,12.75,12.89,6029700.0
2020-07-22 14:00:00,12.75,12.75,12.09,12.3,9948950.0
2020-07-22 15:00:00,12.43,12.5,11.81,11.92,3595280.0
2020-07-22 16:00:00,11.97,12.43,11.7,12.23,4649690.0
2020-07-22 17:00:00,12.22,12.38,12.12,12.17,2177050.0
2020-07-22 18:00:00,12.15,12.86,11.99,12.81,6613790.0
2020-07-22 19:00:00,12.79,12.79,12.47,12.66,1753690.0
2020-07-22 20:00:00,12.61,12.78,12.55,12.7,415630.0
2020-07-22 21:00:00,12.67,12.96,12.67,12.67,1041079.9999999999
2020-07-22 22:00:00,12.65,12.72,11.91,12.09,3234400.0
2020-07-22 23:00:00,12.04,12.4,12.0,12.28,2405510.0
2020-07-23 00:00:00,12.25,12.72,12.12,12.25,9454450.0
2020-07-23 01:00:00,12.2,12.26,12.17,12.21,1135740.0
2020-07-23 02:00:00,12.24,12.43,11.36,11.52,6765830.0
2020-07-23 03:00:00,11.57,11.57,11.0,11.39,8187860.0
2020-07-23 04:00:00,11.37,11.37,11.04,11.04,3999970.0
2020-07-23 05:00:00,11.11,11.42,11.11,11.35,2222940.0
2020-07-23 06:00:00,11.35,11.36,11.09,11.22,2589320.0
2020-07-23 07:00:00,11.17,11.6,11.16,11.42,3084380.0
2020-07-23 08:00:00,11.42,11.5,11.34,11.34,4533510.0
2020-07-23 09:00:00,11.3,11.34,11.14,11.21,3830710.0
2020-07-23 10:00:00,11.14,11.18,10.54,10.71,14804570.0
2020-07-23 11:00:00,10.67,10.83,10.66,10.82,2815520.0
2020-07-23 12:00:00,10.71,10.72,10.18,10.43,14457330.0
2020-07-23 13:00:00,10.48,10.69,10.4,10.4,2495860.0
2020-07-23 14:00:00,10.46,10.8,10.43,10.78,3741540.0
2020-07-23 15:00:00,10.8,10.83,10.46,10.49,2794030.0
2020-07-23 16:00:00,10.5,10.61,10.08,10.42,10791770.0
2020-07-23 17:00:00,10.45,10.55,10.18,10.2,14763280.0
2020-07-23 18:00:00,10.2,10.41,10.04,10.26,11327060.0
2020-07-23 19:00:00,10.34,10.76,10.34,10.7,11863770.0
2020-07-23 20:00:00,10.7,10.92,10.46,10.64,18745650.0
2020-07-23 21:00:00,10.62,10.72,10.5,10.6,6351800.0
2020-07-23 22:00:00,10.66,11.18,10.66,10.85,8498220.0
2020-07-23 23:00:00,10.93,10.93,10.73,10.75,4761430.0
2020-07-24 00:00:00,10.77,10.91,10.5,10.59,3970600.0
2020-07-24 01:00:00,10.64,10.65,10.36,10.5,1891670.0
2020-07-24 02:00:00,10.5,11.02,10.5,10.89,7452280.0
2020-07-24 03:00:00,11.0,11.08,10.84,10.97,310800.0
2020-07-24 04:00:00,10.85,10.85,10.67,10.75,2273680.0
2020-07-24 05:00:00,10.88,11.2,10.88,11.13,7857980.0
2020-07-24 06:00:00,11.1,11.38,10.95,11.31,5835860.0
2020-07-24 07:00:00,11.38,11.39,10.91,11.04,2108630.0
2020-07-24 08:00:00,11.23,11.39,11.13,11.35,1840880.0
2020-07-24 09:00:00,11.36,11.36,11.11,11.16,932840.0
2020-07-24 10:00:00,11.22,11.64,11.1,11.28,5033110.0
2020-07-24 11:00:00,11.25,11.33,11.04,11.04,1288040.0
2020-07-24 12:00:00,11.02,11.23,10.99,11.03,1528690.0
2020-07-24 13:00:00,11.06,11.18,10.86,11.08,2250640.0
2020-07-24 14:00:00,11.09,11.3,11.0,11.3,2655310.0
2020-07-24 15:00:00,11.31,11.56,11.23,11.53,6740190.0
2020-07-24 16:00:00,11.37,12.03,11.35,11.77,7175520.0
2020-07-24 17:00:00,11.78,11.88,11.58,11.64,5726790.0
2020-07-24 18:00:00,11.72,12.35,11.72,12.1,12269810.0
2020-07-24 19:00:00,12.22,12.5,12.04,12.04,4611730.0
2020-07-24 20:00:00,12.08,12.36,11.97,12.26,6678170.0
2020-07-24 21:00:00,12.21,12.21,11.64,11.79,3393280.0
2020-07-24 22:00:00,11.79,12.09,11.67,11.82,4649230.0
2020-07-24 23:00:00,11.74,12.09,11.74,12.09,2201870.0
2020-07-25 00:00:00,12.1,12.41,12.1,12.39,1225400.0
2020-07-25 01:00:00,12.31,12.71,12.26,12.51,6248750.0
2020-07-25 02:00:00,12.56,12.76,12.01,12.18,6177010.0
2020-07-25 03:00:00,12.21,12.27,11.81,11.81,3912530.0
2020-07-25 04:00:00,11.81,11.81,11.0,11.42,7880370.0
2020-07-25 05:00:00,11.48,11.5,11.2,11.4,2227140.0
2020-07-25 06:00:00,11.44,11.51,11.39,11.39,156220.0
2020-07-25 07:00:00,11.3,11.43,11.15,11.32,510020.0
2020-07-25 08:00:00,11.3,11.39,11.24,11.35,235340.0
2020-07-25 09:00:00,11.42,11.61,11.32,11.58,1231990.0
2020-07-25 10:00:00,11.55,11.69,11.46,11.5,979620.0
2020-07-25 11:00:00,11.6,11.93,11.55,11.93,540730.0
2020-07-25 12:00:00,11.92,12.0,11.62,11.62,754290.0
2020-07-25 13:00:00,11.61,11.62,11.43,11.6,1172600.0
2020-07-25 14:00:00,11.64,11.64,11.44,11.44,36030.0
2020-07-25 15:00:00,11.64,11.96,11.59,11.85,2201580.0
2020-07-25 16:00:00,11.87,11.87,11.74,11.84,2773140.0
2020-07-25 17:00:00,11.84,11.92,11.48,11.61,2519290.0
2020-07-25 18:00:00,11.77,11.77,10.66,10.94,12382140.0
2020-07-25 19:00:00,10.88,11.05,10.82,10.95,5097190.0
2020-07-25 20:00:00,11.01,11.01,10.88,10.99,531570.0
2020-07-25 21:00:00,10.99,11.1,10.87,11.1,222560.0
2020-07-25 22:00:00,11.01,11.42,11.01,11.24,4412350.0
2020-07-25 23:00:00,11.29,11.36,11.15,11.28,4190330.0
2020-07-26 00:00:00,11.31,11.31,10.98,10.98,385530.0
2020-07-26 01:00:00,10.99,11.13,10.86,11.03,1138180.0
2020-07-26 02:00:00,11.14,11.26,11.08,11.1,1481070.0
2020-07-26 03:00:00,11.07,11.21,11.07,11.21,422810.0
