,Open,High,Low,Close,Volume
2020-07-16 10:00:00,8.75,9.11,8.61,9.09,2234200.0
2020-07-16 11:00:00,9.02,9.15,8.8,9.03,4200370.0
2020-07-16 12:00:00,8.99,9.08,8.76,9.07,1255070.0
2020-07-16 13:00:00,9.05,9.12,8.91,8.91,5965250.0
2020-07-16 14:00:00,8.88,9.13,8.88,9.01,102330.0
2020-07-16 15:00:00,9.0,9.03,8.8,8.86,721020.0
2020-07-16 16:00:00,8.68,9.35,8.48,9.31,3198950.0
2020-07-16 17:00:00,9.43,10.3,9.43,10.26,2817590.0
2020-07-16 18:00:00,10.29,10.8,9.78,9.96,5836990.0
2020-07-16 19:00:00,10.03,10.33,9.96,10.22,1864380.0
2020-07-16 20:00:00,10.32,10.43,9.93,9.93,5397850.0
2020-07-16 21:00:00,10.0,10.01,9.48,9.61,960560.0
2020-07-16 22:00:00,9.59,9.59,8.77,9.28,5129680.0
2020-07-16 23:00:00,9.26,9.39,9.05,9.22,1506070.0
2020-07-17 00:00:00,9.31,9.78,9.23,9.64,1321500.0
2020-07-17 01:00:00,9.71,9.71,9.17,9.26,1465870.0
2020-07-17 02:00:00,9.29,9.31,9.01,9.12,822330.0
2020-07-17 03:00:00,9.22,9.52,9.16,9.35,1581810.0
2020-07-17 04:00:00,9.38,9.52,9.31,9.42,845600.0
2020-07-17 05:00:00,9.35,9.35,9.05,9.16,1584740.0
2020-07-17 06:00:00,9.22,9.28,8.94,9.08,2445130.0
2020-07-17 07:00:00,9.13,9.13,8.87,9.01,887740.0
2020-07-17 08:00:00,9.14,9.68,9.14,9.45,6397880.0
2020-07-17 09:00:00,9.53,9.61,9.2,9.2,2619620.0
2020-07-17 10:00:00,9.2,9.2,9.05,9.2,430720.0
2020-07-17 11:00:00,9.25,9.49,9.18,9.31,817410.0
2020-07-17 12:00:00,9.3,9.43,9.23,9.26,1117570.0
2020-07-17 13:00:00,9.28,9.51,9.21,9.42,2522450.0
