,Open,High,Low,Close,Volume
2021-02-04 07:00:00,0.25,18.8264,0.25,4.9793,23319888290.0
2021-02-04 08:00:00,4.9913,5.2,3.8555,3.9761,4886545140.0
2021-02-04 09:00:00,3.9761,4.5,3.7,3.8526,2601005580.0
2021-02-04 10:00:00,3.8526,5.36,3.8512,5.2,3647828790.0
2021-02-04 11:00:00,5.2,5.2139,4.1366,4.3717,4143203370.0
2021-02-04 12:00:00,4.3715,4.5756,4.2406,4.4518,1857739590.0
2021-02-04 13:00:00,4.4481,4.4481,4.0073,4.1757,1524582010.0
2021-02-04 14:00:00,4.1757,4.2,3.9,3.9659,1109604240.0
2021-02-04 15:00:00,3.965,4.2,3.7109,3.9163,1820500000.0
2021-02-04 16:00:00,3.9163,4.2,3.8119,4.1309,1788028030.0
2021-02-04 17:00:00,4.1318,4.248,3.8,3.8059,1606129940.0
2021-02-04 18:00:00,3.805,3.92,3.785,3.8328,665825740.0
2021-02-04 19:00:00,3.8328,3.8715,3.78,3.8002,580871790.0
2021-02-04 20:00:00,3.8007,3.82,3.3211,3.423,1221451190.0
2021-02-04 21:00:00,3.423,3.546,3.1613,3.28,1276299340.0
2021-02-04 22:00:00,3.2765,3.3908,3.17,3.2945,1027872760.0
2021-02-04 23:00:00,3.295,3.3274,3.02,3.2776,1003408120.0
2021-02-05 00:00:00,3.2557,3.2557,3.02,3.0605,863454770.0
2021-02-05 01:00:00,3.0606,3.85,3.0524,3.7395,1905686780.0
2021-02-05 02:00:00,3.7395,3.7459,3.251,3.2989,1438532970.0
2021-02-05 03:00:00,3.2848,3.39,3.2,3.3867,558524260.0
2021-02-05 04:00:00,3.3721,3.5331,3.2495,3.319,763538430.0
2021-02-05 05:00:00,3.3041,3.491,3.2,3.315,562804400.0
2021-02-05 06:00:00,3.315,3.4636,3.3101,3.3226,449714500.0
2021-02-05 07:00:00,3.3211,3.4,3.21,3.3229,644955520.0
2021-02-05 08:00:00,3.3231,3.3299,3.2402,3.26,284331580.0
2021-02-05 09:00:00,3.263,3.3407,3.2401,3.301,347617420.0
2021-02-05 10:00:00,3.3015,3.4975,3.265,3.3943,671606300.0
2021-02-05 11:00:00,3.3943,3.42,3.2859,3.3124,421469870.0
2021-02-05 12:00:00,3.3075,3.3728,3.285,3.3221,446157030.0
2021-02-05 13:00:00,3.3221,3.4069,3.3008,3.3406,374039410.0
2021-02-05 14:00:00,3.3398,3.3501,3.2533,3.29,344045960.0
2021-02-05 15:00:00,3.2901,3.3,3.21,3.2619,354201850.0
2021-02-05 16:00:00,3.2616,3.31,3.225,3.242,341983250.0
2021-02-05 17:00:00,3.2421,3.4433,3.242,3.3404,624048580.0
2021-02-05 18:00:00,3.3407,3.8,3.3201,3.63,997722740.0
2021-02-05 19:00:00,3.6339,3.9092,3.6266,3.6333,755867800.0
2021-02-05 20:00:00,3.6334,3.801,3.5,3.7542,308090950.0
2021-02-05 21:00:00,3.7538,3.9,3.6206,3.849,298116460.0
2021-02-05 22:00:00,3.8489,4.4785,3.845,4.23,1936267380.0
2021-02-05 23:00:00,4.23,4.5517,4.1,4.366,1116300290.0
2021-02-06 00:00:00,4.3507,5.9362,4.35,5.4999,4743580310.0
2021-02-06 01:00:00,5.5,5.5572,4.688,4.8015,3212303080.0
2021-02-06 02:00:00,4.805,4.8664,4.1103,4.3759,1827522150.0
2021-02-06 03:00:00,4.376,5.2596,4.3756,4.8051,1781389190.0
2021-02-06 04:00:00,4.8231,5.14,4.6,4.73,708805930.0
2021-02-06 05:00:00,4.7215,4.8,4.446,4.5328,572733000.0
2021-02-06 06:00:00,4.5311,4.8897,4.3889,4.7057,472670360.0
2021-02-06 07:00:00,4.7057,5.36,4.6255,4.9419,1571925180.0
2021-02-06 08:00:00,4.9419,5.2,4.85,5.0999,997531680.0
2021-02-06 09:00:00,5.1,5.1845,4.9,4.944,593022000.0
2021-02-06 10:00:00,4.9306,5.54,4.82,5.21,1487004430.0
2021-02-06 11:00:00,5.2169,5.8249,5.1104,5.684,1811979280.0
2021-02-06 12:00:00,5.6867,7.0889,5.6771,6.5701,6166765470.0
2021-02-06 13:00:00,6.5779,6.89,6.045,6.1615,3532462170.0
2021-02-06 14:00:00,6.1729,8.6,6.1466,8.1,6175721730.0
2021-02-06 15:00:00,8.1063,9.5001,7.8158,8.0279,9827793940.0
2021-02-06 16:00:00,8.0336,8.5389,7.2061,7.7808,5457914750.0
2021-02-06 17:00:00,7.8371,8.8,7.7865,7.929,4183228820.0
2021-02-06 18:00:00,7.9224,8.4799,7.8458,8.2,2073343200.0
2021-02-06 19:00:00,8.176,8.235,7.5,7.7526,1771760740.0
2021-02-06 20:00:00,7.7496,7.87,6.6529,7.1326,2594842940.0
2021-02-06 21:00:00,7.1369,7.9466,7.1072,7.5593,2443955260.0
2021-02-06 22:00:00,7.5604,8.2889,7.5,7.5624,1833639280.0
2021-02-06 23:00:00,7.5624,7.95,7.2164,7.3197,1269388630.0
2021-02-07 00:00:00,7.32,7.6435,6.9526,7.3618,1049572159.9999999
2021-02-07 01:00:00,7.3788,8.09,7.361,8.09,1355671580.0
2021-02-07 02:00:00,8.081,8.1,7.5,7.727,941557450.0
2021-02-07 03:00:00,7.7735,7.7999,7.1413,7.4499,685972800.0
2021-02-07 04:00:00,7.4499,7.9016,7.4,7.7289,682043550.0
2021-02-07 05:00:00,7.7293,8.91,7.7,8.137,2700737400.0
2021-02-07 06:00:00,8.1379,8.6,8.0392,8.3559,1339601090.0
2021-02-07 07:00:00,8.3274,8.5,7.9701,8.2006,728331940.0
2021-02-07 08:00:00,8.18,8.2436,7.91,8.0058,757890670.0
2021-02-07 09:00:00,8.0057,8.7402,8.0046,8.5386,1532866000.0
2021-02-07 10:00:00,8.5387,8.5476,8.1481,8.3782,1116398040.0
2021-02-07 11:00:00,8.3799,9.5,8.2103,9.0998,2213242420.0
2021-02-07 12:00:00,9.1017,9.6686,8.8962,8.9849,3382011000.0
2021-02-07 13:00:00,8.991,9.25,8.6,8.9442,2137349359.9999998
2021-02-07 14:00:00,8.9489,8.99,8.2239,8.5067,1929848330.0
2021-02-07 15:00:00,8.5234,8.5903,7.7449,7.9789,2007892280.0
2021-02-07 16:00:00,7.9789,8.1,7.3246,7.849,1838855100.0
2021-02-07 17:00:00,7.8488,7.8495,6.95,7.6496,1787833590.0
2021-02-07 18:00:00,7.6501,7.7499,7.0162,7.2351,828838090.0
2021-02-07 19:00:00,7.2466,7.8816,7.1,7.7107,1060801290.0
2021-02-07 20:00:00,7.7007,8.0959,7.6339,7.8617,1365551060.0
2021-02-07 21:00:00,7.8612,7.8958,7.5,7.7203,486080760.0
2021-02-07 22:00:00,7.721,7.7353,7.35,7.6515,442342920.0
2021-02-07 23:00:00,7.652,7.6962,7.0,7.2493,929950520.0
2021-02-08 00:00:00,7.2875,7.7437,7.05,7.52,770157900.0
2021-02-08 01:00:00,7.5212,7.5821,7.1055,7.1298,351864710.0
2021-02-08 02:00:00,7.129,7.6806,7.051,7.42,539939030.0
2021-02-08 03:00:00,7.422,7.65,7.261,7.4804,319297520.0
2021-02-08 04:00:00,7.4801,7.77,7.4444,7.6552,365045620.0
2021-02-08 05:00:00,7.6615,7.6814,7.4588,7.5621,312306690.0
2021-02-08 06:00:00,7.5621,8.1,7.5575,7.8646,571961890.0
2021-02-08 07:00:00,7.8855,8.5399,7.8,8.2639,775161740.0
2021-02-08 08:00:00,8.2505,8.48,8.0354,8.1295,514614080.0
2021-02-08 09:00:00,8.0983,8.289,7.942,8.1092,475701600.0
2021-02-08 10:00:00,8.1008,8.1744,7.4577,7.7212,1075739280.0
2021-02-08 11:00:00,7.7245,7.9246,7.5555,7.8891,405298950.0
2021-02-08 12:00:00,7.8717,7.9,7.55,7.7291,550740050.0
2021-02-08 13:00:00,7.7294,7.9689,7.551,7.6,619544490.0
2021-02-08 14:00:00,7.6,7.6625,7.0516,7.2012,675252630.0
2021-02-08 15:00:00,7.2015,7.5,7.18,7.4,722415210.0
2021-02-08 16:00:00,7.4,7.4319,7.15,7.1678,558339060.0
2021-02-08 17:00:00,7.1668,7.4732,7.1613,7.3301,562510450.0
2021-02-08 18:00:00,7.3301,7.4,7.2,7.2745,338888590.0
2021-02-08 19:00:00,7.262,7.4,7.167,7.1939,326945230.0
2021-02-08 20:00:00,7.1926,7.33,7.177,7.2823,249160000.0
2021-02-08 21:00:00,7.2818,7.4323,7.2229,7.3591,412648440.0
2021-02-08 22:00:00,7.3591,7.4,7.0,7.0657,521589310.0
2021-02-08 23:00:00,7.0657,7.2499,6.66,6.8523,1075820800.0
2021-02-09 00:00:00,6.8595,6.9118,6.343,6.4693,878844980.0
2021-02-09 01:00:00,6.4613,6.5721,6.0444,6.385,1296968150.0
2021-02-09 02:00:00,6.3921,7.29,6.37,6.7484,1112278200.0
2021-02-09 03:00:00,6.745,6.9469,6.457,6.9,620675370.0
2021-02-09 04:00:00,6.89,7.06,6.6,6.7739,425582220.0
2021-02-09 05:00:00,6.7629,6.92,6.5199,6.8884,358250420.0
2021-02-09 06:00:00,6.8884,6.8884,6.5019,6.6274,311893660.0
2021-02-09 07:00:00,6.6256,6.695,6.3937,6.4382,401650140.0
2021-02-09 08:00:00,6.4382,6.8835,6.24,6.5813,666829460.0
2021-02-09 09:00:00,6.581,6.8972,6.464,6.8109,518698060.0
2021-02-09 10:00:00,6.8121,6.8551,6.5488,6.6567,450042450.0
2021-02-09 11:00:00,6.6788,6.82,6.58,6.65,360192730.0
2021-02-09 12:00:00,6.65,6.7453,6.5687,6.6323,338157420.0
2021-02-09 13:00:00,6.6326,7.4829,6.6,7.41,1715409710.0
2021-02-09 14:00:00,7.4103,7.8011,7.06,7.2635,1436314670.0
2021-02-09 15:00:00,7.2602,7.55,7.101,7.4386,607983580.0
2021-02-09 16:00:00,7.4373,7.7,7.329,7.5,538793180.0
2021-02-09 17:00:00,7.4995,7.5,7.121,7.1901,605458390.0
2021-02-09 18:00:00,7.1908,7.3,7.0,7.0013,593385380.0
2021-02-09 19:00:00,7.0004,7.1529,6.8105,6.8914,607896420.0
2021-02-09 20:00:00,6.8932,7.15,6.8073,7.1015,345533040.0
2021-02-09 21:00:00,7.1022,7.125,6.9,6.9841,209069150.0
2021-02-09 22:00:00,6.9783,6.9862,6.84,6.8898,186750040.0
2021-02-09 23:00:00,6.8846,6.99,6.835,6.9612,151148070.0
2021-02-10 00:00:00,6.974,7.3874,6.9518,7.1701,350525990.0
2021-02-10 01:00:00,7.1702,7.3507,7.0,7.1,359088790.0
2021-02-10 02:00:00,7.0926,7.1999,6.9514,7.1308,256545290.0
2021-02-10 03:00:00,7.1168,7.623,7.1168,7.605,450786680.0
2021-02-10 04:00:00,7.6038,7.7,7.411,7.6221,556078760.0
2021-02-10 05:00:00,7.6228,7.7,7.3878,7.417,395280530.0
2021-02-10 06:00:00,7.417,7.4529,7.18,7.448,384827580.0
2021-02-10 07:00:00,7.4479,7.64,7.3256,7.5832,338272180.0
2021-02-10 08:00:00,7.5879,7.62,7.2999,7.4785,390217090.0
2021-02-10 09:00:00,7.4779,7.4854,7.26,7.372,280333790.0
2021-02-10 10:00:00,7.3728,7.5507,7.28,7.4289,357588660.0
2021-02-10 11:00:00,7.4273,7.4988,7.1101,7.2309,368757170.0
2021-02-10 12:00:00,7.231,7.29,7.0258,7.1606,362432680.0
2021-02-10 13:00:00,7.1626,7.189,6.18,6.6287,1086797710.0
2021-02-10 14:00:00,6.6459,6.8779,6.5996,6.6904,402813890.0
2021-02-10 15:00:00,6.699,6.6999,6.37,6.391,344466120.0
2021-02-10 16:00:00,6.3909,6.5058,6.1231,6.45,588506490.0
2021-02-10 17:00:00,6.4274,6.6182,6.3,6.5,351302290.0
2021-02-10 18:00:00,6.4969,6.664,6.45,6.5763,211931850.0
2021-02-10 19:00:00,6.5764,6.58,6.4703,6.518,151253780.0
2021-02-10 20:00:00,6.5148,6.631,6.369,6.61,123192220.0
2021-02-10 21:00:00,6.605,6.915,6.3,6.347,276652520.0
2021-02-10 22:00:00,6.347,6.6631,6.3,6.6051,145622100.0
2021-02-10 23:00:00,6.5822,6.84,6.581,6.754,140185960.0
2021-02-11 00:00:00,6.7357,6.75,6.4973,6.5006,133945549.99999999
2021-02-11 01:00:00,6.5229,6.6715,6.44,6.4549,133365250.0
2021-02-11 02:00:00,6.4549,6.4816,6.273,6.3922,161797600.0
2021-02-11 03:00:00,6.3994,6.4967,6.393,6.4811,30103440.0
2021-02-11 04:00:00,6.4811,6.4811,6.4811,6.4811,0.0
2021-02-11 06:00:00,6.481,6.8,6.48,6.6778,272816590.0
2021-02-11 07:00:00,6.6778,7.1978,6.67,7.13,607090540.0
2021-02-11 08:00:00,7.13,7.4,6.9717,7.16,471785840.0
2021-02-11 09:00:00,7.159,7.35,6.88,7.23,377129680.0
2021-02-11 10:00:00,7.2294,7.34,7.09,7.147,234063000.0
