,Open,High,Low,Close,Volume
2022-01-20 13:00:00,0.16,3.84,0.16,2.6654,45783390300.0
2022-01-20 14:00:00,2.6688,2.6961,2.35,2.4324,7702673800.0
2022-01-20 15:00:00,2.4322,2.568,2.4183,2.449,4870751800.0
2022-01-20 16:00:00,2.4517,2.5,2.321,2.4772,4195064700.0
2022-01-20 17:00:00,2.4772,2.655,2.382,2.6015,5760640500.0
2022-01-20 18:00:00,2.6015,2.8846,2.6002,2.7417,10583616900.0
2022-01-20 19:00:00,2.7412,2.7867,2.6011,2.6011,4170014500.0
2022-01-20 20:00:00,2.6011,2.6857,2.563,2.6473,3007588500.0
2022-01-20 21:00:00,2.6495,2.66,2.5377,2.6285,1822322800.0
2022-01-20 22:00:00,2.6284,2.6364,2.4148,2.4187,2357884600.0
2022-01-20 23:00:00,2.4187,2.4948,2.357,2.4147,2337429600.0
2022-01-21 00:00:00,2.4068,2.47,2.342,2.385,1491543400.0
2022-01-21 01:00:00,2.3852,2.412,2.1734,2.1885,1918260600.0
2022-01-21 02:00:00,2.1885,2.4,2.166,2.1927,2277143400.0
2022-01-21 03:00:00,2.1926,2.35,2.1792,2.294,1769396300.0
2022-01-21 04:00:00,2.2899,2.3193,2.129,2.1916,1530740800.0
2022-01-21 05:00:00,2.1967,2.4,2.1932,2.26,1641981300.0
2022-01-21 06:00:00,2.26,2.485,2.26,2.4656,1814403200.0
2022-01-21 07:00:00,2.4665,2.4877,2.31,2.3679,1325655100.0
2022-01-21 08:00:00,2.3737,2.46,2.33,2.3575,1267338900.0
2022-01-21 09:00:00,2.3575,2.67,2.3575,2.6129,3524952000.0
2022-01-21 10:00:00,2.6108,2.655,2.5235,2.6127,2653610900.0
2022-01-21 11:00:00,2.6111,2.613,2.47,2.5496,1701700500.0
2022-01-21 12:00:00,2.5485,2.62,2.25,2.3458,3777962000.0
2022-01-21 13:00:00,2.3458,2.3638,2.0287,2.1781,4024704500.0
2022-01-21 14:00:00,2.1782,2.35,2.1674,2.2342,2203281800.0
2022-01-21 15:00:00,2.2365,2.2775,2.16,2.2157,1208992300.0
2022-01-21 16:00:00,2.2156,2.2198,2.067,2.1442,1271006100.0
2022-01-21 17:00:00,2.1492,2.2801,2.1428,2.175,1019896900.0
2022-01-21 18:00:00,2.18,2.2,2.118,2.1431,497811300.0
2022-01-21 19:00:00,2.1462,2.1888,2.0197,2.04,1023381100.0
2022-01-21 20:00:00,2.0401,2.0772,1.864,1.8695,1589641300.0
2022-01-21 21:00:00,1.8691,1.9596,1.855,1.927,1191180700.0
2022-01-21 22:00:00,1.9291,1.955,1.794,1.8226,960451100.0
2022-01-21 23:00:00,1.8272,1.9093,1.794,1.845,555049800.0
2022-01-22 00:00:00,1.8439,1.9581,1.8188,1.8521,1284018100.0
2022-01-22 01:00:00,1.851,1.944,1.8345,1.9136,593765400.0
2022-01-22 02:00:00,1.9091,1.9387,1.8568,1.914,329808400.0
2022-01-22 03:00:00,1.914,1.935,1.8,1.8635,568592500.0
2022-01-22 04:00:00,1.86,1.8746,1.7014,1.7155,775486000.0
2022-01-22 05:00:00,1.7155,1.77,1.6111,1.659,1215506600.0
2022-01-22 06:00:00,1.6578,1.6599,1.525,1.5308,1313617700.0
2022-01-22 07:00:00,1.5335,1.7777,1.53,1.6704,1710976100.0
2022-01-22 08:00:00,1.672,1.724,1.5862,1.6519,742082600.0
2022-01-22 09:00:00,1.6519,1.7496,1.6482,1.6699,674325200.0
2022-01-22 10:00:00,1.6674,1.673,1.554,1.6193,747324200.0
2022-01-22 11:00:00,1.62,1.7892,1.51,1.6639,1488699600.0
2022-01-22 12:00:00,1.6642,1.7323,1.6639,1.6923,515597000.0
2022-01-22 13:00:00,1.6923,1.7478,1.6382,1.6771,814812800.0
2022-01-22 14:00:00,1.6857,1.7697,1.6581,1.6979,717042800.0
2022-01-22 15:00:00,1.6977,1.73,1.6,1.6025,559440000.0
2022-01-22 16:00:00,1.6049,1.662,1.54,1.5765,529265400.0
2022-01-22 17:00:00,1.5761,1.6389,1.5386,1.5867,358733700.0
2022-01-22 18:00:00,1.5863,1.6031,1.5301,1.5463,240437100.0
2022-01-22 19:00:00,1.5539,1.5539,1.504,1.5082,250476100.0
2022-01-22 20:00:00,1.5082,1.53,1.5003,1.524,140597000.0
2022-01-22 21:00:00,1.5279,1.57,1.5147,1.5698,161994500.0
2022-01-22 22:00:00,1.5699,1.6037,1.52,1.5999,247486300.0
2022-01-22 23:00:00,1.599,1.616,1.5304,1.54,273246900.0
2022-01-23 00:00:00,1.5399,1.5965,1.5396,1.5889,236770200.0
2022-01-23 01:00:00,1.589,1.65,1.5401,1.6454,406760200.0
2022-01-23 02:00:00,1.6448,1.6969,1.6171,1.6303,462880300.0
2022-01-23 03:00:00,1.6333,1.6662,1.5932,1.6137,245700400.0
2022-01-23 04:00:00,1.6203,1.725,1.615,1.706,301392900.0
2022-01-23 05:00:00,1.7096,2.08,1.6556,2.07,2768278800.0
2022-01-23 06:00:00,2.07,2.0999,1.8536,1.8847,2373779900.0
2022-01-23 07:00:00,1.8849,1.945,1.8169,1.9306,839773000.0
2022-01-23 08:00:00,1.9377,1.9379,1.8219,1.8439,569542300.0
2022-01-23 09:00:00,1.8424,1.8899,1.8307,1.8476,428345100.0
2022-01-23 10:00:00,1.8477,1.9773,1.84,1.8432,701444800.0
2022-01-23 11:00:00,1.8432,1.92,1.8432,1.8735,400337300.0
2022-01-23 12:00:00,1.8636,1.8928,1.7771,1.792,539811400.0
2022-01-23 13:00:00,1.7921,1.8,1.7312,1.7755,384575100.0
2022-01-23 14:00:00,1.7694,1.8309,1.7374,1.825,342856000.0
2022-01-23 15:00:00,1.8249,1.84,1.6241,1.6774,997969600.0
2022-01-23 16:00:00,1.6774,1.6968,1.6506,1.6706,243802400.0
2022-01-23 17:00:00,1.6773,1.6971,1.6345,1.6561,247535300.0
2022-01-23 18:00:00,1.6564,1.6825,1.6505,1.6647,96566700.0
2022-01-23 19:00:00,1.6647,1.6799,1.6027,1.6379,242381000.0
2022-01-23 20:00:00,1.6379,1.65,1.606,1.6308,248410900.0
2022-01-23 21:00:00,1.6313,1.7807,1.6312,1.6952,759915500.0
2022-01-23 22:00:00,1.692,1.7724,1.68,1.7448,344379200.0
2022-01-23 23:00:00,1.7409,1.7459,1.655,1.665,157808100.0
2022-01-24 00:00:00,1.6676,1.788,1.6616,1.7428,323933200.0
2022-01-24 01:00:00,1.7428,1.85,1.717,1.7618,434123600.0
2022-01-24 02:00:00,1.7618,1.8799,1.7602,1.86,427375800.0
2022-01-24 03:00:00,1.8601,1.8697,1.7286,1.7424,461392200.0
2022-01-24 04:00:00,1.7423,1.7545,1.6992,1.7501,287991800.0
2022-01-24 05:00:00,1.7482,1.7652,1.66,1.6714,304519300.0
2022-01-24 06:00:00,1.673,1.6739,1.609,1.6513,472499200.0
2022-01-24 07:00:00,1.6467,1.6795,1.6221,1.6751,257502400.0
2022-01-24 08:00:00,1.6749,1.6749,1.56,1.5783,367771400.0
2022-01-24 09:00:00,1.5789,1.5836,1.5328,1.5607,427876800.0
2022-01-24 10:00:00,1.5607,1.5655,1.5,1.5166,431858700.0
2022-01-24 11:00:00,1.5166,1.5265,1.4175,1.4508,555296500.0
2022-01-24 12:00:00,1.4508,1.52,1.4354,1.4714,350165400.0
2022-01-24 13:00:00,1.4659,1.4924,1.3861,1.4,569544900.0
2022-01-24 14:00:00,1.401,1.4526,1.3855,1.4303,364873000.0
2022-01-24 15:00:00,1.4305,1.4785,1.3935,1.4474,323585800.0
2022-01-24 16:00:00,1.4474,1.5099,1.4169,1.4826,412795100.0
2022-01-24 17:00:00,1.4827,1.4897,1.4224,1.4331,341230500.0
2022-01-24 18:00:00,1.432,1.5567,1.4055,1.5567,473501800.0
2022-01-24 19:00:00,1.5526,1.65,1.55,1.6498,1364622600.0
