,Open,High,Low,Close,Volume
2020-06-12 10:00:00,0.09335,0.175,0.09335,0.103,356135300.0
2020-06-12 11:00:00,0.10222,0.104,0.09971,0.10166,277152000.0
2020-06-12 12:00:00,0.10154,0.10167,0.09857,0.10148,386191000.0
2020-06-12 13:00:00,0.10148,0.10273,0.09981,0.10097,194759400.0
2020-06-12 14:00:00,0.10048,0.10048,0.0974,0.09741,141217600.0
2020-06-12 15:00:00,0.09741,0.10332,0.09682,0.1033,652634200.0
2020-06-12 16:00:00,0.10134,0.10528,0.10055,0.1009,346431800.0
2020-06-12 17:00:00,0.10197,0.10197,0.09878,0.1,147711900.0
2020-06-12 18:00:00,0.1,0.10075,0.09775,0.09998,83513100.0
2020-06-12 19:00:00,0.10006,0.10006,0.09806,0.09829,25624500.0
2020-06-12 20:00:00,0.09929,0.09953,0.0982,0.09944,71666000.0
2020-06-12 21:00:00,0.09966,0.10062,0.099,0.10049,25393600.0
2020-06-12 22:00:00,0.10053,0.10086,0.09951,0.10079,50540800.0
2020-06-12 23:00:00,0.10079,0.1036,0.0998,0.10341,291271000.0
2020-06-13 00:00:00,0.10341,0.10341,0.1015,0.10241,150062500.0
2020-06-13 01:00:00,0.10277,0.10437,0.10152,0.104,187316300.0
2020-06-13 02:00:00,0.10403,0.1154,0.10403,0.10623,2320023400.0
2020-06-13 03:00:00,0.10654,0.11117,0.10543,0.10995,437376600.0
2020-06-13 04:00:00,0.10995,0.1112,0.10648,0.10771,440731700.0
2020-06-13 05:00:00,0.1077,0.11075,0.10768,0.10932,176150900.0
2020-06-13 06:00:00,0.10927,0.10928,0.10599,0.10665,118726800.0
2020-06-13 07:00:00,0.10664,0.10749,0.10519,0.10749,180448100.0
2020-06-13 08:00:00,0.10679,0.10872,0.10679,0.108,161487500.0
2020-06-13 09:00:00,0.108,0.10842,0.10543,0.1058,167100600.0
2020-06-13 10:00:00,0.10688,0.10696,0.1056,0.10623,46259500.0
2020-06-13 11:00:00,0.10623,0.10678,0.10569,0.106,50106200.0
2020-06-13 12:00:00,0.10601,0.10656,0.10573,0.10587,63280300.0
2020-06-13 13:00:00,0.10577,0.10648,0.10351,0.10448,135788800.0
2020-06-13 14:00:00,0.1043,0.1051,0.1025,0.10389,196403700.0
2020-06-13 15:00:00,0.10389,0.10445,0.1013,0.10156,329715800.0
2020-06-13 16:00:00,0.1023,0.1027,0.1013,0.10266,53799500.0
2020-06-13 17:00:00,0.10262,0.10383,0.10233,0.1038,33026100.0
2020-06-13 18:00:00,0.10379,0.1048,0.10259,0.10339,131019400.0
2020-06-13 19:00:00,0.10293,0.10338,0.10227,0.10338,58367800.0
2020-06-13 20:00:00,0.10231,0.10425,0.10231,0.10425,67704700.0
2020-06-13 21:00:00,0.10382,0.1048,0.10227,0.1023,41327000.0
2020-06-13 22:00:00,0.10227,0.10381,0.10174,0.10203,97837200.0
2020-06-13 23:00:00,0.10327,0.10327,0.1005,0.1013,148818200.0
2020-06-14 00:00:00,0.10131,0.10167,0.10041,0.10153,75940200.0
2020-06-14 01:00:00,0.10152,0.10233,0.1008,0.10227,64315500.0
2020-06-14 02:00:00,0.10225,0.1046,0.10224,0.10451,76295100.0
2020-06-14 03:00:00,0.1045,0.1045,0.10313,0.10368,56823500.0
2020-06-14 04:00:00,0.10443,0.10543,0.10356,0.10427,73700800.0
2020-06-14 05:00:00,0.10428,0.10481,0.10297,0.10378,35255800.0
2020-06-14 06:00:00,0.10382,0.10382,0.1021,0.10305,73532600.0
2020-06-14 07:00:00,0.10305,0.1033,0.10158,0.102,76080000.0
2020-06-14 08:00:00,0.102,0.10253,0.09753,0.0982,400820000.0
2020-06-14 09:00:00,0.09824,0.09875,0.09596,0.098,407155200.0
2020-06-14 10:00:00,0.09781,0.09896,0.09756,0.09875,84955800.0
2020-06-14 11:00:00,0.09875,0.09969,0.09558,0.09594,206166600.0
2020-06-14 12:00:00,0.09594,0.09785,0.09535,0.09693,181100200.0
2020-06-14 13:00:00,0.09645,0.09884,0.09645,0.09838,113137200.0
2020-06-14 14:00:00,0.09757,0.09885,0.09728,0.09855,121849200.0
2020-06-14 15:00:00,0.09842,0.09842,0.09674,0.09772,41965200.0
2020-06-14 16:00:00,0.09691,0.09735,0.09401,0.09505,136905600.0
2020-06-14 17:00:00,0.09444,0.0956,0.09338,0.09433,193595900.0
2020-06-14 18:00:00,0.09369,0.09472,0.09369,0.09471,90206500.0
2020-06-14 19:00:00,0.09479,0.09482,0.09351,0.09462,205845000.0
2020-06-14 20:00:00,0.09463,0.09498,0.09418,0.0949,59487900.0
2020-06-14 21:00:00,0.0949,0.09627,0.09433,0.09627,129362100.0
2020-06-14 22:00:00,0.09627,0.0975,0.0956,0.0964,36383300.0
2020-06-14 23:00:00,0.0965,0.09711,0.09472,0.09543,29197000.0
2020-06-15 00:00:00,0.09543,0.09586,0.09342,0.09449,107466200.0
2020-06-15 01:00:00,0.09432,0.09454,0.09293,0.093,210926800.0
2020-06-15 02:00:00,0.09284,0.09349,0.09269,0.09278,48470800.0
2020-06-15 03:00:00,0.09326,0.09348,0.08946,0.08947,385512800.0
2020-06-15 04:00:00,0.09014,0.09031,0.08856,0.08908,405464800.0
2020-06-15 05:00:00,0.08857,0.08891,0.08451,0.08534,510144000.0
2020-06-15 06:00:00,0.08483,0.0888,0.08476,0.08878,489203700.0
2020-06-15 07:00:00,0.08876,0.08876,0.08336,0.08355,369629400.0
2020-06-15 08:00:00,0.08317,0.08439,0.08179,0.08387,800776800.0
2020-06-15 09:00:00,0.08387,0.08778,0.08367,0.08713,468351200.0
2020-06-15 10:00:00,0.08721,0.08951,0.08712,0.0888,306072400.0
2020-06-15 11:00:00,0.08858,0.08909,0.08742,0.08839,117663700.0
2020-06-15 12:00:00,0.0883,0.08852,0.08689,0.08712,133053700.00000001
2020-06-15 13:00:00,0.08684,0.08779,0.08574,0.0874,357922800.0
2020-06-15 14:00:00,0.0874,0.08778,0.08613,0.08706,106184100.0
2020-06-15 15:00:00,0.08708,0.08708,0.08491,0.08609,223681800.0
2020-06-15 16:00:00,0.0863,0.08789,0.0863,0.0874,208847000.0
2020-06-15 17:00:00,0.08768,0.08897,0.08724,0.08868,112639900.0
2020-06-15 18:00:00,0.08853,0.09367,0.08844,0.0923,472476700.0
2020-06-15 19:00:00,0.0923,0.09359,0.09135,0.09231,224945100.0
2020-06-15 20:00:00,0.09228,0.09394,0.09192,0.0922,280387100.0
2020-06-15 21:00:00,0.0922,0.09284,0.09136,0.09164,116976200.0
2020-06-15 22:00:00,0.09176,0.09368,0.09176,0.0936,243872400.0
2020-06-15 23:00:00,0.09304,0.09661,0.09269,0.0939,317584400.0
2020-06-16 00:00:00,0.09339,0.09339,0.09105,0.0915,317087000.0
2020-06-16 01:00:00,0.0915,0.09214,0.09074,0.09194,82472000.0
2020-06-16 02:00:00,0.09179,0.09191,0.0899,0.09062,160350000.0
2020-06-16 03:00:00,0.09058,0.0912,0.08949,0.09014,186114200.0
2020-06-16 04:00:00,0.09014,0.09042,0.08919,0.09015,141249100.0
2020-06-16 05:00:00,0.09017,0.09257,0.09014,0.09256,196274200.0
2020-06-16 06:00:00,0.09257,0.09423,0.09214,0.09216,294129200.0
2020-06-16 07:00:00,0.09265,0.09298,0.09214,0.09261,172600500.0
2020-06-16 08:00:00,0.09261,0.09334,0.09205,0.09328,100362000.0
2020-06-16 09:00:00,0.09328,0.09334,0.0925,0.09327,135809500.0
2020-06-16 10:00:00,0.09324,0.09329,0.09214,0.09214,87490900.0
2020-06-16 11:00:00,0.09215,0.09305,0.09215,0.09304,77722800.0
2020-06-16 12:00:00,0.09323,0.09514,0.09308,0.09484,315553100.0
2020-06-16 13:00:00,0.09485,0.09599,0.09401,0.0959,179925700.0
2020-06-16 14:00:00,0.09547,0.096,0.09364,0.09516,109794000.0
2020-06-16 15:00:00,0.09485,0.09574,0.09408,0.09546,186133400.0
