,Open,High,Low,Close,Volume
2020-02-06 11:00:00,1.39,1.48,1.39,1.4464,6595880.0
2020-02-06 12:00:00,1.4689,1.47,1.4141,1.4471,7543340.0
2020-02-06 13:00:00,1.4699,1.4699,1.3987,1.4005,7098880.0
2020-02-06 14:00:00,1.4102,1.4418,1.3004,1.3483,9227890.0
2020-02-06 15:00:00,1.3483,1.4457,1.3455,1.3501,2117100.0
2020-02-06 16:00:00,1.3501,1.48,1.35,1.3781,19598340.0
2020-02-06 17:00:00,1.3781,1.4052,1.3781,1.405,16898590.0
2020-02-06 18:00:00,1.4051,1.4074,1.39,1.39,8956400.0
2020-02-06 19:00:00,1.39,1.3914,1.3588,1.3737,8692300.0
2020-02-06 20:00:00,1.3834,1.3916,1.3357,1.3357,3961360.0
2020-02-06 21:00:00,1.3554,1.391,1.3401,1.3708,1665390.0
2020-02-06 22:00:00,1.3898,1.4015,1.3524,1.355,2726790.0
2020-02-06 23:00:00,1.349,1.3869,1.3453,1.3453,2849920.0
2020-02-07 00:00:00,1.3452,1.4288,1.3303,1.3649,3992470.0
2020-02-07 01:00:00,1.3649,1.3741,1.35,1.365,1107000.0
2020-02-07 02:00:00,1.35,1.3741,1.3453,1.3741,4291090.0
2020-02-07 03:00:00,1.3741,1.42,1.3741,1.3797,32583570.0
2020-02-07 04:00:00,1.38,1.4299,1.375,1.4192,10947390.0
2020-02-07 05:00:00,1.4022,1.419,1.4021,1.4027,1324920.0
2020-02-07 06:00:00,1.4027,1.4173,1.3834,1.3991,2820030.0
2020-02-07 07:00:00,1.3973,1.3973,1.3733,1.3866,2761640.0
2020-02-07 08:00:00,1.3866,1.455,1.3789,1.4367,8478490.0
2020-02-07 09:00:00,1.4367,1.4548,1.4117,1.4365,2253600.0
2020-02-07 10:00:00,1.4365,1.4367,1.4066,1.4242,2750580.0
2020-02-07 11:00:00,1.4242,1.4365,1.3991,1.3991,2123900.0
2020-02-07 12:00:00,1.398,1.469,1.3774,1.394,10321970.0
2020-02-07 13:00:00,1.3939,1.3939,1.3424,1.3615,7221790.0
2020-02-07 14:00:00,1.3615,1.3989,1.3615,1.3741,2741670.0
2020-02-07 15:00:00,1.3744,1.3855,1.3516,1.374,3178050.0
2020-02-07 16:00:00,1.3738,1.3738,1.3552,1.37,1027390.0000000001
2020-02-07 17:00:00,1.3741,1.3849,1.37,1.3836,2156430.0
2020-02-07 18:00:00,1.3848,1.4321,1.3723,1.4166,8219389.999999999
2020-02-07 19:00:00,1.4166,1.7097,1.4091,1.5189,47721650.0
2020-02-07 20:00:00,1.4994,1.5187,1.4553,1.4849,6424260.0
2020-02-07 21:00:00,1.4701,1.4832,1.4366,1.4491,15562790.0
2020-02-07 22:00:00,1.4247,1.49,1.4245,1.468,17729460.0
2020-02-07 23:00:00,1.4683,1.4989,1.4683,1.4956,3281870.0
2020-02-08 00:00:00,1.4956,1.4976,1.4775,1.4841,2599980.0
2020-02-08 01:00:00,1.4924,1.499,1.4617,1.4713,4921810.0
2020-02-08 02:00:00,1.467,1.467,1.4367,1.4465,1030829.9999999999
2020-02-08 03:00:00,1.4413,1.4492,1.4068,1.4068,4692790.0
2020-02-08 04:00:00,1.4149,1.415,1.3806,1.3993,10415810.0
2020-02-08 05:00:00,1.4019,1.4242,1.4019,1.4242,1557850.0
2020-02-08 06:00:00,1.428,1.4617,1.4117,1.4368,2264060.0
2020-02-08 07:00:00,1.4368,1.4542,1.4108,1.4108,1553590.0
2020-02-08 08:00:00,1.419,1.4366,1.4041,1.4175,2976650.0
2020-02-08 09:00:00,1.4188,1.439,1.4188,1.4286,13683060.0
2020-02-08 10:00:00,1.439,1.489,1.4293,1.4746,5995760.0
2020-02-08 11:00:00,1.48,1.4982,1.4715,1.4982,5285820.0
2020-02-08 12:00:00,1.4979,1.4979,1.4617,1.4743,2539790.0
2020-02-08 13:00:00,1.4743,1.56,1.4743,1.5567,25019080.0
2020-02-08 14:00:00,1.56,1.6,1.5175,1.5643,26827810.0
2020-02-08 15:00:00,1.5643,1.85,1.5475,1.7223,216871250.0
