,Open,High,Low,Close,Volume
2020-09-16 09:00:00,10.0,10.1,9.8,9.844,899450.0
2020-09-16 10:00:00,9.844,9.844,9.844,9.844,0.0
2020-09-16 11:00:00,9.844,9.844,9.844,9.844,9150.0
2020-09-16 12:00:00,10.0,10.022,10.0,10.022,104400.0
2020-09-16 13:00:00,10.18,10.18,10.158,10.158,215460.0
2020-09-16 14:00:00,10.0,10.165,10.0,10.069,74220.0
2020-09-16 15:00:00,9.985,9.985,9.985,9.985,28440.0
2020-09-16 16:00:00,9.985,9.985,9.985,9.985,46730.0
2020-09-16 17:00:00,9.984,9.984,9.673,9.777,32540.0
2020-09-16 18:00:00,9.673,9.74,9.673,9.74,212650.0
2020-09-16 19:00:00,9.74,9.74,9.74,9.74,0.0
2020-09-16 20:00:00,9.798,9.798,9.798,9.798,217110.0
2020-09-16 21:00:00,9.898,9.983,9.898,9.983,7200.0
2020-09-16 22:00:00,9.983,9.983,9.983,9.983,0.0
2020-09-17 00:00:00,9.878,9.878,9.878,9.878,1060.0
2020-09-17 01:00:00,9.8,10.083,9.8,10.083,55660.0
2020-09-17 02:00:00,9.98,9.98,9.859,9.859,4220.0
2020-09-17 03:00:00,9.859,9.859,9.859,9.859,0.0
2020-09-17 07:00:00,9.85,9.87,9.85,9.87,379300.0
2020-09-17 08:00:00,9.87,9.87,9.87,9.87,0.0
2020-09-17 09:00:00,9.859,9.859,9.859,9.859,1430.0
2020-09-17 10:00:00,9.836,9.908,9.836,9.908,411540.0
2020-09-17 11:00:00,9.908,9.908,9.908,9.908,0.0
2020-09-17 12:00:00,10.0,10.012,10.0,10.0,54570.0
2020-09-17 13:00:00,9.671,9.745,9.671,9.745,52580.0
2020-09-17 14:00:00,9.884,9.884,9.883,9.883,5230.0
2020-09-17 15:00:00,9.893,9.893,9.893,9.893,3020.0
2020-09-17 16:00:00,9.893,9.893,9.893,9.893,0.0
2020-09-17 20:00:00,9.555,9.658,9.555,9.658,4620.0
2020-09-17 21:00:00,9.658,9.658,9.658,9.658,0.0
2020-09-17 22:00:00,9.456,9.551,9.451,9.551,372170.0
2020-09-17 23:00:00,9.551,9.551,9.551,9.551,0.0
2020-09-18 02:00:00,9.477,9.715,9.477,9.715,59370.0
2020-09-18 03:00:00,9.682,9.682,9.681,9.681,7970.0
2020-09-18 04:00:00,9.681,9.681,9.681,9.681,0.0
