,Open,High,Low,Close,Volume
2020-08-21 12:00:00,0.5397,0.5397,0.401,0.4584,1000167440.0
2020-08-21 13:00:00,0.4588,0.4605,0.45,0.45,109805560.0
2020-08-21 14:00:00,0.4494,0.4527,0.4258,0.452,234247810.0
2020-08-21 15:00:00,0.4519,0.4527,0.4459,0.4483,157480310.0
2020-08-21 16:00:00,0.4485,0.4487,0.43,0.4387,219494920.0
2020-08-21 17:00:00,0.4385,0.4544,0.4385,0.454,195670120.0
2020-08-21 18:00:00,0.452,0.46,0.4495,0.4495,217936230.0
2020-08-21 19:00:00,0.4476,0.4525,0.4445,0.4497,106773440.0
2020-08-21 20:00:00,0.4499,0.4507,0.445,0.447,110997370.0
2020-08-21 21:00:00,0.447,0.4479,0.4463,0.4467,90523250.0
2020-08-21 22:00:00,0.4472,0.4473,0.4463,0.4463,67122120.0
2020-08-21 23:00:00,0.4444,0.4456,0.43,0.43,173083280.0
2020-08-22 00:00:00,0.43,0.435,0.4285,0.435,98333170.0
2020-08-22 01:00:00,0.4343,0.4343,0.4305,0.4314,102518260.0
2020-08-22 02:00:00,0.4317,0.4326,0.42,0.42,238755150.0
2020-08-22 03:00:00,0.42,0.4205,0.412,0.4186,201733170.0
2020-08-22 04:00:00,0.4187,0.4241,0.4183,0.4214,62491680.0
2020-08-22 05:00:00,0.4214,0.4216,0.4196,0.421,72351130.0
2020-08-22 06:00:00,0.4207,0.4213,0.4185,0.4191,42730030.0
2020-08-22 07:00:00,0.4196,0.4197,0.4185,0.4192,107334070.0
2020-08-22 08:00:00,0.4194,0.4221,0.4191,0.4207,190591560.0
2020-08-22 09:00:00,0.4208,0.4222,0.4206,0.4222,196942410.0
2020-08-22 10:00:00,0.4231,0.4298,0.4222,0.4261,180704780.0
2020-08-22 11:00:00,0.4267,0.427,0.4242,0.427,145348890.0
2020-08-22 12:00:00,0.427,0.431,0.426,0.4284,116629290.0
2020-08-22 13:00:00,0.4284,0.4313,0.428,0.43,117583540.0
2020-08-22 14:00:00,0.43,0.4541,0.4299,0.4405,290795710.0
2020-08-22 15:00:00,0.4429,0.4513,0.4398,0.4451,157452410.0
2020-08-22 16:00:00,0.4445,0.46,0.4445,0.46,233285970.0
2020-08-22 17:00:00,0.4612,0.4987,0.4612,0.4939,765229530.0
2020-08-22 18:00:00,0.4939,0.4939,0.4672,0.4683,364587320.0
2020-08-22 19:00:00,0.4684,0.4731,0.459,0.4687,168631220.0
2020-08-22 20:00:00,0.4697,0.4697,0.4643,0.4677,148662500.0
2020-08-22 21:00:00,0.4677,0.4696,0.465,0.4676,114133400.0
2020-08-22 22:00:00,0.4676,0.4694,0.4676,0.4694,56343660.0
2020-08-22 23:00:00,0.4695,0.4712,0.4683,0.47,59142940.0
2020-08-23 00:00:00,0.47,0.4706,0.4649,0.4697,81988110.0
2020-08-23 01:00:00,0.4698,0.4716,0.4674,0.4712,84829970.0
2020-08-23 02:00:00,0.469,0.4716,0.4612,0.465,194724680.0
2020-08-23 03:00:00,0.4663,0.4669,0.4624,0.4644,106507420.0
2020-08-23 04:00:00,0.4643,0.4643,0.4523,0.4561,238997470.0
2020-08-23 05:00:00,0.4555,0.4563,0.4531,0.4547,118205500.0
