,Open,High,Low,Close,Volume
2020-08-06 12:00:00,0.05363,0.12,0.05363,0.05999,2889184700.0
2020-08-06 13:00:00,0.05999,0.066,0.05943,0.06112,3110239300.0
2020-08-06 14:00:00,0.06112,0.066,0.06112,0.06318,1788685800.0
2020-08-06 15:00:00,0.06323,0.06323,0.05888,0.05914,1588368400.0
2020-08-06 16:00:00,0.05924,0.06082,0.05914,0.06048,1315028200.0
2020-08-06 17:00:00,0.06065,0.06097,0.05872,0.06035,697878200.0
2020-08-06 18:00:00,0.06038,0.061,0.05901,0.06069,653380200.0
2020-08-06 19:00:00,0.06,0.06005,0.05926,0.05979,172090900.0
2020-08-06 20:00:00,0.0594,0.06094,0.05893,0.05988,349323300.0
2020-08-06 21:00:00,0.05978,0.05994,0.0584,0.05896,347494700.0
2020-08-06 22:00:00,0.05896,0.05896,0.05829,0.05829,251001600.0
2020-08-06 23:00:00,0.05829,0.05965,0.05829,0.05854,198806400.0
2020-08-07 00:00:00,0.05871,0.05999,0.05856,0.05944,149995000.0
2020-08-07 01:00:00,0.0595,0.0595,0.05755,0.05822,685188000.0
2020-08-07 02:00:00,0.0579,0.0604,0.05758,0.05951,1017187600.0
2020-08-07 03:00:00,0.05951,0.0656,0.0595,0.064,2223069700.0
2020-08-07 04:00:00,0.06436,0.06436,0.06217,0.063,1718614000.0
2020-08-07 05:00:00,0.06346,0.07099,0.06346,0.0701,4552567500.0
2020-08-07 06:00:00,0.07052,0.07401,0.066,0.06826,9113534200.0
2020-08-07 07:00:00,0.06765,0.0688,0.06623,0.06762,2653871300.0
2020-08-07 08:00:00,0.06763,0.06802,0.06623,0.06732,1912668800.0
2020-08-07 09:00:00,0.06731,0.07036,0.0671,0.06927,3134618500.0
2020-08-07 10:00:00,0.06927,0.06969,0.06733,0.0678,1395767800.0
2020-08-07 11:00:00,0.06781,0.06834,0.06714,0.06731,1711873900.0
2020-08-07 12:00:00,0.06752,0.06849,0.06731,0.06731,911637100.0
2020-08-07 13:00:00,0.06733,0.0682,0.06701,0.0671,723942800.0
2020-08-07 14:00:00,0.06701,0.06815,0.0648,0.06608,1558700000.0
2020-08-07 15:00:00,0.06623,0.06789,0.06604,0.06639,1048505600.0
2020-08-07 16:00:00,0.0668,0.0668,0.06385,0.06585,2201352000.0
2020-08-07 17:00:00,0.06585,0.06789,0.06556,0.0659,1106024100.0
2020-08-07 18:00:00,0.06646,0.0679,0.06605,0.0677,470794900.0
2020-08-07 19:00:00,0.0677,0.0679,0.06323,0.06472,1631070600.0
2020-08-07 20:00:00,0.06441,0.06717,0.0638,0.06653,1021714700.0
