,Open,High,Low,Close,Volume
2019-04-26 17:00:00,0.00263,0.01052,0.00263,0.0063,1429346565000.0
2019-04-26 18:00:00,0.0063,0.0063,0.0056,0.00579,219023470800.0
2019-04-26 19:00:00,0.0058,0.0058,0.00513,0.00531,173916278700.0
2019-04-26 20:00:00,0.00531,0.00553,0.00497,0.005,119505123500.0
2019-04-26 21:00:00,0.005,0.00514,0.00481,0.00495,82822732900.0
2019-04-26 22:00:00,0.00496,0.00527,0.00486,0.00513,52001957500.0
2019-04-26 23:00:00,0.00515,0.00543,0.00512,0.00538,29460597900.0
2019-04-27 00:00:00,0.0054,0.00581,0.00539,0.00575,75104245200.0
2019-04-27 01:00:00,0.00577,0.00579,0.00533,0.00545,70632362200.0
2019-04-27 02:00:00,0.00543,0.00568,0.00543,0.00555,25342733700.0
2019-04-27 03:00:00,0.00556,0.00571,0.00556,0.00559,29776063100.0
2019-04-27 04:00:00,0.00559,0.00582,0.00556,0.00569,51307010400.0
2019-04-27 05:00:00,0.00568,0.00586,0.00549,0.00553,37586137400.0
2019-04-27 06:00:00,0.00555,0.00555,0.00531,0.00549,25799196400.0
2019-04-27 07:00:00,0.0055,0.00557,0.00543,0.00548,6578057500.0
2019-04-27 08:00:00,0.00548,0.00552,0.0054,0.00544,8708827000.0
2019-04-27 09:00:00,0.00546,0.00554,0.00523,0.0053,35373785000.0
2019-04-27 10:00:00,0.00532,0.00532,0.00516,0.00516,16639277200.0
2019-04-27 11:00:00,0.00517,0.00531,0.00516,0.00528,17378281100.0
2019-04-27 12:00:00,0.00527,0.00528,0.00516,0.00525,5615459100.0
2019-04-27 13:00:00,0.00523,0.00562,0.00523,0.00553,43135167500.0
2019-04-27 14:00:00,0.00555,0.00557,0.00535,0.00541,18775302200.0
2019-04-27 15:00:00,0.0054,0.00546,0.00539,0.00539,11221078700.0
2019-04-27 16:00:00,0.00539,0.00549,0.00532,0.00547,20274227900.0
2019-04-27 17:00:00,0.00547,0.0055,0.0053,0.0053,20412016800.0
2019-04-27 18:00:00,0.00532,0.00537,0.00522,0.00529,13170866000.0
2019-04-27 19:00:00,0.00529,0.00532,0.00518,0.00525,21799992000.0
2019-04-27 20:00:00,0.00524,0.00531,0.00523,0.00527,7791781000.0
2019-04-27 21:00:00,0.00527,0.00534,0.00526,0.00531,7316499000.0
2019-04-27 22:00:00,0.00531,0.00532,0.00523,0.00525,5798641100.0
2019-04-27 23:00:00,0.00524,0.00526,0.00521,0.00522,5361084100.0
2019-04-28 00:00:00,0.00522,0.00527,0.0052,0.00523,2241800800.0
2019-04-28 01:00:00,0.00526,0.00527,0.0052,0.00521,2935735000.0
2019-04-28 02:00:00,0.00521,0.00524,0.00505,0.00506,22545952600.0
2019-04-28 03:00:00,0.00506,0.00515,0.00497,0.00501,25894637000.0
2019-04-28 04:00:00,0.005,0.00501,0.00485,0.00488,23051461000.0
2019-04-28 05:00:00,0.00489,0.00501,0.00486,0.00498,17254448700.0
2019-04-28 06:00:00,0.00499,0.00506,0.00491,0.00504,7748341900.0
2019-04-28 07:00:00,0.00504,0.00508,0.00486,0.00492,19841729000.0
2019-04-28 08:00:00,0.00492,0.00497,0.00491,0.00497,7001945700.0
2019-04-28 09:00:00,0.00496,0.005,0.00494,0.00494,3135113200.0
2019-04-28 10:00:00,0.00495,0.00515,0.00495,0.00506,19403262200.0
2019-04-28 11:00:00,0.00506,0.00506,0.00493,0.00495,9667723400.0
2019-04-28 12:00:00,0.00498,0.00498,0.00489,0.00495,12397950600.0
2019-04-28 13:00:00,0.00494,0.00507,0.00493,0.005,11969688000.0
2019-04-28 14:00:00,0.00501,0.00527,0.005,0.00505,48061122400.0
2019-04-28 15:00:00,0.00506,0.0051,0.0049,0.0049,17620816200.0
2019-04-28 16:00:00,0.0049,0.005,0.00479,0.00483,51973938800.0
2019-04-28 17:00:00,0.00483,0.00486,0.0047,0.00473,30534614300.0
2019-04-28 18:00:00,0.00473,0.00476,0.00462,0.00474,20773535800.0
2019-04-28 19:00:00,0.00474,0.00475,0.00458,0.0046,18821457900.0
2019-04-28 20:00:00,0.00461,0.00464,0.00445,0.00446,26174415700.0
2019-04-28 21:00:00,0.00446,0.00457,0.0044,0.00452,14637061600.0
2019-04-28 22:00:00,0.00453,0.00462,0.00448,0.00449,15079761900.0
2019-04-28 23:00:00,0.00448,0.00449,0.00438,0.00441,11073528700.0
2019-04-29 00:00:00,0.00441,0.00446,0.00434,0.00442,15687243900.0
2019-04-29 01:00:00,0.00441,0.00445,0.00434,0.00442,6834221000.0
2019-04-29 02:00:00,0.00442,0.00444,0.00437,0.00441,5892417100.0
2019-04-29 03:00:00,0.00442,0.00445,0.00421,0.00424,27268636800.0
2019-04-29 04:00:00,0.00424,0.00443,0.00421,0.00438,20674412100.0
2019-04-29 05:00:00,0.00438,0.00456,0.00438,0.00448,21557864600.0
2019-04-29 06:00:00,0.00447,0.00448,0.00431,0.00438,36236633600.0
2019-04-29 07:00:00,0.00439,0.00444,0.00426,0.00431,11746640800.0
2019-04-29 08:00:00,0.00429,0.00434,0.00428,0.00428,4773769800.0
2019-04-29 09:00:00,0.00427,0.00428,0.00423,0.00426,8426316800.000001
2019-04-29 10:00:00,0.00427,0.0043,0.00423,0.00427,8282695700.0
2019-04-29 11:00:00,0.00427,0.00427,0.00406,0.00406,34007905299.999996
2019-04-29 12:00:00,0.00408,0.00409,0.0039,0.00393,38786499100.0
2019-04-29 13:00:00,0.00393,0.00399,0.0039,0.00398,10022050400.0
2019-04-29 14:00:00,0.00397,0.00406,0.00378,0.00382,52637866200.0
2019-04-29 15:00:00,0.00382,0.00389,0.00373,0.00388,28495513800.0
2019-04-29 16:00:00,0.00389,0.00402,0.00384,0.00393,69124237200.0
2019-04-29 17:00:00,0.00393,0.00394,0.00383,0.00387,10955904300.0
2019-04-29 18:00:00,0.00386,0.00398,0.00386,0.00394,15636409400.0
2019-04-29 19:00:00,0.00392,0.00395,0.00383,0.00383,8662992700.0
2019-04-29 20:00:00,0.00383,0.00388,0.0038,0.00382,5842997800.0
2019-04-29 21:00:00,0.00385,0.00388,0.00381,0.00386,2794162600.0
2019-04-29 22:00:00,0.00387,0.00396,0.0037,0.0038,46918832800.0
2019-04-29 23:00:00,0.00379,0.00383,0.00374,0.00375,13992155500.0
2019-04-30 00:00:00,0.00376,0.00381,0.00354,0.00357,16414887900.0
2019-04-30 01:00:00,0.00357,0.00371,0.00343,0.00347,21405782300.0
2019-04-30 02:00:00,0.00346,0.00371,0.00346,0.00361,16659822000.0
2019-04-30 03:00:00,0.0036,0.00381,0.00356,0.00374,12066920200.0
2019-04-30 04:00:00,0.00375,0.00391,0.00374,0.00379,18943436200.0
2019-04-30 05:00:00,0.00379,0.00386,0.0037,0.00374,16354066900.0
2019-04-30 06:00:00,0.00372,0.00377,0.00364,0.00369,5906410300.0
2019-04-30 07:00:00,0.0037,0.0038,0.00361,0.00364,17418994300.0
2019-04-30 08:00:00,0.00365,0.00378,0.00362,0.00368,6705974700.0
2019-04-30 09:00:00,0.0037,0.00374,0.00365,0.0037,7727747000.0
2019-04-30 10:00:00,0.00371,0.00374,0.00365,0.00366,2887717000.0
2019-04-30 11:00:00,0.00366,0.00371,0.0036,0.00366,5232844200.0
2019-04-30 12:00:00,0.00366,0.0039,0.00366,0.00383,23457364000.0
2019-04-30 13:00:00,0.0038,0.00385,0.00378,0.00384,10361762100.0
2019-04-30 14:00:00,0.00384,0.00476,0.00383,0.0047,266657307800.0
2019-04-30 15:00:00,0.00471,0.00501,0.00462,0.00474,285936805800.0
2019-04-30 16:00:00,0.00474,0.00516,0.00467,0.0047,157719961900.0
2019-04-30 17:00:00,0.0047,0.00484,0.00462,0.00467,45542069500.0
2019-04-30 18:00:00,0.00468,0.00495,0.00431,0.00442,112868918000.0
2019-04-30 19:00:00,0.00439,0.00455,0.00435,0.00442,32781777600.0
2019-04-30 20:00:00,0.00441,0.00449,0.0044,0.00443,8515887600.0
2019-04-30 21:00:00,0.00443,0.00475,0.00443,0.00465,38911638700.0
2019-04-30 22:00:00,0.00464,0.0047,0.00453,0.00453,26473632500.0
2019-04-30 23:00:00,0.00452,0.00458,0.00445,0.00455,10901302600.0
2019-05-01 00:00:00,0.00455,0.00456,0.00435,0.0044,24635525100.0
2019-05-01 01:00:00,0.0044,0.00448,0.00437,0.00442,11039007800.0
2019-05-01 02:00:00,0.00442,0.00462,0.0044,0.00458,21532050000.0
2019-05-01 03:00:00,0.00458,0.00464,0.00445,0.00451,15104149700.0
2019-05-01 04:00:00,0.00451,0.00451,0.00432,0.00434,58228321200.0
2019-05-01 05:00:00,0.00434,0.00434,0.0041,0.00413,288903592000.0
2019-05-01 06:00:00,0.00414,0.0042,0.0041,0.00413,21123823400.0
2019-05-01 07:00:00,0.00414,0.00423,0.0041,0.0041,18036005600.0
2019-05-01 08:00:00,0.00409,0.00426,0.00407,0.00422,13742388700.0
2019-05-01 09:00:00,0.00422,0.00426,0.00416,0.00419,10792853500.0
2019-05-01 10:00:00,0.00418,0.00438,0.00418,0.00437,26496074200.0
2019-05-01 11:00:00,0.00437,0.0044,0.00428,0.00434,18458871300.0
2019-05-01 12:00:00,0.00434,0.00439,0.00416,0.00416,11327291900.0
2019-05-01 13:00:00,0.00416,0.00424,0.00411,0.0042,35662358800.0
2019-05-01 14:00:00,0.00417,0.00421,0.00402,0.00407,17270127800.0
2019-05-01 15:00:00,0.00407,0.0042,0.00405,0.00413,11973139500.0
2019-05-01 16:00:00,0.00414,0.00433,0.00414,0.00431,15367933000.0
2019-05-01 17:00:00,0.00432,0.00434,0.00418,0.00422,11729633900.0
2019-05-01 18:00:00,0.00423,0.00428,0.00418,0.00423,5561616400.0
2019-05-01 19:00:00,0.00423,0.0043,0.00418,0.00422,10743432800.0
2019-05-01 20:00:00,0.00422,0.00427,0.00418,0.0042,5481329500.0
2019-05-01 21:00:00,0.00421,0.00423,0.00419,0.00422,2098200799.9999998
2019-05-01 22:00:00,0.00422,0.00423,0.00413,0.00414,7779752200.0
2019-05-01 23:00:00,0.00414,0.00416,0.00411,0.00415,3613696700.0
2019-05-02 00:00:00,0.00415,0.00428,0.00414,0.00423,9199423000.0
2019-05-02 01:00:00,0.00423,0.0044,0.00421,0.00432,10204684100.0
2019-05-02 02:00:00,0.00432,0.00436,0.00424,0.00425,7653836700.0
2019-05-02 03:00:00,0.00426,0.00429,0.00424,0.00425,6374970200.0
2019-05-02 04:00:00,0.00425,0.0043,0.00422,0.00425,5290833800.0
2019-05-02 05:00:00,0.00425,0.00435,0.00423,0.00431,8254252700.0
2019-05-02 06:00:00,0.00431,0.00436,0.00428,0.00431,11931202200.0
2019-05-02 07:00:00,0.00432,0.00468,0.00431,0.00457,39316858300.0
2019-05-02 08:00:00,0.00457,0.00459,0.00444,0.0045,15910203200.0
2019-05-02 09:00:00,0.00451,0.00456,0.00441,0.00449,20500796600.0
2019-05-02 10:00:00,0.0045,0.00451,0.00437,0.00445,8054195700.0
2019-05-02 11:00:00,0.00445,0.00449,0.00428,0.00434,14439013500.0
2019-05-02 12:00:00,0.00435,0.00441,0.00434,0.00434,8475465100.0
2019-05-02 13:00:00,0.00436,0.00437,0.00429,0.00431,9869959500.0
2019-05-02 14:00:00,0.00431,0.00431,0.00422,0.00426,9958439400.0
2019-05-02 15:00:00,0.00427,0.0043,0.0042,0.00423,15648049900.0
2019-05-02 16:00:00,0.00423,0.00427,0.0041,0.00412,23655792900.0
2019-05-02 17:00:00,0.00412,0.00418,0.00412,0.00416,14087014500.0
2019-05-02 18:00:00,0.00418,0.00421,0.00411,0.00414,11737304200.0
2019-05-02 19:00:00,0.00414,0.00429,0.00414,0.00424,9525191500.0
2019-05-02 20:00:00,0.00424,0.00424,0.00412,0.00414,8211651700.0
2019-05-02 21:00:00,0.00414,0.00419,0.00413,0.00413,5926369700.0
2019-05-02 22:00:00,0.00414,0.00417,0.00413,0.00414,671520200.0
2019-05-02 23:00:00,0.00415,0.00426,0.00415,0.00422,4267707599.9999995
2019-05-03 00:00:00,0.00424,0.00425,0.00419,0.0042,5559896300.0
2019-05-03 01:00:00,0.0042,0.00427,0.00419,0.00419,4798353400.0
2019-05-03 02:00:00,0.00419,0.00422,0.00413,0.00422,6387172300.0
2019-05-03 03:00:00,0.00422,0.00422,0.00412,0.00414,10436282800.0
2019-05-03 04:00:00,0.00414,0.0042,0.00413,0.00415,5235742500.0
2019-05-03 05:00:00,0.00416,0.00416,0.00411,0.00412,7734322000.0
2019-05-03 06:00:00,0.00412,0.00414,0.00394,0.00397,24764933800.0
2019-05-03 07:00:00,0.00398,0.00408,0.00396,0.00405,15448431900.0
2019-05-03 08:00:00,0.00405,0.00421,0.00405,0.0041,18384014200.0
2019-05-03 09:00:00,0.00408,0.00413,0.00398,0.00399,11960927400.0
2019-05-03 10:00:00,0.00397,0.00406,0.00397,0.00405,16143345200.0
2019-05-03 11:00:00,0.00405,0.00415,0.00398,0.00412,21809272400.0
2019-05-03 12:00:00,0.00413,0.00415,0.00406,0.00408,9930620400.0
2019-05-03 13:00:00,0.00408,0.0041,0.00404,0.00408,5812819100.0
2019-05-03 14:00:00,0.00408,0.00408,0.00403,0.00403,5344561500.0
2019-05-03 15:00:00,0.00406,0.0041,0.00404,0.00409,5616112100.0
2019-05-03 16:00:00,0.0041,0.0041,0.00404,0.00405,12202821200.0
2019-05-03 17:00:00,0.00405,0.00411,0.00404,0.00408,5470894000.0
2019-05-03 18:00:00,0.00407,0.00428,0.00406,0.00426,24915621100.0
2019-05-03 19:00:00,0.00426,0.0044,0.0042,0.00425,36868737400.0
