,Open,High,Low,Close,Volume
2021-08-19 10:00:00,1.969,4.39,1.969,3.257,13057341900.0
2021-08-19 11:00:00,3.253,4.234,3.252,3.862,9730510700.0
2021-08-19 12:00:00,3.867,5.87,3.867,5.368,23794469100.0
2021-08-19 13:00:00,5.372,5.86,4.7,4.832,13910467900.0
2021-08-19 14:00:00,4.831,5.042,4.418,4.597,6133990300.0
2021-08-19 15:00:00,4.606,5.036,4.5,4.683,5691356000.0
2021-08-19 16:00:00,4.683,4.685,4.14,4.32,4249127200.0
2021-08-19 17:00:00,4.319,4.556,4.134,4.504,3279689900.0
2021-08-19 18:00:00,4.505,5.15,4.41,4.862,7336185800.0
2021-08-19 19:00:00,4.856,4.86,4.521,4.697,2303140900.0
2021-08-19 20:00:00,4.697,4.84,4.463,4.595,1590344700.0
2021-08-19 21:00:00,4.597,4.7,4.44,4.541,1229920700.0
2021-08-19 22:00:00,4.545,4.578,4.323,4.425,897303200.0
2021-08-19 23:00:00,4.426,4.49,4.212,4.429,1117537900.0
2021-08-20 00:00:00,4.431,4.98,4.36,4.851,2824352200.0
2021-08-20 01:00:00,4.85,4.866,4.52,4.674,1995236400.0
2021-08-20 02:00:00,4.675,4.8,4.477,4.594,1058000600.0000001
2021-08-20 03:00:00,4.593,5.33,4.54,5.088,4111740800.0
2021-08-20 04:00:00,5.092,5.33,4.95,5.026,2443060800.0
2021-08-20 05:00:00,5.036,5.239,4.901,4.961,1691321400.0
2021-08-20 06:00:00,4.962,4.985,4.649,4.834,1681512700.0
2021-08-20 07:00:00,4.834,4.844,4.501,4.586,1365855800.0
2021-08-20 08:00:00,4.587,4.671,4.386,4.671,1942504700.0
2021-08-20 09:00:00,4.672,4.71,4.5,4.601,1211234100.0
2021-08-20 10:00:00,4.6,4.6,4.42,4.504,1036325500.0
2021-08-20 11:00:00,4.509,4.631,4.407,4.435,928596900.0
2021-08-20 12:00:00,4.437,4.472,4.24,4.372,1473415100.0
2021-08-20 13:00:00,4.371,4.458,4.291,4.41,725792900.0
2021-08-20 14:00:00,4.411,4.438,4.24,4.292,631384900.0
2021-08-20 15:00:00,4.292,4.346,4.25,4.321,584047800.0
2021-08-20 16:00:00,4.321,4.509,4.32,4.405,1027030800.0
2021-08-20 17:00:00,4.403,4.425,4.307,4.35,350393000.0
2021-08-20 18:00:00,4.349,4.49,4.349,4.418,535425400.0
2021-08-20 19:00:00,4.412,4.456,4.37,4.402,307400200.0
2021-08-20 20:00:00,4.402,4.425,4.33,4.341,242640600.0
