,Open,High,Low,Close,Volume
2021-12-02 09:00:00,10.36,12.7,10.36,10.56,1711896520.0
2021-12-02 10:00:00,10.57,10.86,10.01,10.1,328507660.0
2021-12-02 11:00:00,10.11,10.32,9.0,9.13,433819970.0
2021-12-02 12:00:00,9.12,9.57,8.96,9.18,286520380.0
2021-12-02 13:00:00,9.2,9.78,8.7,8.84,411440540.0
2021-12-02 14:00:00,8.84,9.09,8.11,8.42,553914060.0
2021-12-02 15:00:00,8.42,9.02,8.39,8.95,237102120.0
2021-12-02 16:00:00,8.95,9.25,8.5,8.67,202127430.0
2021-12-02 17:00:00,8.68,8.92,8.13,8.25,272154730.0
2021-12-02 18:00:00,8.26,8.8,8.12,8.44,194032860.0
2021-12-02 19:00:00,8.44,8.59,8.31,8.49,84442200.0
2021-12-02 20:00:00,8.5,8.81,8.36,8.61,125936170.0
2021-12-02 21:00:00,8.6,9.23,8.38,8.7,261382700.0
2021-12-02 22:00:00,8.7,9.18,8.45,9.08,264110729.99999997
2021-12-02 23:00:00,9.08,9.49,8.87,9.33,195869610.0
2021-12-03 00:00:00,9.33,9.47,9.0,9.33,135587960.0
2021-12-03 01:00:00,9.36,9.6,9.11,9.39,129689890.0
2021-12-03 02:00:00,9.39,9.7,9.18,9.57,258831420.0
2021-12-03 03:00:00,9.58,9.79,9.18,9.35,280605120.0
2021-12-03 04:00:00,9.35,9.66,9.29,9.62,74724470.0
2021-12-03 05:00:00,9.62,9.7,9.38,9.49,82856750.0
2021-12-03 06:00:00,9.49,9.94,9.15,9.73,183627010.0
2021-12-03 07:00:00,9.75,10.14,9.72,10.1,199036390.0
2021-12-03 08:00:00,10.09,10.18,9.58,9.92,186828400.0
2021-12-03 09:00:00,9.92,9.99,9.57,9.85,207816250.0
2021-12-03 10:00:00,9.85,9.91,9.57,9.63,164962210.0
2021-12-03 11:00:00,9.64,9.85,9.5,9.81,161513580.0
2021-12-03 12:00:00,9.81,10.15,9.79,10.03,166622890.0
2021-12-03 13:00:00,10.03,10.13,9.66,9.9,250010300.0
2021-12-03 14:00:00,9.9,10.22,9.83,9.94,185638000.0
2021-12-03 15:00:00,9.94,10.01,9.86,9.86,162730820.0
2021-12-03 16:00:00,9.86,10.04,9.26,9.3,241432780.0
2021-12-03 17:00:00,9.3,9.58,8.99,9.11,238207240.0
2021-12-03 18:00:00,9.12,9.18,8.55,8.91,178378490.0
2021-12-03 19:00:00,8.93,9.0,8.79,8.87,70551840.0
2021-12-03 20:00:00,8.87,8.87,8.3,8.49,138050200.0
2021-12-03 21:00:00,8.49,8.7,8.18,8.65,185015840.0
2021-12-03 22:00:00,8.65,8.69,8.31,8.52,119454540.0
2021-12-03 23:00:00,8.52,8.61,8.4,8.47,57773110.0
2021-12-04 00:00:00,8.46,8.64,8.44,8.58,38074190.0
2021-12-04 01:00:00,8.59,8.64,8.25,8.31,77653880.0
2021-12-04 02:00:00,8.31,8.37,8.12,8.26,62300240.0
2021-12-04 03:00:00,8.25,8.28,8.13,8.23,39904440.0
2021-12-04 04:00:00,8.25,8.28,7.66,7.72,184053830.0
2021-12-04 05:00:00,7.7,7.84,7.23,7.33,127332090.0
2021-12-04 06:00:00,7.33,7.48,5.9,7.32,334277450.0
2021-12-04 07:00:00,7.32,7.58,6.96,7.11,256367530.0
2021-12-04 08:00:00,7.12,7.28,5.99,7.15,142793830.0
2021-12-04 09:00:00,7.15,7.29,6.88,7.26,186711640.0
2021-12-04 10:00:00,7.24,7.24,6.9,7.15,164483430.0
2021-12-04 11:00:00,7.15,7.18,6.97,7.07,83569970.0
2021-12-04 12:00:00,7.07,7.12,6.8,6.95,91119170.0
2021-12-04 13:00:00,6.96,7.2,6.94,7.09,94868200.0
2021-12-04 14:00:00,7.1,7.11,6.91,7.01,97355740.0
2021-12-04 15:00:00,7.02,7.16,6.86,7.06,131403200.00000001
2021-12-04 16:00:00,7.05,7.45,6.98,7.29,212064470.0
2021-12-04 17:00:00,7.29,7.41,7.06,7.21,160578600.0
2021-12-04 18:00:00,7.21,7.33,7.17,7.28,35596770.0
2021-12-04 19:00:00,7.29,7.43,7.25,7.38,47788540.0
2021-12-04 20:00:00,7.38,7.78,7.34,7.6,126545690.0
2021-12-04 21:00:00,7.61,7.69,7.41,7.53,90059680.0
2021-12-04 22:00:00,7.53,7.62,7.38,7.41,54652650.0
2021-12-04 23:00:00,7.42,7.6,7.35,7.44,52612430.0
2021-12-05 00:00:00,7.45,7.6,7.3,7.39,68776900.0
2021-12-05 01:00:00,7.4,7.46,7.2,7.32,31141370.0
2021-12-05 02:00:00,7.32,7.36,7.19,7.2,38996830.0
2021-12-05 03:00:00,7.21,7.36,7.17,7.24,27196150.0
2021-12-05 04:00:00,7.24,7.32,7.14,7.15,36292970.0
2021-12-05 05:00:00,7.14,7.18,6.94,7.01,54220160.0
2021-12-05 06:00:00,7.02,7.16,7.0,7.12,99978860.0
2021-12-05 07:00:00,7.12,7.36,7.1,7.19,75772780.0
2021-12-05 08:00:00,7.19,7.41,7.14,7.29,94204660.0
2021-12-05 09:00:00,7.29,7.39,7.24,7.32,49461730.0
2021-12-05 10:00:00,7.33,7.39,7.1,7.29,93061860.0
2021-12-05 11:00:00,7.29,7.32,7.25,7.3,29829190.0
2021-12-05 12:00:00,7.3,7.49,7.3,7.39,70904170.0
2021-12-05 13:00:00,7.37,7.5,7.37,7.49,98124510.0
2021-12-05 14:00:00,7.49,7.65,7.31,7.5,71171200.0
2021-12-05 15:00:00,7.5,7.52,7.14,7.17,106162340.0
2021-12-05 16:00:00,7.17,7.19,6.7,6.75,170024730.0
2021-12-05 17:00:00,6.75,6.97,6.55,6.65,168692060.0
2021-12-05 18:00:00,6.66,6.69,6.44,6.5,143308520.0
2021-12-05 19:00:00,6.51,7.26,6.45,6.7,149007410.0
