,Open,High,Low,Close,Volume
2019-08-27 06:00:00,0.0012,0.001249,0.0011,0.001228,3597525000.0
2019-08-27 07:00:00,0.001227,0.001276,0.001218,0.001276,5928689000.0
2019-08-27 08:00:00,0.001245,0.001277,0.001239,0.001276,2477484000.0
2019-08-27 09:00:00,0.001266,0.001266,0.001231,0.001242,7451106000.0
2019-08-27 10:00:00,0.001231,0.001242,0.001195,0.001214,6205452000.0
2019-08-27 11:00:00,0.001224,0.001224,0.001198,0.001219,5674637000.0
2019-08-27 12:00:00,0.001208,0.001284,0.00119,0.001223,1652578000.0
2019-08-27 13:00:00,0.001206,0.001206,0.001134,0.001178,1696659000.0
2019-08-27 14:00:00,0.001181,0.001194,0.001172,0.001174,359536000.0
2019-08-27 15:00:00,0.001172,0.0012,0.001157,0.00117,1674118000.0
2019-08-27 16:00:00,0.001183,0.001183,0.001163,0.001168,481677000.0
2019-08-27 17:00:00,0.001164,0.001176,0.001149,0.001175,1198048000.0
2019-08-27 18:00:00,0.001175,0.001175,0.001175,0.001175,0.0
2019-08-27 19:00:00,0.001186,0.00119,0.001152,0.001172,900169000.0
2019-08-27 20:00:00,0.00115,0.001174,0.00115,0.001153,262330000.0
2019-08-27 21:00:00,0.001174,0.001203,0.001138,0.001192,352742000.0
2019-08-27 22:00:00,0.001213,0.001213,0.001193,0.001193,8096000.0
2019-08-27 23:00:00,0.001148,0.001191,0.001148,0.001184,187938000.0
2019-08-28 00:00:00,0.001163,0.00118,0.00114,0.00118,1366453000.0
2019-08-28 01:00:00,0.001165,0.001191,0.001165,0.001191,15542000.0
2019-08-28 02:00:00,0.001191,0.001213,0.001183,0.001193,465921000.0
2019-08-28 03:00:00,0.001191,0.001213,0.001181,0.001195,106174000.0
2019-08-28 04:00:00,0.00121,0.00121,0.00121,0.00121,3039000.0
2019-08-28 05:00:00,0.00121,0.00121,0.00121,0.00121,0.0
2019-08-28 06:00:00,0.00117,0.00117,0.00116,0.00116,473807000.0
2019-08-28 07:00:00,0.00116,0.001194,0.001144,0.00115,1345072000.0
2019-08-28 08:00:00,0.00115,0.00115,0.00115,0.00115,0.0
2019-08-28 09:00:00,0.00115,0.001164,0.00115,0.00115,89779000.0
2019-08-28 10:00:00,0.00115,0.001157,0.00114,0.001157,272695000.0
2019-08-28 11:00:00,0.001139,0.001177,0.001139,0.001148,126210000.0
2019-08-28 12:00:00,0.001177,0.001177,0.001143,0.001143,44373000.0
2019-08-28 13:00:00,0.001144,0.001177,0.001144,0.001177,105934000.0
2019-08-28 14:00:00,0.00115,0.00117,0.00115,0.00117,209614000.0
2019-08-28 15:00:00,0.00117,0.00117,0.001147,0.001147,18792000.0
2019-08-28 16:00:00,0.001142,0.001165,0.001141,0.001151,1140986000.0
2019-08-28 17:00:00,0.00115,0.001151,0.00115,0.001151,399437000.0
2019-08-28 18:00:00,0.00114,0.001154,0.00114,0.001154,55384000.0
2019-08-28 19:00:00,0.00114,0.00114,0.00114,0.00114,10527000.0
2019-08-28 20:00:00,0.001118,0.001156,0.001053,0.001093,1164874000.0
2019-08-28 21:00:00,0.001065,0.001071,0.001039,0.00105,4487271000.0
2019-08-28 22:00:00,0.00105,0.00115,0.001048,0.00115,569718000.0
2019-08-28 23:00:00,0.001139,0.00114,0.00106,0.001074,457650000.0
2019-08-29 00:00:00,0.001072,0.001118,0.001049,0.001087,2264541000.0
2019-08-29 01:00:00,0.001068,0.001104,0.001059,0.001089,790508000.0
2019-08-29 02:00:00,0.001089,0.001089,0.001039,0.001039,1933650000.0
2019-08-29 03:00:00,0.001039,0.001078,0.001039,0.001078,817791000.0
2019-08-29 04:00:00,0.001075,0.001075,0.001046,0.001046,24323000.0
2019-08-29 05:00:00,0.00107,0.001075,0.000993,0.000998,318725000.0
2019-08-29 06:00:00,0.000973,0.001058,0.000957,0.000991,465600000.0
2019-08-29 07:00:00,0.001007,0.001024,0.000988,0.001023,369629000.0
2019-08-29 08:00:00,0.001006,0.001055,0.000986,0.001055,268715000.0
2019-08-29 09:00:00,0.001003,0.001028,0.000948,0.000978,704816000.0
2019-08-29 10:00:00,0.00097,0.000981,0.000963,0.000981,530175000.0
2019-08-29 11:00:00,0.000992,0.001066,0.000967,0.00097,441958000.0
2019-08-29 12:00:00,0.000988,0.000988,0.000967,0.000971,152007000.0
2019-08-29 13:00:00,0.00099,0.000993,0.000977,0.000983,105322000.0
2019-08-29 14:00:00,0.000986,0.001022,0.000976,0.000985,50013000.0
2019-08-29 15:00:00,0.000987,0.000987,0.000987,0.000987,15076000.0
2019-08-29 16:00:00,0.000991,0.001042,0.000991,0.001035,654295000.0
2019-08-29 17:00:00,0.001035,0.001063,0.001033,0.001047,1265616000.0
2019-08-29 18:00:00,0.001039,0.001039,0.001032,0.001038,1689090000.0
2019-08-29 19:00:00,0.00103,0.001037,0.001016,0.001034,3123367000.0
2019-08-29 20:00:00,0.00102,0.001037,0.001013,0.001037,6531896000.0
2019-08-29 21:00:00,0.001015,0.001039,0.001006,0.001039,494978000.0
2019-08-29 22:00:00,0.001021,0.001021,0.001021,0.001021,20000000.0
2019-08-29 23:00:00,0.001025,0.001039,0.001018,0.001018,363619000.0
2019-08-30 00:00:00,0.001014,0.001039,0.001014,0.001039,26597000.0
2019-08-30 01:00:00,0.001038,0.001038,0.001027,0.001028,38488000.0
2019-08-30 02:00:00,0.001028,0.001028,0.001028,0.001028,0.0
2019-08-30 03:00:00,0.001039,0.001039,0.001039,0.001039,6544000.0
2019-08-30 04:00:00,0.001017,0.001039,0.001017,0.001039,104733000.0
2019-08-30 05:00:00,0.001039,0.001069,0.001039,0.001068,5836000.0
2019-08-30 06:00:00,0.001044,0.001044,0.001001,0.001037,972510000.0
2019-08-30 07:00:00,0.001025,0.001069,0.001006,0.001059,898404000.0
2019-08-30 08:00:00,0.001058,0.001058,0.001045,0.001045,34651000.0
2019-08-30 09:00:00,0.001046,0.001059,0.000911,0.000998,4646944000.0
2019-08-30 10:00:00,0.001052,0.001052,0.00103,0.00103,752336000.0
2019-08-30 11:00:00,0.001028,0.001054,0.00102,0.001042,178412000.0
2019-08-30 12:00:00,0.001042,0.001055,0.001018,0.001049,164088000.0
2019-08-30 13:00:00,0.001049,0.001049,0.001025,0.001043,374986000.0
2019-08-30 14:00:00,0.001049,0.001058,0.001024,0.001039,258930000.0
2019-08-30 15:00:00,0.001058,0.001059,0.001023,0.001059,2577844000.0
2019-08-30 16:00:00,0.001036,0.001058,0.001031,0.001058,2466871000.0
2019-08-30 17:00:00,0.001058,0.001058,0.001042,0.001042,320219000.0
2019-08-30 18:00:00,0.001042,0.001049,0.001042,0.001043,113132000.0
2019-08-30 19:00:00,0.001058,0.001059,0.001034,0.001058,1501228000.0
2019-08-30 20:00:00,0.001058,0.001058,0.001058,0.001058,0.0
2019-08-30 21:00:00,0.001036,0.00105,0.001036,0.00105,213136000.0
2019-08-30 22:00:00,0.001059,0.001059,0.001032,0.001044,2157110000.0
2019-08-30 23:00:00,0.001059,0.001059,0.001059,0.001059,2684000.0
2019-08-31 00:00:00,0.001038,0.001058,0.001024,0.001058,240795000.0
2019-08-31 01:00:00,0.001056,0.001056,0.001017,0.00104,2385340000.0
2019-08-31 02:00:00,0.001031,0.00105,0.001024,0.001042,348261000.0
2019-08-31 03:00:00,0.001041,0.001042,0.001016,0.001038,1749711000.0
2019-08-31 04:00:00,0.001043,0.001059,0.001031,0.001045,757960000.0
2019-08-31 05:00:00,0.001051,0.001051,0.001035,0.001044,509517000.0
2019-08-31 06:00:00,0.001044,0.001059,0.001044,0.001049,15614000.0
2019-08-31 07:00:00,0.001049,0.001049,0.001035,0.001035,378956000.0
2019-08-31 08:00:00,0.001035,0.001035,0.001024,0.001024,127755000.0
2019-08-31 09:00:00,0.001058,0.001058,0.001058,0.001058,2699000.0
2019-08-31 11:00:00,0.001037,0.001058,0.001031,0.001058,418754000.0
2019-08-31 12:00:00,0.001058,0.001058,0.001058,0.001058,41663000.0
2019-08-31 13:00:00,0.001058,0.001058,0.001039,0.001039,126867000.0
2019-08-31 15:00:00,0.001059,0.00107,0.00102,0.00107,126516000.0
2019-08-31 16:00:00,0.00107,0.00107,0.00107,0.00107,0.0
2019-08-31 17:00:00,0.001056,0.001056,0.001023,0.001028,4229992000.0
2019-08-31 18:00:00,0.001028,0.001029,0.001025,0.001026,18910000.0
2019-08-31 19:00:00,0.001025,0.001028,0.001025,0.001028,277513000.0
2019-08-31 20:00:00,0.00103,0.001055,0.001015,0.001016,376731000.0
2019-08-31 21:00:00,0.001012,0.001029,0.001012,0.001029,302357000.0
2019-08-31 22:00:00,0.001019,0.00102,0.001007,0.00102,586909000.0
2019-08-31 23:00:00,0.001005,0.001036,0.001002,0.001036,2216355000.0
2019-09-01 00:00:00,0.001054,0.001054,0.001014,0.001028,795411000.0
2019-09-01 01:00:00,0.001038,0.00104,0.001038,0.00104,5934000.0
2019-09-01 02:00:00,0.00104,0.001044,0.001028,0.001042,208611000.0
2019-09-01 03:00:00,0.001046,0.001051,0.001046,0.001047,28340000.0
2019-09-01 04:00:00,0.001047,0.001048,0.001039,0.001046,190481000.0
2019-09-01 05:00:00,0.001047,0.001047,0.001026,0.00104,1313652000.0
2019-09-01 06:00:00,0.001043,0.001043,0.001037,0.001039,12453000.0
2019-09-01 07:00:00,0.001041,0.001042,0.001038,0.001042,25000000.0
2019-09-01 08:00:00,0.001044,0.001044,0.00104,0.00104,16106000.0
2019-09-01 09:00:00,0.001044,0.001044,0.001042,0.001042,12309000.0
2019-09-01 10:00:00,0.001031,0.001033,0.001012,0.001024,1208902000.0
2019-09-01 11:00:00,0.001032,0.001035,0.00103,0.001035,34646000.0
2019-09-01 12:00:00,0.001033,0.001035,0.001026,0.001035,101546000.0
2019-09-01 13:00:00,0.001033,0.001033,0.001011,0.001011,156064000.0
2019-09-01 14:00:00,0.00101,0.00101,0.00101,0.00101,13179000.0
2019-09-01 15:00:00,0.00101,0.00101,0.001004,0.001004,261569000.0
2019-09-01 16:00:00,0.001018,0.001025,0.001018,0.001025,131855000.0
2019-09-01 17:00:00,0.001009,0.001022,0.001005,0.001022,159716000.0
2019-09-01 18:00:00,0.001015,0.001015,0.001015,0.001015,7107000.0
2019-09-01 19:00:00,0.001001,0.001001,0.001001,0.001001,287788000.0
2019-09-01 20:00:00,0.001015,0.001015,0.000979,0.00098,6084325000.0
2019-09-01 21:00:00,0.000984,0.001004,0.000975,0.001004,562717000.0
2019-09-01 22:00:00,0.001003,0.001013,0.001002,0.001013,70766000.0
2019-09-01 23:00:00,0.001015,0.00102,0.001015,0.00102,572205000.0
2019-09-02 00:00:00,0.001009,0.001031,0.001004,0.001025,819364000.0
2019-09-02 01:00:00,0.001019,0.001028,0.001019,0.001025,25120000.0
2019-09-02 02:00:00,0.00103,0.001054,0.000996,0.001007,2059768000.0
2019-09-02 03:00:00,0.001007,0.001054,0.001,0.001016,419401000.0
2019-09-02 04:00:00,0.001022,0.001022,0.001013,0.001013,138227000.0
2019-09-02 05:00:00,0.001009,0.001039,0.000984,0.001017,2638384000.0
2019-09-02 06:00:00,0.00103,0.00103,0.00103,0.00103,73376000.0
2019-09-02 07:00:00,0.00103,0.00103,0.00101,0.00101,103735000.0
2019-09-02 08:00:00,0.001008,0.001021,0.001002,0.001015,1257154000.0
2019-09-02 09:00:00,0.001003,0.001044,0.000976,0.000982,982517000.0
2019-09-02 10:00:00,0.001005,0.001054,0.000976,0.000986,480193000.0
2019-09-02 11:00:00,0.000999,0.000999,0.000982,0.000994,615604000.0
2019-09-02 12:00:00,0.000994,0.000996,0.000994,0.000996,55398000.0
2019-09-02 13:00:00,0.000987,0.000996,0.000986,0.000986,664010000.0
2019-09-02 14:00:00,0.000989,0.001012,0.000986,0.001012,128997000.0
2019-09-02 15:00:00,0.001012,0.001012,0.001012,0.001012,0.0
