,Open,High,Low,Close,Volume
2021-08-10 08:00:00,2.481,3.88,2.481,3.008,8259523300.0
2021-08-10 09:00:00,3.008,3.575,3.008,3.239,5476346500.0
2021-08-10 10:00:00,3.238,3.262,3.09,3.109,2184326400.0
2021-08-10 11:00:00,3.107,3.124,2.932,3.002,1745049800.0
2021-08-10 12:00:00,3.006,3.065,2.851,2.862,1063932300.0
2021-08-10 13:00:00,2.862,3.05,2.813,2.933,1414046000.0
2021-08-10 14:00:00,2.937,3.013,2.87,2.922,675994800.0
2021-08-10 15:00:00,2.923,2.993,2.871,2.955,676501400.0
2021-08-10 16:00:00,2.952,3.244,2.91,3.178,1890423300.0
2021-08-10 17:00:00,3.18,3.184,2.93,3.106,1418608000.0
2021-08-10 18:00:00,3.11,3.169,2.9,2.988,997973900.0
2021-08-10 19:00:00,2.988,3.042,2.92,2.997,388022400.0
2021-08-10 20:00:00,2.998,3.107,2.975,3.04,672871000.0
2021-08-10 21:00:00,3.04,3.2,3.02,3.125,861106500.0
2021-08-10 22:00:00,3.128,3.408,3.057,3.365,2439243200.0
2021-08-10 23:00:00,3.367,3.369,3.154,3.225,735488900.0
2021-08-11 00:00:00,3.224,3.296,3.161,3.179,302131700.0
2021-08-11 01:00:00,3.179,3.28,3.13,3.237,346768200.0
2021-08-11 02:00:00,3.237,3.342,3.065,3.069,806447400.0
2021-08-11 03:00:00,3.072,3.18,3.05,3.127,330298300.0
2021-08-11 04:00:00,3.132,3.135,2.985,3.015,335654200.0
2021-08-11 05:00:00,3.014,3.264,3.012,3.18,546793300.0
2021-08-11 06:00:00,3.169,3.295,3.139,3.194,536558800.00000006
2021-08-11 07:00:00,3.194,3.27,3.041,3.132,950950600.0
2021-08-11 08:00:00,3.134,3.14,3.025,3.083,577350400.0
2021-08-11 09:00:00,3.081,3.168,3.05,3.099,458954500.0
2021-08-11 10:00:00,3.099,3.129,3.056,3.117,399301900.0
2021-08-11 11:00:00,3.117,3.149,3.087,3.095,270115200.0
2021-08-11 12:00:00,3.098,3.14,3.06,3.121,316487300.0
2021-08-11 13:00:00,3.12,3.185,3.084,3.098,346500900.0
2021-08-11 14:00:00,3.098,3.125,3.072,3.125,168593100.0
2021-08-11 15:00:00,3.124,3.15,3.109,3.113,226815100.0
2021-08-11 16:00:00,3.113,3.115,3.06,3.068,369513700.0
2021-08-11 17:00:00,3.068,3.091,3.036,3.04,247905800.0
2021-08-11 18:00:00,3.04,3.073,2.965,3.0,572758400.0
2021-08-11 19:00:00,2.999,3.048,2.972,3.03,180374400.0
2021-08-11 20:00:00,3.03,3.104,3.026,3.077,252690300.0
2021-08-11 21:00:00,3.078,3.1,3.005,3.024,204676500.0
2021-08-11 22:00:00,3.023,3.05,2.967,3.002,275765400.0
2021-08-11 23:00:00,3.002,3.005,2.936,2.97,280258200.0
2021-08-12 00:00:00,2.97,3.015,2.916,2.952,283749400.0
2021-08-12 01:00:00,2.952,2.99,2.9,2.91,146321300.0
2021-08-12 02:00:00,2.912,3.05,2.84,3.028,490886600.0
2021-08-12 03:00:00,3.028,3.028,2.95,3.0,113933800.0
2021-08-12 04:00:00,3.0,3.011,2.825,2.925,487858300.0
2021-08-12 05:00:00,2.926,2.98,2.857,2.899,322430800.0
2021-08-12 06:00:00,2.899,2.917,2.851,2.854,138024200.0
2021-08-12 07:00:00,2.854,2.864,2.721,2.803,488954200.0
2021-08-12 08:00:00,2.803,2.867,2.8,2.827,270661500.0
2021-08-12 09:00:00,2.828,2.863,2.815,2.835,168378400.0
2021-08-12 10:00:00,2.835,2.845,2.8,2.828,148982100.0
2021-08-12 11:00:00,2.828,2.94,2.825,2.87,277772600.0
2021-08-12 12:00:00,2.871,2.921,2.866,2.917,124890500.0
2021-08-12 13:00:00,2.916,2.931,2.84,2.845,157572200.0
2021-08-12 14:00:00,2.844,2.855,2.736,2.808,263420200.0
2021-08-12 15:00:00,2.806,2.846,2.733,2.748,260615600.0
2021-08-12 16:00:00,2.75,2.782,2.668,2.683,358256900.0
2021-08-12 17:00:00,2.68,2.781,2.675,2.718,229915300.0
2021-08-12 18:00:00,2.718,2.78,2.662,2.689,308120400.0
2021-08-12 19:00:00,2.689,2.794,2.683,2.728,232067100.0
2021-08-12 20:00:00,2.727,2.863,2.727,2.846,173731300.0
2021-08-12 21:00:00,2.849,2.938,2.845,2.929,233991100.0
2021-08-12 22:00:00,2.928,2.938,2.821,2.831,183715800.0
2021-08-12 23:00:00,2.828,2.874,2.798,2.82,137016600.0
2021-08-13 00:00:00,2.821,2.837,2.731,2.747,88040900.0
2021-08-13 01:00:00,2.744,2.888,2.744,2.852,136428400.0
2021-08-13 02:00:00,2.85,2.898,2.806,2.809,142961100.0
2021-08-13 03:00:00,2.809,2.889,2.8,2.872,100345500.0
2021-08-13 08:00:00,2.877,2.982,2.877,2.967,142493200.0
2021-08-13 09:00:00,2.968,3.067,2.96,3.063,348335500.0
2021-08-13 10:00:00,3.064,3.1,3.055,3.062,332625400.0
2021-08-13 11:00:00,3.063,3.069,3.01,3.011,195344700.0
2021-08-13 12:00:00,3.014,3.038,3.005,3.018,156662900.0
2021-08-13 13:00:00,3.018,3.084,3.001,3.001,183189000.0
2021-08-13 14:00:00,3.002,3.024,2.977,3.0,222255600.0
2021-08-13 15:00:00,3.0,3.019,2.967,2.97,118938900.0
2021-08-13 16:00:00,2.97,3.1,2.969,3.078,272911100.0
2021-08-13 17:00:00,3.074,3.151,3.02,3.11,660471600.0
2021-08-13 18:00:00,3.114,3.115,3.029,3.069,170108100.0
2021-08-13 19:00:00,3.062,3.132,3.06,3.082,155597600.0
