,Open,High,Low,Close,Volume
2021-04-19 13:00:00,7.89,14.55,7.89,9.774,2762888939.0
2021-04-19 14:00:00,9.772,9.85,9.213,9.411,385529096.0
2021-04-19 15:00:00,9.411,10.1,9.2,9.626,311628994.0
2021-04-19 16:00:00,9.669,9.691,8.973,9.133,249886482.0
2021-04-19 17:00:00,9.133,9.221,8.801,9.217,239767930.0
2021-04-19 18:00:00,9.2,9.259,8.722,8.82,186989828.0
2021-04-19 19:00:00,8.816,9.044,8.713,9.0,89099214.0
2021-04-19 20:00:00,9.009,9.243,8.933,9.117,113877445.0
2021-04-19 21:00:00,9.108,11.3,9.106,10.347,1460430886.0
2021-04-19 22:00:00,10.347,10.75,9.901,10.301,911214196.0
2021-04-19 23:00:00,10.316,10.4,9.67,9.95,437504706.0
2021-04-20 00:00:00,9.96,9.972,9.765,9.768,146013666.0
2021-04-20 01:00:00,9.767,9.855,9.67,9.77,106813867.0
2021-04-20 02:00:00,9.77,9.787,9.065,9.181,304825950.0
2021-04-20 03:00:00,9.191,9.358,8.88,9.221,100677803.0
2021-04-20 06:00:00,9.175,9.2,8.88,8.946,47267725.0
2021-04-20 07:00:00,8.945,10.15,8.909,9.198,300315899.0
2021-04-20 08:00:00,9.188,9.248,8.949,8.967,119181042.0
2021-04-20 09:00:00,8.982,8.998,8.35,8.71,338467048.0
2021-04-20 10:00:00,8.703,8.832,8.684,8.76,74293897.0
2021-04-20 11:00:00,8.75,9.51,8.659,9.372,306580334.0
2021-04-20 12:00:00,9.407,9.572,9.032,9.155,441586328.0
2021-04-20 13:00:00,9.156,9.405,9.136,9.385,148884991.0
2021-04-20 14:00:00,9.386,9.389,9.117,9.139,84212941.0
2021-04-20 15:00:00,9.143,9.175,9.083,9.093,56329259.0
2021-04-20 16:00:00,9.104,9.154,9.038,9.062,39145092.0
2021-04-20 17:00:00,9.05,9.135,9.039,9.05,41788253.0
2021-04-20 18:00:00,9.061,9.132,8.978,9.053,45547675.0
2021-04-20 19:00:00,9.054,9.18,8.987,9.154,49121237.0
2021-04-20 20:00:00,9.15,9.183,9.1,9.183,24306521.0
2021-04-20 21:00:00,9.183,9.213,9.13,9.175,18195802.0
2021-04-20 22:00:00,9.175,9.21,9.02,9.15,46501997.0
2021-04-20 23:00:00,9.15,9.176,8.98,9.01,39443430.0
2021-04-21 00:00:00,9.01,9.035,8.95,9.009,30823691.0
2021-04-21 01:00:00,9.01,9.01,8.97,8.982,11138421.0
2021-04-21 02:00:00,8.984,9.014,8.92,8.944,17919499.0
2021-04-21 03:00:00,8.92,8.944,8.869,8.885,38384877.0
2021-04-21 04:00:00,8.884,9.033,8.88,8.913,30374087.0
2021-04-21 05:00:00,8.897,8.95,8.84,8.888,21834482.0
2021-04-21 06:00:00,8.882,8.94,8.881,8.903,11431480.0
2021-04-21 07:00:00,8.925,9.084,8.863,9.084,72975720.0
2021-04-21 08:00:00,9.082,9.27,9.07,9.27,83094645.0
2021-04-21 09:00:00,9.271,9.751,9.261,9.58,208447855.0
2021-04-21 10:00:00,9.58,9.587,9.264,9.305,126370104.0
2021-04-21 11:00:00,9.306,9.43,9.303,9.429,26931842.0
2021-04-21 12:00:00,9.425,9.444,9.251,9.351,56012143.0
2021-04-21 13:00:00,9.351,9.399,9.178,9.302,72552258.0
2021-04-21 14:00:00,9.297,9.416,9.291,9.361,32787712.0
2021-04-21 15:00:00,9.371,9.413,9.34,9.379,21573935.0
2021-04-21 16:00:00,9.388,9.431,9.288,9.424,48451841.0
