,Open,High,Low,Close,Volume
2020-07-23 16:00:00,509.5,845.0,509.5,560.0,6351717.899999999
2020-07-23 17:00:00,558.0,569.48,545.69,548.52,855719.92
2020-07-23 18:00:00,549.71,549.88,532.35,548.81,552152.0299999999
2020-07-23 19:00:00,548.81,552.17,535.0,535.19,301590.19999999995
2020-07-23 20:00:00,535.29,538.06,522.39,527.73,154074.0
2020-07-23 21:00:00,527.65,533.23,522.0,533.1,158452.8
2020-07-23 22:00:00,533.1,533.38,518.11,519.0,298506.03
2020-07-23 23:00:00,519.03,538.22,518.11,533.29,150627.24
2020-07-24 00:00:00,533.3,543.38,529.87,530.8,196926.11
2020-07-24 01:00:00,530.8,530.8,525.6,529.32,65623.69
2020-07-24 02:00:00,530.15,544.5,530.15,536.38,164450.02
2020-07-24 03:00:00,536.38,553.0,536.01,538.92,258827.31
2020-07-24 04:00:00,538.92,539.38,525.89,532.17,265849.24
2020-07-24 05:00:00,532.28,536.55,532.17,532.62,75264.87
2020-07-24 06:00:00,531.57,535.31,528.89,529.5,43287.63
2020-07-24 07:00:00,529.5,529.5,518.73,521.52,159922.67
2020-07-24 08:00:00,519.01,521.4,513.95,514.45,102569.93
2020-07-24 09:00:00,517.19,517.19,504.57,508.25,197021.44999999998
2020-07-24 10:00:00,508.39,509.8,505.72,509.8,62189.04
2020-07-24 11:00:00,509.71,510.79,507.48,507.94,65552.71999999999
2020-07-24 12:00:00,509.0,510.38,506.37,508.08,93394.86
2020-07-24 13:00:00,506.78,509.35,503.11,509.35,240233.78
2020-07-24 14:00:00,508.49,516.29,508.49,511.01,143885.07
2020-07-24 15:00:00,511.16,511.16,508.7,508.87,30285.55
2020-07-24 16:00:00,509.11,518.64,509.11,518.5,136991.43000000002
2020-07-24 17:00:00,518.53,520.85,514.13,514.13,44772.64
2020-07-24 18:00:00,514.23,521.83,513.28,515.45,60194.88
2020-07-24 19:00:00,513.01,514.37,509.74,509.79,36276.659999999996
2020-07-24 20:00:00,509.79,517.77,509.79,511.0,14613.31
2020-07-24 21:00:00,512.41,513.35,509.32,510.0,34672.22
2020-07-24 22:00:00,511.0,512.9,510.1,512.9,21997.039999999997
2020-07-24 23:00:00,512.93,516.54,511.57,516.16,29359.75
2020-07-25 00:00:00,516.4,519.27,515.57,515.57,83357.15999999999
2020-07-25 01:00:00,518.82,518.91,514.0,514.0,28392.84
2020-07-25 02:00:00,514.0,514.09,512.94,513.15,27360.55
2020-07-25 03:00:00,513.15,513.59,508.0,509.07,93450.29
2020-07-25 04:00:00,509.25,512.35,506.79,511.45,77432.75
2020-07-25 05:00:00,511.45,512.12,505.8,506.85,212610.06
2020-07-25 06:00:00,506.85,509.17,505.19,508.68,76580.19
2020-07-25 07:00:00,509.08,509.19,506.05,509.15,14375.59
2020-07-25 08:00:00,506.61,508.3,500.35,504.54,210662.47
2020-07-25 09:00:00,502.58,505.25,500.52,505.25,40614.939999999995
2020-07-25 10:00:00,505.25,507.87,504.06,507.86,22539.03
2020-07-25 11:00:00,507.85,511.88,503.99,509.28,69287.8
2020-07-25 12:00:00,511.78,511.99,508.53,508.53,36455.96
2020-07-25 13:00:00,508.03,509.46,507.37,508.01,46310.59
2020-07-25 14:00:00,507.58,508.37,506.78,506.78,13206.64
2020-07-25 15:00:00,506.5,506.5,502.0,502.0,82271.81
2020-07-25 16:00:00,502.26,502.26,499.19,499.58,102263.57
2020-07-25 17:00:00,499.66,500.0,498.76,499.64,72524.29
2020-07-25 18:00:00,500.0,501.0,498.53,500.71,100412.98000000001
2020-07-25 19:00:00,500.0,510.79,500.0,510.79,129347.78
2020-07-25 20:00:00,510.9,519.11,510.0,519.0,32147.88
2020-07-25 21:00:00,519.0,520.12,518.99,519.82,15386.69
2020-07-25 22:00:00,518.08,519.0,516.25,516.47,15031.029999999999
2020-07-25 23:00:00,517.25,520.0,516.28,519.95,22221.32
2020-07-26 00:00:00,519.95,523.33,518.49,523.33,34049.590000000004
2020-07-26 01:00:00,522.87,536.86,520.5,525.43,157984.37999999998
2020-07-26 02:00:00,525.25,540.08,524.12,529.37,204124.19
2020-07-26 03:00:00,528.68,532.45,526.99,532.45,50135.1
2020-07-26 04:00:00,532.57,539.21,528.49,528.49,117406.40000000001
2020-07-26 05:00:00,531.26,533.13,531.26,531.94,20539.86
2020-07-26 06:00:00,532.59,537.76,532.59,537.76,45118.85
2020-07-26 07:00:00,537.76,545.34,537.15,539.11,193952.31999999998
2020-07-26 08:00:00,539.1,539.1,531.26,532.95,50762.619999999995
2020-07-26 09:00:00,533.92,552.34,533.69,552.0,102997.31
2020-07-26 10:00:00,551.93,552.57,544.17,549.0,94999.25
2020-07-26 11:00:00,547.96,549.2,540.85,543.8,185637.16
2020-07-26 12:00:00,543.8,545.0,521.09,525.78,259694.34000000003
2020-07-26 13:00:00,525.96,528.13,523.47,528.13,22203.78
2020-07-26 14:00:00,527.75,528.36,517.78,519.38,76946.52
2020-07-26 15:00:00,519.23,519.81,517.05,518.69,43343.37
2020-07-26 16:00:00,518.06,523.28,518.06,523.28,74653.61
2020-07-26 17:00:00,523.76,529.0,523.76,528.85,48439.909999999996
2020-07-26 18:00:00,527.68,528.39,521.17,521.17,41479.100000000006
2020-07-26 19:00:00,521.12,521.73,518.51,518.51,11042.949999999999
2020-07-26 20:00:00,518.45,518.92,516.5,517.32,19484.23
2020-07-26 21:00:00,517.05,517.27,515.78,517.03,10370.02
2020-07-26 22:00:00,516.94,516.94,511.7,516.38,69420.01999999999
2020-07-26 23:00:00,516.37,516.81,515.14,516.63,11656.68
