,Open,High,Low,Close,Volume
2021-07-05 08:00:00,83.01,166.68,80.11,93.46,99622940.0
2021-07-05 09:00:00,93.3,123.0,91.5,118.14,68728450.0
2021-07-05 10:00:00,118.16,124.4,107.4,113.16,77217740.0
2021-07-05 11:00:00,113.26,115.99,109.74,110.99,22585630.0
2021-07-05 12:00:00,110.99,110.99,101.46,104.22,25974450.0
2021-07-05 13:00:00,104.2,104.6,97.35,100.77,24321830.0
2021-07-05 14:00:00,100.78,109.2,100.5,106.41,37527870.0
2021-07-05 15:00:00,106.32,107.88,103.5,104.29,13568740.0
2021-07-05 16:00:00,104.28,107.04,103.0,105.97,9866480.0
2021-07-05 17:00:00,106.0,120.39,105.63,114.62,70279340.0
2021-07-05 18:00:00,114.6,114.73,109.5,113.58,23776370.0
2021-07-05 19:00:00,113.58,114.35,108.03,111.87,16610279.999999998
2021-07-05 20:00:00,111.87,111.87,108.44,109.51,10330920.0
2021-07-05 21:00:00,109.51,109.78,104.71,105.78,11962280.0
2021-07-05 22:00:00,105.78,107.61,103.9,104.81,8583990.0
2021-07-05 23:00:00,104.81,105.81,102.2,103.12,5683060.0
2021-07-06 00:00:00,103.25,108.53,101.4,105.17,11777420.0
2021-07-06 01:00:00,105.16,105.16,101.0,101.5,6974340.0
2021-07-06 02:00:00,101.13,102.99,100.2,101.7,5561120.0
2021-07-06 03:00:00,101.79,105.76,101.78,103.38,6279060.0
2021-07-06 04:00:00,103.39,104.52,101.13,101.13,4144120.0
2021-07-06 05:00:00,101.14,110.0,101.0,104.2,14983260.0
2021-07-06 06:00:00,104.19,109.62,103.92,104.83,8012350.0
2021-07-06 07:00:00,105.01,114.96,104.69,113.9,20973230.0
2021-07-06 08:00:00,113.98,120.46,110.92,115.7,24511370.0
2021-07-06 09:00:00,115.7,119.0,110.28,113.4,20600710.0
2021-07-06 10:00:00,113.4,113.43,108.09,109.71,11595150.0
2021-07-06 11:00:00,109.77,110.88,106.0,108.17,8605880.0
2021-07-06 12:00:00,108.21,109.32,105.78,109.32,4907490.0
2021-07-06 13:00:00,109.05,109.88,106.5,107.38,5793250.0
2021-07-06 14:00:00,107.38,107.94,104.01,106.16,7631810.0
2021-07-06 15:00:00,106.15,106.15,103.31,103.46,6233460.0
2021-07-06 16:00:00,103.69,105.5,103.1,104.98,3924810.0
2021-07-06 17:00:00,104.95,105.33,103.33,103.54,3281560.0
2021-07-06 18:00:00,103.7,105.12,103.2,104.41,3713300.0
2021-07-06 19:00:00,104.49,108.44,103.4,106.81,8175140.0
2021-07-06 20:00:00,106.8,107.0,102.86,103.2,4171350.0000000005
2021-07-06 21:00:00,103.19,104.61,102.65,103.73,2908510.0
2021-07-06 22:00:00,103.72,104.5,103.28,103.73,1381530.0
2021-07-06 23:00:00,103.45,104.33,102.44,104.15,2390140.0
2021-07-07 00:00:00,104.17,104.47,102.0,102.25,1872520.0
2021-07-07 01:00:00,102.41,103.77,100.96,101.08,3340620.0
2021-07-07 02:00:00,101.35,102.18,100.94,101.8,2156220.0
2021-07-07 03:00:00,101.8,101.8,99.22,99.75,1933240.0
2021-07-07 04:00:00,99.93,106.0,99.87,103.28,5010460.0
2021-07-07 05:00:00,103.28,103.28,101.63,102.07,1459920.0
2021-07-07 06:00:00,102.06,102.78,101.06,101.63,2001730.0
2021-07-07 07:00:00,101.86,103.6,101.36,103.38,2254620.0
2021-07-07 08:00:00,103.4,103.9,101.0,102.26,3505210.0
2021-07-07 09:00:00,102.24,104.6,102.11,102.54,3551640.0
2021-07-07 10:00:00,102.48,103.17,101.61,101.84,1837620.0
2021-07-07 11:00:00,101.85,102.28,101.02,101.04,1382500.0
2021-07-07 12:00:00,101.04,102.0,100.63,101.17,1791210.0
2021-07-07 13:00:00,101.16,103.0,100.91,102.19,2163250.0
2021-07-07 14:00:00,102.17,102.25,101.26,101.41,1825050.0
2021-07-07 15:00:00,101.41,101.5,100.33,101.33,1836590.0
2021-07-07 16:00:00,101.48,101.5,99.74,99.9,2084630.0
2021-07-07 17:00:00,100.0,100.0,97.52,98.67,3724560.0
2021-07-07 18:00:00,98.68,98.81,97.9,98.23,1919370.0
2021-07-07 19:00:00,98.32,98.5,98.03,98.49,1568100.0
2021-07-07 20:00:00,98.47,99.53,98.11,98.9,1692980.0
2021-07-07 21:00:00,98.92,99.2,98.08,98.81,1032800.0
2021-07-07 22:00:00,98.81,100.5,98.32,98.87,1649720.0
2021-07-07 23:00:00,98.69,99.72,98.44,98.67,1082320.0
2021-07-08 00:00:00,98.65,98.88,94.35,94.55,3290660.0
2021-07-08 01:00:00,94.55,95.6,92.0,92.27,2719390.0
2021-07-08 02:00:00,92.27,93.3,90.36,92.33,4777080.0
2021-07-08 03:00:00,92.36,93.33,90.7,90.88,2267240.0
2021-07-08 04:00:00,90.88,92.26,90.68,91.76,756550.0
2021-07-08 05:00:00,91.76,91.99,91.18,91.99,647120.0
2021-07-08 06:00:00,91.98,91.99,90.75,91.24,1300640.0
2021-07-08 07:00:00,91.13,91.45,86.66,87.06,2552460.0
2021-07-08 08:00:00,87.06,91.09,86.99,90.58,3738850.0
2021-07-08 09:00:00,90.62,91.5,85.73,87.63,3819470.0
2021-07-08 10:00:00,87.46,89.19,85.73,86.3,2465130.0
2021-07-08 11:00:00,86.38,87.7,86.28,87.32,1423600.0
2021-07-08 12:00:00,87.63,89.34,87.3,87.6,1402380.0
2021-07-08 13:00:00,87.3,88.23,86.42,88.08,800740.0
2021-07-08 14:00:00,87.93,88.6,87.58,87.85,580360.0
2021-07-08 15:00:00,87.85,88.2,81.15,85.4,2738560.0
2021-07-08 16:00:00,85.61,86.7,85.47,86.0,639870.0
2021-07-08 17:00:00,85.96,86.68,85.61,86.34,895140.0
2021-07-08 18:00:00,86.34,92.58,86.31,90.14,4098109.9999999995
2021-07-08 19:00:00,90.14,90.7,88.34,88.34,852250.0
2021-07-08 20:00:00,88.58,90.5,88.54,89.94,711970.0
2021-07-08 21:00:00,89.93,90.11,88.01,88.77,464110.0
2021-07-08 22:00:00,88.51,89.08,87.2,87.48,754470.0
2021-07-08 23:00:00,87.32,87.74,85.46,85.8,359030.0
2021-07-09 00:00:00,85.96,86.51,84.32,84.32,566100.0
2021-07-09 01:00:00,84.32,84.76,83.21,83.21,711690.0
