,Open,High,Low,Close,Volume
2021-11-08 07:00:00,386.2,540.0,386.2,409.8,35923205.0
2021-11-08 08:00:00,409.7,442.9,401.1,408.4,13554904.0
2021-11-08 09:00:00,408.6,425.0,405.0,414.6,6324547.0
2021-11-08 10:00:00,414.6,424.8,400.9,405.1,4899485.0
2021-11-08 11:00:00,404.7,417.8,397.4,400.9,4994018.0
2021-11-08 12:00:00,401.3,414.9,395.0,400.0,3530946.0
2021-11-08 13:00:00,400.0,402.0,390.6,390.7,2627012.0
2021-11-08 14:00:00,390.7,405.0,390.0,398.7,3211264.0
2021-11-08 15:00:00,398.8,404.9,391.0,404.9,3179601.0
2021-11-08 16:00:00,404.9,456.0,404.9,436.9,19378974.0
2021-11-08 17:00:00,436.5,445.0,396.0,403.6,12618431.0
2021-11-08 18:00:00,403.3,412.0,398.5,403.9,3550499.0
2021-11-08 19:00:00,403.9,405.9,395.7,404.8,2664227.0
2021-11-08 20:00:00,405.1,410.0,400.0,401.3,1726472.0
2021-11-08 21:00:00,401.4,405.8,400.0,404.4,1247202.0
2021-11-08 22:00:00,404.6,405.0,399.1,401.7,1169510.0
2021-11-08 23:00:00,401.7,408.0,396.7,406.8,1748611.0
2021-11-09 00:00:00,406.2,412.0,392.2,394.1,3592935.0
2021-11-09 01:00:00,393.8,407.7,386.1,398.7,2626806.0
2021-11-09 02:00:00,398.2,414.5,397.8,408.0,2403727.0
2021-11-09 03:00:00,408.0,408.8,393.2,394.4,1389790.0
2021-11-09 04:00:00,394.1,396.8,388.0,396.6,2566416.0
2021-11-09 05:00:00,396.6,397.8,389.0,390.6,1754170.0
2021-11-09 06:00:00,390.2,390.5,387.9,389.6,1096614.0
2021-11-09 07:00:00,389.6,393.3,387.0,391.1,1575395.0
2021-11-09 08:00:00,391.1,392.0,386.5,388.7,1862480.0
2021-11-09 09:00:00,388.7,391.5,380.0,382.0,2263914.0
2021-11-09 10:00:00,382.0,391.5,382.0,389.7,1533436.0
2021-11-09 11:00:00,389.4,392.1,381.1,383.1,1785821.0
2021-11-09 12:00:00,382.9,392.8,382.1,390.3,2596085.0
2021-11-09 13:00:00,390.3,392.0,381.9,384.5,2583768.0
2021-11-09 14:00:00,384.5,390.9,381.4,386.0,1688580.0
2021-11-09 15:00:00,386.0,390.0,382.6,384.9,1301785.0
2021-11-09 16:00:00,384.6,387.0,374.2,381.9,3390471.0
2021-11-09 17:00:00,381.8,388.4,381.8,387.9,1430229.0
2021-11-09 18:00:00,387.9,392.5,381.0,384.8,1422619.0
2021-11-09 19:00:00,384.8,385.5,367.7,370.4,2119360.0
