,Open,High,Low,Close,Volume
2019-08-23 12:00:00,0.45,0.45,0.4072,0.434,23165760.0
2019-08-23 13:00:00,0.4164,0.4339,0.412,0.4269,30245030.0
2019-08-23 14:00:00,0.4248,0.4264,0.4169,0.4169,8850810.0
2019-08-23 15:00:00,0.4156,0.4156,0.4034,0.4098,47689500.0
2019-08-23 16:00:00,0.4059,0.4169,0.4035,0.408,30847790.0
2019-08-23 17:00:00,0.4088,0.4123,0.3982,0.399,86464020.0
2019-08-23 18:00:00,0.3989,0.4126,0.3967,0.4126,30850670.0
2019-08-23 19:00:00,0.4074,0.4117,0.4026,0.4112,16698890.0
2019-08-23 20:00:00,0.4091,0.4091,0.398,0.3992,9940020.0
2019-08-23 21:00:00,0.399,0.416,0.399,0.4118,1292155540.0
2019-08-23 22:00:00,0.4104,0.4179,0.4051,0.4056,636512700.0
2019-08-23 23:00:00,0.4059,0.4099,0.3995,0.4099,166147750.0
2019-08-24 00:00:00,0.4097,0.4098,0.4031,0.4058,19583720.0
2019-08-24 01:00:00,0.4027,0.4109,0.4013,0.4109,20716790.0
2019-08-24 02:00:00,0.4112,0.4179,0.4043,0.4057,155993020.0
2019-08-24 03:00:00,0.4071,0.4096,0.4041,0.4041,1011590.0
2019-08-24 04:00:00,0.4042,0.4042,0.4032,0.4034,4624400.0
2019-08-24 05:00:00,0.4034,0.4034,0.3984,0.3985,34458870.0
2019-08-24 06:00:00,0.4022,0.4022,0.396,0.398,7444010.0
2019-08-24 07:00:00,0.396,0.396,0.381,0.3879,71807080.0
2019-08-24 08:00:00,0.3849,0.3885,0.3823,0.3843,11094130.0
2019-08-24 09:00:00,0.3843,0.3884,0.3816,0.3883,6525510.0
2019-08-24 10:00:00,0.3883,0.3888,0.3775,0.3775,14856450.0
2019-08-24 11:00:00,0.3801,0.3801,0.3708,0.3755,22953110.0
2019-08-24 12:00:00,0.3755,0.3889,0.3755,0.3839,6297050.0
2019-08-24 13:00:00,0.3828,0.3828,0.3775,0.3805,2688720.0
2019-08-24 14:00:00,0.38,0.3805,0.3732,0.374,7190120.0
2019-08-24 15:00:00,0.3732,0.3887,0.3721,0.3837,18404040.0
2019-08-24 16:00:00,0.3827,0.4059,0.3815,0.3997,35469160.0
2019-08-24 17:00:00,0.3997,0.4177,0.3949,0.4126,124087170.0
2019-08-24 18:00:00,0.412,0.417,0.4001,0.4023,46630280.0
2019-08-24 19:00:00,0.4021,0.415,0.3988,0.4088,64720470.0
2019-08-24 20:00:00,0.4087,0.4087,0.4044,0.408,1640050.0
2019-08-24 21:00:00,0.4085,0.4085,0.399,0.4006,10275210.0
2019-08-24 22:00:00,0.4033,0.4155,0.4017,0.404,22879290.0
2019-08-24 23:00:00,0.4066,0.4066,0.3845,0.3845,67069700.0
2019-08-25 00:00:00,0.3847,0.3966,0.3821,0.3895,41462950.0
2019-08-25 01:00:00,0.3856,0.3939,0.3845,0.3925,3752340.0
2019-08-25 02:00:00,0.3939,0.3939,0.3818,0.3841,6479750.0
2019-08-25 03:00:00,0.3841,0.4153,0.3748,0.3845,1036499410.0
2019-08-25 04:00:00,0.3845,0.3845,0.3753,0.3819,429201320.0
2019-08-25 05:00:00,0.3841,0.3841,0.3772,0.3795,4402670.0
2019-08-25 06:00:00,0.3796,0.3796,0.3725,0.3735,14135670.0
2019-08-25 07:00:00,0.3737,0.3845,0.3734,0.3827,11052670.0
2019-08-25 08:00:00,0.3827,0.3841,0.3758,0.3785,3779100.0
2019-08-25 09:00:00,0.3773,0.3773,0.3725,0.3763,2572660.0
2019-08-25 10:00:00,0.3772,0.3772,0.374,0.3763,253610.0
2019-08-25 11:00:00,0.374,0.3815,0.374,0.3814,672070.0
2019-08-25 12:00:00,0.3812,0.3839,0.3812,0.382,1481650.0
2019-08-25 13:00:00,0.3835,0.3836,0.3791,0.3836,5031650.0
2019-08-25 14:00:00,0.3835,0.3835,0.3645,0.367,80251880.0
2019-08-25 15:00:00,0.3666,0.3765,0.3654,0.3752,22573910.0
2019-08-25 16:00:00,0.3714,0.3714,0.3601,0.3601,109581150.0
2019-08-25 17:00:00,0.3628,0.3629,0.36,0.3617,29124100.0
2019-08-25 18:00:00,0.3622,0.3635,0.3576,0.3635,32505920.0
2019-08-25 19:00:00,0.3599,0.365,0.3595,0.365,7854950.0
2019-08-25 20:00:00,0.3603,0.3638,0.3577,0.3612,7468180.0
2019-08-25 21:00:00,0.3585,0.3642,0.3531,0.3565,26700160.0
2019-08-25 22:00:00,0.358,0.3722,0.348,0.3513,97818020.0
2019-08-25 23:00:00,0.3513,0.3615,0.3459,0.3615,55901790.0
2019-08-26 00:00:00,0.3571,0.3597,0.3513,0.3546,6123950.0
2019-08-26 01:00:00,0.3546,0.3596,0.3522,0.3566,4435400.0
2019-08-26 02:00:00,0.3595,0.3595,0.35,0.3514,35553300.0
2019-08-26 03:00:00,0.3515,0.3607,0.3505,0.3578,28462440.0
2019-08-26 04:00:00,0.3607,0.372,0.3571,0.372,29523000.0
2019-08-26 05:00:00,0.3739,0.3845,0.3739,0.3785,60979510.0
2019-08-26 06:00:00,0.3829,0.384,0.3659,0.3715,12281320.0
2019-08-26 07:00:00,0.3695,0.3797,0.3653,0.379,7780340.0
2019-08-26 08:00:00,0.3796,0.3819,0.3726,0.3759,5885340.0
2019-08-26 09:00:00,0.3812,0.3954,0.3754,0.39,572467670.0
2019-08-26 10:00:00,0.3901,0.42,0.3852,0.3993,495794160.0
2019-08-26 11:00:00,0.4,0.4097,0.3882,0.3901,112045830.0
2019-08-26 12:00:00,0.3916,0.3981,0.385,0.3901,37118800.0
2019-08-26 13:00:00,0.3877,0.4199,0.3877,0.4129,85808480.0
2019-08-26 14:00:00,0.4095,0.4201,0.3985,0.4155,96101710.0
2019-08-26 15:00:00,0.4143,0.4272,0.4119,0.42,134974810.0
2019-08-26 16:00:00,0.4232,0.4285,0.4087,0.4168,450149430.0
2019-08-26 17:00:00,0.417,0.42,0.4152,0.4198,50740000.0
2019-08-26 18:00:00,0.4199,0.42,0.4042,0.406,50008880.0
2019-08-26 19:00:00,0.406,0.4097,0.3961,0.4,50564130.0
2019-08-26 20:00:00,0.4016,0.4036,0.3921,0.3945,212060380.0
2019-08-26 21:00:00,0.397,0.4194,0.3948,0.4085,70981390.0
2019-08-26 22:00:00,0.4126,0.4126,0.4061,0.4116,16881180.0
2019-08-26 23:00:00,0.4116,0.49,0.4052,0.4147,169679070.0
2019-08-27 00:00:00,0.4155,0.4499,0.4141,0.4464,196390370.0
2019-08-27 01:00:00,0.4464,0.4488,0.4337,0.445,109805960.0
2019-08-27 02:00:00,0.445,0.4487,0.419,0.43,173689990.0
2019-08-27 03:00:00,0.4266,0.4279,0.4101,0.4156,85426840.0
2019-08-27 04:00:00,0.4152,0.4231,0.4149,0.4173,35568490.0
2019-08-27 05:00:00,0.4173,0.49,0.4151,0.4312,197373350.0
2019-08-27 06:00:00,0.4349,0.4349,0.419,0.4257,39568370.0
2019-08-27 07:00:00,0.4236,0.4499,0.4224,0.4465,78614370.0
2019-08-27 08:00:00,0.4494,0.4499,0.4275,0.4435,67020009.99999999
2019-08-27 09:00:00,0.4416,0.4416,0.43,0.4338,23446010.0
2019-08-27 10:00:00,0.4301,0.4303,0.4244,0.4294,25618050.0
2019-08-27 11:00:00,0.4261,0.43,0.4183,0.4204,28810450.0
2019-08-27 12:00:00,0.4205,0.4316,0.4204,0.4269,18180500.0
2019-08-27 13:00:00,0.4271,0.4276,0.4104,0.4189,60672220.0
2019-08-27 14:00:00,0.4192,0.4266,0.4096,0.4138,52811200.0
2019-08-27 15:00:00,0.4149,0.417,0.4057,0.414,14253640.0
2019-08-27 16:00:00,0.4139,0.43,0.407,0.4178,30117630.0
2019-08-27 17:00:00,0.4153,0.4287,0.4058,0.4139,32908989.999999996
2019-08-27 18:00:00,0.414,0.4205,0.414,0.4198,3952380.0
2019-08-27 19:00:00,0.42,0.42,0.4149,0.4183,4980930.0
2019-08-27 20:00:00,0.4183,0.4317,0.4144,0.4291,32750870.0
2019-08-27 21:00:00,0.4291,0.4315,0.4215,0.4263,22039070.0
2019-08-27 22:00:00,0.4216,0.432,0.4175,0.4231,12845200.0
2019-08-27 23:00:00,0.4193,0.4267,0.4193,0.4267,8290450.000000001
2019-08-28 00:00:00,0.4267,0.4298,0.417,0.417,8879390.0
2019-08-28 01:00:00,0.4149,0.4213,0.4148,0.4208,4778030.0
2019-08-28 02:00:00,0.4208,0.423,0.4057,0.4081,54333560.0
2019-08-28 03:00:00,0.4119,0.4157,0.4083,0.4147,16104310.0
2019-08-28 04:00:00,0.4146,0.4146,0.4061,0.4081,2509220.0
2019-08-28 05:00:00,0.4075,0.4147,0.4006,0.4092,90406440.0
2019-08-28 06:00:00,0.4058,0.4089,0.4024,0.4088,10296270.0
2019-08-28 07:00:00,0.4089,0.4116,0.4014,0.4112,8597500.0
2019-08-28 08:00:00,0.4112,0.4169,0.4072,0.4169,9473530.0
2019-08-28 09:00:00,0.4169,0.4291,0.4123,0.4145,33544960.0
2019-08-28 10:00:00,0.4125,0.417,0.4083,0.4083,11573370.0
2019-08-28 11:00:00,0.412,0.4124,0.4023,0.4071,5586490.0
2019-08-28 12:00:00,0.4071,0.4071,0.3984,0.4,10469170.0
2019-08-28 13:00:00,0.4,0.4025,0.3978,0.4,26111140.0
2019-08-28 14:00:00,0.3996,0.405,0.3996,0.405,14053960.0
2019-08-28 15:00:00,0.4021,0.4069,0.3931,0.3981,30611430.0
2019-08-28 16:00:00,0.3989,0.3989,0.3889,0.3937,14764890.0
2019-08-28 17:00:00,0.3912,0.4027,0.391,0.4001,4525310.0
2019-08-28 18:00:00,0.3954,0.3996,0.3931,0.3984,2272100.0
2019-08-28 19:00:00,0.3951,0.3997,0.3875,0.3899,6141120.0
2019-08-28 20:00:00,0.3895,0.3895,0.3752,0.3833,49003290.0
2019-08-28 21:00:00,0.3793,0.3826,0.3725,0.3804,31660300.0
2019-08-28 22:00:00,0.3804,0.3832,0.3762,0.3773,12424120.0
2019-08-28 23:00:00,0.3827,0.3886,0.3775,0.3886,20789950.0
2019-08-29 00:00:00,0.3877,0.3877,0.3794,0.3849,2986230.0
2019-08-29 01:00:00,0.3858,0.3858,0.3793,0.3793,19487120.0
2019-08-29 02:00:00,0.3812,0.3849,0.3642,0.3662,38111150.0
2019-08-29 03:00:00,0.3662,0.3747,0.3662,0.3747,13265730.0
2019-08-29 04:00:00,0.3739,0.3747,0.3662,0.3713,4734660.0
2019-08-29 05:00:00,0.3711,0.3738,0.3641,0.3736,3802980.0
2019-08-29 06:00:00,0.3644,0.3733,0.3641,0.3641,8385940.000000001
2019-08-29 07:00:00,0.3698,0.3698,0.3628,0.3659,11198320.0
2019-08-29 08:00:00,0.3617,0.369,0.3569,0.3569,27682030.0
