,Open,High,Low,Close,Volume
2020-10-14 07:00:00,1.3,1.88,1.1111,1.3286,9144858530.0
2020-10-14 08:00:00,1.3292,1.3385,1.1251,1.1457,3802846210.0
2020-10-14 09:00:00,1.1588,1.3099,1.1575,1.2517,1802968370.0
2020-10-14 10:00:00,1.2597,1.3199,1.176,1.2077,1320731010.0
2020-10-14 11:00:00,1.2087,1.2561,1.1638,1.1782,1020106920.0
2020-10-14 12:00:00,1.1795,1.1911,1.08,1.0941,2089772410.0
2020-10-14 13:00:00,1.0947,1.1623,1.05,1.1051,1994114370.0
2020-10-14 14:00:00,1.1052,1.1952,1.0719,1.1857,1763728130.0
2020-10-14 15:00:00,1.1858,1.2819,1.1733,1.22,2317772560.0
2020-10-14 16:00:00,1.22,1.2596,1.14,1.1487,1912527610.0
2020-10-14 17:00:00,1.1498,1.1999,1.1023,1.1281,1669963290.0
2020-10-14 18:00:00,1.127,1.1999,1.1111,1.1975,1322910650.0
2020-10-14 19:00:00,1.1977,1.1989,1.1057,1.1309,962973490.0
2020-10-14 20:00:00,1.131,1.1339,1.07,1.0742,1042692210.0
2020-10-14 21:00:00,1.074,1.1214,1.0732,1.1089,505657880.0
2020-10-14 22:00:00,1.1097,1.1101,1.085,1.1001,209990040.0
2020-10-14 23:00:00,1.1013,1.1342,1.08,1.1205,438272660.0
2020-10-15 00:00:00,1.1244,1.1687,1.1244,1.1331,291112890.0
2020-10-15 01:00:00,1.1331,1.187,1.1331,1.1685,317219630.0
2020-10-15 02:00:00,1.1685,1.17,1.1442,1.158,182704380.0
2020-10-15 03:00:00,1.1581,1.19,1.1558,1.1795,319272830.0
2020-10-15 04:00:00,1.1779,1.2522,1.1779,1.206,848850510.0
2020-10-15 05:00:00,1.2044,1.2358,1.1812,1.1813,480906020.0
2020-10-15 06:00:00,1.1817,1.2067,1.163,1.1969,324576980.0
2020-10-15 07:00:00,1.197,1.2245,1.1766,1.1803,423627660.0
2020-10-15 08:00:00,1.1792,1.1905,1.1495,1.1605,441266650.0
2020-10-15 09:00:00,1.1605,1.1619,1.1067,1.1249,591308990.0
2020-10-15 10:00:00,1.1249,1.185,1.1003,1.1159,974180680.0
2020-10-15 11:00:00,1.1165,1.1276,1.0792,1.12,975701750.0
2020-10-15 12:00:00,1.1179,1.1635,1.1129,1.1554,519766590.0
2020-10-15 13:00:00,1.1567,1.1575,1.121,1.1283,319490400.0
2020-10-15 14:00:00,1.1256,1.175,1.1015,1.1513,707656230.0
2020-10-15 15:00:00,1.1531,1.2198,1.1499,1.219,933463380.0
2020-10-15 16:00:00,1.2171,1.219,1.1612,1.1656,489101170.0
2020-10-15 17:00:00,1.1656,1.1869,1.1617,1.177,361655170.0
2020-10-15 18:00:00,1.1769,1.1781,1.115,1.1355,741823700.0
2020-10-15 19:00:00,1.1356,1.164,1.1217,1.1482,426659410.0
2020-10-15 20:00:00,1.1501,1.1528,1.1264,1.1388,384498280.0
2020-10-15 21:00:00,1.1388,1.16,1.1386,1.16,173576920.0
2020-10-15 22:00:00,1.1579,1.1636,1.1409,1.1442,220347020.0
2020-10-15 23:00:00,1.1446,1.1448,1.1279,1.1344,199025520.0
2020-10-16 00:00:00,1.1327,1.1337,1.116,1.1195,179787810.0
