,Open,High,Low,Close,Volume
2017-11-20 04:00:00.000,36.0,46.0,36.0,42.4,601411.0
2017-11-20 05:00:00.000,43.89,43.89,41.73,42.2,243876.0
2017-11-20 06:00:00.000,42.2,42.2,40.501,42.2,384512.0
2017-11-20 07:00:00.000,41.0,41.0,39.0,40.798,167469.0
2017-11-20 08:00:00.000,40.0,42.0,39.201,40.5,591463.0
2017-11-20 09:00:00.000,40.75,41.0,38.5,40.9,1383658.0
2017-11-20 10:00:00.000,40.0,42.2,40.0,40.85,902363.0
2017-11-20 11:00:00.000,41.6,41.6,40.5,40.5,883055.0
2017-11-20 12:00:00.000,40.5,41.6,40.0,40.5,322607.0
2017-11-20 13:00:00.000,40.5,40.5,40.0,40.5,424555.0
2017-11-20 14:00:00.000,41.0,42.5,40.02,42.5,1381191.0
2017-11-20 15:00:00.000,42.5,42.999,39.196,41.0,3432393.0
2017-11-20 16:00:00.000,41.0,42.0,40.5,41.001,444677.0
2017-11-20 17:00:00.000,41.002,41.475,38.0,38.0,5684330.0
2017-11-20 18:00:00.000,38.0,40.5,34.7,37.502,6130983.0
2017-11-20 19:00:00.000,38.7,40.0,37.7,39.0,1092420.0
2017-11-20 20:00:00.000,39.1,39.45,38.53,39.45,104769.0
2017-11-20 21:00:00.000,39.4,39.9,38.6,38.65,189821.0
2017-11-20 22:00:00.000,38.65,38.65,37.0,37.3,862750.0
2017-11-20 23:00:00.000,37.3,37.49,36.011,36.05,2321152.0
2017-11-21 00:00:00.000,36.062,37.2,35.1,35.582,2792875.0
2017-11-21 01:00:00.000,35.582,36.39,34.2,35.0,3951063.0
2017-11-21 02:00:00.000,35.0,36.9,35.0,36.9,2137308.0
2017-11-21 03:00:00.000,36.9,36.9,35.28,35.28,636911.0
2017-11-21 04:00:00.000,35.28,35.28,33.5,34.106,3868162.0
2017-11-21 05:00:00.000,34.0,35.18,33.6,35.18,2019030.0
2017-11-21 06:00:00.000,35.18,36.81,35.0,35.8,856383.0
2017-11-21 07:00:00.000,36.15,37.178,35.188,36.296,919470.0
2017-11-21 08:00:00.000,36.283,36.7,35.1,36.7,749742.0
2017-11-21 09:00:00.000,36.996,37.0,36.996,36.998,1172844.0
2017-11-21 10:00:00.000,36.998,37.19,35.581,37.19,1979376.0
2017-11-21 11:00:00.000,37.498,37.499,36.3,36.5,230432.0
2017-11-21 12:00:00.000,36.331,36.7,35.702,35.85,1135594.0
2017-11-21 13:00:00.000,35.85,36.1,35.11,35.5,1550062.0
2017-11-21 14:00:00.000,35.5,36.39,35.122,35.129,1761710.0
2017-11-21 15:00:00.000,35.129,36.1,35.129,35.152,99740.0
2017-11-21 16:00:00.000,36.099,36.89,35.301,35.301,804799.0
2017-11-21 17:00:00.000,35.2,36.099,35.0,36.0,1873802.0
2017-11-21 18:00:00.000,35.997,36.0,35.021,35.021,364997.0
2017-11-21 19:00:00.000,35.111,35.15,34.5,34.61,1651432.0
2017-11-21 20:00:00.000,34.8,34.801,34.65,34.65,425413.0
2017-11-21 21:00:00.000,35.5,35.5,34.501,35.06,227899.0
2017-11-21 22:00:00.000,35.06,35.58,34.351,35.58,145475.0
2017-11-21 23:00:00.000,34.8,35.25,34.25,35.25,115888.0
2017-11-22 00:00:00.000,35.0,35.0,35.0,35.0,37.0
2017-11-22 01:00:00.000,35.0,35.8,35.0,35.8,299732.0
2017-11-22 02:00:00.000,35.76,35.76,35.011,35.011,15995.0
2017-11-22 03:00:00.000,35.011,35.011,34.5,34.5,23625.0
2017-11-22 04:00:00.000,35.0,35.0,34.586,35.0,28157.0
2017-11-22 05:00:00.000,35.0,35.09,35.0,35.09,198520.0
2017-11-22 06:00:00.000,35.09,36.7,35.09,36.689,787179.0
2017-11-22 07:00:00.000,36.1,36.59,36.1,36.59,204876.0
2017-11-22 08:00:00.000,36.58,36.689,36.0,36.0,263604.0
2017-11-22 09:00:00.000,36.0,36.0,35.164,35.164,395529.0
2017-11-22 10:00:00.000,35.164,35.164,35.164,35.164,0.0
2017-11-22 11:00:00.000,35.186,36.7,35.185,36.7,353506.0
2017-11-22 12:00:00.000,35.311,37.3,35.311,36.0,663111.0
2017-11-22 13:00:00.000,36.051,36.051,36.051,36.051,52.0
2017-11-22 14:00:00.000,36.998,36.999,35.9,35.9,175588.0
2017-11-22 15:00:00.000,35.6,36.299,35.001,36.299,279675.0
2017-11-22 16:00:00.000,36.299,37.0,36.299,37.0,312752.0
2017-11-22 17:00:00.000,36.98,36.98,36.2,36.3,582830.0
2017-11-22 18:00:00.000,36.879,36.88,36.3,36.879,197895.0
2017-11-22 19:00:00.000,36.301,36.301,36.002,36.002,397312.0
