,Open,High,Low,Close,Volume
2020-08-19 14:00:00,50.42,50.42,41.788,43.69,2429274.0
2020-08-19 15:00:00,43.689,44.499,42.714,42.976,1338282.0
2020-08-19 16:00:00,43.297,44.5,37.77,44.322,1475601.0
2020-08-19 17:00:00,43.758,44.299,42.255,42.54,963357.0
2020-08-19 18:00:00,42.493,44.999,41.546,43.769,1011067.0
2020-08-19 19:00:00,43.839,44.325,43.157,43.851,447892.0
2020-08-19 20:00:00,43.501,43.509,41.595,42.461,946643.0
2020-08-19 21:00:00,42.472,43.225,41.768,42.142,356446.0
2020-08-19 22:00:00,41.693,42.747,40.0,40.936,1047833.0000000001
2020-08-19 23:00:00,40.936,42.021,39.822,41.759,799084.0
2020-08-20 00:00:00,42.02,42.145,41.066,41.628,810293.0
2020-08-20 01:00:00,41.628,42.2,41.597,42.079,212400.0
2020-08-20 02:00:00,42.281,43.585,41.902,42.869,457137.0
2020-08-20 03:00:00,43.146,43.505,42.859,43.097,261051.0
2020-08-20 04:00:00,43.019,43.104,41.46,41.575,315065.0
2020-08-20 05:00:00,41.482,41.954,40.427,41.0,1334500.0
2020-08-20 06:00:00,41.0,41.83,40.0,40.79,443872.0
2020-08-20 07:00:00,40.932,40.932,40.209,40.899,564915.0
2020-08-20 08:00:00,40.837,41.952,40.0,41.672,583988.0
2020-08-20 09:00:00,41.627,41.671,40.417,40.417,374281.0
2020-08-20 10:00:00,40.418,41.23,39.985,40.276,1066799.0
2020-08-20 11:00:00,40.276,40.79,39.785,39.8,1052079.0
2020-08-20 12:00:00,40.315,43.0,40.0,40.4,1417362.0
2020-08-20 13:00:00,40.4,40.6,39.542,40.505,1121211.0
2020-08-20 14:00:00,40.6,40.6,40.0,40.42,595528.0
2020-08-20 15:00:00,40.4,40.922,40.1,40.832,799068.0
2020-08-20 16:00:00,40.822,42.979,40.584,42.745,1570498.0
2020-08-20 17:00:00,42.916,44.558,42.745,44.155,1894982.0
2020-08-20 18:00:00,44.155,49.0,44.155,48.818,5194049.0
2020-08-20 19:00:00,48.818,53.88,46.253,47.721,20148396.0
2020-08-20 20:00:00,47.435,48.0,43.251,44.375,9910782.0
2020-08-20 21:00:00,44.714,44.774,42.744,43.142,2919630.0
2020-08-20 22:00:00,43.561,51.8,43.414,46.698,4650444.0
2020-08-20 23:00:00,46.768,49.8,46.305,47.053,4411306.0
2020-08-21 00:00:00,46.734,47.8,46.25,46.736,595589.0
2020-08-21 01:00:00,46.74,47.5,45.002,46.93,1289982.0
2020-08-21 02:00:00,46.952,47.385,46.446,46.541,1429732.0
2020-08-21 03:00:00,46.719,46.875,45.325,45.737,644304.0
2020-08-21 04:00:00,45.731,45.731,44.651,44.651,1735401.0
2020-08-21 05:00:00,44.651,46.817,42.938,46.567,3359308.0
2020-08-21 06:00:00,46.803,49.0,45.439,46.112,3275986.0
2020-08-21 07:00:00,46.039,48.0,44.644,46.1,2533519.0
2020-08-21 08:00:00,46.023,47.98,44.48,45.746,2399278.0
2020-08-21 09:00:00,45.746,46.952,44.324,45.586,1047630.0000000001
2020-08-21 10:00:00,45.586,46.007,45.125,45.926,307113.0
2020-08-21 11:00:00,45.926,50.949,45.7,49.782,3405723.0
