,Open,High,Low,Close,Volume
2021-06-04 07:00:00,0.3473,0.8,0.3473,0.3757,7120559000.0
2021-06-04 08:00:00,0.3761,0.41,0.3756,0.3877,5214810000.0
2021-06-04 09:00:00,0.3876,0.391,0.3615,0.3749,3868141000.0
2021-06-04 10:00:00,0.374,0.381,0.363,0.3706,1654694000.0
2021-06-04 11:00:00,0.3706,0.4939,0.368,0.4217,19734177000.0
2021-06-04 12:00:00,0.4225,0.4445,0.3989,0.421,10120967000.0
2021-06-04 13:00:00,0.419,0.4279,0.4044,0.4256,4631608000.0
2021-06-04 14:00:00,0.4264,0.4829,0.41,0.4648,19007042000.0
2021-06-04 15:00:00,0.4648,0.6018,0.4646,0.5156,68416169000.0
2021-06-04 16:00:00,0.5156,0.549,0.4737,0.4833,40747688000.0
2021-06-04 17:00:00,0.4838,0.5178,0.4697,0.4739,21881515000.0
2021-06-04 18:00:00,0.4736,0.493,0.4436,0.4591,17340764000.0
2021-06-04 19:00:00,0.4592,0.4656,0.4308,0.4505,12320906000.0
2021-06-04 20:00:00,0.4503,0.4955,0.4438,0.4625,23453218000.0
2021-06-04 21:00:00,0.4625,0.515,0.4536,0.4879,32586259000.0
2021-06-04 22:00:00,0.4874,0.5025,0.4634,0.4639,16565464000.0
2021-06-04 23:00:00,0.4638,0.4797,0.4425,0.4484,9310857000.0
2021-06-05 00:00:00,0.4484,0.4748,0.4479,0.4613,8848574000.0
2021-06-05 01:00:00,0.4618,0.4642,0.435,0.4546,7507715000.0
2021-06-05 02:00:00,0.4558,0.4607,0.4175,0.4331,8152572000.0
2021-06-05 03:00:00,0.4337,0.4446,0.4222,0.4362,4279219000.0
2021-06-05 04:00:00,0.4365,0.4571,0.4344,0.438,4997516000.0
2021-06-05 05:00:00,0.4386,0.4437,0.4228,0.4238,3227686000.0
2021-06-05 06:00:00,0.4239,0.4342,0.414,0.4195,3945008000.0
2021-06-05 07:00:00,0.4195,0.4439,0.413,0.4351,6299278000.0
2021-06-05 08:00:00,0.4351,0.4439,0.4233,0.4238,4895328000.0
2021-06-05 09:00:00,0.4237,0.4392,0.4237,0.4357,4984655000.0
2021-06-05 10:00:00,0.4357,0.4373,0.4238,0.4281,4807110000.0
2021-06-05 11:00:00,0.428,0.4298,0.4046,0.4099,4363510000.0
2021-06-05 12:00:00,0.41,0.4175,0.3978,0.4013,5810647000.0
