,Open,High,Low,Close,Volume
2018-07-23 06:00:00,2.8,2.9999,2.64,2.685,40678660.0
2018-07-23 07:00:00,2.6851,2.8,2.685,2.74,11715180.0
2018-07-23 08:00:00,2.74,2.7821,2.734,2.736,7828420.0
2018-07-23 09:00:00,2.736,2.78,2.736,2.7596,9696940.0
2018-07-23 10:00:00,2.7665,2.78,2.6819,2.7099,59994910.0
2018-07-23 11:00:00,2.7099,2.7099,2.6361,2.6368,27784910.0
2018-07-23 12:00:00,2.6513,2.69,2.6374,2.6519,34734960.0
2018-07-23 13:00:00,2.65,2.6607,2.6016,2.6153,27907590.0
2018-07-23 14:00:00,2.6299,2.63,2.5763,2.63,21340040.0
2018-07-23 15:00:00,2.63,2.65,2.61,2.6199,31825120.0
2018-07-23 16:00:00,2.6199,2.65,2.52,2.53,39983590.0
2018-07-23 17:00:00,2.53,2.5734,2.5112,2.5402,22743600.0
2018-07-23 18:00:00,2.5403,2.5492,2.4617,2.4617,32279530.0
2018-07-23 19:00:00,2.4832,2.4874,2.45,2.45,38016800.0
2018-07-23 20:00:00,2.45,2.5,2.4452,2.4698,26230240.0
2018-07-23 21:00:00,2.4698,2.48,2.4302,2.4472,25030460.0
2018-07-23 22:00:00,2.4341,2.48,2.4341,2.4542,30000240.0
2018-07-23 23:00:00,2.4543,2.4897,2.4405,2.48,42421890.0
2018-07-24 00:00:00,2.4631,2.52,2.4631,2.4901,43973370.0
2018-07-24 01:00:00,2.5,2.5,2.44,2.46,40382530.0
2018-07-24 02:00:00,2.4599,2.5,2.4112,2.46,33576070.0
2018-07-24 03:00:00,2.46,2.5,2.4355,2.4666,40544980.0
2018-07-24 04:00:00,2.4601,2.5,2.4499,2.471,33024199.999999996
2018-07-24 05:00:00,2.471,2.49,2.45,2.4503,35767770.0
2018-07-24 06:00:00,2.4504,2.49,2.45,2.4728,22826550.0
2018-07-24 07:00:00,2.4728,2.4899,2.4415,2.4894,33329589.999999996
2018-07-24 08:00:00,2.4894,2.58,2.467,2.4812,42671470.0
2018-07-24 09:00:00,2.4812,2.5701,2.4812,2.5701,26404690.0
2018-07-24 10:00:00,2.5701,2.5703,2.5175,2.5353,26064940.0
2018-07-24 11:00:00,2.5353,2.541,2.5126,2.5297,23188750.0
2018-07-24 12:00:00,2.5325,2.5405,2.5101,2.5101,38110420.0
2018-07-24 13:00:00,2.5101,2.5426,2.5072,2.5394,15259200.0
2018-07-24 14:00:00,2.5355,2.5637,2.47,2.4755,21884280.0
2018-07-24 15:00:00,2.4775,2.62,2.4638,2.5124,32561770.0
2018-07-24 16:00:00,2.537,2.65,2.522,2.582,24994880.0
2018-07-24 17:00:00,2.582,2.6274,2.581,2.6059,33933560.0
2018-07-24 18:00:00,2.606,2.6065,2.5482,2.5643,28319720.0
2018-07-24 19:00:00,2.5685,2.6289,2.5643,2.6288,7297030.0
2018-07-24 20:00:00,2.6286,2.6288,2.6,2.6199,20817930.0
2018-07-24 21:00:00,2.618,2.618,2.5216,2.5311,25539520.0
2018-07-24 22:00:00,2.5369,2.575,2.51,2.5281,34933710.0
2018-07-24 23:00:00,2.5282,2.5749,2.517,2.5569,18178220.0
2018-07-25 00:00:00,2.5569,2.5799,2.5569,2.5569,12372050.0
2018-07-25 01:00:00,2.557,2.569,2.5446,2.5501,15788730.0
2018-07-25 02:00:00,2.55,2.5779,2.55,2.5506,26523980.0
2018-07-25 03:00:00,2.5533,2.59,2.5171,2.57,37636170.0
2018-07-25 04:00:00,2.5639,2.5701,2.543,2.5454,34173790.0
2018-07-25 05:00:00,2.5551,2.5745,2.543,2.5744,32737980.0
2018-07-25 06:00:00,2.5701,2.61,2.5693,2.5926,25092560.0
2018-07-25 07:00:00,2.5926,2.625,2.5541,2.5576,44374980.0
2018-07-25 08:00:00,2.5743,2.5743,2.5154,2.5563,38619470.0
2018-07-25 09:00:00,2.5563,2.561,2.5187,2.5272,37822400.0
2018-07-25 10:00:00,2.5361,2.5733,2.4974,2.5266,43232470.0
2018-07-25 11:00:00,2.5266,2.5266,2.471,2.5201,25373190.0
2018-07-25 12:00:00,2.5201,2.529,2.5,2.529,14543770.0
2018-07-25 13:00:00,2.5289,2.5289,2.5033,2.5088,8158120.0
2018-07-25 14:00:00,2.5049,2.5505,2.504,2.5401,31969390.0
2018-07-25 15:00:00,2.5455,2.5701,2.5367,2.5629,16855600.0
2018-07-25 16:00:00,2.5629,2.578,2.5466,2.5749,22976990.0
2018-07-25 17:00:00,2.5597,2.5638,2.4737,2.4951,20174510.0
2018-07-25 18:00:00,2.5026,2.5321,2.4573,2.4902,34303530.0
2018-07-25 19:00:00,2.5051,2.53,2.4922,2.5031,20295820.0
2018-07-25 20:00:00,2.5161,2.5167,2.5034,2.5034,19807600.0
2018-07-25 21:00:00,2.5033,2.5389,2.49,2.5388,13678430.0
2018-07-25 22:00:00,2.5291,2.5416,2.5074,2.5399,45518130.0
2018-07-25 23:00:00,2.5391,2.5935,2.5311,2.5683,39392520.0
2018-07-26 00:00:00,2.5699,2.61,2.55,2.5741,37989660.0
2018-07-26 01:00:00,2.5892,2.6025,2.5693,2.587,46299580.0
2018-07-26 02:00:00,2.5869,2.6323,2.5762,2.6323,22061270.0
2018-07-26 03:00:00,2.6336,2.67,2.6193,2.6193,42344990.0
2018-07-26 04:00:00,2.6233,2.71,2.6167,2.7012,23838390.0
2018-07-26 05:00:00,2.7012,2.7087,2.63,2.6301,30188070.0
2018-07-26 06:00:00,2.63,2.66,2.6102,2.6597,32382820.0
2018-07-26 07:00:00,2.6597,2.66,2.6101,2.6101,30487450.0
2018-07-26 08:00:00,2.6101,2.63,2.5503,2.6299,49135430.0
2018-07-26 09:00:00,2.6299,2.6598,2.6101,2.6355,18773150.0
2018-07-26 10:00:00,2.6579,2.6587,2.6102,2.6267,30683980.0
2018-07-26 11:00:00,2.6268,2.6423,2.6121,2.6198,15326530.0
2018-07-26 12:00:00,2.6223,2.65,2.6109,2.633,26542680.0
2018-07-26 13:00:00,2.6266,2.633,2.5999,2.6022,30842560.0
2018-07-26 14:00:00,2.6022,2.626,2.5908,2.6195,27727100.0
2018-07-26 15:00:00,2.6137,2.6195,2.57,2.57,27647760.0
2018-07-26 16:00:00,2.569,2.5843,2.5511,2.5651,41569630.0
2018-07-26 17:00:00,2.5704,2.5782,2.5604,2.5782,31190910.0
2018-07-26 18:00:00,2.575,2.5834,2.5701,2.5712,52260260.0
2018-07-26 19:00:00,2.583,2.5903,2.5702,2.5702,17836810.0
2018-07-26 20:00:00,2.5823,2.61,2.5704,2.6028,17232120.0
2018-07-26 21:00:00,2.602,2.64,2.602,2.6351,33376160.000000004
2018-07-26 22:00:00,2.635,2.6467,2.5828,2.6074,37836890.0
2018-07-26 23:00:00,2.6028,2.6106,2.5311,2.5587,42626330.0
2018-07-27 00:00:00,2.5589,2.5911,2.521,2.53,27831540.0
2018-07-27 01:00:00,2.5299,2.57,2.4949,2.5151,33745720.0
2018-07-27 02:00:00,2.5146,2.5639,2.486,2.5023,21900300.0
2018-07-27 03:00:00,2.5023,2.5057,2.4782,2.4782,32174490.0
2018-07-27 04:00:00,2.4781,2.5799,2.475,2.4901,38463420.0
2018-07-27 05:00:00,2.4901,2.5049,2.4801,2.492,20876610.0
2018-07-27 06:00:00,2.4984,2.535,2.492,2.5169,55047080.0
2018-07-27 07:00:00,2.5163,2.537,2.5082,2.5083,74669350.0
2018-07-27 08:00:00,2.5083,2.5185,2.5082,2.5082,21060840.0
2018-07-27 09:00:00,2.5082,2.5221,2.5001,2.5158,4780080.0
2018-07-27 10:00:00,2.5158,2.5292,2.5107,2.5266,53643000.0
2018-07-27 11:00:00,2.5217,2.5316,2.48,2.49,37102260.0
2018-07-27 12:00:00,2.487,2.5026,2.48,2.4851,70769960.0
2018-07-27 13:00:00,2.4902,2.4902,2.4701,2.4701,58015080.0
2018-07-27 14:00:00,2.4701,2.4909,2.3801,2.3999,38197290.0
2018-07-27 15:00:00,2.3998,2.4188,2.3998,2.4147,23724720.0
2018-07-27 16:00:00,2.4147,2.419,2.4027,2.4027,17762910.0
2018-07-27 17:00:00,2.4027,2.5199,2.4027,2.5141,19604940.0
2018-07-27 18:00:00,2.5143,2.55,2.5083,2.5499,12279450.0
2018-07-27 19:00:00,2.5378,2.567,2.5378,2.5465,17145520.0
2018-07-27 20:00:00,2.5552,2.5673,2.5466,2.553,12684820.0
2018-07-27 21:00:00,2.57,2.57,2.5492,2.5492,31757680.0
2018-07-27 22:00:00,2.5571,2.5699,2.5493,2.5695,8707900.0
2018-07-27 23:00:00,2.5695,2.5822,2.5569,2.5821,25649550.0
2018-07-28 00:00:00,2.5821,2.6,2.5636,2.5881,24335490.0
2018-07-28 01:00:00,2.5999,2.6,2.5303,2.5642,20471770.0
2018-07-28 02:00:00,2.5642,2.5642,2.5203,2.5203,17258220.0
2018-07-28 03:00:00,2.5399,2.5498,2.5217,2.5255,12269380.0
2018-07-28 04:00:00,2.5255,2.5498,2.5164,2.5189,19344460.0
2018-07-28 05:00:00,2.5244,2.5289,2.5189,2.5289,27037130.0
2018-07-28 06:00:00,2.529,2.555,2.5214,2.5477,4598420.0
2018-07-28 07:00:00,2.5477,2.555,2.5477,2.5478,26140700.0
2018-07-28 08:00:00,2.5549,2.5549,2.5477,2.5506,23291780.0
2018-07-28 09:00:00,2.5506,2.5549,2.471,2.5193,35921190.0
2018-07-28 10:00:00,2.5193,2.5357,2.5193,2.5288,38861290.0
2018-07-28 11:00:00,2.5284,2.5357,2.5175,2.5282,14288540.0
2018-07-28 12:00:00,2.5261,2.5398,2.5239,2.5287,16240100.0
2018-07-28 13:00:00,2.5287,2.5473,2.5287,2.5346,17280370.0
2018-07-28 14:00:00,2.5345,2.5486,2.5245,2.5298,4888530.0
2018-07-28 15:00:00,2.5299,2.55,2.5266,2.5266,15729490.0
2018-07-28 16:00:00,2.5337,2.5499,2.5245,2.5343,10761300.0
2018-07-28 17:00:00,2.5344,2.5385,2.5,2.5027,25390580.0
2018-07-28 18:00:00,2.5174,2.5429,2.5042,2.5429,19143230.0
2018-07-28 19:00:00,2.5323,2.55,2.526,2.55,12904420.0
2018-07-28 20:00:00,2.5422,2.55,2.537,2.55,25578180.0
2018-07-28 21:00:00,2.55,2.559,2.5405,2.559,7103880.0
2018-07-28 22:00:00,2.559,2.5779,2.5353,2.5505,6694370.0
2018-07-28 23:00:00,2.5503,2.5544,2.5379,2.5544,17125520.0
2018-07-29 00:00:00,2.5485,2.56,2.5388,2.5545,27608450.0
2018-07-29 01:00:00,2.5545,2.56,2.5435,2.56,3023180.0
2018-07-29 02:00:00,2.56,2.6,2.5596,2.5673,29151980.0
2018-07-29 03:00:00,2.5673,2.5778,2.5458,2.5778,32150510.0
2018-07-29 04:00:00,2.5778,2.5851,2.5583,2.5601,20253480.0
2018-07-29 05:00:00,2.5683,2.5824,2.5512,2.5525,14683150.0
2018-07-29 06:00:00,2.5525,2.5823,2.5466,2.5491,26949090.0
2018-07-29 07:00:00,2.5499,2.5683,2.513,2.5491,30510260.0
2018-07-29 08:00:00,2.549,2.5845,2.5285,2.5292,29967210.0
2018-07-29 09:00:00,2.533,2.5482,2.5087,2.5087,24665420.0
2018-07-29 10:00:00,2.5107,2.52,2.502,2.5062,28613090.0
2018-07-29 11:00:00,2.5062,2.5178,2.5,2.5076,26353210.0
2018-07-29 12:00:00,2.5178,2.5354,2.5,2.5033,28450930.0
2018-07-29 13:00:00,2.5141,2.5265,2.4935,2.5077,33516710.0
2018-07-29 14:00:00,2.5077,2.5327,2.5076,2.5327,10530600.0
2018-07-29 15:00:00,2.5288,2.5324,2.5138,2.5262,16106070.0
2018-07-29 16:00:00,2.5265,2.565,2.5265,2.565,17915040.0
2018-07-29 17:00:00,2.5635,2.5798,2.5455,2.5455,15885130.0
2018-07-29 18:00:00,2.5455,2.577,2.5428,2.5769,20470400.0
2018-07-29 19:00:00,2.5735,2.6554,2.5701,2.6394,26710430.0
2018-07-29 20:00:00,2.6285,2.634,2.5857,2.6067,18166400.0
2018-07-29 21:00:00,2.6068,2.6298,2.5918,2.6298,14614780.0
2018-07-29 22:00:00,2.6299,2.63,2.605,2.6101,15001220.0
2018-07-29 23:00:00,2.6154,2.6208,2.5996,2.6007,11882220.0
2018-07-30 00:00:00,2.5998,2.63,2.5997,2.619,14912040.0
2018-07-30 01:00:00,2.6117,2.6398,2.6095,2.6263,28464540.0
2018-07-30 02:00:00,2.6263,2.6325,2.5626,2.5896,16368060.0
2018-07-30 03:00:00,2.5895,2.6189,2.5768,2.5768,14347120.0
2018-07-30 04:00:00,2.5768,2.5862,2.5715,2.5861,15381630.0
2018-07-30 05:00:00,2.5786,2.5861,2.56,2.561,18022720.0
2018-07-30 06:00:00,2.561,2.5904,2.5593,2.5708,7058050.0
2018-07-30 07:00:00,2.5784,2.5815,2.5651,2.5703,11849150.0
2018-07-30 08:00:00,2.5709,2.5714,2.5585,2.5589,22713960.0
2018-07-30 09:00:00,2.5588,2.5683,2.5493,2.5493,18734560.0
2018-07-30 10:00:00,2.5493,2.5697,2.5239,2.5258,34988650.0
2018-07-30 11:00:00,2.5238,2.541,2.514,2.5142,14312800.0
2018-07-30 12:00:00,2.5142,2.5216,2.51,2.519,15593490.0
