,Open,High,Low,Close,Volume
2020-08-19 10:00:00,0.5101,0.72,0.5101,0.5627,610631570.0
2020-08-19 11:00:00,0.5627,0.5699,0.5444,0.5494,193218860.0
2020-08-19 12:00:00,0.5475,0.5536,0.5264,0.5264,105476720.0
2020-08-19 13:00:00,0.5309,0.572,0.5297,0.5449,178364570.0
2020-08-19 14:00:00,0.5449,0.5899,0.5432,0.5751,190086860.0
2020-08-19 15:00:00,0.576,0.5837,0.56,0.56,173627630.0
2020-08-19 16:00:00,0.56,0.5899,0.5558,0.5736,95900540.0
2020-08-19 17:00:00,0.58,0.58,0.5218,0.5397,242638860.0
2020-08-19 18:00:00,0.5397,0.5649,0.5178,0.5352,460061470.0
2020-08-19 19:00:00,0.5348,0.555,0.5225,0.5384,141992320.0
2020-08-19 20:00:00,0.5385,0.5417,0.5086,0.5271,185264990.0
2020-08-19 21:00:00,0.5248,0.528,0.5031,0.509,111939640.0
2020-08-19 22:00:00,0.506,0.515,0.4923,0.512,108647000.0
2020-08-19 23:00:00,0.5117,0.5294,0.507,0.5163,108711650.0
2020-08-20 00:00:00,0.5176,0.58,0.5135,0.5669,329157580.0
2020-08-20 01:00:00,0.5674,0.5676,0.5362,0.5526,150366060.0
2020-08-20 02:00:00,0.5473,0.5677,0.547,0.5559,95451260.0
2020-08-20 03:00:00,0.5559,0.5879,0.5532,0.569,97051120.0
2020-08-20 04:00:00,0.5659,0.64,0.5658,0.6093,393553080.0
2020-08-20 05:00:00,0.6064,0.6189,0.5737,0.58,171588650.0
2020-08-20 06:00:00,0.576,0.6001,0.57,0.6001,78507700.0
2020-08-20 07:00:00,0.6001,0.6043,0.5842,0.5898,159345240.0
2020-08-20 08:00:00,0.5909,0.5931,0.5689,0.5801,150649060.0
2020-08-20 09:00:00,0.5802,0.623,0.58,0.607,206647510.0
2020-08-20 10:00:00,0.6089,0.638,0.5909,0.6052,711726370.0
2020-08-20 11:00:00,0.6052,0.625,0.6,0.6124,168751650.0
2020-08-20 12:00:00,0.6129,0.626,0.6,0.6,170759280.0
2020-08-20 13:00:00,0.6,0.6025,0.576,0.5779,226514930.0
2020-08-20 14:00:00,0.5767,0.598,0.576,0.5782,106031520.0
2020-08-20 15:00:00,0.58,0.5922,0.5631,0.5915,203197330.0
2020-08-20 16:00:00,0.5907,0.605,0.5729,0.5931,182531570.0
2020-08-20 17:00:00,0.5931,0.612,0.5931,0.6087,180271120.0
2020-08-20 18:00:00,0.6085,0.6395,0.6051,0.6156,223566570.0
2020-08-20 19:00:00,0.618,0.6181,0.6,0.6044,137061590.0
2020-08-20 20:00:00,0.6044,0.6165,0.5936,0.5955,115153890.0
2020-08-20 21:00:00,0.596,0.6155,0.5953,0.6038,60307480.0
2020-08-20 22:00:00,0.604,0.6192,0.5922,0.6101,106880030.0
2020-08-20 23:00:00,0.6146,0.629,0.6102,0.624,120099880.0
2020-08-21 00:00:00,0.624,0.6303,0.6164,0.6192,123202740.0
2020-08-21 01:00:00,0.6172,0.6186,0.606,0.6114,40918530.0
2020-08-21 02:00:00,0.6114,0.6284,0.606,0.612,67548460.0
2020-08-21 03:00:00,0.6205,0.6242,0.6034,0.6146,77596650.0
2020-08-21 04:00:00,0.6145,0.618,0.5763,0.5809,278164840.0
2020-08-21 05:00:00,0.5764,0.581,0.56,0.5728,148632680.0
2020-08-21 06:00:00,0.5725,0.5749,0.5601,0.564,55700930.0
2020-08-21 07:00:00,0.564,0.62,0.555,0.6,189944350.0
2020-08-21 08:00:00,0.6,0.61,0.5865,0.5887,69658640.0
2020-08-21 09:00:00,0.5925,0.613,0.5845,0.585,73595390.0
2020-08-21 10:00:00,0.5856,0.5912,0.5842,0.5842,69724540.0
2020-08-21 11:00:00,0.5842,0.5944,0.5789,0.5789,44799240.0
2020-08-21 12:00:00,0.5799,0.5831,0.5669,0.5722,52445170.0
2020-08-21 13:00:00,0.575,0.5829,0.5415,0.5468,161360860.0
2020-08-21 14:00:00,0.5468,0.5515,0.5199,0.5515,341913190.0
2020-08-21 15:00:00,0.5514,0.5514,0.527,0.5314,100553660.0
2020-08-21 16:00:00,0.5314,0.5472,0.5273,0.5436,53107510.0
2020-08-21 17:00:00,0.5471,0.6069,0.54,0.548,102920210.0
2020-08-21 18:00:00,0.545,0.56,0.539,0.5548,26793640.0
2020-08-21 19:00:00,0.5541,0.5654,0.5524,0.5589,51062890.0
2020-08-21 20:00:00,0.5586,0.5631,0.5526,0.5552,42996640.0
2020-08-21 21:00:00,0.5557,0.57,0.5516,0.5516,25446750.0
2020-08-21 22:00:00,0.5555,0.5555,0.5311,0.5423,90406720.0
2020-08-21 23:00:00,0.54,0.5422,0.5161,0.5177,93962110.0
2020-08-22 00:00:00,0.5205,0.542,0.5173,0.5281,55934850.0
2020-08-22 01:00:00,0.5281,0.5338,0.5105,0.5205,58782810.0
2020-08-22 02:00:00,0.5176,0.5195,0.4872,0.4915,275941090.0
2020-08-22 03:00:00,0.4915,0.5034,0.483,0.5,154278850.0
2020-08-22 04:00:00,0.5,0.5345,0.5,0.509,77920660.0
2020-08-22 05:00:00,0.5073,0.5073,0.4648,0.4704,361725120.0
2020-08-22 06:00:00,0.4707,0.545,0.4707,0.498,155521390.0
2020-08-22 07:00:00,0.498,0.5104,0.4954,0.5048,65360550.0
2020-08-22 08:00:00,0.5009,0.54,0.5003,0.5152,96330850.0
2020-08-22 09:00:00,0.516,0.5199,0.425,0.5168,215735740.0
2020-08-22 10:00:00,0.5142,0.5305,0.5131,0.5177,46824670.0
2020-08-22 11:00:00,0.5172,0.5188,0.4975,0.5007,66218330.0
2020-08-22 12:00:00,0.499,0.505,0.4831,0.4955,117141390.0
2020-08-22 13:00:00,0.4955,0.5051,0.4855,0.4949,42255510.0
2020-08-22 14:00:00,0.4949,0.5051,0.4888,0.4947,60428690.0
2020-08-22 15:00:00,0.491,0.5027,0.4875,0.4987,132975660.0
2020-08-22 16:00:00,0.5016,0.5349,0.5016,0.528,91826530.0
2020-08-22 17:00:00,0.5304,0.5476,0.528,0.5414,58991790.0
2020-08-22 18:00:00,0.5423,0.5439,0.5256,0.533,46265250.0
2020-08-22 19:00:00,0.533,0.5472,0.53,0.5351,100675440.0
2020-08-22 20:00:00,0.5387,0.5407,0.5172,0.5177,65934560.0
2020-08-22 21:00:00,0.5177,0.5435,0.5171,0.5298,63089470.0
2020-08-22 22:00:00,0.5258,0.5296,0.52,0.5229,42834670.0
2020-08-22 23:00:00,0.5226,0.53,0.52,0.5205,33968010.0
2020-08-23 00:00:00,0.5267,0.536,0.517,0.5269,58271250.0
2020-08-23 01:00:00,0.5339,0.544,0.5308,0.5331,27982490.0
2020-08-23 02:00:00,0.5363,0.5404,0.531,0.5387,18111740.0
2020-08-23 03:00:00,0.5387,0.5499,0.5345,0.546,37234960.0
2020-08-23 04:00:00,0.546,0.5498,0.5409,0.5458,29560730.0
2020-08-23 05:00:00,0.5474,0.59,0.5461,0.5838,192855410.0
2020-08-23 06:00:00,0.5811,0.6059,0.5676,0.576,244157180.0
2020-08-23 07:00:00,0.573,0.581,0.5615,0.5615,40097880.0
2020-08-23 08:00:00,0.5615,0.5778,0.5543,0.5731,45404510.0
2020-08-23 09:00:00,0.5723,0.597,0.554,0.5873,145722570.0
2020-08-23 10:00:00,0.588,0.5927,0.5713,0.5828,103066200.0
2020-08-23 11:00:00,0.5789,0.605,0.5789,0.5995,156705110.0
2020-08-23 12:00:00,0.6009,0.6087,0.5633,0.5633,286479790.0
2020-08-23 13:00:00,0.562,0.59,0.5618,0.577,80409550.0
2020-08-23 14:00:00,0.5777,0.5793,0.5671,0.5732,59899660.0
2020-08-23 15:00:00,0.5698,0.5699,0.5488,0.5599,120129180.0
2020-08-23 16:00:00,0.5565,0.5622,0.5468,0.547,72037930.0
2020-08-23 17:00:00,0.547,0.5599,0.5378,0.5513,103538410.0
2020-08-23 18:00:00,0.5531,0.5593,0.5374,0.54,43601090.0
2020-08-23 19:00:00,0.54,0.544,0.5251,0.526,83037970.0
