,Open,High,Low,Close,Volume
2020-01-09 04:00:00,0.0989,0.499,0.0989,0.239,17202879300.0
2020-01-09 05:00:00,0.2389,0.2482,0.2005,0.2083,4606677510.0
2020-01-09 06:00:00,0.2083,0.2199,0.201,0.2055,2443310280.0
2020-01-09 07:00:00,0.2056,0.2359,0.2023,0.2248,2065406840.0
2020-01-09 08:00:00,0.2251,0.259,0.2251,0.2352,5867351600.0
2020-01-09 09:00:00,0.2352,0.2445,0.2236,0.2298,3699514360.0
2020-01-09 10:00:00,0.2298,0.237,0.2254,0.2319,1141871590.0
2020-01-09 11:00:00,0.2316,0.2448,0.2276,0.2301,2376290710.0
2020-01-09 12:00:00,0.23,0.2376,0.2275,0.2345,1070908600.0000001
2020-01-09 13:00:00,0.2333,0.2375,0.2211,0.2244,1236215750.0
2020-01-09 14:00:00,0.2244,0.2284,0.2153,0.2243,1297076760.0
2020-01-09 15:00:00,0.2236,0.2253,0.2095,0.2145,906628260.0
2020-01-09 16:00:00,0.2136,0.219,0.2121,0.215,499386040.0
2020-01-09 17:00:00,0.2164,0.2189,0.212,0.213,252981340.0
2020-01-09 18:00:00,0.2139,0.215,0.2057,0.2116,674904050.0
2020-01-09 19:00:00,0.212,0.222,0.2086,0.2179,808628230.0
2020-01-09 20:00:00,0.2179,0.2197,0.21,0.2145,520806190.0
2020-01-09 21:00:00,0.2145,0.22,0.2117,0.2141,358130780.0
2020-01-09 22:00:00,0.2141,0.2199,0.2105,0.2182,301776590.0
2020-01-09 23:00:00,0.2187,0.2189,0.2117,0.2136,224537780.0
2020-01-10 00:00:00,0.2143,0.218,0.212,0.218,229541240.0
2020-01-10 01:00:00,0.218,0.23,0.2155,0.2233,1327367490.0
2020-01-10 02:00:00,0.2233,0.2329,0.221,0.2234,1102321700.0
2020-01-10 03:00:00,0.2232,0.2279,0.2152,0.2167,612961550.0
2020-01-10 04:00:00,0.2161,0.2174,0.2085,0.2155,525216860.0
2020-01-10 05:00:00,0.2151,0.2156,0.2087,0.2144,406725650.0
