,Open,High,Low,Close,Volume
2021-03-08 10:00:00,0.2818,0.5834,0.2818,0.3921,45773796770.0
2021-03-08 11:00:00,0.3923,0.44,0.3922,0.4097,11132772500.0
2021-03-08 12:00:00,0.4097,0.43,0.4067,0.4117,4526004590.0
2021-03-08 13:00:00,0.4117,0.4345,0.4104,0.4203,4329038830.0
2021-03-08 14:00:00,0.421,0.54,0.4201,0.4888,34039522030.0
2021-03-08 15:00:00,0.4888,0.5262,0.4677,0.51,21079103490.0
2021-03-08 16:00:00,0.5101,0.5154,0.4429,0.4499,14300696160.0
2021-03-08 17:00:00,0.4491,0.4816,0.4488,0.4539,7231371850.0
2021-03-08 18:00:00,0.4538,0.473,0.4511,0.4608,4350593530.0
2021-03-08 19:00:00,0.4599,0.4601,0.4352,0.4414,4905180150.0
2021-03-08 20:00:00,0.4414,0.45,0.4296,0.4365,3262787320.0
2021-03-08 21:00:00,0.4369,0.45,0.4204,0.4296,4560769060.0
2021-03-08 22:00:00,0.4294,0.4461,0.4201,0.4395,3966781780.0
2021-03-08 23:00:00,0.439,0.4439,0.421,0.4339,3529765700.0
2021-03-09 00:00:00,0.4326,0.455,0.4289,0.4335,3176971360.0
2021-03-09 01:00:00,0.4343,0.4345,0.41,0.4174,3191026240.0
2021-03-09 02:00:00,0.4177,0.4271,0.4011,0.4039,2339728640.0
2021-03-09 03:00:00,0.404,0.4178,0.4003,0.4131,1618004050.0
2021-03-09 04:00:00,0.4131,0.43,0.4109,0.4195,2220115390.0
2021-03-09 05:00:00,0.4193,0.44,0.41,0.4333,2787448750.0
2021-03-09 06:00:00,0.4321,0.4334,0.4069,0.4131,2987650350.0
2021-03-09 07:00:00,0.4131,0.4137,0.388,0.395,3246213670.0
2021-03-09 08:00:00,0.3951,0.3964,0.3656,0.3656,3548108560.0
2021-03-09 09:00:00,0.3656,0.3889,0.3653,0.385,3355306610.0
2021-03-09 10:00:00,0.385,0.3977,0.3811,0.3811,3414816310.0
2021-03-09 11:00:00,0.3828,0.3868,0.3781,0.3842,2180368750.0
2021-03-09 12:00:00,0.3843,0.399,0.3818,0.3967,2083200370.0
2021-03-09 13:00:00,0.3974,0.3975,0.3782,0.3811,1738041020.0
2021-03-09 14:00:00,0.3811,0.3968,0.3797,0.3963,2308757530.0
2021-03-09 15:00:00,0.3966,0.4199,0.3907,0.406,4031643360.0
2021-03-09 16:00:00,0.4068,0.4165,0.3915,0.4002,3148674630.0
2021-03-09 17:00:00,0.4002,0.41,0.3941,0.4014,1720173100.0
2021-03-09 18:00:00,0.4015,0.4092,0.401,0.4073,1152151970.0
2021-03-09 19:00:00,0.4068,0.4179,0.4,0.4095,1635340560.0
2021-03-09 20:00:00,0.4095,0.4132,0.402,0.4051,982606560.0
2021-03-09 21:00:00,0.4049,0.408,0.401,0.4024,644897660.0
2021-03-09 22:00:00,0.4025,0.4025,0.395,0.3971,1120635540.0
2021-03-09 23:00:00,0.3965,0.4,0.39,0.3984,853226470.0
2021-03-10 00:00:00,0.3978,0.405,0.3975,0.4015,687569200.0
