,Open,High,Low,Close,Volume
2019-04-03 06:00:00,2.5,2.5,1.98,2.0592,57820730.0
2019-04-03 07:00:00,2.0234,2.09,2.0234,2.06,24415610.0
2019-04-03 08:00:00,2.06,2.1,2.0512,2.1,51777280.0
2019-04-03 09:00:00,2.0925,2.0989,2.0627,2.073,30785920.0
2019-04-03 10:00:00,2.08,2.08,2.0499,2.076,20095700.0
2019-04-03 11:00:00,2.0766,2.0767,2.0478,2.0755,15183440.0
2019-04-03 12:00:00,2.07,2.0894,2.0634,2.0634,12145740.0
2019-04-03 13:00:00,2.0635,2.0999,2.0635,2.079,23872970.0
2019-04-03 14:00:00,2.0843,2.13,2.0843,2.1183,40049890.0
2019-04-03 15:00:00,2.1183,2.1681,2.1118,2.13,24927030.0
2019-04-03 16:00:00,2.125,2.1383,2.0905,2.095,22360620.0
2019-04-03 17:00:00,2.095,2.1041,2.0801,2.0803,14342770.0
2019-04-03 18:00:00,2.0945,2.1888,2.0847,2.1681,45934540.0
2019-04-03 19:00:00,2.1587,2.198,2.1276,2.196,38852630.0
2019-04-03 20:00:00,2.1801,2.2696,2.1797,2.2696,24801430.0
2019-04-03 21:00:00,2.2696,2.2897,2.2,2.2075,32739140.0
2019-04-03 22:00:00,2.2158,2.2889,2.2158,2.2444,27782680.0
2019-04-03 23:00:00,2.25,2.25,2.1339,2.15,35611700.0
2019-04-04 00:00:00,2.1457,2.1849,2.0,2.0543,79267490.0
2019-04-04 01:00:00,2.0293,2.0543,1.829,1.9835,77923610.0
2019-04-04 02:00:00,1.9839,2.0181,1.9396,2.0175,40205170.0
2019-04-04 03:00:00,2.0175,2.0667,2.0099,2.01,43152420.0
2019-04-04 04:00:00,2.01,2.05,2.0004,2.013,33863980.0
2019-04-04 05:00:00,2.0112,2.0198,1.9732,1.9955,15202900.0
2019-04-04 06:00:00,1.9732,2.0486,1.9606,2.0237,21565340.0
2019-04-04 07:00:00,2.0394,2.0889,2.0277,2.0351,10411780.0
2019-04-04 08:00:00,2.042,2.1485,2.0355,2.1483,20830530.0
2019-04-04 09:00:00,2.1372,2.21,2.0777,2.1801,37592440.0
2019-04-04 10:00:00,2.1753,2.1925,2.1221,2.1921,16056600.0
