,Open,High,Low,Close,Volume
2019-02-16 11:00:00,1.2,4.0,0.95,1.32,3702903390.0
2019-02-16 12:00:00,1.3199,1.3362,1.0101,1.0139,2021201060.0
2019-02-16 13:00:00,1.0139,1.106,0.924,1.099,1967308270.0
2019-02-16 14:00:00,1.0978,1.0978,1.0304,1.0596,473010800.0
2019-02-16 15:00:00,1.0577,1.0809,1.0101,1.0809,571382640.0
2019-02-16 16:00:00,1.0842,1.0893,1.0368,1.0421,251339590.0
2019-02-16 17:00:00,1.0418,1.05,1.02,1.0276,161596090.0
2019-02-16 18:00:00,1.0277,1.0328,1.0102,1.0104,113386190.0
2019-02-16 19:00:00,1.0105,1.0144,0.951,0.9708,370378910.0
2019-02-16 20:00:00,0.9718,0.9794,0.8821,0.8913,374344360.0
2019-02-16 21:00:00,0.8944,0.9255,0.861,0.9106,679503200.0
2019-02-16 22:00:00,0.9121,1.015,0.8947,0.9345,424270750.0
2019-02-16 23:00:00,0.9387,0.9589,0.9217,0.9527,138550050.0
2019-02-17 00:00:00,0.9522,0.9523,0.8615,0.8691,434722960.0
2019-02-17 01:00:00,0.8647,0.88,0.7811,0.8012,1209976580.0
2019-02-17 02:00:00,0.8015,0.8497,0.7732,0.7854,484761800.0
2019-02-17 03:00:00,0.7857,0.7935,0.753,0.7823,736011410.0
2019-02-17 04:00:00,0.7844,0.89,0.7834,0.8695,850349010.0
2019-02-17 05:00:00,0.8683,0.9093,0.82,0.8224,863943710.0
2019-02-17 06:00:00,0.8225,0.8237,0.7921,0.81,389185600.0
2019-02-17 07:00:00,0.8134,0.84,0.7822,0.824,429195190.0
2019-02-17 08:00:00,0.8203,0.8855,0.8053,0.86,524136240.0
2019-02-17 09:00:00,0.8591,0.92,0.8284,0.8785,946482550.0
2019-02-17 10:00:00,0.8811,0.9,0.86,0.8631,491386340.0
2019-02-17 11:00:00,0.8631,0.8762,0.8344,0.8414,497424990.0
2019-02-17 12:00:00,0.838,0.8504,0.8228,0.8288,244347760.0
2019-02-17 13:00:00,0.8287,0.8499,0.7987,0.807,590201280.0
2019-02-17 14:00:00,0.8099,0.8148,0.7786,0.7957,482124150.0
