,Open,High,Low,Close,Volume
2018-06-08 09:00:00,8.335,8.642,8.26,8.29,39778821.0
2018-06-08 10:00:00,8.331,8.331,8.202,8.293,16771150.000000002
2018-06-08 11:00:00,8.293,8.32,8.17,8.205,9852544.0
2018-06-08 12:00:00,8.205,8.329,8.02,8.051,25611378.0
2018-06-08 13:00:00,8.039,8.292,8.01,8.161,49478311.0
2018-06-08 14:00:00,8.157,8.266,8.14,8.17,77955318.0
2018-06-08 15:00:00,8.204,8.403,8.173,8.368,77237658.0
2018-06-08 16:00:00,8.369,8.37,8.203,8.301,81967884.0
2018-06-08 17:00:00,8.305,8.34,8.109,8.34,72197652.0
2018-06-08 18:00:00,8.34,8.522,8.32,8.442,103045815.0
2018-06-08 19:00:00,8.442,8.6,8.438,8.522,134104081.0
2018-06-08 20:00:00,8.517,8.549,8.434,8.483,72877825.0
2018-06-08 21:00:00,8.489,8.51,8.441,8.491,86726038.0
2018-06-08 22:00:00,8.492,8.533,8.44,8.498,92572229.0
2018-06-08 23:00:00,8.498,8.501,8.342,8.399,53708768.0
2018-06-09 00:00:00,8.375,8.452,8.277,8.366,96807827.0
2018-06-09 01:00:00,8.351,8.351,8.23,8.28,67725659.0
2018-06-09 02:00:00,8.277,8.405,8.276,8.355,73533990.0
2018-06-09 03:00:00,8.373,8.411,8.31,8.355,66611005.99999999
2018-06-09 04:00:00,8.373,8.494,8.351,8.436,74824423.0
2018-06-09 05:00:00,8.432,8.5,8.354,8.433,99431452.0
2018-06-09 06:00:00,8.454,8.454,8.367,8.396,72860301.0
2018-06-09 07:00:00,8.41,8.501,8.375,8.462,132102544.0
2018-06-09 08:00:00,8.462,8.492,8.36,8.464,130054640.0
2018-06-09 09:00:00,8.457,8.461,8.377,8.407,57801579.0
2018-06-09 10:00:00,8.405,8.45,8.21,8.233,73116763.0
2018-06-09 11:00:00,8.251,8.429,8.251,8.423,71856094.0
2018-06-09 12:00:00,8.401,8.411,8.36,8.379,74995896.0
2018-06-09 13:00:00,8.375,8.391,8.3,8.319,77607419.0
