,Open,High,Low,Close,Volume
2020-09-30 08:00:00,2.4,4.2,2.4,2.7867,819396270.0
2020-09-30 09:00:00,2.7869,3.1,2.7869,2.93,183531610.0
2020-09-30 10:00:00,2.9454,3.22,2.8766,3.1801,130847810.0
2020-09-30 11:00:00,3.1982,3.35,2.9406,3.34,243936300.0
2020-09-30 12:00:00,3.3497,3.7492,3.2799,3.3584,467148080.0
2020-09-30 13:00:00,3.3512,3.5624,3.2853,3.4336,209641660.0
2020-09-30 14:00:00,3.4489,3.4602,3.1677,3.1677,168764500.0
2020-09-30 15:00:00,3.1613,3.3604,3.1072,3.342,112259870.0
2020-09-30 16:00:00,3.3303,3.3374,3.1448,3.2399,73960390.0
2020-09-30 17:00:00,3.2266,3.3471,3.2201,3.2463,57176250.0
2020-09-30 18:00:00,3.2463,3.276,3.1851,3.2129,51621440.0
2020-09-30 19:00:00,3.2002,3.22,2.9999,3.0499,99665260.0
2020-09-30 20:00:00,3.0465,3.1514,2.9535,3.1331,71923170.0
2020-09-30 21:00:00,3.1332,3.15,2.9834,3.0325,66766130.00000001
2020-09-30 22:00:00,3.0412,3.05,2.9915,3.0086,16835940.0
2020-09-30 23:00:00,3.0087,3.0172,2.855,2.8704,74578240.0
2020-10-01 00:00:00,2.8704,2.8942,2.79,2.8381,70582840.0
2020-10-01 01:00:00,2.8152,2.899,2.8152,2.8637,35488330.0
2020-10-01 02:00:00,2.8643,2.97,2.8114,2.829,73813070.0
2020-10-01 03:00:00,2.8289,2.8301,2.727,2.7896,53845720.0
2020-10-01 04:00:00,2.7901,2.7973,2.6379,2.6379,68742460.0
2020-10-01 05:00:00,2.6425,2.691,2.6379,2.6811,47866240.0
2020-10-01 06:00:00,2.6999,2.7676,2.671,2.685,70185930.0
2020-10-01 07:00:00,2.685,2.6952,2.61,2.6244,32527870.0
2020-10-01 08:00:00,2.6218,2.649,2.6115,2.6437,36099390.0
2020-10-01 09:00:00,2.644,2.7398,2.644,2.727,60853040.0
2020-10-01 10:00:00,2.7272,2.813,2.7271,2.7786,74671700.0
2020-10-01 11:00:00,2.7786,2.7857,2.7284,2.7599,44415190.0
2020-10-01 12:00:00,2.7598,2.7694,2.6545,2.6608,51064730.0
2020-10-01 13:00:00,2.6608,2.6979,2.6471,2.6825,44415850.0
2020-10-01 14:00:00,2.6828,2.745,2.6801,2.7267,49212160.0
