,Open,High,Low,Close,Volume
2020-08-28 14:00:00,1945.95,1999.0,1945.95,1972.0,19173.093
2020-08-28 15:00:00,1972.01,2049.69,1950.0,1962.0,48161.804
2020-08-28 16:00:00,1950.21,1975.0,1950.21,1975.0,6448.603
2020-08-28 17:00:00,1974.07,1991.0,1964.05,1980.0,6597.893
2020-08-28 18:00:00,1980.0,1990.0,1974.06,1983.0,4089.618
2020-08-28 19:00:00,1983.0,1984.96,1970.0,1971.02,2982.694
2020-08-28 20:00:00,1981.74,1982.93,1971.03,1980.01,3044.758
2020-08-28 21:00:00,1984.35,1985.78,1972.01,1978.8,5756.461
2020-08-28 22:00:00,1975.24,1981.98,1958.0,1968.41,4006.234
2020-08-28 23:00:00,1968.41,1978.66,1966.89,1978.65,955.8689999999999
2020-08-29 00:00:00,1978.65,1978.65,1970.0,1977.97,633.946
2020-08-29 01:00:00,1977.97,1978.0,1966.9,1977.99,3557.298
2020-08-29 02:00:00,1966.91,1989.91,1966.9,1975.0,15893.426
2020-08-29 03:00:00,1980.16,1984.53,1966.91,1969.61,1752.143
2020-08-29 04:00:00,1969.61,1981.81,1966.91,1981.81,3649.968
2020-08-29 05:00:00,1969.67,1983.18,1966.9,1971.0,5186.298
2020-08-29 06:00:00,1971.0,1971.0,1940.01,1965.24,35497.399000000005
2020-08-29 07:00:00,1968.64,1972.83,1962.0,1972.83,5377.553
2020-08-29 08:00:00,1972.82,1972.82,1962.46,1963.09,2106.352
2020-08-29 09:00:00,1972.79,1975.15,1962.41,1973.59,5700.755
2020-08-29 10:00:00,1968.2,1973.59,1964.0,1964.08,2374.034
2020-08-29 11:00:00,1964.27,1977.6,1964.27,1972.83,5462.71
2020-08-29 12:00:00,1971.31,1976.98,1971.31,1976.25,503.8550000000001
2020-08-29 13:00:00,1976.24,1976.24,1967.16,1970.0,4218.813
2020-08-29 14:00:00,1975.65,1975.65,1971.2,1975.0,5240.313
2020-08-29 15:00:00,1974.63,1975.78,1967.16,1970.0,2236.0899999999997
2020-08-29 16:00:00,1975.96,1976.02,1967.16,1967.16,5783.4839999999995
2020-08-29 17:00:00,1975.0,1975.39,1962.02,1973.75,8873.641
2020-08-29 18:00:00,1967.17,1975.17,1967.16,1975.0,3625.677
2020-08-29 19:00:00,1975.0,1976.98,1968.76,1976.98,5417.448
2020-08-29 20:00:00,1976.98,1979.89,1969.91,1977.4,3733.156
2020-08-29 21:00:00,1977.4,1977.4,1969.04,1969.16,729.866
2020-08-29 22:00:00,1976.0,1976.0,1965.76,1974.9,11925.477
2020-08-29 23:00:00,1974.89,1974.89,1964.0,1964.0,823.836
2020-08-30 00:00:00,1965.86,1974.0,1962.53,1962.53,13326.885
2020-08-30 01:00:00,1965.0,1979.0,1964.34,1964.34,42396.69
2020-08-30 02:00:00,1972.16,1977.2,1972.16,1977.2,2718.863
2020-08-30 03:00:00,1977.2,1979.99,1973.0,1979.99,19566.45
2020-08-30 04:00:00,1973.14,1980.3,1973.0,1975.0,3545.741
2020-08-30 05:00:00,1975.0,1979.99,1975.0,1979.99,429.77500000000003
2020-08-30 06:00:00,1975.0,1980.3,1973.46,1973.46,2071.813
2020-08-30 07:00:00,1973.46,1976.29,1965.13,1965.13,8831.098
2020-08-30 08:00:00,1974.99,1976.29,1965.22,1976.0,442.44899999999996
2020-08-30 09:00:00,1976.0,1976.0,1964.82,1968.82,11790.19
2020-08-30 10:00:00,1968.82,1968.83,1964.86,1968.83,7022.985000000001
2020-08-30 11:00:00,1968.83,1968.83,1968.83,1968.83,1447.127
2020-08-30 12:00:00,1965.51,1968.83,1965.51,1968.83,6529.549
2020-08-30 13:00:00,1968.83,1968.83,1962.59,1968.0,10044.72
2020-08-30 14:00:00,1968.78,1968.83,1962.51,1968.82,8344.341999999999
2020-08-30 15:00:00,1968.82,1968.82,1946.75,1967.99,80238.07800000001
2020-08-30 16:00:00,1967.15,1968.57,1959.87,1968.57,10621.213
2020-08-30 17:00:00,1967.15,1968.57,1956.53,1968.56,10025.126999999999
2020-08-30 18:00:00,1968.56,1976.0,1961.49,1976.0,12880.305
2020-08-30 19:00:00,1976.0,1982.86,1975.5,1976.56,16787.57
2020-08-30 20:00:00,1976.56,1982.25,1976.0,1976.0,4083.992
2020-08-30 21:00:00,1976.01,1985.0,1976.0,1977.92,19136.985
2020-08-30 22:00:00,1977.01,1985.0,1976.0,1977.0,12502.944
2020-08-30 23:00:00,1976.89,1983.25,1976.01,1976.01,3520.778
2020-08-31 00:00:00,1975.17,1979.12,1972.72,1979.12,5026.785
2020-08-31 01:00:00,1979.12,1982.11,1976.55,1982.1,3283.1510000000003
2020-08-31 02:00:00,1982.1,1982.11,1973.88,1975.18,2519.174
2020-08-31 03:00:00,1981.87,1982.11,1975.0,1975.18,2311.4210000000003
2020-08-31 04:00:00,1981.87,1982.11,1975.01,1982.11,2873.683
2020-08-31 05:00:00,1981.0,1982.11,1981.0,1982.11,454.824
2020-08-31 06:00:00,1982.11,1983.65,1976.89,1976.89,3055.101
2020-08-31 07:00:00,1976.9,1983.21,1976.89,1983.21,858.38
2020-08-31 08:00:00,1976.89,1980.49,1973.8,1980.2,6282.093
2020-08-31 09:00:00,1973.8,1977.74,1968.32,1973.88,15423.724
2020-08-31 10:00:00,1968.32,1968.32,1964.39,1964.39,11578.242
2020-08-31 11:00:00,1966.0,1977.01,1964.39,1964.4,6355.3189999999995
2020-08-31 12:00:00,1964.4,1976.08,1964.4,1976.08,2318.556
2020-08-31 13:00:00,1976.08,1976.08,1969.7,1975.99,3040.5229999999997
2020-08-31 14:00:00,1975.68,1976.08,1964.39,1966.95,5876.651
2020-08-31 15:00:00,1973.61,1975.0,1966.81,1974.99,2095.356
2020-08-31 16:00:00,1974.99,1976.08,1964.39,1969.7,13118.470000000001
2020-08-31 17:00:00,1974.98,1975.0,1969.69,1974.86,949.73
2020-08-31 18:00:00,1974.98,1976.08,1966.0,1976.08,20366.627999999997
2020-08-31 19:00:00,1970.03,1981.0,1970.03,1980.99,3584.889
2020-08-31 20:00:00,1980.99,1980.99,1975.62,1979.32,1616.358
2020-08-31 21:00:00,1979.32,1979.32,1971.46,1973.8,1663.4189999999999
2020-08-31 22:00:00,1973.8,1976.0,1969.69,1969.7,2498.7720000000004
2020-08-31 23:00:00,1969.7,1976.0,1968.32,1968.32,2123.645
2020-09-01 00:00:00,1974.0,1982.0,1969.98,1969.98,8945.452
2020-09-01 01:00:00,1974.0,1982.0,1968.0,1971.48,11741.127
2020-09-01 02:00:00,1971.48,1978.32,1967.31,1977.7,3353.339
